ocid,id,tender/id,tender/documents/0/id,tender/documents/0/documentType,tender/documents/0/description,tender/documents/0/datePublished,tender/documents/0/format,tender/documents/0/url,tender/documents/0/title
ocds-lcuori-2LAakL-39-2014-2,ocds-lcuori-2LAakL-39-2014-2/4,2LAakL-39-2014-2,52185,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-10-01T12:16:16.117000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8139-2014602-ActadeRecepcionyAperturadeOfertas.docx,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-orvDGM-LPN-SANAA-DM-12-2014-2,ocds-lcuori-orvDGM-LPN-SANAA-DM-12-2014-2/3,orvDGM-LPN-SANAA-DM-12-2014-2,50876,tenderNotice,Aviso de Prensa,2014-08-25T14:36:14.087000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic7LPN-SANAA-DM-12-2014100-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-orvDGM-LPN-SANAA-DM-12-2014-2,ocds-lcuori-orvDGM-LPN-SANAA-DM-12-2014-2/3,orvDGM-LPN-SANAA-DM-12-2014-2,50877,biddingDocuments,Pliego o Terminos de Referencia,2014-08-25T14:36:44.287000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic7LPN-SANAA-DM-12-2014201-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-orvDGM-LPN-SANAA-DM-12-2014-2,ocds-lcuori-orvDGM-LPN-SANAA-DM-12-2014-2/3,orvDGM-LPN-SANAA-DM-12-2014-2,51936,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-25T15:18:09.990000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic7LPN-SANAA-DM-12-2014602-ActadeRecepcionyAperturadeOfertas.pdf,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2/3,wrV3LP-LPR-FHIS-16-2014-2,51657,tenderNotice,Aviso de Prensa,2014-09-17T15:34:07.197000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-16-2014104-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2/3,wrV3LP-LPR-FHIS-16-2014-2,50943,biddingDocuments,Pliego o Terminos de Referencia,2014-08-26T11:14:08.060000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-16-2014200-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2/3,wrV3LP-LPR-FHIS-16-2014-2,51660,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-17T15:57:19.060000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-16-2014605-ActadeRecepcionyAperturadeOfertas.pdf,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2/3,wrV3LP-LPR-FHIS-16-2014-2,51661,cancellationDetails,Declaratoria de Proceso Fracasado,2014-09-17T16:01:53.800000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-16-20141006-DeclaratoriadeProcesoFracasado.pdf,Declaratoria de Proceso Fracasado
ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2/3,wrV3LP-LPR-FHIS-16-2014-2,50944,x_solicitationDocumentAnnexe,Anexos al Pliego ,2014-08-26T11:14:21.543000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-16-20141401-AnexosalPliego.pdf,Anexos al Pliego 
ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2/3,wrV3LP-LPR-FHIS-16-2014-2,50945,x_solicitationDocumentAnnexe,Anexos al Pliego ,2014-08-26T11:15:32.420000-06:00,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-16-20141402-AnexosalPliego.xls,Anexos al Pliego 
ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-16-2014-2/3,wrV3LP-LPR-FHIS-16-2014-2,51183,x_solicitationDocumentAnnexe,Anexos al Pliego ,2014-09-03T13:46:26.393000-06:00,image/vnd.dwg,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-16-20141403-AnexosalPliego.dwg,Anexos al Pliego 
ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2,ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2/3,wrV3LP-COT-FHIS-23-2014-2,51667,tenderNotice,Aviso de Prensa,2014-09-17T16:37:24.723000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11COT-FHIS-23-2014102-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2,ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2/3,wrV3LP-COT-FHIS-23-2014-2,50995,biddingDocuments,Pliego o Terminos de Referencia,2014-08-27T11:39:15.970000-06:00,application/zip,http://h1.honducompras.gob.hn/Docs/Lic11COT-FHIS-23-2014200-PliegooTerminosdeReferencia.zip,Pliego o Terminos de Referencia
ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2,ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2/3,wrV3LP-COT-FHIS-23-2014-2,51670,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-17T16:55:55.290000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11COT-FHIS-23-2014603-ActadeRecepcionyAperturadeOfertas.pdf,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2,ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2/3,wrV3LP-COT-FHIS-23-2014-2,51673,cancellationDetails,Declaratoria de Proceso Fracasado,2014-09-17T17:34:36.840000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11COT-FHIS-23-20141004-DeclaratoriadeProcesoFracasado.pdf,Declaratoria de Proceso Fracasado
ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2,ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2/3,wrV3LP-COT-FHIS-23-2014-2,51032,x_solicitationDocumentAnnexe,Anexos al Pliego ,2014-08-28T15:07:29.340000-06:00,image/vnd.dwg,http://h1.honducompras.gob.hn/Docs/Lic11COT-FHIS-23-20141401-AnexosalPliego.dwg,Anexos al Pliego 
ocds-lcuori-orvPDG-LP-026-ONCAE-2014-2,ocds-lcuori-orvPDG-LP-026-ONCAE-2014-2/3,orvPDG-LP-026-ONCAE-2014-2,50947,tenderNotice,Aviso de Prensa,2014-08-26T11:47:05.740000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic95LP-026-ONCAE-2014100-AvisodePrensa.docx,Aviso de Prensa
ocds-lcuori-orvPDG-LP-026-ONCAE-2014-2,ocds-lcuori-orvPDG-LP-026-ONCAE-2014-2/3,orvPDG-LP-026-ONCAE-2014-2,50948,biddingDocuments,Pliego o Terminos de Referencia,2014-08-26T11:47:18.843000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic95LP-026-ONCAE-2014201-PliegooTerminosdeReferencia.docx,Pliego o Terminos de Referencia
ocds-lcuori-orvPDG-LP-026-ONCAE-2014-2,ocds-lcuori-orvPDG-LP-026-ONCAE-2014-2/3,orvPDG-LP-026-ONCAE-2014-2,53077,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-10-20T16:36:11.207000-06:00,image/tiff,http://h1.honducompras.gob.hn/Docs/Lic95LP-026-ONCAE-2014602-ActadeRecepcionyAperturadeOfertas.tif,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-grxXor-LIC-025-HAME-2014-2,ocds-lcuori-grxXor-LIC-025-HAME-2014-2/3,grxXor-LIC-025-HAME-2014-2,51136,tenderNotice,Aviso de Prensa,2014-09-02T12:45:38.870000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic109LIC-025-HAME-2014100-AvisodePrensa.jpg,Aviso de Prensa
ocds-lcuori-grxXor-LIC-025-HAME-2014-2,ocds-lcuori-grxXor-LIC-025-HAME-2014-2/3,grxXor-LIC-025-HAME-2014-2,51341,biddingDocuments,Pliego o Terminos de Referencia,2014-09-08T08:30:54.697000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic109LIC-025-HAME-2014201-PliegooTerminosdeReferencia.docx,Pliego o Terminos de Referencia
ocds-lcuori-grxXor-LIC-025-HAME-2014-2,ocds-lcuori-grxXor-LIC-025-HAME-2014-2/3,grxXor-LIC-025-HAME-2014-2,51345,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-08T09:05:26.237000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic109LIC-025-HAME-2014602-ActadeRecepcionyAperturadeOfertas.jpg,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-JLKQxR-LP. 016-14-2,ocds-lcuori-JLKQxR-LP. 016-14-2/3,JLKQxR-LP. 016-14-2,50949,biddingDocuments,Pliego o Terminos de Referencia,2014-08-26T12:39:09.300000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic79LP.%20016-14200-PliegooTerminosdeReferencia.docx,Pliego o Terminos de Referencia
ocds-lcuori-JLKQxR-LP. 016-14-2,ocds-lcuori-JLKQxR-LP. 016-14-2/3,JLKQxR-LP. 016-14-2,51641,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-17T13:53:59.320000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic79LP.%20016-14601-ActadeRecepcionyAperturadeOfertas.jpg,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-7G3Myr-lp-025-hsp-1242-2014-2,ocds-lcuori-7G3Myr-lp-025-hsp-1242-2014-2/3,7G3Myr-lp-025-hsp-1242-2014-2,50978,tenderNotice,Aviso de Prensa,2014-08-26T16:49:43.663000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic96lp-025-hsp-1242-2014100-AvisodePrensa.docx,Aviso de Prensa
ocds-lcuori-7G3Myr-lp-025-hsp-1242-2014-2,ocds-lcuori-7G3Myr-lp-025-hsp-1242-2014-2/3,7G3Myr-lp-025-hsp-1242-2014-2,50980,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-08-26T16:55:16.483000-06:00,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,http://h1.honducompras.gob.hn/Docs/Lic96lp-025-hsp-1242-2014601-ActadeRecepcionyAperturadeOfertas.xlsx,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2,ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2/3,2LA2EG-SE-D-LPN-004-2014-2,50984,tenderNotice,Aviso de Prensa,2014-08-26T16:59:00.640000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic737SE-D-LPN-004-2014100-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2,ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2/3,2LA2EG-SE-D-LPN-004-2014-2,50985,biddingDocuments,Pliego o Terminos de Referencia,2014-08-26T16:59:38.317000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic737SE-D-LPN-004-2014201-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2,ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2/3,2LA2EG-SE-D-LPN-004-2014-2,51912,x_amendment,Enmienda o Adendum,2014-09-25T10:53:49.350000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic737SE-D-LPN-004-2014404-EnmiendaoAdendum.pdf,Enmienda o Adendum
ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2,ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2/3,2LA2EG-SE-D-LPN-004-2014-2,51445,clarifications,Aclaratoria,2014-09-10T16:36:20.653000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic737SE-D-LPN-004-2014502-Aclaratoria.pdf,Aclaratoria
ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2,ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2/3,2LA2EG-SE-D-LPN-004-2014-2,51825,clarifications,Aclaratoria,2014-09-23T12:23:40.593000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic737SE-D-LPN-004-2014503-Aclaratoria.pdf,Aclaratoria
ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2,ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2/3,2LA2EG-SE-D-LPN-004-2014-2,52217,clarifications,Aclaratoria,2014-10-01T17:47:58.740000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic737SE-D-LPN-004-2014505-Aclaratoria.pdf,Aclaratoria
ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2,ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2/3,2LA2EG-SE-D-LPN-004-2014-2,52496,clarifications,Aclaratoria,2014-10-08T16:58:16.613000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic737SE-D-LPN-004-2014506-Aclaratoria.pdf,Aclaratoria
ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2,ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2/3,2LA2EG-SE-D-LPN-004-2014-2,52792,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-10-14T11:37:45.510000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic737SE-D-LPN-004-2014607-ActadeRecepcionyAperturadeOfertas.pdf,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-2LAakL-62-2014-2,ocds-lcuori-2LAakL-62-2014-2/3,2LAakL-62-2014-2,54760,tenderNotice,Aviso de Prensa,2014-12-02T14:24:43.633000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8162-2014100-AvisodePrensa.docx,Aviso de Prensa
ocds-lcuori-2LAakL-62-2014-2,ocds-lcuori-2LAakL-62-2014-2/3,2LAakL-62-2014-2,54761,biddingDocuments,Pliego o Terminos de Referencia,2014-12-02T14:24:56.340000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8162-2014201-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-2LAakL-62-2014-2,ocds-lcuori-2LAakL-62-2014-2/3,2LAakL-62-2014-2,54943,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-12-08T15:11:26.813000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8162-2014602-ActadeRecepcionyAperturadeOfertas.docx,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-vGZWNR-LP-004-2014-2,ocds-lcuori-vGZWNR-LP-004-2014-2/3,vGZWNR-LP-004-2014-2,52016,tenderNotice,Aviso de Prensa,2014-09-29T09:28:27.470000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic117LP-004-2014101-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-vGZWNR-LP-004-2014-2,ocds-lcuori-vGZWNR-LP-004-2014-2/3,vGZWNR-LP-004-2014-2,50998,biddingDocuments,Pliego o Terminos de Referencia,2014-08-27T13:56:01.900000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic117LP-004-2014200-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-vGZWNR-LP-004-2014-2,ocds-lcuori-vGZWNR-LP-004-2014-2/3,vGZWNR-LP-004-2014-2,52017,cancellationDetails,Declaratoria de Proceso Desierto,2014-09-29T09:37:58-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic117LP-004-20141102-DeclaratoriadeProcesoDesierto.pdf,Declaratoria de Proceso Desierto
ocds-lcuori-ERpaPr-53-2014-2,ocds-lcuori-ERpaPr-53-2014-2/3,ERpaPr-53-2014-2,51004,biddingDocuments,Pliego o Terminos de Referencia,2014-08-27T14:28:43.553000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8853-2014200-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-1RaMPR-CI-05-2155-2014-2,ocds-lcuori-1RaMPR-CI-05-2155-2014-2/3,1RaMPR-CI-05-2155-2014-2,54657,biddingDocuments,Pliego o Terminos de Referencia,2014-11-27T17:45:38.267000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic703CI-05-2155-2014200-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-2LAakL-42-2014-2,ocds-lcuori-2LAakL-42-2014-2/3,2LAakL-42-2014-2,51035,tenderNotice,Aviso de Prensa,2014-08-28T15:36:21.930000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8142-2014100-AvisodePrensa.docx,Aviso de Prensa
ocds-lcuori-2LAakL-42-2014-2,ocds-lcuori-2LAakL-42-2014-2/3,2LAakL-42-2014-2,51036,biddingDocuments,Pliego o Terminos de Referencia,2014-08-28T15:36:36.890000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8142-2014201-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
ocds-lcuori-2LAakL-42-2014-2,ocds-lcuori-2LAakL-42-2014-2/3,2LAakL-42-2014-2,52916,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-10-17T12:07:51.837000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8142-2014602-ActadeRecepcionyAperturadeOfertas.docx,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-PGJALo-LPI-100-009-2014-2,ocds-lcuori-PGJALo-LPI-100-009-2014-2/3,PGJALo-LPI-100-009-2014-2,51050,tenderNotice,Aviso de Prensa,2014-08-29T11:21:53.750000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic33LPI-100-009-2014100-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-PGJALo-LPI-100-009-2014-2,ocds-lcuori-PGJALo-LPI-100-009-2014-2/3,PGJALo-LPI-100-009-2014-2,51525,tenderNotice,Aviso de Prensa,2014-09-12T11:03:50.123000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic33LPI-100-009-2014101-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-PGJALo-LPI-100-009-2014-2,ocds-lcuori-PGJALo-LPI-100-009-2014-2/3,PGJALo-LPI-100-009-2014-2,51677,tenderNotice,Aviso de Prensa,2014-09-18T09:28:14.443000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic33LPI-100-009-2014102-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-PGJALo-LPI-100-009-2014-2,ocds-lcuori-PGJALo-LPI-100-009-2014-2/3,PGJALo-LPI-100-009-2014-2,52088,tenderNotice,Aviso de Prensa,2014-09-30T10:04:52.907000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic33LPI-100-009-2014103-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-PGJALo-LPI-100-009-2014-2,ocds-lcuori-PGJALo-LPI-100-009-2014-2/3,PGJALo-LPI-100-009-2014-2,53310,tenderNotice,Aviso de Prensa,2014-10-24T15:01:07.397000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic33LPI-100-009-2014105-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-PGJALo-LPI-100-009-2014-2,ocds-lcuori-PGJALo-LPI-100-009-2014-2/3,PGJALo-LPI-100-009-2014-2,53309,biddingDocuments,Pliego o Terminos de Referencia,2014-10-24T14:58:33.080000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic33LPI-100-009-2014204-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-PGJALo-LPI-100-009-2014-2,ocds-lcuori-PGJALo-LPI-100-009-2014-2/3,PGJALo-LPI-100-009-2014-2,55498,x_amendment,Enmienda o Adendum,2014-12-23T11:57:51.213000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic33LPI-100-009-2014406-EnmiendaoAdendum.pdf,Enmienda o Adendum
ocds-lcuori-PGJALo-LPI-100-009-2014-2,ocds-lcuori-PGJALo-LPI-100-009-2014-2/3,PGJALo-LPI-100-009-2014-2,55499,clarifications,Aclaratoria,2014-12-23T11:58:03.090000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic33LPI-100-009-2014507-Aclaratoria.pdf,Aclaratoria
ocds-lcuori-PGJALo-LPI-100-009-2014-2,ocds-lcuori-PGJALo-LPI-100-009-2014-2/3,PGJALo-LPI-100-009-2014-2,55500,clarifications,Aclaratoria,2014-12-23T11:58:26.233000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic33LPI-100-009-2014507-Aclaratoria.pdf,Aclaratoria
ocds-lcuori-PGJALo-LPI-100-009-2014-2,ocds-lcuori-PGJALo-LPI-100-009-2014-2/3,PGJALo-LPI-100-009-2014-2,56575,cancellationDetails,Declaratoria de Proceso Desierto,2015-02-10T16:42:39.913000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic33LPI-100-009-20141107-DeclaratoriadeProcesoDesierto.pdf,Declaratoria de Proceso Desierto
ocds-lcuori-wrVn3r-LP-34-2014-2,ocds-lcuori-wrVn3r-LP-34-2014-2/3,wrVn3r-LP-34-2014-2,51054,tenderNotice,Aviso de Prensa,2014-08-29T11:45:14.883000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic99LP-34-2014101-AvisodePrensa.docx,Aviso de Prensa
ocds-lcuori-wrVn3r-LP-34-2014-2,ocds-lcuori-wrVn3r-LP-34-2014-2/3,wrVn3r-LP-34-2014-2,51052,biddingDocuments,Pliego o Terminos de Referencia,2014-08-29T11:22:13.370000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic99LP-34-2014201-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
