ocid,id,contracts/0/id,contracts/0/documents/0/id,contracts/0/documents/0/documentType,contracts/0/documents/0/description,contracts/0/documents/0/datePublished,contracts/0/documents/0/format,contracts/0/documents/0/url,contracts/0/documents/0/title
ocds-lcuori-7rBxpG-LPublica No.07-2014-2,ocds-lcuori-7rBxpG-LPublica No.07-2014-2/4,7rBxpG-020-2016,998-7rBxpG-020-2016-12,contractSigned,Contrato u Orden de Compra,2016-04-06T08:56:48.520000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123020-20161200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-LPublica No.07-2014-2,ocds-lcuori-7rBxpG-LPublica No.07-2014-2/4,7rBxpG-055-2016,6241-7rBxpG-055-2016-12,contractSigned,Contrato u Orden de Compra,2016-09-06T10:40:10.290000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123055-20161200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-LPublica No.07-2014-2,ocds-lcuori-7rBxpG-LPublica No.07-2014-2/4,7rBxpG-077-2016,13251-7rBxpG-077-2016-12,contractSigned,Contrato u Orden de Compra,2017-01-26T19:04:26.647000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123077-20161200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-LPublica No.07-2014-2,ocds-lcuori-7rBxpG-LPublica No.07-2014-2/4,7rBxpG-19-2017,20430-7rBxpG-19-2017-12,contractSigned,Contrato u Orden de Compra,2017-08-08T12:12:12.490000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con12319-20171200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-orvDGM-LPN-SANAA-DM-03-2014-2,ocds-lcuori-orvDGM-LPN-SANAA-DM-03-2014-2/3,orvDGM-DLC-17-2014,4374-orvDGM-DLC-17-2014-12,contractSigned,Contrato u Orden de Compra,2016-07-28T15:36:55.357000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con7DLC-17-20141200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-MrMPYR-LPN-CNBS-04-2014-2,ocds-lcuori-MrMPYR-LPN-CNBS-04-2014-2/3,MrMPYR-106,3087-MrMPYR-106-12,contractSigned,Contrato u Orden de Compra,2016-07-06T17:12:56.490000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1401061200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-MrMPYR-LPN-CNBS-04-2014-2,ocds-lcuori-MrMPYR-LPN-CNBS-04-2014-2/3,MrMPYR-107,3104-MrMPYR-107-12,contractSigned,Contrato u Orden de Compra,2016-07-07T11:25:11.793000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1401071200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-MrMPYR-LPN-CNBS-04-2014-2,ocds-lcuori-MrMPYR-LPN-CNBS-04-2014-2/3,MrMPYR-108,3105-MrMPYR-108-12,contractSigned,Contrato u Orden de Compra,2016-07-07T11:27:58.960000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1401081200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-gRNDyL-006-03-2014-2,ocds-lcuori-gRNDyL-006-03-2014-2/3,gRNDyL-016-03-2016,1617-gRNDyL-016-03-2016-12,contractSigned,Contrato u Orden de Compra,2016-05-10T16:31:39.867000-06:00,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,http://h1.honducompras.gob.hn/Docs/Con74016-03-20161200-ContratouOrdendeCompra.xls,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-Lprivada No.03-2014-2,ocds-lcuori-7rBxpG-Lprivada No.03-2014-2/3,7rBxpG-002-2016,1002-7rBxpG-002-2016-12,contractSigned,Contrato u Orden de Compra,2016-04-06T09:45:54.627000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123002-20161200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-LPública No.16-2014-2,ocds-lcuori-7rBxpG-LPública No.16-2014-2/3,7rBxpG-002-2015,1014-7rBxpG-002-2015-12,contractSigned,Contrato u Orden de Compra,2016-04-06T10:28:41.987000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123002-20151200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-LPública No.17-2014-2,ocds-lcuori-7rBxpG-LPública No.17-2014-2/3,7rBxpG-014-2015,1024-7rBxpG-014-2015-12,contractSigned,Contrato u Orden de Compra,2016-04-06T11:16:33.010000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123014-20151200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-LPÚBLICA No.19-2014-2,ocds-lcuori-7rBxpG-LPÚBLICA No.19-2014-2/3,7rBxpG-040-2017,21450-7rBxpG-040-2017-12,contractSigned,Contrato u Orden de Compra,2017-09-05T18:49:42.780000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123040-20171200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-LPÚBLICA No.19-2014-2,ocds-lcuori-7rBxpG-LPÚBLICA No.19-2014-2/3,7rBxpG-040-2017,21451-7rBxpG-040-2017-12,contractSigned,Contrato u Orden de Compra,2017-09-05T18:50:05.933000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123040-20171201-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-WRzbRe-DGC-005-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-005-CONST-2014-2/3,WRzbRe-02-DC-DGC-INSEP-2016,2636-WRzbRe-02-DC-DGC-INSEP-2016-12,contractSigned,Contrato u Orden de Compra,2016-06-22T15:45:15.760000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1002-DC-DGC-INSEP-20161200-ContratouOrdendeCompra.PDF,Contrato u Orden de Compra
ocds-lcuori-WRzbRe-DGC-005-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-005-CONST-2014-2/3,WRzbRe-02-DC-DGC-INSEP-2016,2637-WRzbRe-02-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2016-06-22T15:45:24.960000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1002-DC-DGC-INSEP-20161501-AnexosalContrato.PDF,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-005-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-005-CONST-2014-2/3,WRzbRe-02-DC-DGC-INSEP-2016,2638-WRzbRe-02-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2016-06-22T15:45:33.467000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1002-DC-DGC-INSEP-20161502-AnexosalContrato.PDF,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-005-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-005-CONST-2014-2/3,WRzbRe-02-DC-DGC-INSEP-2016,38997-WRzbRe-02-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2018-09-25T11:12:19.660000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1002-DC-DGC-INSEP-20161503-AnexosalContrato.PDF,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-005-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-005-CONST-2014-2/3,WRzbRe-02-DC-DGC-INSEP-2016,54771-WRzbRe-02-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2019-07-15T13:51:11.867000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1002-DC-DGC-INSEP-20161504-AnexosalContrato.pdf,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-006-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-006-CONST-2014-2/4,WRzbRe-03-DC-DGC-INSEP-2016,2639-WRzbRe-03-DC-DGC-INSEP-2016-12,contractSigned,Contrato u Orden de Compra,2016-06-22T16:03:01.307000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1003-DC-DGC-INSEP-20161200-ContratouOrdendeCompra.PDF,Contrato u Orden de Compra
ocds-lcuori-WRzbRe-DGC-006-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-006-CONST-2014-2/4,WRzbRe-03-DC-DGC-INSEP-2016,2640-WRzbRe-03-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2016-06-22T16:03:17.170000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1003-DC-DGC-INSEP-20161501-AnexosalContrato.PDF,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2/4,WRzbRe-01-DC-DGC-INSEP-2016,2494-WRzbRe-01-DC-DGC-INSEP-2016-12,contractSigned,Contrato u Orden de Compra,2016-06-16T14:27:36.093000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1001-DC-DGC-INSEP-20161200-ContratouOrdendeCompra.PDF,Contrato u Orden de Compra
ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2/4,WRzbRe-01-DC-DGC-INSEP-2016,19430-WRzbRe-01-DC-DGC-INSEP-2016-12,contractSigned,Contrato u Orden de Compra,2017-07-13T11:47:44-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1001-DC-DGC-INSEP-20161206-ContratouOrdendeCompra.PDF,Contrato u Orden de Compra
ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2/4,WRzbRe-01-DC-DGC-INSEP-2016,2495-WRzbRe-01-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2016-06-16T14:27:53.350000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1001-DC-DGC-INSEP-20161501-AnexosalContrato.PDF,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2/4,WRzbRe-01-DC-DGC-INSEP-2016,2496-WRzbRe-01-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2016-06-16T14:28:05.903000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1001-DC-DGC-INSEP-20161502-AnexosalContrato.PDF,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2/4,WRzbRe-01-DC-DGC-INSEP-2016,11064-WRzbRe-01-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2016-12-23T09:28:00.370000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1001-DC-DGC-INSEP-20161503-AnexosalContrato.PDF,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2/4,WRzbRe-01-DC-DGC-INSEP-2016,15809-WRzbRe-01-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2017-04-06T11:47:33.600000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1001-DC-DGC-INSEP-20161504-AnexosalContrato.PDF,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2/4,WRzbRe-01-DC-DGC-INSEP-2016,15810-WRzbRe-01-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2017-04-06T11:49:33.480000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1001-DC-DGC-INSEP-20161505-AnexosalContrato.PDF,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2/4,WRzbRe-01-DC-DGC-INSEP-2016,19431-WRzbRe-01-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2017-07-13T11:48:08.317000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1001-DC-DGC-INSEP-20161507-AnexosalContrato.PDF,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2/4,WRzbRe-01-DC-DGC-INSEP-2016,24890-WRzbRe-01-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2017-11-30T11:08:28.800000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1001-DC-DGC-INSEP-20161508-AnexosalContrato.pdf,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2/4,WRzbRe-01-DC-DGC-INSEP-2016,24891-WRzbRe-01-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2017-11-30T11:08:46.850000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1001-DC-DGC-INSEP-20161509-AnexosalContrato.pdf,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-007-CONST-2014-2/4,WRzbRe-01-DC-DGC-INSEP-2016,41789-WRzbRe-01-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2018-11-08T16:17:34.310000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con1001-DC-DGC-INSEP-201615010-AnexosalContrato.pdf,Anexos al Contrato
ocds-lcuori-WRzbRe-DGC-008-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-008-CONST-2014-2/4,WRzbRe-022-DC-DGC-INSEP-2016,24425-WRzbRe-022-DC-DGC-INSEP-2016-12,contractSigned,Contrato u Orden de Compra,2017-11-17T14:27:43.927000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con10022-DC-DGC-INSEP-20161200-ContratouOrdendeCompra.PDF,Contrato u Orden de Compra
ocds-lcuori-WRzbRe-DGC-008-CONST-2014-2,ocds-lcuori-WRzbRe-DGC-008-CONST-2014-2/4,WRzbRe-022-DC-DGC-INSEP-2016,24426-WRzbRe-022-DC-DGC-INSEP-2016-15,contractAnnexe,Anexos al Contrato,2017-11-17T14:29:16.520000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con10022-DC-DGC-INSEP-20161501-AnexosalContrato.PDF,Anexos al Contrato
ocds-lcuori-2LA2EG-SE-D-SCI-004-2014 -2,ocds-lcuori-2LA2EG-SE-D-SCI-004-2014 -2/4,2LA2EG-SE-D-SCI-004-2014,590-2LA2EG-SE-D-SCI-004-2014-12,contractSigned,Contrato u Orden de Compra,2015-02-18T14:29:14.627000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con737SE-D-SCI-004-20141200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-1RaMPR-IC-UMBRAL-003-2014-2,ocds-lcuori-1RaMPR-IC-UMBRAL-003-2014-2/3,1RaMPR-MCA-THP-04-2015,33971-1RaMPR-MCA-THP-04-2015-12,contractSigned,Contrato u Orden de Compra,2018-06-27T16:30:54.397000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-04-20151200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-1RaMPR-IC-UMBRAL-003-2014-2,ocds-lcuori-1RaMPR-IC-UMBRAL-003-2014-2/3,1RaMPR-MCA-THP-04-2015,33972-1RaMPR-MCA-THP-04-2015-15,contractAnnexe,Anexos al Contrato,2018-06-27T16:31:08.757000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-04-20151501-AnexosalContrato.pdf,Anexos al Contrato
ocds-lcuori-1RaMPR-IC-UMBRAL-003-2014-2,ocds-lcuori-1RaMPR-IC-UMBRAL-003-2014-2/3,1RaMPR-MCA-THP-04-2015,33973-1RaMPR-MCA-THP-04-2015-15,contractAnnexe,Anexos al Contrato,2018-06-27T16:31:35.187000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-04-20151502-AnexosalContrato.pdf,Anexos al Contrato
ocds-lcuori-kG1ger-07-2014-2,ocds-lcuori-kG1ger-07-2014-2/3,kG1ger-01-2015,7043-kG1ger-01-2015-12,contractSigned,Contrato u Orden de Compra,2016-09-28T14:56:51.660000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Con17001-20151200-ContratouOrdendeCompra.docx,Contrato u Orden de Compra
ocds-lcuori-kG1ger-07-2014-2,ocds-lcuori-kG1ger-07-2014-2/3,kG1ger-01-2015,7044-kG1ger-01-2015-15,contractAnnexe,Anexos al Contrato,2016-09-28T15:04:22.757000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Con17001-20151501-AnexosalContrato.docx,Anexos al Contrato
ocds-lcuori-7rBxpG-LPública No.20-2014-2,ocds-lcuori-7rBxpG-LPública No.20-2014-2/3,7rBxpG-003-2015,1015-7rBxpG-003-2015-12,contractSigned,Contrato u Orden de Compra,2016-04-06T10:32:48.433000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123003-20151200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-LPública No.20-2014-2,ocds-lcuori-7rBxpG-LPública No.20-2014-2/3,7rBxpG-006-2015,1017-7rBxpG-006-2015-12,contractSigned,Contrato u Orden de Compra,2016-04-06T10:40:07.360000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123006-20151200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-LPública No.20-2014-2,ocds-lcuori-7rBxpG-LPública No.20-2014-2/3,7rBxpG-011-2015,1020-7rBxpG-011-2015-12,contractSigned,Contrato u Orden de Compra,2016-04-06T11:04:17.280000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123011-20151200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-LPública No.20-2014-2,ocds-lcuori-7rBxpG-LPública No.20-2014-2/3,7rBxpG-019-2015,1025-7rBxpG-019-2015-12,contractSigned,Contrato u Orden de Compra,2016-04-06T11:20:38.750000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123019-20151200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-CDIRECTA No.19-2014-2,ocds-lcuori-7rBxpG-CDIRECTA No.19-2014-2/3,7rBxpG-004-2016,1016-7rBxpG-004-2016-12,contractSigned,Contrato u Orden de Compra,2016-04-06T10:35:26.453000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123004-20161200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-2LA2EG-SE-D-LPN-005-2014 -2,ocds-lcuori-2LA2EG-SE-D-LPN-005-2014 -2/4,2LA2EG-SE-D-LPN-005-2014,593-2LA2EG-SE-D-LPN-005-2014-12,contractSigned,Contrato u Orden de Compra,2015-02-24T12:06:07.810000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con737SE-D-LPN-005-20141200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-CDirecta No.20-2014-2,ocds-lcuori-7rBxpG-CDirecta No.20-2014-2/3,7rBxpG-013-2015,1023-7rBxpG-013-2015-12,contractSigned,Contrato u Orden de Compra,2016-04-06T11:12:55.213000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123013-20151200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-kG1ger-10-2014-2,ocds-lcuori-kG1ger-10-2014-2/3,kG1ger-24-2014,7047-kG1ger-24-2014-12,contractSigned,Contrato u Orden de Compra,2016-09-28T15:56:34.193000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Con17024-20141200-ContratouOrdendeCompra.docx,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-CD-16-2014-2,ocds-lcuori-7rBxpG-CD-16-2014-2/3,7rBxpG-001-2015,1013-7rBxpG-001-2015-12,contractSigned,Contrato u Orden de Compra,2016-04-06T10:26:31.967000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123001-20151200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
