ocid,id,awards/0/id,awards/0/documents/0/id,awards/0/documents/0/documentType,awards/0/documents/0/description,awards/0/documents/0/datePublished,awards/0/documents/0/format,awards/0/documents/0/url,awards/0/documents/0/title
ocds-lcuori-PLe6mG-HSR- LP-021-2014-2,ocds-lcuori-PLe6mG-HSR- LP-021-2014-2/3,PLe6mG-HSR- LP-021-2014-2,51523,awardNotice,Resolucion de la Adjudicacion,2014-09-12T11:02:05.323000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic85HSR-%20LP-021-2014802-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-PLe6mG-HSR- LP-021-2014-2,ocds-lcuori-PLe6mG-HSR- LP-021-2014-2/3,PLe6mG-HSR- LP-021-2014-2,51524,awardNotice,Resolucion de la Adjudicacion,2014-09-12T11:03:25.013000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic85HSR-%20LP-021-2014802-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-1RaMPR-RFP-ACS-USAID-QCBS-01-2014-2,ocds-lcuori-1RaMPR-RFP-ACS-USAID-QCBS-01-2014-2/3,1RaMPR-RFP-ACS-USAID-QCBS-01-2014-2,61854,awardNotice,Resolucion de la Adjudicacion,2015-06-12T11:40:17.420000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic703RFP-ACS-USAID-QCBS-01-2014807-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-lRo92L-45-2,ocds-lcuori-lRo92L-45-2/3,lRo92L-45-2,53120,awardNotice,Resolucion de la Adjudicacion,2014-10-21T13:34:42.570000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8945803-ResoluciondelaAdjudicacion.docx,Resolucion de la Adjudicacion
ocds-lcuori-7rBxpG-Lprivada No.05-2014-2,ocds-lcuori-7rBxpG-Lprivada No.05-2014-2/3,7rBxpG-Lprivada No.05-2014-2,55686,awardNotice,Resolucion de la Adjudicacion,2015-01-06T15:00:31.030000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic123Lprivada%20No.05-2014803-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-yRlaDr-10-2014-2,ocds-lcuori-yRlaDr-10-2014-2/3,yRlaDr-10-2014-2,51502,awardNotice,Resolucion de la Adjudicacion,2014-09-12T10:41:11.753000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic7610-2014802-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-yRlaDr-12-2014-2,ocds-lcuori-yRlaDr-12-2014-2/3,yRlaDr-12-2014-2,51509,awardNotice,Resolucion de la Adjudicacion,2014-09-12T10:46:24.967000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic7612-2014802-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-yRlaDr-17-2014-2,ocds-lcuori-yRlaDr-17-2014-2/3,yRlaDr-17-2014-2,51517,awardNotice,Resolucion de la Adjudicacion,2014-09-12T10:52:16.100000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic7617-2014802-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-jRDkQG-HMCR-468-2014-2,ocds-lcuori-jRDkQG-HMCR-468-2014-2/4,jRDkQG-HMCR-468-2014-2,55462,awardNotice,Resolucion de la Adjudicacion,2014-12-22T13:41:41.643000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-468-2014803-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-orveZR-LP-00004-2014-2,ocds-lcuori-orveZR-LP-00004-2014-2/3,orveZR-LP-00004-2014-2,51870,awardNotice,Resolucion de la Adjudicacion,2014-09-24T11:47:37.277000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic607LP-00004-2014802-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-1RaEMR-Licitacion Privada  N° 0028-2014-2,ocds-lcuori-1RaEMR-Licitacion Privada  N° 0028-2014-2/3,1RaEMR-Licitacion Privada  N° 0028-2014-2,55350,awardNotice,Resolucion de la Adjudicacion,2014-12-19T09:24:40.327000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic103Licitacion%20Privada%20%20N%C2%B0%200028-2014803-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-4LOxWG-LICITACION PRIVADA NO. 17-2015-2,ocds-lcuori-4LOxWG-LICITACION PRIVADA NO. 17-2015-2/3,4LOxWG-LICITACION PRIVADA NO. 17-2015-2,57083,awardNotice,Resolucion de la Adjudicacion,2015-02-20T13:41:44.963000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic83LICITACION%20PRIVADA%20NO.%2017-2015802-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-4LOxWG-LICITACION PRIVADA NO. 24-2015-2,ocds-lcuori-4LOxWG-LICITACION PRIVADA NO. 24-2015-2/3,4LOxWG-LICITACION PRIVADA NO. 24-2015-2,57006,awardNotice,Resolucion de la Adjudicacion,2015-02-19T14:26:47.190000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic83LICITACION%20PRIVADA%20NO.%2024-2015802-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-lRo92L-47-2,ocds-lcuori-lRo92L-47-2/3,lRo92L-47-2,52180,awardNotice,Resolucion de la Adjudicacion,2014-10-01T12:12:55.610000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8947803-ResoluciondelaAdjudicacion.docx,Resolucion de la Adjudicacion
ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2do-2,ocds-lcuori-wrV3LP-COT-FHIS-23-2014-2do-2/3,wrV3LP-COT-FHIS-23-2014-2do-2,56101,awardNotice,Resolucion de la Adjudicacion,2015-01-28T16:04:21.677000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11COT-FHIS-23-2014-2do803-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-8L47Pr-L-P 052-2014-2,ocds-lcuori-8L47Pr-L-P 052-2014-2/3,8L47Pr-L-P 052-2014-2,51781,awardNotice,Resolucion de la Adjudicacion,2014-09-22T08:12:47.790000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic94L-P%20052-2014802-ResoluciondelaAdjudicacion.PDF,Resolucion de la Adjudicacion
ocds-lcuori-JL7b2r-013-UAP-SREIC-BID-2014-2,ocds-lcuori-JL7b2r-013-UAP-SREIC-BID-2014-2/3,JL7b2r-013-UAP-SREIC-BID-2014-2,55832,awardNotice,Resolucion de la Adjudicacion,2015-01-16T16:47:47.203000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic687013-UAP-SREIC-BID-2014802-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-7G3Myr-lp-022-1238-hsp-2014-2,ocds-lcuori-7G3Myr-lp-022-1238-hsp-2014-2/3,7G3Myr-lp-022-1238-hsp-2014-2,51762,awardNotice,Resolucion de la Adjudicacion,2014-09-19T13:32:48.287000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic96lp-022-1238-hsp-2014802-ResoluciondelaAdjudicacion.docx,Resolucion de la Adjudicacion
ocds-lcuori-7G3oBG-LP-009-2014-2,ocds-lcuori-7G3oBG-LP-009-2014-2/3,7G3oBG-LP-009-2014-2,52160,awardNotice,Resolucion de la Adjudicacion,2014-10-01T10:58:14.487000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic608LP-009-2014802-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-7G3Myr-LP-023-1239-HSP-2014-2,ocds-lcuori-7G3Myr-LP-023-1239-HSP-2014-2/3,7G3Myr-LP-023-1239-HSP-2014-2,51765,awardNotice,Resolucion de la Adjudicacion,2014-09-19T13:44:00.263000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic96LP-023-1239-HSP-2014802-ResoluciondelaAdjudicacion.docx,Resolucion de la Adjudicacion
ocds-lcuori-4LOxWG-LICITACION PRIVADA No. 191-2014-2,ocds-lcuori-4LOxWG-LICITACION PRIVADA No. 191-2014-2/3,4LOxWG-LICITACION PRIVADA No. 191-2014-2,55616,awardNotice,Resolucion de la Adjudicacion,2014-12-29T15:57:05.517000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic83LICITACION%20PRIVADA%20No.%20191-2014802-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-ZGqW9r-LPN-007-IPM-2014-2,ocds-lcuori-ZGqW9r-LPN-007-IPM-2014-2/4,ZGqW9r-LPN-007-IPM-2014-2,58714,awardNotice,Resolucion de la Adjudicacion,2015-03-25T15:16:04.820000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic662LPN-007-IPM-2014806-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-7rBxpG-LPública No.22-2014-2,ocds-lcuori-7rBxpG-LPública No.22-2014-2/3,7rBxpG-LPública No.22-2014-2,55890,awardNotice,Resolucion de la Adjudicacion,2015-01-20T14:32:16.880000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic123LP%C3%BAblica%20No.22-2014804-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-4LOxWG-LICITACION PRIVADA No. 197-2014-2,ocds-lcuori-4LOxWG-LICITACION PRIVADA No. 197-2014-2/3,4LOxWG-LICITACION PRIVADA No. 197-2014-2,52695,awardNotice,Resolucion de la Adjudicacion,2014-10-14T07:33:56.087000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic83LICITACION%20PRIVADA%20No.%20197-2014802-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-4LOxWG-LICITACION PRIVADA No. 201-2014-2,ocds-lcuori-4LOxWG-LICITACION PRIVADA No. 201-2014-2/3,4LOxWG-LICITACION PRIVADA No. 201-2014-2,52701,awardNotice,Resolucion de la Adjudicacion,2014-10-14T07:39:19.073000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic83LICITACION%20PRIVADA%20No.%20201-2014802-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-1Ra2Pr-CP-CRA-001-2014-2,ocds-lcuori-1Ra2Pr-CP-CRA-001-2014-2/3,1Ra2Pr-CP-CRA-001-2014-2,55665,awardNotice,Resolucion de la Adjudicacion,2015-01-05T14:44:30.197000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic747CP-CRA-001-2014803-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-wrVn3r-LP-38-HSI-2014-2,ocds-lcuori-wrVn3r-LP-38-HSI-2014-2/3,wrVn3r-LP-38-HSI-2014-2,52505,awardNotice,Resolucion de la Adjudicacion,2014-10-09T06:23:18.990000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic99LP-38-HSI-2014803-ResoluciondelaAdjudicacion.docx,Resolucion de la Adjudicacion
ocds-lcuori-1RaEMR-Licitacion Privada 0025-2014-2,ocds-lcuori-1RaEMR-Licitacion Privada 0025-2014-2/3,1RaEMR-Licitacion Privada 0025-2014-2,52205,awardNotice,Resolucion de la Adjudicacion,2014-10-01T16:53:58.133000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic103Licitacion%20Privada%200025-2014803-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-MrMPYR-LPN- CNBS-05-2014-2,ocds-lcuori-MrMPYR-LPN- CNBS-05-2014-2/3,MrMPYR-LPN- CNBS-05-2014-2,56808,awardNotice,Resolucion de la Adjudicacion,2015-02-16T16:32:13.037000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic140LPN-%20CNBS-05-2014805-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-4LOxWG-LICITACION PRIVADA No. 205-2014-2,ocds-lcuori-4LOxWG-LICITACION PRIVADA No. 205-2014-2/3,4LOxWG-LICITACION PRIVADA No. 205-2014-2,52857,awardNotice,Resolucion de la Adjudicacion,2014-10-16T10:35:38.607000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic83LICITACION%20PRIVADA%20No.%20205-2014802-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-kR0qDr-LPN-04-2014-2,ocds-lcuori-kR0qDr-LPN-04-2014-2/3,kR0qDr-LPN-04-2014-2,60329,awardNotice,Resolucion de la Adjudicacion,2015-05-08T14:01:09.387000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic156LPN-04-2014804-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-kR0qDr-LPN-05-2014-2,ocds-lcuori-kR0qDr-LPN-05-2014-2/3,kR0qDr-LPN-05-2014-2,60331,awardNotice,Resolucion de la Adjudicacion,2015-05-08T14:07:27.497000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic156LPN-05-2014806-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-NLP4qL-LPN 012 2014-2,ocds-lcuori-NLP4qL-LPN 012 2014-2/4,NLP4qL-LPN 012 2014-2,57427,awardNotice,Resolucion de la Adjudicacion,2015-02-26T10:53:39.763000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic222LPN%20012%202014804-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-grxq2L-LP-DEI-DA-004-2014-2,ocds-lcuori-grxq2L-LP-DEI-DA-004-2014-2/3,grxq2L-LP-DEI-DA-004-2014-2,54830,awardNotice,Resolucion de la Adjudicacion,2014-12-04T10:54:25.513000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic709LP-DEI-DA-004-2014803-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-gLnXkR-LPR-AMFI-03-2014-2,ocds-lcuori-gLnXkR-LPR-AMFI-03-2014-2/3,gLnXkR-LPR-AMFI-03-2014-2,55789,awardNotice,Resolucion de la Adjudicacion,2015-01-14T21:16:20.263000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic724LPR-AMFI-03-2014804-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-7GXmzR-LP-003-2014 CCIVS-2,ocds-lcuori-7GXmzR-LP-003-2014 CCIVS-2/4,7GXmzR-LP-003-2014 CCIVS-2,54510,awardNotice,Resolucion de la Adjudicacion,2014-11-24T16:34:21.627000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic759LP-003-2014%20CCIVS807-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-jRDkQG-HMCR-341-2014-2,ocds-lcuori-jRDkQG-HMCR-341-2014-2/3,jRDkQG-HMCR-341-2014-2,52656,awardNotice,Resolucion de la Adjudicacion,2014-10-13T11:44:23.223000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-341-2014804-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-jRDkQG-HMCR-345-2014-2,ocds-lcuori-jRDkQG-HMCR-345-2014-2/3,jRDkQG-HMCR-345-2014-2,52574,awardNotice,Resolucion de la Adjudicacion,2014-10-10T08:26:35.277000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-345-2014803-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-ERpaDr-LP 43-14-2,ocds-lcuori-ERpaDr-LP 43-14-2/3,ERpaDr-LP 43-14-2,52452,awardNotice,Resolucion de la Adjudicacion,2014-10-08T14:31:00.407000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic100LP%2043-14802-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-jRDkQG-HMCR-347-2014-2,ocds-lcuori-jRDkQG-HMCR-347-2014-2/3,jRDkQG-HMCR-347-2014-2,52570,awardNotice,Resolucion de la Adjudicacion,2014-10-10T08:24:47.480000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-347-2014803-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-jRDkQG-HMCR-351-2014-2,ocds-lcuori-jRDkQG-HMCR-351-2014-2/3,jRDkQG-HMCR-351-2014-2,52562,awardNotice,Resolucion de la Adjudicacion,2014-10-10T08:21:23.653000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-351-2014803-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
