ocid,id,contracts/0/id,contracts/0/items/0/id,contracts/0/items/0/unit/name,contracts/0/items/0/unit/value/amount,contracts/0/items/0/unit/value/currency,contracts/0/items/0/description,contracts/0/items/0/quantity,contracts/0/items/0/classification/id,contracts/0/items/0/classification/scheme,contracts/0/items/0/classification/description
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13503,Resma,69.44,HNL,PAPEL BOND REPORT CARTA,20.0,14111511,UNSPSC,Papel bond o de escribir
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13504,Resma,82.544,HNL,PAPEL BOND REPORT OFICIO,6.0,14111511,UNSPSC,Papel bond o de escribir
ocds-lcuori-5116,ocds-lcuori-5116/3-contract,5116,13505,Unidad,313.6,HNL,"MEMORIA USB DE 16 GB, MATERIAL DE PLASTICO CON TAPA GIRATORIA",20.0,43202005,UNSPSC,Dispositivos de almacenamiento de memoria flash (USB Memory)
ocds-lcuori-5116,ocds-lcuori-5116/3-contract,5116,13506,Unidad,18.76,HNL,"TIJERA DE ACERO INOXIDABLE MEDIDA 8""",18.0,44121618,UNSPSC,Tijeras
ocds-lcuori-5116,ocds-lcuori-5116/3-contract,5116,13507,Unidad,203.0,HNL,"CD-R, 48X, PRESENTACION TORRE DE 25 UNIDADES",20.0,43202001,UNSPSC,Discos compactos (CD)
ocds-lcuori-5124,ocds-lcuori-5124/3-contract,5124,13519,Unidad,24.5,HNL,AGUA PURIFICADA PRESENTACION 5 GALONES,56.0,50202301,UNSPSC,Agua purificada
ocds-lcuori-5122,ocds-lcuori-5122/3-contract,5122,13514,Unidad,0.672,HNL,"PINZA SUJETAPAPELES DE 19mm O 3/4"" PRESENTACION UNIDAD (1)",100.0,44111521,UNSPSC,Sujetapapeles
ocds-lcuori-5122,ocds-lcuori-5122/3-contract,5122,13515,Unidad,1.4,HNL,"PINZA SUJETAPAPELES DE 25mm O 1"" PRESENTACION UNIDAD (1)",100.0,44111521,UNSPSC,Sujetapapeles
ocds-lcuori-5122,ocds-lcuori-5122/3-contract,5122,13516,Unidad,2.24,HNL,"PINZA SUJETAPAPELES DE 32mm O O 1 1/4"" PRESENTACION UNIDAD",100.0,44111521,UNSPSC,Sujetapapeles
ocds-lcuori-5126,ocds-lcuori-5126/3-contract,5126,13521,onza,318.06,HNL,"Cartucho de tinta CANON 2974B001 Negro PG-210 
",2.0,44103112,UNSPSC,Cinta de tinta para impresora
ocds-lcuori-5126,ocds-lcuori-5126/3-contract,5126,13522,Unidad,407.0,HNL,Cartucho de tinta CANON 2976B001 Color,2.0,44103112,UNSPSC,Cinta de tinta para impresora
ocds-lcuori-5127,ocds-lcuori-5127/3-contract,5127,13523,Unidad,33.6,HNL,ARCHIVADORES TAMA?O CARTA (LEITZ O EQUIVALENTE),100.0,44111607,UNSPSC,Archivadores de cheques ( LEITZ )
ocds-lcuori-5127,ocds-lcuori-5127/3-contract,5127,13524,Caja,21.6,HNL,CAJA DE BOLIGRAFO PUNTA MEDIANA TAPADERA PLASTICA TINTA DE ACEITE COLOR NEGRO. Producto Exento,20.0,44121704,UNSPSC,Bol?grafos o l?piz tinta
ocds-lcuori-5132,ocds-lcuori-5132/3-contract,5132,13530,Unidad,1435.5,HNL,Toner Sharp AR016T negro para AR5015 AR5120 AR5316 AR5320,2.0,44103103,UNSPSC,Toner
ocds-lcuori-5132,ocds-lcuori-5132/3-contract,5132,13531,Unidad,309.66,HNL,Cartucho de tinta amarilla HP 88 C9388AL,4.0,44103112,UNSPSC,Cinta de tinta para impresora
ocds-lcuori-5130,ocds-lcuori-5130/3-contract,5130,13527,Unidad,106.12,HNL,"ENGRAPADORA DE ACERO TAMA?O ESTANDAR, 20 HOJAS MINIMO",20.0,44121615,UNSPSC,Grapadoras  de escritorio
ocds-lcuori-5130,ocds-lcuori-5130/3-contract,5130,13528,Paquete,103.04,HNL,"HOJAS DE PAPEL AUTOADHESIVO PRESENTACION MEDIDA 1 1/2 x 2"", VARIOS COLORES, 12 BLOCKS DE 100 UNIDADES C/U(POST-IT)",20.0,14111530,UNSPSC,Notas de papel autoadhesivo
ocds-lcuori-5135,ocds-lcuori-5135/3-contract,5135,13536,Unidad,84.0,HNL,"CUADERNO UNICO GRANDE SIN FORRO 1 SOLO COLOR, 400 PAGINAS Producto Exento",60.0,14111531,UNSPSC,Libros o cuadernos de registro
ocds-lcuori-5134,ocds-lcuori-5134/3-contract,5134,13534,Unidad,407.1,HNL,Cartucho de tinta negra HP 88 C9385AL,4.0,44103112,UNSPSC,Cinta de tinta para impresora
ocds-lcuori-5134,ocds-lcuori-5134/3-contract,5134,13535,Unidad,1897.42,HNL,"Cartucho de toner negro HP 80A LaserJet
 (CF280A)
",4.0,44103103,UNSPSC,Toner
ocds-lcuori-5139,ocds-lcuori-5139/3-contract,5139,13540,Unidad,354.2,HNL,Cartucho de Tinta HP 210 Negro,10.0,44103105,UNSPSC,Cartuchos de tinta
ocds-lcuori-5139,ocds-lcuori-5139/3-contract,5139,13541,Unidad,466.256,HNL,Cartucho de tinta hp 211,10.0,44103105,UNSPSC,Cartuchos de tinta
ocds-lcuori-5138,ocds-lcuori-5138/3-contract,5138,13539,Unidad,3099.825,HNL,Toner y Revelador Sharp AL100TDN,2.0,44103103,UNSPSC,Toner
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13549,Unidad,14.75,HNL,HUMEDECEDOR DE DEDOS (GLICERINA) PRESENTACION 1.5 ONZAS,18.0,44121622,UNSPSC,Humedecedores de dedos
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13550,Unidad,26.0,HNL,LAPIZ GRAFITO 3H. Producto Exento,6.0,44121706,UNSPSC,L?pices grafito normal
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13551,Caja,8.8,HNL,CLIP PARA PAPEL TAMA?O 50 mm,27.0,44122104,UNSPSC,Clips para papel
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13552,Unidad,94.75,HNL,"ENGRAPADORA DE ACERO TAMA?O ESTANDAR, 20 HOJAS MINIMO",2.0,44121615,UNSPSC,Grapadoras  de escritorio
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13553,Unidad,9.75,HNL,CORRECTOR LIQUIDO PRESENTACION BOTE DE 20ML,18.0,44121802,UNSPSC,L?quido corrector
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13554,Unidad,7.45,HNL,"CINTA ADHESIVA COLOR MATE MEDIDA 3/4"" x 30 yds (Maskingtape)",5.0,44121605,UNSPSC,Rollos de cinta adhesiva transparente
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13555,Unidad,3.4,HNL,SACAPUNTAS METALICO DE UN ORIFICIO. Producto Exento,20.0,44121619,UNSPSC,Sacapuntas el?ctrico
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13556,Unidad,24.75,HNL,TINTA PARA SELLOS EN BOTE ROLL-ON COLOR NEGRO,24.0,44121902,UNSPSC,Tinta china
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13557,Unidad,78.0,HNL,CUADERNO UNICO GRANDE DE 400 PAGINAS. Producto Exento,10.0,14111531,UNSPSC,Libros o cuadernos de registro
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13558,Unidad,9.2,HNL,LIBRETA DE TAQUIGRAFIA. Producto Exento,12.0,14111531,UNSPSC,Libros o cuadernos de registro
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13559,Unidad,1.6,HNL,"SOBRE MANILA 10"" x 13"" ",40.0,44121506,UNSPSC,Sobres est?ndar
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13560,Unidad,1.8,HNL,"SOBRE MANILA 10"" x 15"" ",50.0,44121506,UNSPSC,Sobres est?ndar
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,13561,Caja,65.0,HNL,"PAPEL CARBON COLOR NEGRO TAMA?O CARTA, CAJA DE 100 HOJAS",7.0,14111527,UNSPSC,Papel autocopiativo o papel carbon
ocds-lcuori-5142,ocds-lcuori-5142/3-contract,5142,13548,Unidad,10.75,HNL,"HOJAS DE PAPEL AUTOADHESIVO PRESENTACION MEDIDA 3""x3"", VARIOS COLORES, 100 UNIDADES (POST-IT)",8.0,14111530,UNSPSC,Notas de papel autoadhesivo
ocds-lcuori-5144,ocds-lcuori-5144/3-contract,5144,13562,Unidad,10.75,HNL,"HOJAS DE PAPEL AUTOADHESIVO PRESENTACION MEDIDA 3""x3"", VARIOS COLORES, 100 UNIDADES (POST-IT)",48.0,14111530,UNSPSC,Notas de papel autoadhesivo
ocds-lcuori-5144,ocds-lcuori-5144/3-contract,5144,13563,Unidad,118.0,HNL,TAPETE ERGONOMICO PARA MOUSE,10.0,43211802,UNSPSC,Almohadillas de rat?n o mouse
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13579,Unidad,12.5,HNL,MARCADOR PARA PIZARRA PUNTA CINCEL COLOR ROJO. Producto Exento,50.0,44121708,UNSPSC,Marcadores permanentes
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13580,Unidad,12.5,HNL,MARCADOR PARA PIZARRA PUNTA CINCEL COLOR VERDE. Producto Exento,50.0,44121708,UNSPSC,Marcadores permanentes
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13581,Unidad,3.335,HNL,"CINTA ADHESIVA COLOR TRANSPARENTE MEDIDA 3/4"" x 36 yds (Tape)",200.0,44121605,UNSPSC,Rollos de cinta adhesiva transparente
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13582,Resma,90.85,HNL,FOLDER TAMA?O CARTA RESMA DE 100 UNIDADES,200.0,44122011,UNSPSC,Carpetas para archivos o folder
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13583,Resma,105.225,HNL,FOLDER TAMA?O OFICIO RESMA DE 100 UNIDADES,200.0,44122011,UNSPSC,Carpetas para archivos o folder
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13584,Unidad,4.07,HNL,MARCADOR PERMANENTE PUNTA GRUESA COLOR AZUL. Producto Exento,50.0,44121708,UNSPSC,Marcadores permanentes
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13585,Unidad,4.07,HNL,MARCADOR PERMANENTE PUNTA GRUESA COLOR NEGRO. Producto Exento,50.0,44121708,UNSPSC,Marcadores permanentes
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13586,Unidad,4.07,HNL,MARCADOR PERMANENTE PUNTA GRUESA COLOR ROJO. Producto Exento,50.0,44121708,UNSPSC,Marcadores permanentes
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13587,Unidad,4.6805,HNL,MARCADOR O RESALTADOR FLUORESCENTE COLOR AMARILLO PUNTA GRUESA. ,100.0,44121716,UNSPSC,Resaltadores fluorescentes
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13588,Caja,21.6,HNL,CAJA DE BOLIGRAFO PUNTA MEDIANA TAPADERA PLASTICA TINTA DE ACEITE COLOR NEGRO. Producto Exento,42.0,44121704,UNSPSC,Bol?grafos o l?piz tinta
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13589,Resma,71.3,HNL,PAPEL BOND REPORT CARTA,300.0,14111511,UNSPSC,Papel bond o de escribir
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13590,Resma,84.755,HNL,PAPEL BOND REPORT OFICIO,300.0,14111511,UNSPSC,Papel bond o de escribir
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13591,Unidad,2.875,HNL,"SOBRE MANILA 12"" x 15"" ",1000.0,44121506,UNSPSC,Sobres est?ndar
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13569,Unidad,6.9,HNL,SACAGRAPAS O U?A,50.0,44121613,UNSPSC,U?as o quitagrapas
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13570,Unidad,13.225,HNL,ALMOHADILLA PARA SELLOS DE TINTA TAMA?O MEDIANO,100.0,44121905,UNSPSC,Almohadillas de entintar o estampar
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13571,Caja,151.8,HNL,"CARPETA COLGANTE PARA ORGANIZAR ARCHIVOS TAMA?O OFICIO, 210 GRS/MT2",100.0,44122017,UNSPSC,Carpetas colgantes
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13572,Unidad,3.68,HNL,CLIP PARA PAPEL TAMA?O 33 mm,200.0,44122104,UNSPSC,Clips para papel
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13573,Unidad,18.975,HNL,FASTENERS METALICOS DE 8 cms,200.0,44122118,UNSPSC,Fasteners
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13574,Unidad,0.9,HNL,LAPIZ GRAFITO HB. Producto Exento,500.0,60121520,UNSPSC,L?pices de carboncillo
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13575,Unidad,1.25,HNL,BORRADOR PARA LAPIZ GRAFITO 4.1 cm x 1.9 cm x 1.15 cm. Producto Exento,200.0,44121804,UNSPSC,Borradores
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13576,Caja,12.075,HNL,GRAPAS ESTANDAR 26/6 PRESENTACION CAJA DE 5000 UNIDADES,200.0,44122107,UNSPSC,Grapas
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13577,Unidad,12.5,HNL,MARCADOR PARA PIZARRA PUNTA CINCEL COLOR AZUL. Producto Exento,50.0,44121708,UNSPSC,Marcadores permanentes
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,13578,Unidad,12.5,HNL,MARCADOR PARA PIZARRA PUNTA CINCEL COLOR NEGRO. Producto Exento,50.0,44121708,UNSPSC,Marcadores permanentes
ocds-lcuori-5150,ocds-lcuori-5150/3-contract,5150,13592,Pliego,2.415,HNL,"PLIEGO DE CARTULINA REGULAR BLANCA 22X28""",40.0,14111610,UNSPSC,Cartulina
ocds-lcuori-5150,ocds-lcuori-5150/3-contract,5150,13593,Caja,15.525,HNL,"BATERIAS DOBLE AA ALKALINAS, PAQUETE DE 2 UNIDADES",50.0,26111705,UNSPSC,Pilas secas o baterias comunes AA o AAA
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13594,Unidad,16.9625,HNL,HUMEDECEDOR DE DEDOS (GLICERINA) PRESENTACION 1.5 ONZAS,100.0,44121622,UNSPSC,Humedecedores de dedos
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13595,Caja,694.6,HNL,"PAPEL DE FORMA CONTINUA 9.5x11, 2 PARTES PAPEL CARBON, CAJA DE 1000 HOJAS",30.0,14111506,UNSPSC,Papel para impresora de la computadora
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13596,Caja,10.12,HNL,CLIP PARA PAPEL TAMA?O 50 mm,200.0,44122104,UNSPSC,Clips para papel
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13597,Unidad,19.2625,HNL,"TIJERA DE ACERO INOXIDABLE MEDIDA 8""",100.0,44121618,UNSPSC,Tijeras
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13598,Unidad,0.483,HNL,SOBRES BLANCOS TAMA?O OFICIO N? 10,2000.0,44121505,UNSPSC,Sobres especiales
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13599,Unidad,108.9625,HNL,"ENGRAPADORA DE ACERO TAMA?O ESTANDAR, 20 HOJAS MINIMO",50.0,44121615,UNSPSC,Grapadoras  de escritorio
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13600,Unidad,11.2125,HNL,CORRECTOR LIQUIDO PRESENTACION BOTE DE 20ML,150.0,44121802,UNSPSC,L?quido corrector
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13601,Unidad,43.7,HNL,PEGAMENTO EN BARRA PRESENTACION DE 40 GRAMOS,200.0,31201610,UNSPSC,Colas o pegamentos
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13602,Unidad,120.75,HNL,PERFORADORA METALICA DE DOS ORIFICIOS CAPACIDAD HASTA 18 HOJAS,50.0,44121611,UNSPSC,Perforadora  de escritorio
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13603,Unidad,8.5675,HNL,"CINTA ADHESIVA COLOR MATE MEDIDA 3/4"" x 30 yds (Maskingtape)",200.0,44121605,UNSPSC,Rollos de cinta adhesiva transparente
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13604,Unidad,3.4,HNL,SACAPUNTAS METALICO DE UN ORIFICIO. Producto Exento,200.0,44121619,UNSPSC,Sacapuntas el?ctrico
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13605,Unidad,45.0,HNL,CUADERNO UNICO PEQUE?O DE 400 PAGINAS. Producto Exento,150.0,14111531,UNSPSC,Libros o cuadernos de registro
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13606,Unidad,78.0,HNL,CUADERNO UNICO GRANDE DE 400 PAGINAS. Producto Exento,150.0,14111531,UNSPSC,Libros o cuadernos de registro
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13607,Unidad,9.2,HNL,LIBRETA DE TAQUIGRAFIA. Producto Exento,200.0,14111531,UNSPSC,Libros o cuadernos de registro
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13608,Pliego,1.4375,HNL,PAPEL BOND ROTAFOLIO BASE 20 MEDIDA 25 X 34,200.0,14111511,UNSPSC,Papel bond o de escribir
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13609,Unidad,1.61,HNL,"SOBRE MANILA 9"" x 12""",1000.0,44121506,UNSPSC,Sobres est?ndar
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13610,Pliego,2.645,HNL,"PLIEGO DE CARTULINA REGULAR COLOR VERDE 22X28""",40.0,14111610,UNSPSC,Cartulina
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13611,Pliego,2.645,HNL,"PLIEGO DE CARTULINA REGULAR COLOR AMARILLO 22X28""",40.0,14111610,UNSPSC,Cartulina
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13612,Pliego,2.645,HNL,"PLIEGO DE CARTULINA REGULAR COLOR ROSADO 22X28""",40.0,14111610,UNSPSC,Cartulina
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13613,Pliego,2.645,HNL,"PLIEGO DE CARTULINA REGULAR COLOR AZUL CIELO 22X28""",40.0,14111610,UNSPSC,Cartulina
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13614,Unidad,14.6625,HNL,LIBRETA BLOCK RAYADO COLOR BLANCO TAMA?O CARTA DE 50 HOJAS,100.0,14111531,UNSPSC,Libros o cuadernos de registro
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,13615,Caja,414.0,HNL,"PAPEL DE FORMA CONTINUA 9.5x11, 1 PARTE, CAJA DE 1800 HOJAS",30.0,14111506,UNSPSC,Papel para impresora de la computadora
ocds-lcuori-5152,ocds-lcuori-5152/3-contract,5152,13616,Unidad,59.8,HNL,CAJAS PARA ARCHIVO TAMA?O OFICIO,100.0,44122019,UNSPSC,Cajas de archivo
ocds-lcuori-5153,ocds-lcuori-5153/3-contract,5153,13617,Unidad,108.9625,HNL,"ENGRAPADORA DE ACERO TAMA?O ESTANDAR, 20 HOJAS MINIMO",20.0,44121615,UNSPSC,Grapadoras  de escritorio
ocds-lcuori-5153,ocds-lcuori-5153/3-contract,5153,13618,Paquete,105.8,HNL,"HOJAS DE PAPEL AUTOADHESIVO PRESENTACION MEDIDA 1 1/2 x 2"", VARIOS COLORES, 12 BLOCKS DE 100 UNIDADES C/U(POST-IT)",20.0,14111530,UNSPSC,Notas de papel autoadhesivo
ocds-lcuori-5156,ocds-lcuori-5156/3-contract,5156,13621,Caja,15.525,HNL,"BATERIAS TRIPLE AAA ALKALINAS, PAQUETE DE 2 UNIDADES",50.0,26111705,UNSPSC,Pilas secas o baterias comunes AA o AAA
ocds-lcuori-5156,ocds-lcuori-5156/3-contract,5156,13622,Caja,15.525,HNL,"BATERIAS DOBLE AA ALKALINAS, PAQUETE DE 2 UNIDADES",50.0,26111705,UNSPSC,Pilas secas o baterias comunes AA o AAA
ocds-lcuori-5155,ocds-lcuori-5155/3-contract,5155,13620,Unidad,690.0,HNL,SUMADORA ELECTRICA DE 12 DIGITOS VELOCIDAD 2 A 2.99 SEGUNDOS,1.0,44101802,UNSPSC,M?quinas sumadoras
ocds-lcuori-5157,ocds-lcuori-5157/3-contract,5157,13623,Unidad,0.69,HNL,"PINZA SUJETAPAPELES DE 19mm O 3/4"" PRESENTACION UNIDAD (1)",100.0,44111521,UNSPSC,Sujetapapeles
ocds-lcuori-5157,ocds-lcuori-5157/3-contract,5157,13624,Unidad,1.4375,HNL,"PINZA SUJETAPAPELES DE 25mm O 1"" PRESENTACION UNIDAD (1)",100.0,44111521,UNSPSC,Sujetapapeles
ocds-lcuori-5157,ocds-lcuori-5157/3-contract,5157,13625,Unidad,2.3,HNL,"PINZA SUJETAPAPELES DE 32mm O O 1 1/4"" PRESENTACION UNIDAD",100.0,44111521,UNSPSC,Sujetapapeles
ocds-lcuori-5160,ocds-lcuori-5160/3-contract,5160,13628,Caja,15.525,HNL,"BATERIAS TRIPLE AAA ALKALINAS, PAQUETE DE 2 UNIDADES",12.0,26111705,UNSPSC,Pilas secas o baterias comunes AA o AAA
ocds-lcuori-5160,ocds-lcuori-5160/3-contract,5160,13629,Caja,63.204,HNL,"SACAPUNTA DE UN ORIFICIO, CAJA DE 24 UNIDADES ",1.0,44121619,UNSPSC,Sacapuntas el?ctrico
