ocid,id,contracts/0/id,contracts/0/awardID,contracts/0/title,contracts/0/localProcurementCategory,contracts/0/status,contracts/0/period/startDate,contracts/0/description,contracts/0/statusDetails,contracts/0/value/amount,contracts/0/value/currency,contracts/0/buyer/id,contracts/0/buyer/name
ocds-lcuori-5153,ocds-lcuori-5153/3-contract,5153,5153,10-1-1-0043-2014,goodsOrServices,pending,2014-01-22T14:54:09-06:00,Solicitado por La Direccion Administrativa del Centro Integrado de Servicios Judiciales Multiples,Impreso,4295.25,HNL,6Kdoye-byP1K8-byP1K8,CORTE SUPREMA DE JUSTICIA
ocds-lcuori-5156,ocds-lcuori-5156/3-contract,5156,5156,121-1-2-0061-2014,goodsOrServices,pending,2014-01-22T15:17:37-06:00,Para uso de Equipo Informatico,Impreso,1552.5,HNL,prb3pz-byP1K8-NzBWyw,DEPARTAMENTO DE SEGURIDAD MARITIMA
ocds-lcuori-5155,ocds-lcuori-5155/3-contract,5155,5155,42-1-1-0017-2014,goodsOrServices,pending,2014-01-22T15:03:56-06:00,para uso en el DEPARTAMENTO DE aDMINISTRACION POR LA Secretaria P M Sofia Umanzor,Impreso,690.0,HNL,7rEMr2-byP1K8-byP1K8,COMANDANCIA GENERAL
ocds-lcuori-5157,ocds-lcuori-5157/3-contract,5157,5157,10-1-1-0045-2014,goodsOrServices,pending,2014-01-22T15:20:23-06:00,Solicitado por El Tribunal de Sentencia de Tegucigalpa,Impreso,442.75,HNL,6Kdoye-byP1K8-byP1K8,CORTE SUPREMA DE JUSTICIA
ocds-lcuori-5160,ocds-lcuori-5160/3-contract,5160,5160,101-1-1-0026-2014,goodsOrServices,pending,2014-01-23T14:08:05-06:00,suministro para proveeduria de la institucion,Elaboracion OC,435.80400000000003,HNL,byPVdr-byP1K8-byP1K8,COMISION NACIONAL DE TELECOMUNICACIONES
ocds-lcuori-5163,ocds-lcuori-5163/3-contract,5163,5163,,goodsOrServices,cancelled,2014-01-27T13:54:42-06:00,Compra de 2000 botellones de agua purificada para ser distribuidos en las oficinas y edificios de HONDUTEL en tegucigalpa y comayaguela correspondiente al mes de enero de 2014,Anulado,,,RyYx4z-wr13yl-wr13yl,GERENECIA DE MATERIALES Y SUMINISTROS
ocds-lcuori-5161,ocds-lcuori-5161/3-contract,5161,5161,,goodsOrServices,cancelled,2014-01-27T13:53:36-06:00,Compra de 2000 botellones de agua purificada para ser distribuidos en las oficinas y edificios de HONDUTEL en tegucigalpa y comayaguela correspondiente al mes de enero de 2014,Anulado,50000.0,HNL,RyYx4z-wr13yl-wr13yl,GERENECIA DE MATERIALES Y SUMINISTROS
ocds-lcuori-5162,ocds-lcuori-5162/3-contract,5162,5162,,goodsOrServices,cancelled,2014-01-27T13:54:26-06:00,Compra de 2000 botellones de agua purificada para ser distribuidos en las oficinas y edificios de HONDUTEL en tegucigalpa y comayaguela correspondiente al mes de enero de 2014,Anulado,,,RyYx4z-wr13yl-wr13yl,GERENECIA DE MATERIALES Y SUMINISTROS
ocds-lcuori-5167,ocds-lcuori-5167/3-contract,5167,5167,101-1-1-0027-2014,goodsOrServices,pending,2014-01-28T09:54:35-06:00,suministro de oficina,Elaboracion OC,26692.6475,HNL,byPVdr-byP1K8-byP1K8,COMISION NACIONAL DE TELECOMUNICACIONES
ocds-lcuori-5410,ocds-lcuori-5410/3-contract,5410,5410,,goodsOrServices,pending,2014-02-24T11:51:47-06:00,Para ser utilizado en Auditoria Interna,Elaboracion OC,6738.816000000001,HNL,byPB2r-byP1K8-byP1K8,GERENCIA GENERAL
ocds-lcuori-5171,ocds-lcuori-5171/3-contract,5171,5171,121-1-2-0066-2014,goodsOrServices,pending,2014-01-28T13:42:29-06:00,para uso de equipo de la DGMM,Impreso,2461.368,HNL,prb3pz-byP1K8-NzBWyw,DEPARTAMENTO DE SEGURIDAD MARITIMA
ocds-lcuori-5524,ocds-lcuori-5524/3-contract,5524,5524,50-5-26-0011-2014,goodsOrServices,pending,2014-03-03T15:58:48-06:00,PRODUCTOS QUE SERAN DISTRIBUIDOS EN LOS DIFERENTES CENTROS EDUCATIVOS DEL DEPARTAMENTO,Impreso,20479.75,HNL,7zv12r-by4Gzd-DznPKL,DIRECCION DEPARTAMENTAL DE EDUCACION DE COPAN
ocds-lcuori-5170,ocds-lcuori-5170/3-contract,5170,5170,121-1-2-0065-2014,goodsOrServices,pending,2014-01-28T13:39:16-06:00,compra de suministros para las diferentes dependencias,Impreso,1863.0,HNL,prb3pz-byP1K8-NzBWyw,DEPARTAMENTO DE SEGURIDAD MARITIMA
ocds-lcuori-5175,ocds-lcuori-5175/3-contract,5175,5175,190-1-2-0064-2014,goodsOrServices,pending,2014-01-29T09:22:18-06:00,Estos toner han sido solicitados por la Fiscalia de la Mujer,Impreso,4806.747,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5176,ocds-lcuori-5176/3-contract,5176,5176,32-1-1-0033-2014,goodsOrServices,pending,2014-01-29T09:34:09-06:00,COMPRA DE AGUA EN PRESENTACION DE 5 GALONES PARA CONSUMO  INTERNO DE PERSONAL Y CIUDADANOS QUE VISITAN EL IAIP,Impreso,10000.0,HNL,RKZayY-byP1K8-byP1K8,DIRECCION ADMINISTRATIVA IAIP
ocds-lcuori-5174,ocds-lcuori-5174/3-contract,5174,5174,190-1-2-0063-2014,goodsOrServices,pending,2014-01-29T09:15:26-06:00,Estos toner han sido solicitados por la Fiscalia de la Mujer,Impreso,11661.184,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5179,ocds-lcuori-5179/3-contract,5179,5179,190-1-2-0065-2014,goodsOrServices,pending,2014-01-30T15:02:53-06:00,Estos materiales han sido solicitados por el encargado de la proveeduria central para abastecer las diferentes oficinas de Tegucigalpa Catacamas Juticalpa Danli El Paraiso y Talanga,Impreso,160996.375,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5180,ocds-lcuori-5180/3-contract,5180,5180,190-1-2-0066-2014,goodsOrServices,cancelled,2014-01-30T15:28:20-06:00,Estos materiales han sido solicitados por el encargado de la proveeduria central del MP para abastecer las diferentes oficinas de Tegucigalpa Catacamas Juticalpa Danli El Paraiso y Talanga,Anulado,230513.0,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5181,ocds-lcuori-5181/3-contract,5181,5181,190-1-2-0067-2014,goodsOrServices,pending,2014-01-30T15:54:40-06:00,Este material ha sido solicitado por la Proveeduria Central del MP para abastecer las diferentes oficinas de Tegucigalpa Catacamas Danli El Parasio Juticalpa y Talanga,Impreso,264601.55,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5182,ocds-lcuori-5182/3-contract,5182,5182,190-1-2-0068-2014,goodsOrServices,pending,2014-01-30T15:59:31-06:00,Este material ha sido solicitado por el Departamento de Personal,Impreso,1184.5,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5187,ocds-lcuori-5187/3-contract,5187,5187,42-1-1-0020-2014,goodsOrServices,pending,2014-01-31T12:20:08-06:00,Para ser Utilizado en el Departamento Oficina Tecnica de Prevencion y Seguridad Contra Incendios OTPSCI,Impreso,7038.0,HNL,7rEMr2-byP1K8-byP1K8,COMANDANCIA GENERAL
ocds-lcuori-5188,ocds-lcuori-5188/3-contract,5188,5188,10-1-1-0047-2014,goodsOrServices,pending,2014-01-31T14:19:11-06:00,Solicitado por el Centro de Integracion de Servicios Judiciales Multiples,Impreso,385.25,HNL,6Kdoye-byP1K8-byP1K8,CORTE SUPREMA DE JUSTICIA
ocds-lcuori-5185,ocds-lcuori-5185/3-contract,5185,5185,511-1-1-0004-2014,goodsOrServices,pending,2014-01-31T12:06:11-06:00,Compra de materiales y utiles de oficina solicitadas por varios Departamentos y Unidas de la Institucion ,Impreso,4099.8150000000005,HNL,ArxklK-byP1K8-byP1K8,DIRECCION CONTROL Y ACTIVIDADES DE APOYO
ocds-lcuori-5186,ocds-lcuori-5186/3-contract,5186,5186,42-1-1-0019-2014,goodsOrServices,pending,2014-01-31T12:09:16-06:00,Para ser Utilizado en Departamento RRHH,Impreso,5054.112,HNL,7rEMr2-byP1K8-byP1K8,COMANDANCIA GENERAL
ocds-lcuori-5191,ocds-lcuori-5191/3-contract,5191,5191,603-1-5-0033-2014,goodsOrServices,pending,2014-02-04T10:11:07-06:00,compra de Rollon color rojo solicitados por el Gestion de Procesos ,Impreso,370.01250000000005,HNL,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-5192,ocds-lcuori-5192/3-contract,5192,5192,40-1-28-0059-2014,goodsOrServices,pending,2014-02-04T10:13:25-06:00,SOLICITADO POR DESPACHO DEL SE?OR MINISTRO,Impreso,4572.5725,HNL,VyMDzX-byP1K8-PKJ7rO,ACTIVIDADES CENTRALES
ocds-lcuori-5193,ocds-lcuori-5193/3-contract,5193,5193,22-1-1-0053-2014,goodsOrServices,pending,2014-02-04T15:50:45-06:00,COMPRA DE 2 CARTUCHOS DE TINTA COLOR NEGRO C9364WL HP 98 Y 2 CARTUCHOS DE TINTA TRICOLOR C8766WL HP 95 SOLICITADOS POR EL PROGRAMA DE INVERSION EN AGUA POTABLE Y SANEAMIENTO BID 1793 SOLICITADO SEGUN MEMORANDUN OFICIO USS 1793 16 2014 Y COTIZACION CMA 003 B 2014,Elaboracion OC,2467.2560000000003,HNL,NrAEr4-byP1K8-byP1K8,DIRECCION DE FINANZAS Y ADMINISTRACION
ocds-lcuori-5190,ocds-lcuori-5190/3-contract,5190,5190,40-1-28-0058-2014,goodsOrServices,pending,2014-02-04T10:10:17-06:00,SOLCITADO POR DESPCHO DEL SE?OR MINISTRO ,Impreso,1084.795,HNL,VyMDzX-byP1K8-PKJ7rO,ACTIVIDADES CENTRALES
ocds-lcuori-5194,ocds-lcuori-5194/3-contract,5194,5194,71-1-1-0002-2014,goodsOrServices,cancelled,2014-02-04T16:07:06-06:00,Utiles de oficina para la DIECP,Anulado,2589.25,HNL,5y28Zr-byP1K8-byP1K8,DIRECCION Y COORDINACION SUPERIOR
ocds-lcuori-5196,ocds-lcuori-5196/3-contract,5196,5196,71-1-1-0001-2014,goodsOrServices,cancelled,2014-02-05T09:28:38-06:00,Toners para impresoras de la DIECP,Anulado,23039.78,HNL,5y28Zr-byP1K8-byP1K8,DIRECCION Y COORDINACION SUPERIOR
ocds-lcuori-5197,ocds-lcuori-5197/3-contract,5197,5197,71-1-1-0003-2014,goodsOrServices,cancelled,2014-02-05T09:45:37-06:00,Utiles varios de oficina para la DIECP,Anulado,6811.25,HNL,5y28Zr-byP1K8-byP1K8,DIRECCION Y COORDINACION SUPERIOR
ocds-lcuori-5198,ocds-lcuori-5198/3-contract,5198,5198,71-1-1-0004-2014,goodsOrServices,cancelled,2014-02-05T09:49:18-06:00,Utiles varios de oficina para la DIECP,Anulado,16426.94,HNL,5y28Zr-byP1K8-byP1K8,DIRECCION Y COORDINACION SUPERIOR
ocds-lcuori-5199,ocds-lcuori-5199/3-contract,5199,5199,71-1-1-0005-2014,goodsOrServices,cancelled,2014-02-05T09:51:58-06:00,Toners para las impresoras DIECP,Anulado,13490.56,HNL,5y28Zr-byP1K8-byP1K8,DIRECCION Y COORDINACION SUPERIOR
ocds-lcuori-5204,ocds-lcuori-5204/3-contract,5204,5204,190-1-2-0070-2014,goodsOrServices,pending,2014-02-06T10:16:48-06:00,Estos toner han sido solicitado por varias oficinas del Ministerio Publico,Impreso,52581.726,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5203,ocds-lcuori-5203/3-contract,5203,5203,190-1-2-0069-2014,goodsOrServices,pending,2014-02-06T10:08:27-06:00,Estos toner han sido solicitados por varias oficinas del Ministerio Publico,Impreso,70638.658,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5205,ocds-lcuori-5205/3-contract,5205,5205,22-1-1-0054-2014,goodsOrServices,pending,2014-02-06T10:20:46-06:00,COMPRA DE TONER CE261A COLOR CIAN 4 UNIDADES TONER CE260A COLOR BLACK 4 UNIDADES PARA IMPRESORA HP COLOR LASER JET CP 4025 CARTUCHO 940 C4906AL COLOR BLACK 2 UNIDADES CARTUCHO 940 C4907AL COLOR CIAN 2 UNIDADES CARTUCHO 940 C4908AL COLOR MAGENTA 2 UNIDADES CARTUCHO 940 C4909AL COLOR YELLOW 2 UNIDADES PARA IMPRESORA OFFICE JET PRO 8500A SOLICITADOS POR EL PROGRAMA DE INVERSION EN AGUA POTABLE Y SANEAMIENTO BID 1793 CON MEMORANDUM OFICIO USS 1793 16 2014 Y COTIZACION CMA 003 A 2014 ,Impreso,42068.909,HNL,NrAEr4-byP1K8-byP1K8,DIRECCION DE FINANZAS Y ADMINISTRACION
ocds-lcuori-5207,ocds-lcuori-5207/3-contract,5207,5207,71-1-1-0008-2014,goodsOrServices,pending,2014-02-06T11:51:21-06:00,Toners para impresoras DIECP,Impreso,13153.125,HNL,5y28Zr-byP1K8-byP1K8,DIRECCION Y COORDINACION SUPERIOR
ocds-lcuori-5212,ocds-lcuori-5212/3-contract,5212,5212,190-1-2-0073-2014,goodsOrServices,pending,2014-02-06T13:41:09-06:00,Estos toner han sido solicitados por varias oficinas del MP,Impreso,39708.12,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5209,ocds-lcuori-5209/3-contract,5209,5209,60-18-17-0004-2014,goodsOrServices,pending,2014-02-06T12:12:43-06:00,SOLICITADO POR EL ALMACEN DE MATERIALES PARA SER UTILIZADO EN LAS DIFEENTES SALAS Y DEPTOS DE ESTE CENTRO ASISTENCIAL DURANTE EL 1ER TRIMESTRE DEL 2014,Impreso,113153.1,HNL,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-5210,ocds-lcuori-5210/3-contract,5210,5210,71-1-1-0010-2014,goodsOrServices,pending,2014-02-06T12:29:32-06:00,Papel de escritorio y utiles de oficina varios para uso de la DIECP,Impreso,17848.66,HNL,5y28Zr-byP1K8-byP1K8,DIRECCION Y COORDINACION SUPERIOR
ocds-lcuori-5233,ocds-lcuori-5233/3-contract,5233,5233,506-1-1-0026-2014,goodsOrServices,pending,2014-02-10T14:37:53-06:00,sacapuntas y baterias,Impreso,94.254,HNL,7zvevr-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA
ocds-lcuori-5215,ocds-lcuori-5215/3-contract,5215,5215,22-1-1-0055-2014,goodsOrServices,pending,2014-02-06T15:01:31-06:00,COMPRA DE TONER Q5950 COLOR BLACK 2 UNIDADES TONER Q5951 COLOR CIAN 1 UNIDAD TONER Q5952 COLOR YELLOW 1 UNIDAD TONER Q5953 COLOR MAGENTA 1 UNIDAD PARA IMPRESORA HP LASER JET 4700n TONER Q6470A COLOR BLACK 2 UNIDADES TONER Q7581A COLOR CIAN 1 UNIDAD TONER Q7582A YELLOW 1 UNIDAD TONER Q7583A COLOR MAGENTA 1 UNIDAD PARA IMPRESORA HP COLOR MODELO 3800n SOLICITADOS POR EL PROGRAMA BID 1793 COMO APOYO A LA DIRECCION DE PROYECTOS SEGUN MEMORANDUM OFICIO USS 1793 024 2014 Y COTIZACION CMA 005 A 2014 ,Impreso,43825.672,HNL,NrAEr4-byP1K8-byP1K8,DIRECCION DE FINANZAS Y ADMINISTRACION
ocds-lcuori-5216,ocds-lcuori-5216/3-contract,5216,5216,190-1-2-0077-2014,goodsOrServices,pending,2014-02-06T15:17:44-06:00,Estos suministros de oficina han sido solicitados por el encargado de la proveeduria de medicina forense,Impreso,15813.4,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5217,ocds-lcuori-5217/3-contract,5217,5217,190-1-2-0076-2014,goodsOrServices,cancelled,2014-02-06T15:18:44-06:00,Estos suministros han sido solicitados por el encargado de medicina forense,Anulado,,,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5218,ocds-lcuori-5218/3-contract,5218,5218,190-1-2-0078-2014,goodsOrServices,pending,2014-02-06T15:29:35-06:00,estos suministros han sido solicitados por la proveeduria de medicina forense,Impreso,16920.5,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5219,ocds-lcuori-5219/3-contract,5219,5219,71-1-1-0011-2014,goodsOrServices,pending,2014-02-06T16:00:58-06:00,Utiles de oficina varios para la DIECP,Impreso,2977.6375000000003,HNL,5y28Zr-byP1K8-byP1K8,DIRECCION Y COORDINACION SUPERIOR
ocds-lcuori-5220,ocds-lcuori-5220/3-contract,5220,5220,71-1-1-0012-2014,goodsOrServices,pending,2014-02-06T16:03:50-06:00,Utiles de oficina varios para uso DIECP,Impreso,6800.525000000001,HNL,5y28Zr-byP1K8-byP1K8,DIRECCION Y COORDINACION SUPERIOR
ocds-lcuori-5231,ocds-lcuori-5231/3-contract,5231,5231,60-18-17-0005-2014,goodsOrServices,pending,2014-02-10T13:43:31-06:00,SOLICITADO POR EL ALMACEN DE MATERIALES PARA SER UTILIZADO EN LAS DIFERENTES SALAS Y DEPTOS DE ESTE CENTRO ASISTENCIUAL DURANTE EL 1ER TRIMESTRE DEL 2014,Impreso,89118.26,HNL,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-5232,ocds-lcuori-5232/3-contract,5232,5232,506-1-1-0025-2014,goodsOrServices,pending,2014-02-10T14:29:32-06:00,compra de papel y suministros de papeleria ,Impreso,3965.2225000000003,HNL,7zvevr-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA
ocds-lcuori-5236,ocds-lcuori-5236/3-contract,5236,5236,506-1-1-0029-2014,goodsOrServices,pending,2014-02-10T14:55:22-06:00,COMPRA DE TINTAS HP,Impreso,3550.3835000000004,HNL,7zvevr-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA
ocds-lcuori-5237,ocds-lcuori-5237/3-contract,5237,5237,190-1-2-0079-2014,goodsOrServices,pending,2014-02-10T15:43:48-06:00,estos suministros han sido solicitados por la proveeduria de medicina forense,Impreso,28111.0255,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5238,ocds-lcuori-5238/3-contract,5238,5238,190-1-2-0080-2014,goodsOrServices,pending,2014-02-10T15:52:47-06:00,Estos suministros han sido solicitados por la Proveeduria de Medicina Forense,Impreso,34359.424,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5241,ocds-lcuori-5241/3-contract,5241,5241,150-1-7-0001-2014,goodsOrServices,pending,2014-02-11T09:54:14-06:00,ESTE TONER SERA UTILIZADOS EN  LA UCA,Impreso,1817.9315000000001,HNL,7zvjMz-byP1K8-xK3qzP,UNIDAD DE COMERCIO Y AMBIENTE
ocds-lcuori-5242,ocds-lcuori-5242/3-contract,5242,5242,190-1-2-0082-2014,goodsOrServices,pending,2014-02-11T10:33:17-06:00,Estos toner han sido solicitados para ser usados en la Fiscalia General,Impreso,4650.255,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5243,ocds-lcuori-5243/3-contract,5243,5243,50-1-5-0069-2014,goodsOrServices,pending,2014-02-11T13:41:45-06:00,Mateial de oficina que sera distribuido en las diferentes unidades ejecutoras de la Secretaria de Educacion ,Impreso,168853.04,HNL,7zv12r-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA
ocds-lcuori-5244,ocds-lcuori-5244/3-contract,5244,5244,50-1-5-0070-2014,goodsOrServices,pending,2014-02-11T14:02:10-06:00,Material que sera distribuido en las diferentes unidades ejecutoras de la secretaria de educacion,Impreso,170157.45,HNL,7zv12r-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA
ocds-lcuori-5239,ocds-lcuori-5239/3-contract,5239,5239,190-1-2-0081-2014,goodsOrServices,pending,2014-02-10T15:57:04-06:00,Estos toner deberan ser entregados en la proveeduria de medicina forense,Impreso,49476.197,HNL,NzBwJy-byP1K8-NzBWyw,DIRECCION DE ADMINISTRACION
ocds-lcuori-5240,ocds-lcuori-5240/3-contract,5240,5240,506-1-1-0030-2014,goodsOrServices,pending,2014-02-11T09:47:18-06:00,COMPRA DE PAPEL CARTA Y OFICIO ,Impreso,2986.55,HNL,7zvevr-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA
