ocid,id,publisher/name,tag,tender/id,tender/localProcurementCategory,tender/procurementMethod,tender/procurementMethodDetails,language,initiationType,date,buyer/id,buyer/name
ocds-lcuori-234376,ocds-lcuori-234376/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234376,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T12:31:11-06:00,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234377,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T12:41:02-06:00,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234378,ocds-lcuori-234378/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234378,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T13:16:15-06:00,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234379,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T13:55:42-06:00,lzlBXK-5zp8zA-xK3qzP,DIRECCION HOSPITAL DE SANTA BARBARA
ocds-lcuori-234387,ocds-lcuori-234387/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234387,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T14:04:31-06:00,lzlBXK-5zp8zA-xK3qzP,DIRECCION HOSPITAL DE SANTA BARBARA
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234388,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T14:12:49-06:00,lzlBXK-by4Gzd-RyYNKL,DIRECCION HOSPITAL GABRIELA ALVARADO
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234389,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T14:14:22-06:00,wrLQmz-byP1K8-byP1K8,RECTORIA
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234390,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T14:25:31-06:00,lzlBXK-wrL0Br-NzBBWz,DIRECCION DEPARTAMENTAL DE YORO
ocds-lcuori-234391,ocds-lcuori-234391/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234391,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T14:26:11-06:00,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234392,ocds-lcuori-234392/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234392,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T14:43:53-06:00,lzlBXK-byP1K8-7zv0MK,Hospital de Occidente
ocds-lcuori-234393,ocds-lcuori-234393/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234393,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T14:47:29-06:00,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234394,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T15:03:05-06:00,wrLQmz-byP1K8-byP1K8,RECTORIA
ocds-lcuori-234395,ocds-lcuori-234395/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234395,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T15:18:08-06:00,wrLQmz-byP1K8-byP1K8,RECTORIA
ocds-lcuori-234396,ocds-lcuori-234396/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234396,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T15:18:31-06:00,lzlBXK-wrL0Br-NzBBWz,DIRECCION DEPARTAMENTAL DE YORO
ocds-lcuori-234397,ocds-lcuori-234397/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234397,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T15:19:01-06:00,wrLQmz-byP1K8-byP1K8,RECTORIA
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234398,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T15:38:48-06:00,rNxg0y-byP1K8-byP1K8,Unidad Central
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234399,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T16:42:27-06:00,lzlBXK-VyOdKM-lzWOzp,DIRECCION HOSPITAL SAN FRANCISCO
ocds-lcuori-234400,ocds-lcuori-234400/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234400,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T16:53:43-06:00,lzlBXK-VyOdKM-lzWOzp,DIRECCION HOSPITAL SAN FRANCISCO
ocds-lcuori-234401,ocds-lcuori-234401/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234401,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T17:36:57-06:00,wrLGBK-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA Y FINANCIERA
ocds-lcuori-234402,ocds-lcuori-234402/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234402,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T17:55:13-06:00,wrLGBK-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA Y FINANCIERA
ocds-lcuori-234403,ocds-lcuori-234403/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234403,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T18:30:21-06:00,wrLGBK-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA Y FINANCIERA
ocds-lcuori-234404,ocds-lcuori-234404/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234404,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T18:30:50-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234409,ocds-lcuori-234409/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234409,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T22:54:50-06:00,byP11K-byP1K8-byP1K8,MIGRACION Y EXTRANJERIA
ocds-lcuori-234420,ocds-lcuori-234420/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234420,goodsOrServices,open,Convenio Marco,es,tender,2020-03-22T15:10:33-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234535,ocds-lcuori-234535/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234535,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T09:38:26-06:00,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234421,ocds-lcuori-234421/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234421,goodsOrServices,open,Convenio Marco,es,tender,2020-03-22T15:34:12-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234536,ocds-lcuori-234536/2-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234536,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T09:44:28-06:00,NzBWWy-byP1K8-5y2ZyN,UNIVERSIDAD DE DEFENSA DE HONDURAS
ocds-lcuori-234422,ocds-lcuori-234422/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234422,goodsOrServices,open,Convenio Marco,es,tender,2020-03-22T15:38:17-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234423,ocds-lcuori-234423/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234423,goodsOrServices,open,Convenio Marco,es,tender,2020-03-22T15:40:47-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234537,ocds-lcuori-234537/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234537,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T10:06:16-06:00,7rEMr2-byP1K8-az8Qyd,Cuerpo de Bomberos Nacaome
ocds-lcuori-234424,ocds-lcuori-234424/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234424,goodsOrServices,open,Convenio Marco,es,tender,2020-03-22T15:42:55-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234538,ocds-lcuori-234538/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234538,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T10:35:29-06:00,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234425,ocds-lcuori-234425/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234425,goodsOrServices,open,Convenio Marco,es,tender,2020-03-22T15:45:05-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234426,ocds-lcuori-234426/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234426,goodsOrServices,open,Convenio Marco,es,tender,2020-03-22T17:39:08-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234431,ocds-lcuori-234431/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234431,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T10:02:11-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234432,ocds-lcuori-234432/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234432,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T10:05:38-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234433,ocds-lcuori-234433/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234433,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T10:13:54-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234434,ocds-lcuori-234434/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234434,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T10:25:36-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234539,ocds-lcuori-234539/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234539,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T11:35:18-06:00,lzlBXK-NzBWyw-byP1K8,DIRECCION HOSPITAL ESCUELA
ocds-lcuori-234435,ocds-lcuori-234435/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234435,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T10:27:14-06:00,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234540,ocds-lcuori-234540/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234540,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T12:25:23-06:00,NzBWWy-byP1K8-5y2ZyN,UNIVERSIDAD DE DEFENSA DE HONDURAS
ocds-lcuori-234436,ocds-lcuori-234436/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234436,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T10:32:52-06:00,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234541,ocds-lcuori-234541/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234541,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T12:28:10-06:00,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES
ocds-lcuori-234437,ocds-lcuori-234437/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234437,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T10:52:33-06:00,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234542,ocds-lcuori-234542/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234542,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T12:39:09-06:00,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES
ocds-lcuori-234438,ocds-lcuori-234438/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234438,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T11:06:20-06:00,6Kdoye-byP1K8-byP1K8,CORTE SUPREMA DE JUSTICIA
ocds-lcuori-234543,ocds-lcuori-234543/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234543,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T12:43:53-06:00,NzBWWy-byP1K8-5y2ZyN,UNIVERSIDAD DE DEFENSA DE HONDURAS
ocds-lcuori-234439,ocds-lcuori-234439/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234439,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T11:14:57-06:00,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES
ocds-lcuori-234544,ocds-lcuori-234544/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234544,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T13:02:10-06:00,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES
ocds-lcuori-234545,ocds-lcuori-234545/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234545,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T13:03:16-06:00,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES
ocds-lcuori-234440,ocds-lcuori-234440/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234440,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T11:48:13-06:00,lzlBXK-NzBWyw-byP1K8,DIRECCION HOSPITAL ESCUELA
ocds-lcuori-234546,ocds-lcuori-234546/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234546,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T13:05:29-06:00,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234441,ocds-lcuori-234441/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234441,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T11:55:20-06:00,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234547,ocds-lcuori-234547/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234547,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T13:37:10-06:00,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234442,ocds-lcuori-234442/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234442,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T12:01:32-06:00,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234548,ocds-lcuori-234548/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234548,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T14:11:51-06:00,lzlBXK-byP1K8-wrLGQK,Fundacion de Apoyo y Vigilancia Pro Mejoramiento Hospital San Lorenzo
ocds-lcuori-234443,ocds-lcuori-234443/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234443,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T12:03:52-06:00,ero6KM-byP1K8-byP1K8,DIRECCION DE ADMINISTRACION
ocds-lcuori-234549,ocds-lcuori-234549/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234549,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T14:42:08-06:00,lzlBXK-byP1K8-wrLGQK,Fundacion de Apoyo y Vigilancia Pro Mejoramiento Hospital San Lorenzo
ocds-lcuori-234444,ocds-lcuori-234444/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234444,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T12:06:06-06:00,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234550,ocds-lcuori-234550/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234550,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T14:50:54-06:00,7rEMr2-byP1K8-JyjxrP,"Cuerpo de Bomberos San Pedro Sula, Cortes"
ocds-lcuori-234445,ocds-lcuori-234445/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234445,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T12:17:50-06:00,lzlBXK-VyOdKM-lzWOzp,DIRECCION HOSPITAL SAN FRANCISCO
ocds-lcuori-234551,ocds-lcuori-234551/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234551,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T15:30:05-06:00,NzBWWy-byP1K8-5y2ZyN,UNIVERSIDAD DE DEFENSA DE HONDURAS
ocds-lcuori-234446,ocds-lcuori-234446/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234446,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T12:30:14-06:00,byP11K-byP1K8-byP1K8,MIGRACION Y EXTRANJERIA
ocds-lcuori-234552,ocds-lcuori-234552/2-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234552,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T15:33:52-06:00,NzBWWy-byP1K8-5y2ZyN,UNIVERSIDAD DE DEFENSA DE HONDURAS
ocds-lcuori-234447,ocds-lcuori-234447/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234447,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T12:57:35-06:00,KdEgbr-byP1K8-byP1K8,Compras y Contrataciones
ocds-lcuori-234553,ocds-lcuori-234553/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234553,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T16:32:16-06:00,lzlBXK-PKJ7rO-5y2ZyN,DIRECCION HOSPITAL ANIBAL MURILLO ESCOBAR
ocds-lcuori-234554,ocds-lcuori-234554/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234554,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T16:59:09-06:00,lzlBXK-PKJ7rO-5y2ZyN,DIRECCION HOSPITAL ANIBAL MURILLO ESCOBAR
ocds-lcuori-234555,ocds-lcuori-234555/2-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234555,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T17:27:50-06:00,lzlBXK-PKJ7rO-5y2ZyN,DIRECCION HOSPITAL ANIBAL MURILLO ESCOBAR
ocds-lcuori-234449,ocds-lcuori-234449/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234449,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T13:16:04-06:00,lzlBXK-RKZayY-PrDByx,DIRECCION DEPARTAMENTAL DE COMAYAGUA
ocds-lcuori-234556,ocds-lcuori-234556/2-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234556,goodsOrServices,open,Convenio Marco,es,tender,2020-03-30T17:43:13-06:00,lzlBXK-PKJ7rO-5y2ZyN,DIRECCION HOSPITAL ANIBAL MURILLO ESCOBAR
ocds-lcuori-234450,ocds-lcuori-234450/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234450,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T14:12:24-06:00,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234451,ocds-lcuori-234451/2-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234451,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T14:24:54-06:00,gywRvz-byP1K8-wr13yl,GERENCIA ADMINISTRATIVA
ocds-lcuori-234452,ocds-lcuori-234452/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234452,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T14:38:17-06:00,lzlBXK-VyOdKM-lzWOzp,DIRECCION HOSPITAL SAN FRANCISCO
ocds-lcuori-234453,ocds-lcuori-234453/2-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234453,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T14:48:58-06:00,gywRvz-byP1K8-wr13yl,GERENCIA ADMINISTRATIVA
ocds-lcuori-234454,ocds-lcuori-234454/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234454,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T17:13:17-06:00,byP11K-byP1K8-byP1K8,MIGRACION Y EXTRANJERIA
ocds-lcuori-234455,ocds-lcuori-234455/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234455,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T17:36:32-06:00,VyMJlK-byP1K8-qyVbya,GERENCIA ADMINISTRATIVA DE DIGEPESCA
ocds-lcuori-234456,ocds-lcuori-234456/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234456,goodsOrServices,open,Convenio Marco,es,tender,2020-03-23T18:15:02-06:00,lzlBXK-byP1K8-wrLGQK,Fundacion de Apoyo y Vigilancia Pro Mejoramiento Hospital San Lorenzo
