ocid,id,contracts/0/id,contracts/0/items/0/id,contracts/0/items/0/description,contracts/0/items/0/unit/name,contracts/0/items/0/unit/value/amount,contracts/0/items/0/unit/value/currency,contracts/0/items/0/classification/id,contracts/0/items/0/classification/scheme,contracts/0/items/0/classification/description,contracts/0/items/0/quantity
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,234375,541211,GORRO DESCARTABLE PARA VARON,Caja,287.5,HNL,53131601,UNSPSC,Gorros de ducha,180.0
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,234375,541212,GUANTE DESCARTABLE TAMA?O MEDIUM/MEDIANO,Caja,109.25,HNL,42295454,UNSPSC,Guantes   quir?rgicos,100.0
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,234375,541213,GUANTE ESTERIL TAMA?O No. 7,Caja,477.25,HNL,42295454,UNSPSC,Guantes   quir?rgicos,100.0
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,234375,541214,MASCARILLA CON VISOR,Caja,690.0,HNL,42131606,UNSPSC,Mascarillas de aislamiento o quir?fano para el personal sanitario,300.0
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,234375,541215,BOTA DESCARTABLE,Unidad,5.175,HNL,46181604,UNSPSC,Botas de protecci?n,850.0
ocds-lcuori-234376,ocds-lcuori-234376/1-contract,234376,541216,"VENOCLISIS (Largo de 1,20 mts), UNIDAD, ZONA 1",Unidad,5.65,HNL,42221603,UNSPSC,Venoclice,60000.0
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,234377,541217,GUANTE DESCARTABLE TAMA?O SMALL/PEQUE?O,Caja,82.8,HNL,42295454,UNSPSC,Guantes   quir?rgicos,2000.0
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,234377,541218,GUANTE DESCARTABLE TAMA?O LARGE/GRANDE,Caja,82.8,HNL,42295454,UNSPSC,Guantes   quir?rgicos,2000.0
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,234377,541219,GUANTE ESTERIL TAMA?O No. 6.5,Caja,241.5,HNL,42295454,UNSPSC,Guantes   quir?rgicos,600.0
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,234377,541220,GUANTE ESTERIL TAMA?O No. 8,Caja,241.5,HNL,42295454,UNSPSC,Guantes   quir?rgicos,400.0
ocds-lcuori-234378,ocds-lcuori-234378/1-contract,234378,541221,MASCARILLA DESCARTABLE ,Caja,510.0,HNL,42131602,UNSPSC,Mascarillas para el personal sanitario,20.0
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,234379,541222,"JERINGA HIPODERMICA  10 cc x 21 x  1?, CAJA, ZONA 6 ",Caja,143.0,HNL,42142609,UNSPSC,Jeringas m?dicas con aguja,100.0
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,234379,541223,BOTA DESCARTABLE,Unidad,4.8875,HNL,46181604,UNSPSC,Botas de protecci?n,3000.0
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,234379,541224,"JERINGA HIPODERMICA  20 cc x 21 x  1? , CAJA, ZONA 6 ",Caja,187.0,HNL,42142609,UNSPSC,Jeringas m?dicas con aguja,100.0
ocds-lcuori-234387,ocds-lcuori-234387/1-contract,234387,541238,"MASCARILLA DESCARTABLE DE ATAR, CAJA, ZONA 6 ",Caja,560.0,HNL,42131707,UNSPSC,Trajes de aislamiento quir?rgico,500.0
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,234388,541239,"VENDA ELASTICA 6x5, CAJA, ZONA 7 ",Caja,222.732,HNL,42311505,UNSPSC,Vendas o vendajes para uso general,12.0
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,234388,541240,"VENDA GASA 4x10, UNIDAD, ZONA 7 ",Caja,98.67,HNL,42311505,UNSPSC,Vendas o vendajes para uso general,56.0
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,234388,541241,"CATETER UMBILICAL No. 5, CAJA, ZONA 7 ",Caja,15000.0,HNL,42221506,UNSPSC,Cat?teres ?mblicos,1.0
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,234388,541242,"CATETER UMBILICAL No. 3.5, CAJA, ZONA 7 ",Caja,15000.0,HNL,42221506,UNSPSC,Cat?teres ?mblicos,1.0
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,234389,541243,GUANTE DESCARTABLE TAMA?O SMALL/PEQUE?O,Caja,82.8,HNL,42295454,UNSPSC,Guantes   quir?rgicos,12.0
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,234389,541244,GUANTE DESCARTABLE TAMA?O LARGE/GRANDE,Caja,82.8,HNL,42295454,UNSPSC,Guantes   quir?rgicos,12.0
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,234389,541245,GUANTE ESTERIL TAMA?O No. 6.5,Caja,241.5,HNL,42295454,UNSPSC,Guantes   quir?rgicos,6.0
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,234389,541246,GUANTE ESTERIL TAMA?O No. 7.5,Caja,241.5,HNL,42295454,UNSPSC,Guantes   quir?rgicos,6.0
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541247,GORRO DESCARTABLE PARA MUJER,Caja,287.5,HNL,53131601,UNSPSC,Gorros de ducha,30.0
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541248,GORRO DESCARTABLE PARA VARON,Caja,287.5,HNL,53131601,UNSPSC,Gorros de ducha,30.0
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541249,GUANTE DESCARTABLE TAMA?O MEDIUM/MEDIANO,Caja,109.25,HNL,42295454,UNSPSC,Guantes   quir?rgicos,1000.0
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541250,GUANTE ESTERIL TAMA?O No. 6,Caja,477.25,HNL,42295454,UNSPSC,Guantes   quir?rgicos,500.0
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541251,GUANTE ESTERIL TAMA?O No. 7,Caja,477.25,HNL,42295454,UNSPSC,Guantes   quir?rgicos,500.0
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541252,BOTA DESCARTABLE,Unidad,5.175,HNL,46181604,UNSPSC,Botas de protecci?n,2000.0
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541253,BATA DESCARTABLE,Unidad,80.5,HNL,42131612,UNSPSC,Batas de aislamiento o cobertura para el personal sanitario,2000.0
ocds-lcuori-234391,ocds-lcuori-234391/1-contract,234391,541254,BATA DESCARTABLE,Unidad,25.3,HNL,42131612,UNSPSC,Batas de aislamiento o cobertura para el personal sanitario,500.0
ocds-lcuori-234391,ocds-lcuori-234391/1-contract,234391,541255,"BATA DESCARTABLE, UNIDAD, ZONA 1",Unidad,115.0,HNL,42131509,UNSPSC,Batas de hospital,5000.0
ocds-lcuori-234392,ocds-lcuori-234392/1-contract,234392,541256,"GUANTE ESTERIL No. 7.0 (260-330MM), CAJA, ZONA 3 ",Caja,350.75,HNL,42132205,UNSPSC,Guantes quir?rgicos,480.0
ocds-lcuori-234392,ocds-lcuori-234392/1-contract,234392,541257,"GUANTE ESTERIL No. 7.5  (260-330MM), CAJA, ZONA 6 ",Caja,350.75,HNL,42132205,UNSPSC,Guantes quir?rgicos,480.0
ocds-lcuori-234392,ocds-lcuori-234392/1-contract,234392,541258,"GUANTE ESTERIL No. 6.5 (260-330MM), CAJA, ZONA 6 ",Caja,350.75,HNL,42132205,UNSPSC,Guantes quir?rgicos,420.0
ocds-lcuori-234393,ocds-lcuori-234393/1-contract,234393,541259,"GUANTE ESTERIL No. 7.5  (260-330MM), CAJA, ZONA 1",Unidad,350.75,HNL,42132205,UNSPSC,Guantes quir?rgicos,1200.0
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541260,DISPENSADOR DE PAPEL TOALLA,Unidad,2199.996,HNL,47131711,UNSPSC,Dispensador de productos limpiadores,3.0
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541261,PAPEL TOALLA JUMBO ROLL PARA DISPENSADOR (CAJA DE 6 ROLLOS),Caja,1499.7035,HNL,14111703,UNSPSC,Toallas de papel,6.0
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541262,GEL ANTIBACTERIAL 1 GALON (PARA DISPENSADOR),Caja,5175.0,HNL,47131808,UNSPSC,Germicida seca o gel para manos,40.0
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541263,GEL ANTIBACTERIAL BOLSA DE 1000 ML PARA DISPENSADOR,Caja,3622.5,HNL,47131808,UNSPSC,Germicida seca o gel para manos,10.0
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541264,JABON LIQUIDO BOLSA DE 1000 ML,Caja,1560.021,HNL,47131704,UNSPSC,Jab?n de uso p?blico o expendedoras de loci?n,25.0
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541265,MASCARILLAS N95,Caja,10637.5,HNL,42131602,UNSPSC,Mascarillas para el personal sanitario,1.0
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541266,"BOLSAS ROJAS PLASTICAS DE ALTA DENSIDAD DE 18"" X 24"" (FARDO - USO HOSPITALARIO)",Paquete,1225.003,HNL,24111503,UNSPSC,Bolsas de pl?stico,4.0
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541267,"BOLSAS ROJAS PLASTICAS DE ALTA DENSIDAD DE 24"" X 32"" (FARDO - USO HOSPITALARIO)",Paquete,1225.003,HNL,24111503,UNSPSC,Bolsas de pl?stico,2.0
ocds-lcuori-234395,ocds-lcuori-234395/1-contract,234395,541268,MASCARILLA DESCARTABLE ,Unidad,684.9975,HNL,42131602,UNSPSC,Mascarillas para el personal sanitario,12.0
ocds-lcuori-234395,ocds-lcuori-234395/1-contract,234395,541269,MASCARILLAS N95,Caja,10637.5,HNL,42131602,UNSPSC,Mascarillas para el personal sanitario,1.0
ocds-lcuori-234396,ocds-lcuori-234396/1-contract,234396,541270,"ALGODON, ROLLO, ZONA 4 ",Unidad,55.0,HNL,11121802,UNSPSC,Algod?n,2000.0
ocds-lcuori-234396,ocds-lcuori-234396/1-contract,234396,541271,"JERINGA HIPODERMICA  5 cc x 21 x  1?, CAJA, ZONA 1",Caja,75.0,HNL,42142609,UNSPSC,Jeringas m?dicas con aguja,800.0
ocds-lcuori-234396,ocds-lcuori-234396/1-contract,234396,541272,"JERINGA HIPODERMICA  3cc 23 x 1, CAJA, ZONA 4 ",Caja,75.0,HNL,42142609,UNSPSC,Jeringas m?dicas con aguja,800.0
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,234398,541273,MASCARILLA DESCARTABLE ,Unidad,595.65,HNL,42131602,UNSPSC,Mascarillas para el personal sanitario,32.0
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,234398,541274,GUANTE DESCARTABLE TAMA?O LARGE/GRANDE,Caja,204.6425,HNL,42295454,UNSPSC,Guantes   quir?rgicos,32.0
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,234398,541275,GEL ANTIBACTERIAL 1 GALON (PARA DISPENSADOR),Caja,4500.0,HNL,47131808,UNSPSC,Germicida seca o gel para manos,16.0
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,234398,541276,JABON LIQUIDO BOLSA DE 240 ML ,Caja,1073.709,HNL,47131704,UNSPSC,Jab?n de uso p?blico o expendedoras de loci?n,66.0
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,234399,541277,"CEPILLOS PARA LAVADO QUIRURGICO (YODO POVIDONE), UNIDAD, ZONA 7 ",Unidad,14.7775,HNL,42281709,UNSPSC,Cepillos de limpieza de esterilizaci?n,5000.0
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,234399,541278,"MASCARILLA DESCARTABLE DE ATAR, CAJA, ZONA 7 ",Caja,41.5,HNL,42131707,UNSPSC,Trajes de aislamiento quir?rgico,900.0
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,234399,541279,"MARIPOSA No 22, CAJA, ZONA 7 ",Caja,140.0,HNL,42142507,UNSPSC,Agujas mariposa,15.0
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,234399,541280,"BATA DESCARTABLE, UNIDAD, ZONA 7 ",Unidad,115.0,HNL,42131509,UNSPSC,Batas de hospital,2000.0
ocds-lcuori-234400,ocds-lcuori-234400/1-contract,234400,541281,"GASA HOSPITALARIA 36x100 (20X12), ROLLO, ZONA 7 ",Unidad,410.0,HNL,42312301,UNSPSC,Gasas absorbedores para limpiar la herida,1000.0
ocds-lcuori-234401,ocds-lcuori-234401/1-contract,234401,541282,MASCARILLA DESCARTABLE ,Caja,510.0,HNL,42131602,UNSPSC,Mascarillas para el personal sanitario,80.0
ocds-lcuori-234403,ocds-lcuori-234403/1-contract,234403,541283,"GUANTE DESCARTABLE TALLA L, CAJA, ZONA 1",Caja,82.8,HNL,42132205,UNSPSC,Guantes quir?rgicos,50.0
ocds-lcuori-234404,ocds-lcuori-234404/1-contract,234404,541284,"JERINGA HIPODERMICA  20 cc x 21 x  1? , CAJA, ZONA 1",Caja,185.0,HNL,42142609,UNSPSC,Jeringas m?dicas con aguja,100.0
ocds-lcuori-234404,ocds-lcuori-234404/1-contract,234404,541285,"MICROGOTERO 150 ml, UNIDAD, ZONA 1",Unidad,18.2,HNL,41123403,UNSPSC,Goteros de dosificaci?n,200.0
ocds-lcuori-234404,ocds-lcuori-234404/1-contract,234404,541286,BATA DESCARTABLE,Unidad,25.3,HNL,42131612,UNSPSC,Batas de aislamiento o cobertura para el personal sanitario,500.0
ocds-lcuori-234404,ocds-lcuori-234404/1-contract,234404,541287,"BATA DESCARTABLE, UNIDAD, ZONA 1",Unidad,115.0,HNL,42131509,UNSPSC,Batas de hospital,100.0
ocds-lcuori-234409,ocds-lcuori-234409/1-contract,234409,541298,GUANTE DESCARTABLE TAMA?O MEDIUM/MEDIANO,Caja,109.25,HNL,42295454,UNSPSC,Guantes   quir?rgicos,500.0
ocds-lcuori-234409,ocds-lcuori-234409/1-contract,234409,541299,BOTA DESCARTABLE,Unidad,5.175,HNL,46181604,UNSPSC,Botas de protecci?n,350.0
ocds-lcuori-234420,ocds-lcuori-234420/1-contract,234420,541318,"DEPRESOR  (BAJA LENGUA) ADULTO, CAJA 100 UNIDADES, ZONA 1",Caja,60.95,HNL,42181501,UNSPSC,Depresores o baja lengua,1.0
ocds-lcuori-234420,ocds-lcuori-234420/1-contract,234420,541319,"SONDA FOLEY # 16 DOS VIAS, UNIDAD, ZONA 1",Unidad,11.22,HNL,42293603,UNSPSC,Sondas quir?rgicas,150.0
ocds-lcuori-234420,ocds-lcuori-234420/1-contract,234420,541320,"MARIPOSA No 23, CAJA, ZONA 1",Caja,322.0,HNL,42142507,UNSPSC,Agujas mariposa,200.0
ocds-lcuori-234420,ocds-lcuori-234420/1-contract,234420,541321,"MARIPOSA No 21, CAJA, ZONA 1",Caja,322.0,HNL,42142507,UNSPSC,Agujas mariposa,200.0
ocds-lcuori-234535,ocds-lcuori-234535/1-contract,234535,541542,CAJA DE ROLLO DE PAPEL ENCERADO 75 PIES ALTA CALIDAD (ZONA 1),Caja,36.754,HNL,48102108,UNSPSC,Papel de aluminio,6.0
ocds-lcuori-234535,ocds-lcuori-234535/1-contract,234535,541543,PLATO DESECHABLE NO. 10 PAQUETE 25 UNIDADES ALTA CALIDAD (ZONA 1),Paquete,27.945,HNL,52151504,UNSPSC,Tazas o vasos desechables dom?sticos,12.0
ocds-lcuori-234535,ocds-lcuori-234535/1-contract,234535,541544,CAFE EXPRESSO AMERICANO BOLSA DE 12OZ ALTA CALIDAD (ZONA 1),Bolsa,78.1425,HNL,50201709,UNSPSC,Caf? Instantaneo,40.0
ocds-lcuori-234535,ocds-lcuori-234535/1-contract,234535,541545,VASO PLASTICO DESECHABLE DE 7 ONZ PAQUETE 25 UNIDADES ALTA CALIDAD (ZONA 1),Paquete,9.499,HNL,52151504,UNSPSC,Tazas o vasos desechables dom?sticos,12.0
ocds-lcuori-234535,ocds-lcuori-234535/1-contract,234535,541546,VASO PLASTICO DESECHABLE DE 12 ONZ PAQUETE 25 UNIDADES ALTA CALIDAD (ZONA 1),Paquete,16.2955,HNL,52151504,UNSPSC,Tazas o vasos desechables dom?sticos,12.0
ocds-lcuori-234535,ocds-lcuori-234535/1-contract,234535,541547,TE SUPREMO SABOR MANZANILLA 100GR CAJA DE 100 BOLSITAS ALTA CALIDAD (ZONA 1) ,Caja,175.605,HNL,50201711,UNSPSC,T? Instantaneo,3.0
ocds-lcuori-234535,ocds-lcuori-234535/1-contract,234535,541548,VASO DE FOAM DE 7 ONZAS PAQUETE 25 UNIDADES ALTA CALIDAD (ZONA 1),Paquete,12.949,HNL,52151504,UNSPSC,Tazas o vasos desechables dom?sticos,12.0
ocds-lcuori-234536,ocds-lcuori-234536/2-contract,234536,541549,"UPS BASICO TIPO -1, ALTA CALIDAD (ZONA 1)",Unidad,1254.65,HNL,39121004,UNSPSC,Unidades de suministro de energ?a (UPS),5.0
ocds-lcuori-234422,ocds-lcuori-234422/1-contract,234422,541322,"SONDA FOLEY # 14 DOS VIAS, UNIDAD, ZONA 1",Unidad,11.81,HNL,42293603,UNSPSC,Sondas quir?rgicas,150.0
ocds-lcuori-234422,ocds-lcuori-234422/1-contract,234422,541323,"JERINGA HIPODERMICA  20 cc x 21 x  1? , CAJA, ZONA 1",Caja,185.0,HNL,42142609,UNSPSC,Jeringas m?dicas con aguja,80.0
ocds-lcuori-234422,ocds-lcuori-234422/1-contract,234422,541324,"SONDA FOLEY # 12 DOS VIAS, UNIDAD, ZONA 1",Unidad,10.5,HNL,42293603,UNSPSC,Sondas quir?rgicas,150.0
ocds-lcuori-234422,ocds-lcuori-234422/1-contract,234422,541325,"TUBO ENDOTRAQUEAL No. 3, UNIDAD, ZONA 1",Unidad,9.0,HNL,42271903,UNSPSC,Tubos endotracheales,3.0
ocds-lcuori-234422,ocds-lcuori-234422/1-contract,234422,541326,"TUBO ENDOTRAQUEAL No. 3.5, UNIDAD, ZONA 1",Unidad,9.2,HNL,42271903,UNSPSC,Tubos endotracheales,3.0
ocds-lcuori-234422,ocds-lcuori-234422/1-contract,234422,541327,"TUBO ENDOTRAQUEAL No. 4.5, UNIDAD, ZONA 1",Unidad,9.0,HNL,42271903,UNSPSC,Tubos endotracheales,3.0
ocds-lcuori-234422,ocds-lcuori-234422/1-contract,234422,541328,"MICROGOTERO 150 ml, UNIDAD, ZONA 1",Unidad,18.2,HNL,41123403,UNSPSC,Goteros de dosificaci?n,180.0
ocds-lcuori-234422,ocds-lcuori-234422/1-contract,234422,541329,"MARIPOSA No 22, CAJA, ZONA 1",Caja,140.0,HNL,42142507,UNSPSC,Agujas mariposa,200.0
ocds-lcuori-234422,ocds-lcuori-234422/1-contract,234422,541330,"MARIPOSA No 24, CAJA, ZONA 1",Caja,140.0,HNL,42142507,UNSPSC,Agujas mariposa,200.0
ocds-lcuori-234423,ocds-lcuori-234423/1-contract,234423,541331,"SONDA FOLEY # 8 DOS VIAS, UNIDAD, ZONA 1",Unidad,12.25,HNL,42293603,UNSPSC,Sondas quir?rgicas,150.0
ocds-lcuori-234423,ocds-lcuori-234423/1-contract,234423,541332,"TUBO ENDOTRAQUEAL No. 4.5, CON BALON, UNIDAD, ZONA 1",Unidad,15.7,HNL,42271903,UNSPSC,Tubos endotracheales,3.0
ocds-lcuori-234423,ocds-lcuori-234423/1-contract,234423,541333,"GUANTE DESCARTABLE TALLA M, CAJA, ZONA 1",Caja,85.905,HNL,42132205,UNSPSC,Guantes quir?rgicos,540.0
ocds-lcuori-234423,ocds-lcuori-234423/1-contract,234423,541334,"GASA HOSPITALARIA 36x100 (20X12), ROLLO, ZONA 1",Unidad,350.0,HNL,42312301,UNSPSC,Gasas absorbedores para limpiar la herida,5.0
ocds-lcuori-234537,ocds-lcuori-234537/1-contract,234537,541550,AGUA PURIFICADA EN BOTELLON DE 5 GALONES ALTA CALIDAD (ZONA 5),Unidad,30.0,HNL,50202301,UNSPSC,Agua purificada,100.0
ocds-lcuori-234538,ocds-lcuori-234538/1-contract,234538,541551,CAJA DE ROLLO DE PAPEL ENCERADO 75 PIES ALTA CALIDAD (ZONA 1),Caja,36.754,HNL,48102108,UNSPSC,Papel de aluminio,6.0
ocds-lcuori-234538,ocds-lcuori-234538/1-contract,234538,541552,PLATO DESECHABLE NO. 10 PAQUETE 25 UNIDADES ALTA CALIDAD (ZONA 1),Paquete,27.945,HNL,52151504,UNSPSC,Tazas o vasos desechables dom?sticos,12.0
ocds-lcuori-234538,ocds-lcuori-234538/1-contract,234538,541553,CAFE EXPRESSO AMERICANO BOLSA DE 12OZ ALTA CALIDAD (ZONA 1),Bolsa,67.95,HNL,50201709,UNSPSC,Caf? Instantaneo,40.0
ocds-lcuori-234538,ocds-lcuori-234538/1-contract,234538,541554,VASO PLASTICO DESECHABLE DE 7 ONZ PAQUETE 25 UNIDADES ALTA CALIDAD (ZONA 1),Paquete,9.499,HNL,52151504,UNSPSC,Tazas o vasos desechables dom?sticos,12.0
ocds-lcuori-234538,ocds-lcuori-234538/1-contract,234538,541555,VASO PLASTICO DESECHABLE DE 12 ONZ PAQUETE 25 UNIDADES ALTA CALIDAD (ZONA 1),Paquete,16.2955,HNL,52151504,UNSPSC,Tazas o vasos desechables dom?sticos,12.0
ocds-lcuori-234538,ocds-lcuori-234538/1-contract,234538,541556,TE SUPREMO SABOR MANZANILLA 100GR CAJA DE 100 BOLSITAS ALTA CALIDAD (ZONA 1) ,Caja,175.605,HNL,50201711,UNSPSC,T? Instantaneo,3.0
ocds-lcuori-234538,ocds-lcuori-234538/1-contract,234538,541557,VASO DE FOAM DE 7 ONZAS PAQUETE 25 UNIDADES ALTA CALIDAD (ZONA 1),Paquete,12.949,HNL,52151504,UNSPSC,Tazas o vasos desechables dom?sticos,12.0
ocds-lcuori-234425,ocds-lcuori-234425/1-contract,234425,541335,"SONDA FOLEY # 10 DOS VIAS, UNIDAD, ZONA 1",Unidad,13.0,HNL,42293603,UNSPSC,Sondas quir?rgicas,150.0
ocds-lcuori-234425,ocds-lcuori-234425/1-contract,234425,541336,"TUBO ENDOTRAQUEAL No. 7, CON BALON, UNIDAD, ZONA 1",Unidad,13.0,HNL,42271903,UNSPSC,Tubos endotracheales,3.0
ocds-lcuori-234425,ocds-lcuori-234425/1-contract,234425,541337,"GORRO DESCARTABLE PARA MUJER, CAJA, ZONA 1",Caja,110.0,HNL,42131701,UNSPSC,Cobertores para cirug?a,750.0
ocds-lcuori-234425,ocds-lcuori-234425/1-contract,234425,541338,"BOLSA COLECTOR DE ORINA PARA ADULTO, CAJA, ZONA 1",Caja,550.0,HNL,41104112,UNSPSC,Contenedores de recogida de orina,150.0
ocds-lcuori-234425,ocds-lcuori-234425/1-contract,234425,541339,"SET DE MASCARILLA PARA APLICACION DE OXIGENO ADULTO, EMPAQUE INDIVIDUAL, ZONA 1",Unidad,20.0,HNL,42295407,UNSPSC,M?scaras de paciente para uso quir?rgico,1200.0
ocds-lcuori-234425,ocds-lcuori-234425/1-contract,234425,541340,"ALGODON, ROLLO, ZONA 1",Unidad,63.25,HNL,11121802,UNSPSC,Algod?n,6.0
ocds-lcuori-234425,ocds-lcuori-234425/1-contract,234425,541341,"SONDA NASOGASTRICA # 16, UNIDAD, ZONA 1",Unidad,3.5,HNL,42293603,UNSPSC,Sondas quir?rgicas,100.0
ocds-lcuori-234425,ocds-lcuori-234425/1-contract,234425,541342,"TUBO ENDOTRAQUEAL No. 7.5, CON BALON, UNIDAD, ZONA 1",Unidad,13.0,HNL,42271903,UNSPSC,Tubos endotracheales,3.0
ocds-lcuori-234431,ocds-lcuori-234431/1-contract,234431,541358,"VENOCLISIS (Largo de 1,50 mts), UNIDAD, ZONA 1",Unidad,3.91,HNL,42221603,UNSPSC,Venoclice,16800.0
ocds-lcuori-234431,ocds-lcuori-234431/1-contract,234431,541359,"JERINGA HIPODERMICA  10 cc x 21 x  1?, CAJA, ZONA 1",Caja,127.0,HNL,42142609,UNSPSC,Jeringas m?dicas con aguja,56.0
ocds-lcuori-234433,ocds-lcuori-234433/1-contract,234433,541360,"MASCARILLA DESCARTABLE DE ATAR, CAJA, ZONA 1",Caja,108.675,HNL,42131707,UNSPSC,Trajes de aislamiento quir?rgico,5.0
ocds-lcuori-234434,ocds-lcuori-234434/1-contract,234434,541361,"JERINGA HIPODERMICA  3 cc 21 x 1?, CAJA, ZONA 1",Caja,102.0,HNL,42142609,UNSPSC,Jeringas m?dicas con aguja,28.0
