ocid,id,contracts/0/id,contracts/0/title,contracts/0/description,contracts/0/status,contracts/0/statusDetails,contracts/0/value/amount,contracts/0/value/currency,contracts/0/period/startDate,contracts/0/awardID,contracts/0/localProcurementCategory,contracts/0/buyer/id,contracts/0/buyer/name
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,234375,60-28-27-0132-2020,COMPRA DE MATERIAL MEDICO ,pending,Impreso,321798.75,HNL,2020-03-20T12:27:58-06:00,234375,goodsOrServices,lzlBXK-PKJ7rO-5y2ZyN,DIRECCION HOSPITAL ANIBAL MURILLO ESCOBAR
ocds-lcuori-234376,ocds-lcuori-234376/1-contract,234376,60-18-17-0338-2020,NIPRO VENOCLISES,pending,Impreso,339000.0,HNL,2020-03-20T12:31:11-06:00,234376,goodsOrServices,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,234377,60-18-17-0339-2020,NIPRO GUANTES EMERGENCIA,pending,Impreso,572700.0,HNL,2020-03-20T12:41:02-06:00,234377,goodsOrServices,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234378,ocds-lcuori-234378/1-contract,234378,603-1-5-0464-2020,Compra de Mascarillas para empleados,pending,Impreso,10200.0,HNL,2020-03-20T13:16:15-06:00,234378,goodsOrServices,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,234379,60-8-7-0176-2020,valor reservado para la compra de material medico quirurgico para uso de hospital santa barbara integrado en el primer trimestre del a?o 2020,pending,Impreso,47662.5,HNL,2020-03-20T13:55:42-06:00,234379,goodsOrServices,lzlBXK-5zp8zA-xK3qzP,DIRECCION HOSPITAL DE SANTA BARBARA
ocds-lcuori-234387,ocds-lcuori-234387/1-contract,234387,60-8-7-0175-2020,valor reservado para la compra de material medico quirurgico para uso del hospital santa barbara integrado en el primer trimestre del a?o 2020,pending,Impreso,280000.0,HNL,2020-03-20T14:04:31-06:00,234387,goodsOrServices,lzlBXK-5zp8zA-xK3qzP,DIRECCION HOSPITAL DE SANTA BARBARA
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,234388,60-5-4-0200-2020,COMPRA DE CATETER UMBILICAL VENDA ELASTICA 6X5 Y VENDA GASA 4X10 PARA SER ULIZADOS EN SALAS DE ESTA UNIDAD HOSPITALARIA EN ATENCION A PACIENTES,pending,Impreso,38198.304000000004,HNL,2020-03-20T14:12:49-06:00,234388,goodsOrServices,lzlBXK-by4Gzd-RyYNKL,DIRECCION HOSPITAL GABRIELA ALVARADO
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,234389,703-1-1-1325-2020,Compra de Insumos en CATALOGO ELECTRONICO DE EMERGENCIA segun PCM 005 2020 y PCM 025 2020 COVID 19 y Dengue para prevencion y atencion de estudiantes y personal docente y administrativo de la UNIVERSIDAD NACIONAL DE AGRICULTURA,pending,Impreso,4885.2,HNL,2020-03-20T14:14:22-06:00,234389,goodsOrServices,wrLQmz-byP1K8-byP1K8,RECTORIA
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,60-47-46-0130-2020,V,pending,Impreso,775100.0,HNL,2020-03-20T14:25:31-06:00,234390,goodsOrServices,lzlBXK-wrL0Br-NzBBWz,DIRECCION DEPARTAMENTAL DE YORO
ocds-lcuori-234391,ocds-lcuori-234391/1-contract,234391,60-18-17-0340-2020,HEALTHCARE BATAS,pending,Impreso,587650.0,HNL,2020-03-20T14:26:11-06:00,234391,goodsOrServices,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234392,ocds-lcuori-234392/1-contract,234392,60-1-106-0120-2020,para consumo del primer trimestre del a?o 2020,pending,Impreso,484035.0,HNL,2020-03-20T14:43:53-06:00,234392,goodsOrServices,lzlBXK-byP1K8-7zv0MK,Hospital de Occidente
ocds-lcuori-234393,ocds-lcuori-234393/1-contract,234393,60-18-17-0341-2020,CORPORACION MEDICA GUANTE 7 5,pending,Impreso,420900.0,HNL,2020-03-20T14:47:29-06:00,234393,goodsOrServices,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,703-1-1-1326-2020,Compra de Insumos en CATALOGO ELECTRONICO DE EMERGENCIA segun PCM 005 2020 y PCM 025 2020 COVID 19 y Dengue para prevencion y atencion de estudiantes y personal docente y administrativo de la UNIVERSIDAD NACIONAL DE AGRICULTURA,pending,Impreso,315811.252,HNL,2020-03-20T15:03:05-06:00,234394,goodsOrServices,wrLQmz-byP1K8-byP1K8,RECTORIA
ocds-lcuori-234395,ocds-lcuori-234395/1-contract,234395,703-1-1-1328-2020,Compra de Insumos en CATALOGO ELECTRONICO DE EMERGENCIA segun PCM 005 2020 y PCM 025 2020 COVID 19 y Dengue para prevencion del personal administrativo de la UNIVERSIDAD NACIONAL DE AGRICULTURA,pending,Impreso,18857.47,HNL,2020-03-20T15:18:08-06:00,234395,goodsOrServices,wrLQmz-byP1K8-byP1K8,RECTORIA
ocds-lcuori-234396,ocds-lcuori-234396/1-contract,234396,60-47-46-0131-2020,L,pending,Impreso,230000.0,HNL,2020-03-20T15:18:31-06:00,234396,goodsOrServices,lzlBXK-wrL0Br-NzBBWz,DIRECCION DEPARTAMENTAL DE YORO
ocds-lcuori-234397,ocds-lcuori-234397/1-contract,234397,703-1-1-1327-2020,Compra de Insumos en CATALOGO ELECTRONICO DE EMERGENCIA segun PCM 005 2020 y PCM 025 2020 COVID 19 y Dengue para prevencion de administrativo de la UNIVERSIDAD NACIONAL DE AGRICULTURA,cancelled,Anulado,,,2020-03-20T15:19:01-06:00,234397,goodsOrServices,wrLQmz-byP1K8-byP1K8,RECTORIA
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,234398,9069-1-1-0418-2020,SUMINISTRO A SER ADQUIRIDO POR EMERGENCIA DE COVID 19,pending,Impreso,168474.154,HNL,2020-03-20T15:38:48-06:00,234398,goodsOrServices,rNxg0y-byP1K8-byP1K8,Unidad Central
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,234399,60-14-13-0176-2020,MATERIAL MEDICO QUIRURGICO MENOR ,pending,Impreso,343337.5,HNL,2020-03-20T16:42:27-06:00,234399,goodsOrServices,lzlBXK-VyOdKM-lzWOzp,DIRECCION HOSPITAL SAN FRANCISCO
ocds-lcuori-234400,ocds-lcuori-234400/1-contract,234400,60-14-13-0177-2020,ADQUISICION DE VENDAJE PARA FRACTURAS Y OTROS ,pending,Impreso,410000.0,HNL,2020-03-20T16:53:43-06:00,234400,goodsOrServices,lzlBXK-VyOdKM-lzWOzp,DIRECCION HOSPITAL SAN FRANCISCO
ocds-lcuori-234401,ocds-lcuori-234401/1-contract,234401,91-1-5-0241-2020,ADQUISICION DE MASCARILLAS DESCARTABLES PARA ABASTECER AL PERSONAL UBICADO EN LOS CUATRO AEROPUERTOS DEL PAIS Y ASI PODER TOMAS LAS PREVENCIONES CORRESPODIENTES ANTE EL COVID 1,pending,Impreso,40800.0,HNL,2020-03-20T17:36:57-06:00,234401,goodsOrServices,wrLGBK-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA Y FINANCIERA
ocds-lcuori-234402,ocds-lcuori-234402/1-contract,234402,91-1-5-0240-2020,ADQUISICION DE MASCARILLAS DESCARTABLES PARA ABASTECER AL PERSONAL UBICADO EN LOS CUATRO AEROPUERTOS DEL PAIS Y ASI PODER TOMAS LAS PREVENCIONES CORRESPODIENTES ANTE EL COVID 19,cancelled,Anulado,,,2020-03-20T17:55:13-06:00,234402,goodsOrServices,wrLGBK-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA Y FINANCIERA
ocds-lcuori-234403,ocds-lcuori-234403/1-contract,234403,91-1-5-0242-2020,ADQUISICION DE GUANTES DESCARTABLE TALLA L PARA ABASTECER AL DIFERENTE PERSONAL UBICADO EN LOS CUATRO AEROPUERTOS DEL PAIS Y ASI TOMAR LA MEDIDAS CORRESPONDIENTES ANTE EL COVID 19,pending,Impreso,4140.0,HNL,2020-03-20T18:30:21-06:00,234403,goodsOrServices,wrLGBK-byP1K8-by4Gzd,GERENCIA ADMINISTRATIVA Y FINANCIERA
ocds-lcuori-234404,ocds-lcuori-234404/1-contract,234404,60-1-102-0212-2020,COMPRA DE INSUMOS MEDICOS PARA EMERGENCIA DE CORONAVIRUS,pending,Impreso,46290.0,HNL,2020-03-20T18:30:50-06:00,234404,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234409,ocds-lcuori-234409/1-contract,234409,45-1-1-0526-2020,PARA USO DE LOS INSPECTORES DELEGADOS Y SUB DELEGACIONES DEL INM A NIVEL NACIONAL ,pending,Impreso,56436.25,HNL,2020-03-20T22:54:50-06:00,234409,goodsOrServices,byP11K-byP1K8-byP1K8,MIGRACION Y EXTRANJERIA
ocds-lcuori-234420,ocds-lcuori-234420/1-contract,234420,60-1-102-0213-2020,insumos para adultos emergencia coranovirus,pending,Impreso,130543.95,HNL,2020-03-22T15:10:33-06:00,234420,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234535,ocds-lcuori-234535/1-contract,234535,9014-1-1-0108-2020,para uso en reuniones de los comisionados,cancelled,Anulado,4673.301,HNL,2020-03-30T09:38:26-06:00,234535,goodsOrServices,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234421,ocds-lcuori-234421/1-contract,234421,,insumos adultos para emergencia coronavirus,pending,Elaboracion OC,,,2020-03-22T15:34:12-06:00,234421,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234536,ocds-lcuori-234536/2-contract,234536,90-1-27-0408-2020,PARA USO EN LA UNIVERSIDAD DE DEFENSA DE HONDURAS,cancelled,Anulado,6273.25,HNL,2020-03-30T09:44:28-06:00,234536,goodsOrServices,NzBWWy-byP1K8-5y2ZyN,UNIVERSIDAD DE DEFENSA DE HONDURAS
ocds-lcuori-234422,ocds-lcuori-234422/1-contract,234422,60-1-102-0214-2020,insumos adultos para emergencia coranovirus,pending,Impreso,77504.1,HNL,2020-03-22T15:38:17-06:00,234422,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234423,ocds-lcuori-234423/1-contract,234423,60-1-102-0215-2020,insumos adultos para emergencia de coranovirus,pending,Impreso,50023.3,HNL,2020-03-22T15:40:47-06:00,234423,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234537,ocds-lcuori-234537/1-contract,234537,42-1-12-0074-2020,Agua purificada para Bomberos Nacaome ,pending,Impreso,3000.0,HNL,2020-03-30T10:06:16-06:00,234537,goodsOrServices,7rEMr2-byP1K8-az8Qyd,Cuerpo de Bomberos Nacaome
ocds-lcuori-234424,ocds-lcuori-234424/1-contract,234424,,insumos adultos por emergencia coranovirus,pending,Elaboracion OC,,,2020-03-22T15:42:55-06:00,234424,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234538,ocds-lcuori-234538/1-contract,234538,9014-1-1-0109-2020,para uso en reuniones de los comisionados,pending,Impreso,4265.601000000001,HNL,2020-03-30T10:35:29-06:00,234538,goodsOrServices,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234425,ocds-lcuori-234425/1-contract,234425,60-1-102-0216-2020,insumos adultos para emergencia coranovirus,pending,Impreso,191757.5,HNL,2020-03-22T15:45:05-06:00,234425,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234426,ocds-lcuori-234426/1-contract,234426,,INSUMOS ADULTOS PARA EMERGENCIA DE CORONAVIRUS,pending,Impreso,,,2020-03-22T17:39:08-06:00,234426,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234431,ocds-lcuori-234431/1-contract,234431,60-1-102-0217-2020,INSUMOS ADULTOS PARA EMERGENCIA CORANOVIRUS,pending,Impreso,72800.0,HNL,2020-03-23T10:02:11-06:00,234431,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234432,ocds-lcuori-234432/1-contract,234432,,INSUMOS ADULTOS PARA EMERGENCIA DE CORONAVIRUS ,pending,Elaboracion OC,,,2020-03-23T10:05:38-06:00,234432,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234433,ocds-lcuori-234433/1-contract,234433,60-1-102-0218-2020,INSUMOS ADULTOS PARA EMERGENCIA CORONAVIRUS,pending,Impreso,543.375,HNL,2020-03-23T10:13:54-06:00,234433,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234434,ocds-lcuori-234434/1-contract,234434,60-1-102-0219-2020,INSUMOS ADULTOS EMERGENCIA CORONAVIRUS,pending,Impreso,13776.0,HNL,2020-03-23T10:25:36-06:00,234434,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234539,ocds-lcuori-234539/1-contract,234539,60-2-1-0177-2020,FRIJOLES ,pending,Impreso,291200.0,HNL,2020-03-30T11:35:18-06:00,234539,goodsOrServices,lzlBXK-NzBWyw-byP1K8,DIRECCION HOSPITAL ESCUELA
ocds-lcuori-234435,ocds-lcuori-234435/1-contract,234435,60-1-102-0220-2020,INSUMOS ADULTOS PARA EMERGENCIA CORONAVIRUS,pending,Impreso,2100.0,HNL,2020-03-23T10:27:14-06:00,234435,goodsOrServices,lzlBXK-byP1K8-NzBWJy,"Fundacion Amigos del Hospital Maria, Especialidades Pediatria"
ocds-lcuori-234540,ocds-lcuori-234540/1-contract,234540,90-1-27-0409-2020,PARA USO EN LA UNIVERSIDAD DE DEFENSA DE HONDURAS,pending,Impreso,13204.875,HNL,2020-03-30T12:25:23-06:00,234540,goodsOrServices,NzBWWy-byP1K8-5y2ZyN,UNIVERSIDAD DE DEFENSA DE HONDURAS
ocds-lcuori-234436,ocds-lcuori-234436/1-contract,234436,60-18-17-0342-2020,HEALTHCARE JERINGAS,pending,Impreso,502500.0,HNL,2020-03-23T10:32:52-06:00,234436,goodsOrServices,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234541,ocds-lcuori-234541/1-contract,234541,60-20-19-0422-2020,COMPRA QUE SERA PAGADA CON FONDOS NACIONALES SEGUN OBJETO DE GASTO 35270 AL PROVEEDOR NIPRO,pending,Impreso,57300.0,HNL,2020-03-30T12:28:10-06:00,234541,goodsOrServices,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES
ocds-lcuori-234437,ocds-lcuori-234437/1-contract,234437,60-18-17-0343-2020,NIPRO JERINGAS,pending,Impreso,95600.0,HNL,2020-03-23T10:52:33-06:00,234437,goodsOrServices,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE
ocds-lcuori-234542,ocds-lcuori-234542/1-contract,234542,,COMPRA QUE SERA PAGADA CON FONDOS NACIONALES SEGUN OBJETO DE GASTO 39540 AL PROVEEDOR AGENCIA MATAMOROS,pending,Impreso,,,2020-03-30T12:39:09-06:00,234542,goodsOrServices,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES
ocds-lcuori-234438,ocds-lcuori-234438/1-contract,234438,10-1-1-1850-2020,SUMINISTRO DE 300 GUANTE DESCARTABLE TALLA L CAJA ZONA 1,pending,Impreso,46230.0,HNL,2020-03-23T11:06:20-06:00,234438,goodsOrServices,6Kdoye-byP1K8-byP1K8,CORTE SUPREMA DE JUSTICIA
ocds-lcuori-234543,ocds-lcuori-234543/1-contract,234543,90-1-27-0410-2020,PARA USO EN LA UNIVERSIDAD DE DEFENSA DE HONDURAS,pending,Impreso,2872.7000000000003,HNL,2020-03-30T12:43:53-06:00,234543,goodsOrServices,NzBWWy-byP1K8-5y2ZyN,UNIVERSIDAD DE DEFENSA DE HONDURAS
ocds-lcuori-234439,ocds-lcuori-234439/1-contract,234439,,COMPRA QUE SERA PAGADA CON FONDOS NACIONALES SEGUN OBJETO DE GASTO 39540 AL PROVEEDOR AGENCIA MATAMOROS,pending,Impreso,,,2020-03-23T11:14:57-06:00,234439,goodsOrServices,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES
ocds-lcuori-234544,ocds-lcuori-234544/1-contract,234544,,COMPRA QUE SERA PAGADA CON FONDOS NACIONALES SEGUN OBJETO DE GASTO 39540 AL PROVEEDOR AGENCIA MATAMAOROS,pending,Impreso,,,2020-03-30T13:02:10-06:00,234544,goodsOrServices,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES
ocds-lcuori-234545,ocds-lcuori-234545/1-contract,234545,,COMPRA QUE SERA PAGADA CON FONDOS NACIONALES SEGUN OBJETO DE GASTO 39540 AL PROVEEDOR AGENCIA MATAMOROS,pending,Impreso,,,2020-03-30T13:03:16-06:00,234545,goodsOrServices,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES
ocds-lcuori-234440,ocds-lcuori-234440/1-contract,234440,60-2-1-0174-2020,VINAGRE,pending,Elaboracion OC,1370.7425,HNL,2020-03-23T11:48:13-06:00,234440,goodsOrServices,lzlBXK-NzBWyw-byP1K8,DIRECCION HOSPITAL ESCUELA
ocds-lcuori-234546,ocds-lcuori-234546/1-contract,234546,9014-1-1-0110-2020,para uso en reuniones de los comisionados,cancelled,Anulado,1048.1445,HNL,2020-03-30T13:05:29-06:00,234546,goodsOrServices,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234441,ocds-lcuori-234441/1-contract,234441,9014-1-1-0105-2020,para uso de empleados en los Centros Penales,pending,Impreso,85.905,HNL,2020-03-23T11:55:20-06:00,234441,goodsOrServices,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234547,ocds-lcuori-234547/1-contract,234547,9014-1-1-0111-2020,para uso en reuniones de los comisionados,pending,Impreso,928.3545,HNL,2020-03-30T13:37:10-06:00,234547,goodsOrServices,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234442,ocds-lcuori-234442/1-contract,234442,9014-1-1-0106-2020,para uso del personal que visita los Centros Penales,pending,Impreso,2334.96,HNL,2020-03-23T12:01:32-06:00,234442,goodsOrServices,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234548,ocds-lcuori-234548/1-contract,234548,60-1-103-0512-2020,ADQUISICION DE INSUMOS MEDICO QUIRURGICO PARA EL HOSPITAL SAN LORENZO,pending,Impreso,600645.0,HNL,2020-03-30T14:11:51-06:00,234548,goodsOrServices,lzlBXK-byP1K8-wrLGQK,Fundacion de Apoyo y Vigilancia Pro Mejoramiento Hospital San Lorenzo
ocds-lcuori-234443,ocds-lcuori-234443/1-contract,234443,24-1-1-0529-2020,COMPRA DE INSUMOS Y MATERIAL DE ASEO QUE SERA UTILIZADO POR EL PERSONAL DEL INSTITUTO DE LA PROPIEDAD ,pending,Impreso,234449.625,HNL,2020-03-23T12:03:52-06:00,234443,goodsOrServices,ero6KM-byP1K8-byP1K8,DIRECCION DE ADMINISTRACION
ocds-lcuori-234549,ocds-lcuori-234549/1-contract,234549,60-1-103-0513-2020,ADQUISICION DE INSUMOS MEDICO QUIRURGICO PARA EL HOSPITAL SAN LORENZO,pending,Impreso,424350.0,HNL,2020-03-30T14:42:08-06:00,234549,goodsOrServices,lzlBXK-byP1K8-wrLGQK,Fundacion de Apoyo y Vigilancia Pro Mejoramiento Hospital San Lorenzo
ocds-lcuori-234444,ocds-lcuori-234444/1-contract,234444,9014-1-1-0107-2020,para uso del personal que visita los Centros Penales,pending,Impreso,296.7,HNL,2020-03-23T12:06:06-06:00,234444,goodsOrServices,yOnolz-byP1K8-byP1K8,Compras CONAPREV
ocds-lcuori-234550,ocds-lcuori-234550/1-contract,234550,42-1-15-0212-2020,COMPRA DE AGUA APURIFICACA PARA CONSUMO EN LA ESTACION CENTRAL Y LAS SEIS SUB ESTACIONES DEL CUERPO DE BOMBEROS DE SAN PEDRO SULA,pending,Impreso,5520.0,HNL,2020-03-30T14:50:54-06:00,234550,goodsOrServices,7rEMr2-byP1K8-JyjxrP,"Cuerpo de Bomberos San Pedro Sula, Cortes"
ocds-lcuori-234445,ocds-lcuori-234445/1-contract,234445,60-14-13-0178-2020,ADQUISICION DE MATERIAL MEDICO QUIRURGICO MENOR ,pending,Impreso,234600.0,HNL,2020-03-23T12:17:50-06:00,234445,goodsOrServices,lzlBXK-VyOdKM-lzWOzp,DIRECCION HOSPITAL SAN FRANCISCO
ocds-lcuori-234551,ocds-lcuori-234551/1-contract,234551,90-1-27-0411-2020,PARA USO EN LA UNIVERSIDAD DE DEFENSA DE HONDURAS,pending,Impreso,6573.9175000000005,HNL,2020-03-30T15:30:05-06:00,234551,goodsOrServices,NzBWWy-byP1K8-5y2ZyN,UNIVERSIDAD DE DEFENSA DE HONDURAS
ocds-lcuori-234446,ocds-lcuori-234446/1-contract,234446,45-1-1-0527-2020,PARA USO DE DELEGACIONES A NIVEL NACIONAL,cancelled,Anulado,32200.0,HNL,2020-03-23T12:30:14-06:00,234446,goodsOrServices,byP11K-byP1K8-byP1K8,MIGRACION Y EXTRANJERIA
ocds-lcuori-234552,ocds-lcuori-234552/2-contract,234552,90-1-27-0412-2020,PARA USO EN LA UNIVERSIDAD DE DEFENSA DE HONDURAS,cancelled,Anulado,1533.3525,HNL,2020-03-30T15:33:52-06:00,234552,goodsOrServices,NzBWWy-byP1K8-5y2ZyN,UNIVERSIDAD DE DEFENSA DE HONDURAS
ocds-lcuori-234447,ocds-lcuori-234447/1-contract,234447,,COMPRA DE 7 UPS BASICO TIPO 2 PARA USO EN LAS OFICINAS ADMINISTRATIVAS DE LA DIRECCION NACIONAL DE PARQUES Y RECREACION DE ACUERDO A LAS ADQUISICIONES PROGRAMADAS EN EL PLAN ANUAL DE COMPRAS Y CONTRATACIONES PACC,pending,Elaboracion OC,15174.25,HNL,2020-03-23T12:57:35-06:00,234447,goodsOrServices,KdEgbr-byP1K8-byP1K8,Compras y Contrataciones
ocds-lcuori-234553,ocds-lcuori-234553/1-contract,234553,60-28-27-0134-2020,COMPRA DE ALIMENTOS Y BEBIDAS PARA PERSONAS,cancelled,Anulado,105038.7,HNL,2020-03-30T16:32:16-06:00,234553,goodsOrServices,lzlBXK-PKJ7rO-5y2ZyN,DIRECCION HOSPITAL ANIBAL MURILLO ESCOBAR
ocds-lcuori-234554,ocds-lcuori-234554/1-contract,234554,60-28-27-0135-2020,COMPRA DE ALIMENTOS Y BEBIDAS PARA PERSONAS,pending,Impreso,69647.27,HNL,2020-03-30T16:59:09-06:00,234554,goodsOrServices,lzlBXK-PKJ7rO-5y2ZyN,DIRECCION HOSPITAL ANIBAL MURILLO ESCOBAR
ocds-lcuori-234555,ocds-lcuori-234555/2-contract,234555,60-28-27-0136-2020,COMPRA DE ALIMENTOS ,cancelled,Anulado,111185.15000000001,HNL,2020-03-30T17:27:50-06:00,234555,goodsOrServices,lzlBXK-PKJ7rO-5y2ZyN,DIRECCION HOSPITAL ANIBAL MURILLO ESCOBAR
ocds-lcuori-234449,ocds-lcuori-234449/1-contract,234449,60-32-31-0074-2020,MATERIAL MEDICO QUIRURGICO QUE SERA UTILIZADO EN LA EMERGENCIA DE COVID 19,pending,Impreso,1148600.0,HNL,2020-03-23T13:16:04-06:00,234449,goodsOrServices,lzlBXK-RKZayY-PrDByx,DIRECCION DEPARTAMENTAL DE COMAYAGUA
