ocid,id,parties/0/id,parties/0/name,parties/0/identifier/id,parties/0/identifier/scheme,parties/0/roles,parties/0/address/countryName,parties/0/address/streetAddress,parties/0/identifier/legalName,parties/0/contactPoint/name,parties/0/contactPoint/telephone,parties/0/contactPoint/email,parties/0/contactPoint/faxNumber
ocds-lcuori-234368,ocds-lcuori-234368/1-contract,HN-RTN-08019002272161,Healthcare products Centroamerica S de R.L.,08019002272161,HN-RTN,supplier,Honduras,"COLONIA ROBLE OESTE, 3a CALLE SUR BLOQUE EFrancisco Morazan, Distrito Central",Healthcare Products Centroamerica S de R.L,Leonardo Rene Paz Centeno,2233-4231,lpaz.hc@outlook.com,-
ocds-lcuori-234369,ocds-lcuori-234369/1-contract,wrLvdy,Instituto Nacional de Prevision del Magisterio,wrLvdy,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234369,ocds-lcuori-234369/1-contract,wrLvdy-byP1K8,GERENCIA CENTRAL,wrLvdy-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234369,ocds-lcuori-234369/1-contract,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO,wrLvdy-byP1K8-by4Gzd,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234370,ocds-lcuori-234370/1-contract,wrLvdy,Instituto Nacional de Prevision del Magisterio,wrLvdy,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234370,ocds-lcuori-234370/1-contract,wrLvdy-byP1K8,GERENCIA CENTRAL,wrLvdy-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234370,ocds-lcuori-234370/1-contract,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO,wrLvdy-byP1K8-by4Gzd,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234370,ocds-lcuori-234370/1-contract,HN-RTN-01071956011840,MEDITEC,01071956011840,HN-RTN,supplier,Honduras,"Barrio Guamilito, Sexta Calle, sexta y septima avenida, casa no. 68, Cuadra y media debajo de Mercado GuamilitoCortes, San Pedro Sula",MEDITEC,JORGE ARMANDO  ORTEZ QUIROZ,25572331,karlesandino@gmail.com,-
ocds-lcuori-234371,ocds-lcuori-234371/1-contract,wrLvdy,Instituto Nacional de Prevision del Magisterio,wrLvdy,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234371,ocds-lcuori-234371/1-contract,wrLvdy-byP1K8,GERENCIA CENTRAL,wrLvdy-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234371,ocds-lcuori-234371/1-contract,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO,wrLvdy-byP1K8-by4Gzd,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234371,ocds-lcuori-234371/1-contract,HN-RTN-08019007507626,NIPRO MEDICAL CORPORACION,08019007507626,HN-RTN,supplier,Honduras,"Col. 21 de octubre inicio del anillo periferico, contiguo a tecnica europea.Francisco Morazan, Distrito Central",NIPRO MEDICAL CORPORACION,Marco Tulio  Velasquez Navarro,2236-8110,marcov@nipromed.com,-
ocds-lcuori-234372,ocds-lcuori-234372/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234372,ocds-lcuori-234372/1-contract,lzlBXK-byQqyG,GERENCIA ADMINISTRATIVA HOSPITAL PUERTO CORTES,lzlBXK-byQqyG,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234372,ocds-lcuori-234372/1-contract,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES,lzlBXK-byQqyG-qyVbya,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234373,ocds-lcuori-234373/1-contract,wrLvdy,Instituto Nacional de Prevision del Magisterio,wrLvdy,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234373,ocds-lcuori-234373/1-contract,wrLvdy-byP1K8,GERENCIA CENTRAL,wrLvdy-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234373,ocds-lcuori-234373/1-contract,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO,wrLvdy-byP1K8-by4Gzd,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234373,ocds-lcuori-234373/1-contract,HN-RTN-01071956011840,MEDITEC,01071956011840,HN-RTN,supplier,Honduras,"Barrio Guamilito, Sexta Calle, sexta y septima avenida, casa no. 68, Cuadra y media debajo de Mercado GuamilitoCortes, San Pedro Sula",MEDITEC,JORGE ARMANDO  ORTEZ QUIROZ,25572331,karlesandino@gmail.com,-
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,lzlBXK-5zp8zA,GERENCIA ADMINISTRATIVA HOSPITAL SANTA BARBARA,lzlBXK-5zp8zA,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,lzlBXK-5zp8zA-xK3qzP,DIRECCION HOSPITAL DE SANTA BARBARA,lzlBXK-5zp8zA-xK3qzP,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,HN-RTN-08019007507626,NIPRO MEDICAL CORPORACION,08019007507626,HN-RTN,supplier,Honduras,"Col. 21 de octubre inicio del anillo periferico, contiguo a tecnica europea.Francisco Morazan, Distrito Central",NIPRO MEDICAL CORPORACION,Marco Tulio  Velasquez Navarro,2236-8110,marcov@nipromed.com,-
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,lzlBXK-PKJ7rO,GERENCIA ADMINISTRATIVA HOSPITAL ANIBAL MURILLO ESCOBAR,lzlBXK-PKJ7rO,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,lzlBXK-PKJ7rO-5y2ZyN,DIRECCION HOSPITAL ANIBAL MURILLO ESCOBAR,lzlBXK-PKJ7rO-5y2ZyN,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,HN-RTN-03039015766793,Drogueria y Distribuiciones Diversas de Centroamerica S. de R.L.,03039015766793,HN-RTN,supplier,Honduras,"Barrio Abajo, Media cuadra del Centro de Salud, Casa de Esquina Color Blanco, ComayaguaComayagua, Comayagua",Drogueria y Distribuiciones Diversas de Centroamerica S. de R.L.,Kenia Celina  Fernandez Suazo,2213-1393,kcelina.fernandez@yahoo.com,-
ocds-lcuori-234376,ocds-lcuori-234376/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234376,ocds-lcuori-234376/1-contract,lzlBXK-wr13yl,GERENCIA ADMINISTRATIVA HOSPITAL GENERAL SAN FELIPE,lzlBXK-wr13yl,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234376,ocds-lcuori-234376/1-contract,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE,lzlBXK-wr13yl-xzkQKd,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234376,ocds-lcuori-234376/1-contract,HN-RTN-08019007507626,NIPRO MEDICAL CORPORACION,08019007507626,HN-RTN,supplier,Honduras,"Col. 21 de octubre inicio del anillo periferico, contiguo a tecnica europea.Francisco Morazan, Distrito Central",NIPRO MEDICAL CORPORACION,Marco Tulio  Velasquez Navarro,2236-8110,marcov@nipromed.com,-
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,lzlBXK-wr13yl,GERENCIA ADMINISTRATIVA HOSPITAL GENERAL SAN FELIPE,lzlBXK-wr13yl,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE,lzlBXK-wr13yl-xzkQKd,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,HN-RTN-08019007507626,NIPRO MEDICAL CORPORACION,08019007507626,HN-RTN,supplier,Honduras,"Col. 21 de octubre inicio del anillo periferico, contiguo a tecnica europea.Francisco Morazan, Distrito Central",NIPRO MEDICAL CORPORACION,Marco Tulio  Velasquez Navarro,2236-8110,marcov@nipromed.com,-
ocds-lcuori-234378,ocds-lcuori-234378/1-contract,wrLvdy,Instituto Nacional de Prevision del Magisterio,wrLvdy,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234378,ocds-lcuori-234378/1-contract,wrLvdy-byP1K8,GERENCIA CENTRAL,wrLvdy-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234378,ocds-lcuori-234378/1-contract,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO,wrLvdy-byP1K8-by4Gzd,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234378,ocds-lcuori-234378/1-contract,HN-RTN-08019002272161,Healthcare products Centroamerica S de R.L.,08019002272161,HN-RTN,supplier,Honduras,"COLONIA ROBLE OESTE, 3a CALLE SUR BLOQUE EFrancisco Morazan, Distrito Central",Healthcare Products Centroamerica S de R.L,Leonardo Rene Paz Centeno,2233-4231,lpaz.hc@outlook.com,-
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,lzlBXK-5zp8zA,GERENCIA ADMINISTRATIVA HOSPITAL SANTA BARBARA,lzlBXK-5zp8zA,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,lzlBXK-5zp8zA-xK3qzP,DIRECCION HOSPITAL DE SANTA BARBARA,lzlBXK-5zp8zA-xK3qzP,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,HN-RTN-08019002272161,Healthcare products Centroamerica S de R.L.,08019002272161,HN-RTN,supplier,Honduras,"COLONIA ROBLE OESTE, 3a CALLE SUR BLOQUE EFrancisco Morazan, Distrito Central",Healthcare Products Centroamerica S de R.L,Leonardo Rene Paz Centeno,2233-4231,lpaz.hc@outlook.com,-
ocds-lcuori-234387,ocds-lcuori-234387/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234387,ocds-lcuori-234387/1-contract,lzlBXK-5zp8zA,GERENCIA ADMINISTRATIVA HOSPITAL SANTA BARBARA,lzlBXK-5zp8zA,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234387,ocds-lcuori-234387/1-contract,lzlBXK-5zp8zA-xK3qzP,DIRECCION HOSPITAL DE SANTA BARBARA,lzlBXK-5zp8zA-xK3qzP,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234387,ocds-lcuori-234387/1-contract,HN-RTN-08019002272161,Healthcare products Centroamerica S de R.L.,08019002272161,HN-RTN,supplier,Honduras,"COLONIA ROBLE OESTE, 3a CALLE SUR BLOQUE EFrancisco Morazan, Distrito Central",Healthcare Products Centroamerica S de R.L,Leonardo Rene Paz Centeno,2233-4231,lpaz.hc@outlook.com,-
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,lzlBXK-by4Gzd,GERENCIA ADMINISTRATIVA HOSPITAL GABRIELA ALVARADO,lzlBXK-by4Gzd,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,lzlBXK-by4Gzd-RyYNKL,DIRECCION HOSPITAL GABRIELA ALVARADO,lzlBXK-by4Gzd-RyYNKL,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,HN-RTN-08019002272161,Healthcare products Centroamerica S de R.L.,08019002272161,HN-RTN,supplier,Honduras,"COLONIA ROBLE OESTE, 3a CALLE SUR BLOQUE EFrancisco Morazan, Distrito Central",Healthcare Products Centroamerica S de R.L,Leonardo Rene Paz Centeno,2233-4231,lpaz.hc@outlook.com,-
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,wrLQmz,Universidad Nacional de Agricultura,wrLQmz,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,wrLQmz-byP1K8,GERENCIA CENTRAL,wrLQmz-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,wrLQmz-byP1K8-byP1K8,RECTORIA,wrLQmz-byP1K8-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,HN-RTN-08019007507626,NIPRO MEDICAL CORPORACION,08019007507626,HN-RTN,supplier,Honduras,"Col. 21 de octubre inicio del anillo periferico, contiguo a tecnica europea.Francisco Morazan, Distrito Central",NIPRO MEDICAL CORPORACION,Marco Tulio  Velasquez Navarro,2236-8110,marcov@nipromed.com,-
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,lzlBXK-wrL0Br,GERENCIA ADMINISTRATIVA DEPARTAMENTO DE YORO,lzlBXK-wrL0Br,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,lzlBXK-wrL0Br-NzBBWz,DIRECCION DEPARTAMENTAL DE YORO,lzlBXK-wrL0Br-NzBBWz,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,HN-RTN-03039015766793,Drogueria y Distribuiciones Diversas de Centroamerica S. de R.L.,03039015766793,HN-RTN,supplier,Honduras,"Barrio Abajo, Media cuadra del Centro de Salud, Casa de Esquina Color Blanco, ComayaguaComayagua, Comayagua",Drogueria y Distribuiciones Diversas de Centroamerica S. de R.L.,Kenia Celina  Fernandez Suazo,2213-1393,kcelina.fernandez@yahoo.com,-
ocds-lcuori-234391,ocds-lcuori-234391/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234391,ocds-lcuori-234391/1-contract,lzlBXK-wr13yl,GERENCIA ADMINISTRATIVA HOSPITAL GENERAL SAN FELIPE,lzlBXK-wr13yl,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234391,ocds-lcuori-234391/1-contract,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE,lzlBXK-wr13yl-xzkQKd,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234391,ocds-lcuori-234391/1-contract,HN-RTN-08019002272161,Healthcare products Centroamerica S de R.L.,08019002272161,HN-RTN,supplier,Honduras,"COLONIA ROBLE OESTE, 3a CALLE SUR BLOQUE EFrancisco Morazan, Distrito Central",Healthcare Products Centroamerica S de R.L,Leonardo Rene Paz Centeno,2233-4231,lpaz.hc@outlook.com,-
ocds-lcuori-234392,ocds-lcuori-234392/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234392,ocds-lcuori-234392/1-contract,lzlBXK-byP1K8,GERENCIA CENTRAL,lzlBXK-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234392,ocds-lcuori-234392/1-contract,lzlBXK-byP1K8-7zv0MK,Hospital de Occidente,lzlBXK-byP1K8-7zv0MK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234392,ocds-lcuori-234392/1-contract,HN-RTN-08019009254693,CORPORACION MEDICA S. DE R.L. DE C.V.,08019009254693,HN-RTN,supplier,Honduras,"Colonia El Pedregal, Complejo Caprisa Bodega 21-BFrancisco Morazan, Distrito Central",CORPORACION MEDICA S. DE R.L. DE C.V.,QUEBIN RAMON NU?EZ GARCIA,2246-8026,knunez@corporacionmedica.com,-
ocds-lcuori-234393,ocds-lcuori-234393/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234393,ocds-lcuori-234393/1-contract,lzlBXK-wr13yl,GERENCIA ADMINISTRATIVA HOSPITAL GENERAL SAN FELIPE,lzlBXK-wr13yl,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234393,ocds-lcuori-234393/1-contract,lzlBXK-wr13yl-xzkQKd,DIRECCION HOSPITAL GENERAL SAN FELIPE,lzlBXK-wr13yl-xzkQKd,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234393,ocds-lcuori-234393/1-contract,HN-RTN-08019009254693,CORPORACION MEDICA S. DE R.L. DE C.V.,08019009254693,HN-RTN,supplier,Honduras,"Colonia El Pedregal, Complejo Caprisa Bodega 21-BFrancisco Morazan, Distrito Central",CORPORACION MEDICA S. DE R.L. DE C.V.,QUEBIN RAMON NU?EZ GARCIA,2246-8026,knunez@corporacionmedica.com,-
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,wrLQmz,Universidad Nacional de Agricultura,wrLQmz,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,wrLQmz-byP1K8,GERENCIA CENTRAL,wrLQmz-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,wrLQmz-byP1K8-byP1K8,RECTORIA,wrLQmz-byP1K8-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,HN-RTN-05029995001355,YIP SUPERMERCADOS SA DE CV,05029995001355,HN-RTN,supplier,Honduras,"Contiguo a la Camara Junior, ComayaguelaFrancisco Morazan, Distrito Central",YIP SUPERMERCADOS SA DE CV,Sun Wa  Yip Chou,2225-3557,s_yip@yahoo.com,-
ocds-lcuori-234395,ocds-lcuori-234395/1-contract,wrLQmz,Universidad Nacional de Agricultura,wrLQmz,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234395,ocds-lcuori-234395/1-contract,wrLQmz-byP1K8,GERENCIA CENTRAL,wrLQmz-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234395,ocds-lcuori-234395/1-contract,wrLQmz-byP1K8-byP1K8,RECTORIA,wrLQmz-byP1K8-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234395,ocds-lcuori-234395/1-contract,HN-RTN-05029995001355,YIP SUPERMERCADOS SA DE CV,05029995001355,HN-RTN,supplier,Honduras,"Contiguo a la Camara Junior, ComayaguelaFrancisco Morazan, Distrito Central",YIP SUPERMERCADOS SA DE CV,Sun Wa  Yip Chou,2225-3557,s_yip@yahoo.com,-
ocds-lcuori-234396,ocds-lcuori-234396/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234396,ocds-lcuori-234396/1-contract,lzlBXK-wrL0Br,GERENCIA ADMINISTRATIVA DEPARTAMENTO DE YORO,lzlBXK-wrL0Br,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234396,ocds-lcuori-234396/1-contract,lzlBXK-wrL0Br-NzBBWz,DIRECCION DEPARTAMENTAL DE YORO,lzlBXK-wrL0Br-NzBBWz,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234396,ocds-lcuori-234396/1-contract,HN-RTN-05019006504436,"ANPHAR, S.A de C.V",05019006504436,HN-RTN,supplier,Honduras,"Municipio: San Pedro Sula
Direccion legal: Salida a la lima, complejo confecciones el varon, sureste urbano el sauce zona industrial 2 calle 18 avenidaCortes, San Pedro Sula","ANPHAR, S.A de C.V",Andres Eduardo Chahin Uscategui,2557-9558,angelicaoliva7@gmail.com,-
ocds-lcuori-234397,ocds-lcuori-234397/1-contract,wrLQmz,Universidad Nacional de Agricultura,wrLQmz,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234397,ocds-lcuori-234397/1-contract,wrLQmz-byP1K8,GERENCIA CENTRAL,wrLQmz-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234397,ocds-lcuori-234397/1-contract,wrLQmz-byP1K8-byP1K8,RECTORIA,wrLQmz-byP1K8-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234397,ocds-lcuori-234397/1-contract,HN-RTN-05029995001355,YIP SUPERMERCADOS SA DE CV,05029995001355,HN-RTN,supplier,Honduras,"Contiguo a la Camara Junior, ComayaguelaFrancisco Morazan, Distrito Central",YIP SUPERMERCADOS SA DE CV,Sun Wa  Yip Chou,2225-3557,s_yip@yahoo.com,-
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,rNxg0y,"Secretaria de Gobernacion, Justicia y Descentralizacion",rNxg0y,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,rNxg0y-byP1K8,Gerencia Central,rNxg0y-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,rNxg0y-byP1K8-byP1K8,Unidad Central,rNxg0y-byP1K8-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,HN-RTN-05029995001355,YIP SUPERMERCADOS SA DE CV,05029995001355,HN-RTN,supplier,Honduras,"Contiguo a la Camara Junior, ComayaguelaFrancisco Morazan, Distrito Central",YIP SUPERMERCADOS SA DE CV,Sun Wa  Yip Chou,2225-3557,s_yip@yahoo.com,-
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,lzlBXK-VyOdKM,GERENCIA ADMINISTRATIVA HOSPITAL SAN FRANCISCO,lzlBXK-VyOdKM,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,lzlBXK-VyOdKM-lzWOzp,DIRECCION HOSPITAL SAN FRANCISCO,lzlBXK-VyOdKM-lzWOzp,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,HN-RTN-08019002272161,Healthcare products Centroamerica S de R.L.,08019002272161,HN-RTN,supplier,Honduras,"COLONIA ROBLE OESTE, 3a CALLE SUR BLOQUE EFrancisco Morazan, Distrito Central",Healthcare Products Centroamerica S de R.L,Leonardo Rene Paz Centeno,2233-4231,lpaz.hc@outlook.com,-
ocds-lcuori-234400,ocds-lcuori-234400/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234400,ocds-lcuori-234400/1-contract,lzlBXK-VyOdKM,GERENCIA ADMINISTRATIVA HOSPITAL SAN FRANCISCO,lzlBXK-VyOdKM,X-HN-ONCAE-CE,buyer,,,,,,,
