ocid,id,tender/id,tender/documents/0/id,tender/documents/0/description,tender/documents/0/documentType,tender/documents/0/title,tender/documents/0/format,tender/documents/0/datePublished,tender/documents/0/url
ocds-lcuori-2LmqDL-LPuNO-01-AMDC-16-2020-2,ocds-lcuori-2LmqDL-LPuNO-01-AMDC-16-2020-2/2,2LmqDL-LPuNO-01-AMDC-16-2020-2,146043,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-06T10:15:24.517000-06:00,http://h1.honducompras.gob.hn/Docs/Lic221LPuNO-01-AMDC-16-2020201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-kR0qDr-LPN-007-2019-2,ocds-lcuori-kR0qDr-LPN-007-2019-2/1,kR0qDr-LPN-007-2019-2,146050,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-06T11:15:50.233000-06:00,http://h1.honducompras.gob.hn/Docs/Lic156LPN-007-2019100-AvisodePrensa.pdf
ocds-lcuori-gRN9jG-LPN SS FAHSL 003 2020-2,ocds-lcuori-gRN9jG-LPN SS FAHSL 003 2020-2/1,gRN9jG-LPN SS FAHSL 003 2020-2,146059,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-06T11:51:27.823000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1030LPN%20SS%20FAHSL%20003%202020100-AvisodePrensa.pdf
ocds-lcuori-gRN9jG-LPN SS FAHSL 003 2020-2,ocds-lcuori-gRN9jG-LPN SS FAHSL 003 2020-2/1,gRN9jG-LPN SS FAHSL 003 2020-2,146060,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-06T11:51:54.750000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1030LPN%20SS%20FAHSL%20003%202020201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-MLQnAG-LP-Nº006-HGS-2020-2,ocds-lcuori-MLQnAG-LP-Nº006-HGS-2020-2/1,MLQnAG-LP-Nº006-HGS-2020-2,146065,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2020-03-06T14:14:08.347000-06:00,http://h1.honducompras.gob.hn/Docs/Lic93LP-N%C2%BA006-HGS-2020100-AvisodePrensa.docx
ocds-lcuori-MLQnAG-LP-Nº006-HGS-2020-2,ocds-lcuori-MLQnAG-LP-Nº006-HGS-2020-2/1,MLQnAG-LP-Nº006-HGS-2020-2,146066,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2020-03-06T14:14:33.040000-06:00,http://h1.honducompras.gob.hn/Docs/Lic93LP-N%C2%BA006-HGS-2020201-PliegooTerminosdeReferencia.docx
ocds-lcuori-orvkNL-LPN No.11-2020-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.11-2020-SEAF-UNAH-2/2,orvkNL-LPN No.11-2020-SEAF-UNAH-2,146078,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-07T13:36:50.063000-06:00,http://h1.honducompras.gob.hn/Docs/Lic907LPN%20No.11-2020-SEAF-UNAH100-AvisodePrensa.pdf
ocds-lcuori-orvkNL-LPN No.11-2020-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.11-2020-SEAF-UNAH-2/2,orvkNL-LPN No.11-2020-SEAF-UNAH-2,146079,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-07T13:37:14.880000-06:00,http://h1.honducompras.gob.hn/Docs/Lic907LPN%20No.11-2020-SEAF-UNAH201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-orvkNL-LPN No.11-2020-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.11-2020-SEAF-UNAH-2/2,orvkNL-LPN No.11-2020-SEAF-UNAH-2,146813,Enmienda o Adendum,x_amendment,Enmienda o Adendum,application/pdf,2020-04-10T11:06:03.380000-06:00,http://h1.honducompras.gob.hn/Docs/Lic907LPN%20No.11-2020-SEAF-UNAH402-EnmiendaoAdendum.pdf
ocds-lcuori-Er6jdr-PGRD-02-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-02-LPN-B-2020-2/3,Er6jdr-PGRD-02-LPN-B-2020-2,146114,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-09T10:56:35.480000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-02-LPN-B-2020100-AvisodePrensa.pdf
ocds-lcuori-Er6jdr-PGRD-02-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-02-LPN-B-2020-2/3,Er6jdr-PGRD-02-LPN-B-2020-2,146116,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-09T10:58:53.543000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-02-LPN-B-2020201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-Er6jdr-PGRD-02-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-02-LPN-B-2020-2/3,Er6jdr-PGRD-02-LPN-B-2020-2,146580,Enmienda o Adendum,x_amendment,Enmienda o Adendum,application/pdf,2020-03-27T10:09:42.047000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-02-LPN-B-2020402-EnmiendaoAdendum.pdf
ocds-lcuori-Er6jdr-PGRD-02-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-02-LPN-B-2020-2/3,Er6jdr-PGRD-02-LPN-B-2020-2,146636,Aclaratoria,clarifications,Aclaratoria,application/pdf,2020-03-31T15:19:50.860000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-02-LPN-B-2020503-Aclaratoria.pdf
ocds-lcuori-Er6jdr-PGRD-03-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-03-LPN-B-2020-2/3,Er6jdr-PGRD-03-LPN-B-2020-2,146088,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-09T08:16:50.417000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-03-LPN-B-2020100-AvisodePrensa.pdf
ocds-lcuori-Er6jdr-PGRD-03-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-03-LPN-B-2020-2/3,Er6jdr-PGRD-03-LPN-B-2020-2,146089,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-09T08:17:01.293000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-03-LPN-B-2020201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-Er6jdr-PGRD-03-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-03-LPN-B-2020-2/3,Er6jdr-PGRD-03-LPN-B-2020-2,146581,Enmienda o Adendum,x_amendment,Enmienda o Adendum,application/pdf,2020-03-27T10:10:26.833000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-03-LPN-B-2020402-EnmiendaoAdendum.pdf
ocds-lcuori-Er6jdr-PGRD-03-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-03-LPN-B-2020-2/3,Er6jdr-PGRD-03-LPN-B-2020-2,146637,Enmienda o Adendum,x_amendment,Enmienda o Adendum,application/pdf,2020-03-31T15:21:09.110000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-03-LPN-B-2020403-EnmiendaoAdendum.pdf
ocds-lcuori-Er6jdr-PGRD-03-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-03-LPN-B-2020-2/3,Er6jdr-PGRD-03-LPN-B-2020-2,146638,Aclaratoria,clarifications,Aclaratoria,application/pdf,2020-03-31T15:21:54.287000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-03-LPN-B-2020504-Aclaratoria.pdf
ocds-lcuori-Er6jdr-PGRD-05-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-05-LPN-B-2020-2/3,Er6jdr-PGRD-05-LPN-B-2020-2,146092,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-09T08:24:43.673000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-05-LPN-B-2020100-AvisodePrensa.pdf
ocds-lcuori-Er6jdr-PGRD-05-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-05-LPN-B-2020-2/3,Er6jdr-PGRD-05-LPN-B-2020-2,146093,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-09T08:39:28.400000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-05-LPN-B-2020201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-Er6jdr-PGRD-05-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-05-LPN-B-2020-2/3,Er6jdr-PGRD-05-LPN-B-2020-2,146583,Enmienda o Adendum,x_amendment,Enmienda o Adendum,application/pdf,2020-03-27T10:12:11.300000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-05-LPN-B-2020402-EnmiendaoAdendum.pdf
ocds-lcuori-Er6jdr-PGRD-05-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-05-LPN-B-2020-2/3,Er6jdr-PGRD-05-LPN-B-2020-2,146791,Enmienda o Adendum,x_amendment,Enmienda o Adendum,application/pdf,2020-04-09T12:51:09.240000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-05-LPN-B-2020403-EnmiendaoAdendum.pdf
ocds-lcuori-Er6jdr-PGRD-05-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-05-LPN-B-2020-2/3,Er6jdr-PGRD-05-LPN-B-2020-2,146794,Aclaratoria,clarifications,Aclaratoria,application/pdf,2020-04-09T13:30:55.953000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-05-LPN-B-2020504-Aclaratoria.pdf
ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2,ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2/1,PR8Q5r-02-LP-IHT-2020-2,146095,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-09T09:22:46.007000-06:00,http://h1.honducompras.gob.hn/Docs/Lic113602-LP-IHT-2020101-AvisodePrensa.pdf
ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2,ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2/1,PR8Q5r-02-LP-IHT-2020-2,146096,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-09T09:23:12.653000-06:00,http://h1.honducompras.gob.hn/Docs/Lic113602-LP-IHT-2020102-AvisodePrensa.pdf
ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2,ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2/1,PR8Q5r-02-LP-IHT-2020-2,146097,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-09T09:23:51.053000-06:00,http://h1.honducompras.gob.hn/Docs/Lic113602-LP-IHT-2020103-AvisodePrensa.pdf
ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2,ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2/1,PR8Q5r-02-LP-IHT-2020-2,146098,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-09T09:24:57.997000-06:00,http://h1.honducompras.gob.hn/Docs/Lic113602-LP-IHT-2020104-AvisodePrensa.pdf
ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2,ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2/1,PR8Q5r-02-LP-IHT-2020-2,146099,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-09T09:25:15.747000-06:00,http://h1.honducompras.gob.hn/Docs/Lic113602-LP-IHT-2020105-AvisodePrensa.pdf
ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2,ocds-lcuori-PR8Q5r-02-LP-IHT-2020-2/1,PR8Q5r-02-LP-IHT-2020-2,146094,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-09T09:22:09.480000-06:00,http://h1.honducompras.gob.hn/Docs/Lic113602-LP-IHT-2020200-PliegooTerminosdeReferencia.pdf
ocds-lcuori-2LmqDL-CPuNO-08-AMDC-15-2020-2,ocds-lcuori-2LmqDL-CPuNO-08-AMDC-15-2020-2/1,2LmqDL-CPuNO-08-AMDC-15-2020-2,146115,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-09T10:56:55.207000-06:00,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-08-AMDC-15-2020100-AvisodePrensa.pdf
ocds-lcuori-2LmqDL-CPuNO-08-AMDC-15-2020-2,ocds-lcuori-2LmqDL-CPuNO-08-AMDC-15-2020-2/1,2LmqDL-CPuNO-08-AMDC-15-2020-2,146157,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-09T15:57:17.630000-06:00,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-08-AMDC-15-2020201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-JL7OdL-LP 008-2020 FHLMV-2,ocds-lcuori-JL7OdL-LP 008-2020 FHLMV-2/3,JL7OdL-LP 008-2020 FHLMV-2,146125,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2020-03-09T13:53:16.877000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1043LP%20008-2020%20FHLMV200-PliegooTerminosdeReferencia.docx
ocds-lcuori-JL7OdL-LP 008-2020 FHLMV-2,ocds-lcuori-JL7OdL-LP 008-2020 FHLMV-2/3,JL7OdL-LP 008-2020 FHLMV-2,146558,Enmienda o Adendum,x_amendment,Enmienda o Adendum,image/jpeg,2020-03-26T09:41:01.970000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1043LP%20008-2020%20FHLMV401-EnmiendaoAdendum.jpg
ocds-lcuori-2Lmz0G-LPN-001-2020-2,ocds-lcuori-2Lmz0G-LPN-001-2020-2/2,2Lmz0G-LPN-001-2020-2,146127,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-09T13:55:16.040000-06:00,http://h1.honducompras.gob.hn/Docs/Lic165LPN-001-2020100-AvisodePrensa.pdf
ocds-lcuori-2Lmz0G-LPN-001-2020-2,ocds-lcuori-2Lmz0G-LPN-001-2020-2/2,2Lmz0G-LPN-001-2020-2,146128,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-09T13:56:16.190000-06:00,http://h1.honducompras.gob.hn/Docs/Lic165LPN-001-2020201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-2Lmz0G-LPN-001-2020-2,ocds-lcuori-2Lmz0G-LPN-001-2020-2/2,2Lmz0G-LPN-001-2020-2,146762,Enmienda o Adendum,x_amendment,Enmienda o Adendum,application/pdf,2020-04-08T11:35:53.537000-06:00,http://h1.honducompras.gob.hn/Docs/Lic165LPN-001-2020402-EnmiendaoAdendum.pdf
ocds-lcuori-2Lmz0G-LPN-002-2020-2,ocds-lcuori-2Lmz0G-LPN-002-2020-2/2,2Lmz0G-LPN-002-2020-2,146133,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-09T14:09:01.717000-06:00,http://h1.honducompras.gob.hn/Docs/Lic165LPN-002-2020100-AvisodePrensa.pdf
ocds-lcuori-2Lmz0G-LPN-002-2020-2,ocds-lcuori-2Lmz0G-LPN-002-2020-2/2,2Lmz0G-LPN-002-2020-2,146134,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-09T14:09:17.707000-06:00,http://h1.honducompras.gob.hn/Docs/Lic165LPN-002-2020201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-2Lmz0G-LPN-002-2020-2,ocds-lcuori-2Lmz0G-LPN-002-2020-2/2,2Lmz0G-LPN-002-2020-2,146761,Enmienda o Adendum,x_amendment,Enmienda o Adendum,application/pdf,2020-04-08T11:34:37.290000-06:00,http://h1.honducompras.gob.hn/Docs/Lic165LPN-002-2020402-EnmiendaoAdendum.pdf
ocds-lcuori-JL7OdL-LP 010-2020 FHLMV-2,ocds-lcuori-JL7OdL-LP 010-2020 FHLMV-2/3,JL7OdL-LP 010-2020 FHLMV-2,146132,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2020-03-09T14:08:43.877000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1043LP%20010-2020%20FHLMV200-PliegooTerminosdeReferencia.docx
ocds-lcuori-JL7OdL-LP 010-2020 FHLMV-2,ocds-lcuori-JL7OdL-LP 010-2020 FHLMV-2/3,JL7OdL-LP 010-2020 FHLMV-2,146560,Enmienda o Adendum,x_amendment,Enmienda o Adendum,image/jpeg,2020-03-26T09:42:00.100000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1043LP%20010-2020%20FHLMV401-EnmiendaoAdendum.jpg
ocds-lcuori-jRDkVG-LP-05-2020-2,ocds-lcuori-jRDkVG-LP-05-2020-2/2,jRDkVG-LP-05-2020-2,146140,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2020-03-09T14:16:47.133000-06:00,http://h1.honducompras.gob.hn/Docs/Lic92LP-05-2020100-AvisodePrensa.xlsx
ocds-lcuori-jRDkVG-LP-05-2020-2,ocds-lcuori-jRDkVG-LP-05-2020-2/2,jRDkVG-LP-05-2020-2,146141,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2020-03-09T14:16:53.557000-06:00,http://h1.honducompras.gob.hn/Docs/Lic92LP-05-2020101-AvisodePrensa.xlsx
ocds-lcuori-jRDkVG-LP-05-2020-2,ocds-lcuori-jRDkVG-LP-05-2020-2/2,jRDkVG-LP-05-2020-2,146142,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2020-03-09T14:17:00.727000-06:00,http://h1.honducompras.gob.hn/Docs/Lic92LP-05-2020202-PliegooTerminosdeReferencia.doc
ocds-lcuori-JL7OdL-LP 018-2020 FHLMV-2,ocds-lcuori-JL7OdL-LP 018-2020 FHLMV-2/3,JL7OdL-LP 018-2020 FHLMV-2,146178,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2020-03-10T09:25:54.230000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1043LP%20018-2020%20FHLMV200-PliegooTerminosdeReferencia.docx
ocds-lcuori-JL7OdL-LP 018-2020 FHLMV-2,ocds-lcuori-JL7OdL-LP 018-2020 FHLMV-2/3,JL7OdL-LP 018-2020 FHLMV-2,146564,Enmienda o Adendum,x_amendment,Enmienda o Adendum,image/jpeg,2020-03-26T09:50:39.317000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1043LP%20018-2020%20FHLMV401-EnmiendaoAdendum.jpg
ocds-lcuori-yRlaDr-LP-001-2020-RSDCH-2,ocds-lcuori-yRlaDr-LP-001-2020-RSDCH-2/2,yRlaDr-LP-001-2020-RSDCH-2,146153,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2020-03-09T15:01:15.400000-06:00,http://h1.honducompras.gob.hn/Docs/Lic76LP-001-2020-RSDCH200-PliegooTerminosdeReferencia.docx
ocds-lcuori-yRlaDr-LP-001-2020-RSDCH-2,ocds-lcuori-yRlaDr-LP-001-2020-RSDCH-2/2,yRlaDr-LP-001-2020-RSDCH-2,146601,Acta de Recepcion y Apertura de Ofertas,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,image/jpeg,2020-03-30T13:51:01.250000-06:00,http://h1.honducompras.gob.hn/Docs/Lic76LP-001-2020-RSDCH601-ActadeRecepcionyAperturadeOfertas.jpg
ocds-lcuori-yRlaDr-LP-002-2020-RDSCH-2,ocds-lcuori-yRlaDr-LP-002-2020-RDSCH-2/2,yRlaDr-LP-002-2020-RDSCH-2,146155,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2020-03-09T15:43:28.257000-06:00,http://h1.honducompras.gob.hn/Docs/Lic76LP-002-2020-RDSCH200-PliegooTerminosdeReferencia.docx
ocds-lcuori-yRlaDr-LP-002-2020-RDSCH-2,ocds-lcuori-yRlaDr-LP-002-2020-RDSCH-2/2,yRlaDr-LP-002-2020-RDSCH-2,146603,Acta de Recepcion y Apertura de Ofertas,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,image/jpeg,2020-03-30T14:00:02.517000-06:00,http://h1.honducompras.gob.hn/Docs/Lic76LP-002-2020-RDSCH601-ActadeRecepcionyAperturadeOfertas.jpg
ocds-lcuori-mGE4eL-CPN-SEDECOAS-FHIS-09-2020-2,ocds-lcuori-mGE4eL-CPN-SEDECOAS-FHIS-09-2020-2/1,mGE4eL-CPN-SEDECOAS-FHIS-09-2020-2,146160,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-09T16:42:32.407000-06:00,http://h1.honducompras.gob.hn/Docs/Lic742CPN-SEDECOAS-FHIS-09-2020100-AvisodePrensa.pdf
ocds-lcuori-mGE4eL-CPN-SEDECOAS-FHIS-09-2020-2,ocds-lcuori-mGE4eL-CPN-SEDECOAS-FHIS-09-2020-2/1,mGE4eL-CPN-SEDECOAS-FHIS-09-2020-2,146161,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-09T16:42:40.420000-06:00,http://h1.honducompras.gob.hn/Docs/Lic742CPN-SEDECOAS-FHIS-09-2020201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-vGZ5wL-001-PPBH2020-ICE-2020-2,ocds-lcuori-vGZ5wL-001-PPBH2020-ICE-2020-2/3,vGZ5wL-001-PPBH2020-ICE-2020-2,146164,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2020-03-09T18:38:00.103000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1117001-PPBH2020-ICE-2020100-AvisodePrensa.docx
ocds-lcuori-vGZ5wL-001-PPBH2020-ICE-2020-2,ocds-lcuori-vGZ5wL-001-PPBH2020-ICE-2020-2/3,vGZ5wL-001-PPBH2020-ICE-2020-2,146331,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2020-03-12T18:43:41.893000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1117001-PPBH2020-ICE-2020202-PliegooTerminosdeReferencia.docx
ocds-lcuori-vGZ5wL-001-PPBH2020-ICE-2020-2,ocds-lcuori-vGZ5wL-001-PPBH2020-ICE-2020-2/3,vGZ5wL-001-PPBH2020-ICE-2020-2,146832,Anexos al Pliego ,x_solicitationDocumentAnnexe,Anexos al Pliego ,application/pdf,2020-04-12T13:04:30.657000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1117001-PPBH2020-ICE-20201402-AnexosalPliego.pdf
