ocid,id,buyer/id,buyer/name,language,tender/id,tender/procurementMethod,tender/statusDetails,tender/tenderPeriod/endDate,tender/tenderPeriod/startDate,tender/enquiryPeriod/endDate,tender/enquiryPeriod/startDate,tender/title,tender/localProcurementCategory,tender/status,tender/procurementMethodDetails,tender/datePublished,tender/procuringEntity/id,tender/procuringEntity/name,tag,date,initiationType,publisher/name,tender/description,tender/mainProcurementCategory,planning/budget/id,tender/additionalProcurementCategories
ocds-lcuori-XRbOkr-CS-CSJ-2019-1434-1,ocds-lcuori-XRbOkr-CS-CSJ-2019-1434-1/1,XRbOkr-gRNyG6,Compras y Suministros,es,XRbOkr-CS-CSJ-2019-1434-1,open,Elaboración,2019-12-17T17:24:00-06:00,2019-12-02T17:24:00-06:00,2019-12-17T17:24:00-06:00,2019-12-02T17:24:00-06:00,CS-CSJ-2019-1434,goodsOrServices,planned,Compra Menor,2020-03-05T17:23:55.580000-06:00,XRbOkr-gRNyG6,Compras y Suministros,tender,2020-03-05T17:23:55.580000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-XRbOkr-CS-CSJ-2020-0210-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0210-1/1,XRbOkr-gRNyG6,Compras y Suministros,es,XRbOkr-CS-CSJ-2020-0210-1,open,Elaboración,2020-02-21T17:54:00-06:00,2020-02-03T17:54:00-06:00,2020-02-21T17:54:00-06:00,2020-02-03T17:54:00-06:00,CS-CSJ-2020-0210,goodsOrServices,planned,Compra Menor,2020-03-05T17:54:30.153000-06:00,XRbOkr-gRNyG6,Compras y Suministros,tender,2020-03-05T17:54:30.153000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-mGEqMG-COT-MJFB-01-2020-2,ocds-lcuori-mGEqMG-COT-MJFB-01-2020-2/1,mGEqMG-ERpYZr,Departamento de Presupuesto Municipal,es,mGEqMG-COT-MJFB-01-2020-2,direct,Recepción de Ofertas,2020-03-16T23:37:00-06:00,2020-03-05T23:36:00-06:00,2020-03-16T23:37:00-06:00,2020-03-05T23:36:00-06:00,COT-MJFB-01-2020,works,active,Contratación directa,2020-03-05T23:40:46.070000-06:00,mGEqMG-ERpYZr,Departamento de Presupuesto Municipal,tender,2020-03-05T23:40:46.070000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,Construcción de 3 Aulas en el Centro de Educación Básica Camilo Miralda,works,mGEqMG-COT-MJFB-01-2020-2,
ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2/4,Er6jdr-wrV3LP,Proyecto Gestion de Riesgos de Desastres ,es,Er6jdr-PGRD-01-LPN-B-2020-2,open,Recepción de Ofertas,2020-04-06T10:00:00-06:00,2020-03-06T08:00:00-06:00,2020-04-06T10:00:00-06:00,2020-03-06T08:00:00-06:00,PGRD-01-LPN-B-2020,goodsOrServices,active,Licitación pública nacional,2020-03-06T08:23:49.093000-06:00,Er6jdr-wrV3LP,Proyecto Gestion de Riesgos de Desastres ,tender,2020-03-06T08:23:49.093000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,"ADQUISICIÓN DE VEHÍCULOS 
PARA COPECO
",goods,Er6jdr-PGRD-01-LPN-B-2020-2,services
ocds-lcuori-JL7OdL-96-2020 FHLMV-1,ocds-lcuori-JL7OdL-96-2020 FHLMV-1/1,JL7OdL-mrYzL9,Fundación Hospital Leonardo Martínez,es,JL7OdL-96-2020 FHLMV-1,open,Recepción de Ofertas,2020-03-13T15:00:00-06:00,2020-03-06T08:00:00-06:00,2020-03-13T15:00:00-06:00,2020-03-06T08:00:00-06:00,96-2020 FHLMV,goodsOrServices,active,Compra Menor,2020-03-06T08:25:20.450000-06:00,JL7OdL-mrYzL9,Fundación Hospital Leonardo Martínez,tender,2020-03-06T08:25:20.450000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-JL7OdL-097-2020 FHLMV-1,ocds-lcuori-JL7OdL-097-2020 FHLMV-1/1,JL7OdL-mrYzL9,Fundación Hospital Leonardo Martínez,es,JL7OdL-097-2020 FHLMV-1,open,Recepción de Ofertas,2020-03-13T15:00:00-06:00,2020-03-06T08:18:00-06:00,2020-03-13T15:00:00-06:00,2020-03-06T08:18:00-06:00,097-2020 FHLMV,goodsOrServices,active,Compra Menor,2020-03-06T08:31:57.920000-06:00,JL7OdL-mrYzL9,Fundación Hospital Leonardo Martínez,tender,2020-03-06T08:31:57.920000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-gGyD4L-CM-165-MAT-HE-2020-1,ocds-lcuori-gGyD4L-CM-165-MAT-HE-2020-1/1,gGyD4L-mrYzL9,Hospital Escuela,es,gGyD4L-CM-165-MAT-HE-2020-1,open,Recepción de Ofertas,2020-03-13T08:41:00-06:00,2020-03-05T08:41:00-06:00,2020-03-13T08:41:00-06:00,2020-03-05T08:41:00-06:00,CM-165-MAT-HE-2020,goodsOrServices,active,Compra Menor,2020-03-06T08:41:53.773000-06:00,gGyD4L-mrYzL9,Hospital Escuela,tender,2020-03-06T08:41:53.773000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-JL7qER-1000020292-1,ocds-lcuori-JL7qER-1000020292-1/1,JL7qER-gLkyRb,Unidad Central,es,JL7qER-1000020292-1,open,Recepción de Ofertas,2020-03-06T08:43:00-06:00,2020-03-06T08:42:00-06:00,2020-03-06T08:43:00-06:00,2020-03-06T08:42:00-06:00,1000020292,goodsOrServices,active,Compra Menor,2020-03-06T08:42:20.730000-06:00,JL7qER-gLkyRb,Unidad Central,tender,2020-03-06T08:42:20.730000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-JL7qER-1000020293-1,ocds-lcuori-JL7qER-1000020293-1/1,JL7qER-gLkyRb,Unidad Central,es,JL7qER-1000020293-1,open,Recepción de Ofertas,2020-03-06T08:49:00-06:00,2020-03-06T08:48:00-06:00,2020-03-06T08:49:00-06:00,2020-03-06T08:48:00-06:00,1000020293,goodsOrServices,active,Compra Menor,2020-03-06T08:48:45.370000-06:00,JL7qER-gLkyRb,Unidad Central,tender,2020-03-06T08:48:45.370000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-gGyD4L-CM-109-MAT-HE-2020-1,ocds-lcuori-gGyD4L-CM-109-MAT-HE-2020-1/1,gGyD4L-mrYzL9,Hospital Escuela,es,gGyD4L-CM-109-MAT-HE-2020-1,open,Fracasados,2020-03-13T08:50:00-06:00,2020-03-06T08:50:00-06:00,2020-03-13T08:50:00-06:00,2020-03-06T08:50:00-06:00,CM-109-MAT-HE-2020,goodsOrServices,unsuccessful,Compra Menor,2020-03-06T08:50:47.830000-06:00,gGyD4L-mrYzL9,Hospital Escuela,tender,2020-03-06T08:50:47.830000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-JL7OdL-098-2020 fhlmv-1,ocds-lcuori-JL7OdL-098-2020 fhlmv-1/1,JL7OdL-mrYzL9,Fundación Hospital Leonardo Martínez,es,JL7OdL-098-2020 fhlmv-1,open,Recepción de Ofertas,2020-03-13T15:00:00-06:00,2020-03-06T08:00:00-06:00,2020-03-13T15:00:00-06:00,2020-03-06T08:00:00-06:00,098-2020 fhlmv,goodsOrServices,active,Compra Menor,2020-03-06T08:54:13.487000-06:00,JL7OdL-mrYzL9,Fundación Hospital Leonardo Martínez,tender,2020-03-06T08:54:13.487000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-gRNDyL-007-03-2020-1,ocds-lcuori-gRNDyL-007-03-2020-1/1,gRNDyL-mrYzL9,Región Departamental de Salud de Comayagua No.3,es,gRNDyL-007-03-2020-1,open,Recepción de Ofertas,2020-03-09T15:00:00-06:00,2020-03-06T08:00:00-06:00,2020-03-09T15:00:00-06:00,2020-03-06T08:00:00-06:00,007-03-2020,goodsOrServices,active,Compra Menor,2020-03-06T09:00:10.783000-06:00,gRNDyL-mrYzL9,Región Departamental de Salud de Comayagua No.3,tender,2020-03-06T09:00:10.783000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-orvPDG-CM-016-HGA-2020-1,ocds-lcuori-orvPDG-CM-016-HGA-2020-1/1,orvPDG-mrYzL9,Hospital Atlántida,es,orvPDG-CM-016-HGA-2020-1,open,Recepción de Ofertas,2020-03-12T09:07:00-06:00,2020-03-06T09:07:00-06:00,2020-03-12T09:07:00-06:00,2020-03-06T09:07:00-06:00,CM-016-HGA-2020,goodsOrServices,active,Compra Menor,2020-03-06T09:13:57.467000-06:00,orvPDG-mrYzL9,Hospital Atlántida,tender,2020-03-06T09:13:57.467000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-JL7OdL-099-2020 fhlmv-1,ocds-lcuori-JL7OdL-099-2020 fhlmv-1/1,JL7OdL-mrYzL9,Fundación Hospital Leonardo Martínez,es,JL7OdL-099-2020 fhlmv-1,open,Recepción de Ofertas,2020-03-13T15:00:00-06:00,2020-03-06T08:00:00-06:00,2020-03-13T15:00:00-06:00,2020-03-06T08:00:00-06:00,099-2020 fhlmv,goodsOrServices,active,Compra Menor,2020-03-06T09:16:28.200000-06:00,JL7OdL-mrYzL9,Fundación Hospital Leonardo Martínez,tender,2020-03-06T09:16:28.200000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-KLg9wR-CM-INJUPEMP-UDO-073-2020-1,ocds-lcuori-KLg9wR-CM-INJUPEMP-UDO-073-2020-1/1,KLg9wR-8L4pPL,Unidad Central,es,KLg9wR-CM-INJUPEMP-UDO-073-2020-1,open,Recepción de Ofertas,2020-03-10T09:40:00-06:00,2020-03-06T09:40:00-06:00,2020-03-10T09:40:00-06:00,2020-03-06T09:40:00-06:00,CM-INJUPEMP-UDO-073-2020,goodsOrServices,active,Compra Menor,2020-03-06T09:40:21.580000-06:00,KLg9wR-8L4pPL,Unidad Central,tender,2020-03-06T09:40:21.580000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-KLg9wR-CM-INJUPEMP-DE-074-2020-1,ocds-lcuori-KLg9wR-CM-INJUPEMP-DE-074-2020-1/1,KLg9wR-8L4pPL,Unidad Central,es,KLg9wR-CM-INJUPEMP-DE-074-2020-1,open,Recepción de Ofertas,2020-03-09T09:45:00-06:00,2020-03-06T09:45:00-06:00,2020-03-09T09:45:00-06:00,2020-03-06T09:45:00-06:00,CM-INJUPEMP-DE-074-2020,goodsOrServices,active,Compra Menor,2020-03-06T09:45:44.280000-06:00,KLg9wR-8L4pPL,Unidad Central,tender,2020-03-06T09:45:44.280000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-14-2020-2,ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-14-2020-2/1,2LmqDL-DL9QxL,Alcaldía Municipal del Distrito Central,es,2LmqDL-LPuNBS-05-AMDC-14-2020-2,open,Elaboración,2020-04-17T10:00:00-06:00,2020-03-06T00:00:00-06:00,2020-04-17T10:00:00-06:00,2020-03-06T00:00:00-06:00,LPuNBS-05-AMDC-14-2020,goodsOrServices,planned,Licitación pública nacional,2020-03-06T10:04:20.627000-06:00,2LmqDL-DL9QxL,Alcaldía Municipal del Distrito Central,tender,2020-03-06T10:04:20.627000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,Suministro de uniformes para los Policias Municipales de la AMDC,goods,2LmqDL-LPuNBS-05-AMDC-14-2020-2,services
ocds-lcuori-2LmqDL-LPuNO-01-AMDC-16-2020-2,ocds-lcuori-2LmqDL-LPuNO-01-AMDC-16-2020-2/2,2LmqDL-DL9QxL,Alcaldía Municipal del Distrito Central,es,2LmqDL-LPuNO-01-AMDC-16-2020-2,open,Elaboración,2020-03-24T00:00:00-06:00,2020-03-06T00:00:00-06:00,2020-03-24T00:00:00-06:00,2020-03-06T00:00:00-06:00,LPuNO-01-AMDC-16-2020,works,planned,Licitación pública nacional,2020-03-06T10:10:55.880000-06:00,2LmqDL-DL9QxL,Alcaldía Municipal del Distrito Central,tender,2020-03-06T10:10:55.880000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,"Código: 2701, Construcción de línea de conducción Jutiapa-Picacho",works,2LmqDL-LPuNO-01-AMDC-16-2020-2,
ocds-lcuori-MrMPYR-058-2020-1,ocds-lcuori-MrMPYR-058-2020-1/1,MrMPYR-grxELe,Unidad Central,es,MrMPYR-058-2020-1,open,Recepción de Ofertas,2020-03-09T10:27:00-06:00,2020-03-06T10:27:00-06:00,2020-03-09T10:27:00-06:00,2020-03-06T10:27:00-06:00,058-2020,goodsOrServices,active,Compra Menor,2020-03-06T10:27:48.127000-06:00,MrMPYR-grxELe,Unidad Central,tender,2020-03-06T10:27:48.127000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-ERpWgG-COTIZACION No.SRECI-080-2020-1,ocds-lcuori-ERpWgG-COTIZACION No.SRECI-080-2020-1/1,ERpWgG-Er6JrN,Sub Gerencia de Recursos Materiales y Servicios Generales,es,ERpWgG-COTIZACION No.SRECI-080-2020-1,open,Elaboración,2020-03-09T16:00:00-06:00,2020-03-06T10:38:00-06:00,2020-03-09T16:00:00-06:00,2020-03-06T10:38:00-06:00,COTIZACION No.SRECI-080-2020,goodsOrServices,planned,Compra Menor,2020-03-06T10:39:01.033000-06:00,ERpWgG-Er6JrN,Sub Gerencia de Recursos Materiales y Servicios Generales,tender,2020-03-06T10:39:01.033000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-orvPDG-CM-017-HGA-2020-1,ocds-lcuori-orvPDG-CM-017-HGA-2020-1/1,orvPDG-mrYzL9,Hospital Atlántida,es,orvPDG-CM-017-HGA-2020-1,open,Recepción de Ofertas,2020-03-16T10:51:00-06:00,2020-03-06T10:51:00-06:00,2020-03-16T10:51:00-06:00,2020-03-06T10:51:00-06:00,CM-017-HGA-2020,goodsOrServices,active,Compra Menor,2020-03-06T10:51:35.740000-06:00,orvPDG-mrYzL9,Hospital Atlántida,tender,2020-03-06T10:51:35.740000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-kR0qDr-LPN-007-2019-2,ocds-lcuori-kR0qDr-LPN-007-2019-2/1,kR0qDr-yRlDRg,Unidad Central,es,kR0qDr-LPN-007-2019-2,open,Revisado,2020-04-15T10:15:00-06:00,2020-03-06T11:11:00-06:00,2020-04-15T10:15:00-06:00,2020-03-06T11:11:00-06:00,LPN-007-2019,goodsOrServices,planned,Licitación pública nacional,2020-03-06T11:14:42.107000-06:00,kR0qDr-yRlDRg,Unidad Central,tender,2020-03-06T11:14:42.107000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,Licitación para Contratación de Servicios de Vigilancia para EL INPREMA a nivel nacional,goods,kR0qDr-LPN-007-2019-2,services
ocds-lcuori-KLg9wR-CM-INJUPEMP-UDO-073-1-2020-1,ocds-lcuori-KLg9wR-CM-INJUPEMP-UDO-073-1-2020-1/1,KLg9wR-8L4pPL,Unidad Central,es,KLg9wR-CM-INJUPEMP-UDO-073-1-2020-1,open,Recepción de Ofertas,2020-03-09T11:16:00-06:00,2020-03-06T11:15:00-06:00,2020-03-09T11:16:00-06:00,2020-03-06T11:15:00-06:00,CM-INJUPEMP-UDO-073-1-2020,goodsOrServices,active,Compra Menor,2020-03-06T11:16:07.827000-06:00,KLg9wR-8L4pPL,Unidad Central,tender,2020-03-06T11:16:07.827000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-KLg9wR-CM-INJUPEMP-RP-075-2020-1,ocds-lcuori-KLg9wR-CM-INJUPEMP-RP-075-2020-1/1,KLg9wR-8L4pPL,Unidad Central,es,KLg9wR-CM-INJUPEMP-RP-075-2020-1,open,Recepción de Ofertas,2020-03-09T11:18:00-06:00,2020-03-06T11:18:00-06:00,2020-03-09T11:18:00-06:00,2020-03-06T11:18:00-06:00,CM-INJUPEMP-RP-075-2020,goodsOrServices,active,Compra Menor,2020-03-06T11:18:26.407000-06:00,KLg9wR-8L4pPL,Unidad Central,tender,2020-03-06T11:18:26.407000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-Zr56vL-Cot.000093-2020-1,ocds-lcuori-Zr56vL-Cot.000093-2020-1/1,Zr56vL-jRDdVR,Unidad Central,es,Zr56vL-Cot.000093-2020-1,open,Recepción de Ofertas,2020-03-10T11:32:00-06:00,2020-03-06T11:30:00-06:00,2020-03-10T11:32:00-06:00,2020-03-06T11:30:00-06:00,Cot.000093-2020,goodsOrServices,active,Compra Menor,2020-03-06T11:31:11.023000-06:00,Zr56vL-jRDdVR,Unidad Central,tender,2020-03-06T11:31:11.023000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-Zr56vL-Cot.000096-2020-1,ocds-lcuori-Zr56vL-Cot.000096-2020-1/1,Zr56vL-jRDdVR,Unidad Central,es,Zr56vL-Cot.000096-2020-1,open,Recepción de Ofertas,2020-03-10T11:34:00-06:00,2020-03-06T11:33:00-06:00,2020-03-10T11:34:00-06:00,2020-03-06T11:33:00-06:00,Cot.000096-2020,goodsOrServices,active,Compra Menor,2020-03-06T11:34:08.977000-06:00,Zr56vL-jRDdVR,Unidad Central,tender,2020-03-06T11:34:08.977000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-7GXEMR-SENPRENDE-CM-0017-2020-1,ocds-lcuori-7GXEMR-SENPRENDE-CM-0017-2020-1/1,7GXEMR-7G31vr,Unidad Central,es,7GXEMR-SENPRENDE-CM-0017-2020-1,open,Elaboración,2020-03-10T11:34:00-06:00,2020-03-06T11:34:00-06:00,2020-03-10T11:34:00-06:00,2020-03-06T11:34:00-06:00,SENPRENDE-CM-0017-2020,goodsOrServices,planned,Compra Menor,2020-03-06T11:34:16.177000-06:00,7GXEMR-7G31vr,Unidad Central,tender,2020-03-06T11:34:16.177000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-gGyD4L-CM-109-MAT-HE-2020-B-1,ocds-lcuori-gGyD4L-CM-109-MAT-HE-2020-B-1/1,gGyD4L-mrYzL9,Hospital Escuela,es,gGyD4L-CM-109-MAT-HE-2020-B-1,open,Recepción de Ofertas,2020-03-13T11:37:00-06:00,2020-03-06T11:37:00-06:00,2020-03-13T11:37:00-06:00,2020-03-06T11:37:00-06:00,CM-109-MAT-HE-2020-B,goodsOrServices,active,Compra Menor,2020-03-06T11:37:40.963000-06:00,gGyD4L-mrYzL9,Hospital Escuela,tender,2020-03-06T11:37:40.963000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-Zr56vL-Cot.000097-2020-1,ocds-lcuori-Zr56vL-Cot.000097-2020-1/1,Zr56vL-jRDdVR,Unidad Central,es,Zr56vL-Cot.000097-2020-1,open,Recepción de Ofertas,2020-03-10T11:49:00-06:00,2020-03-06T11:48:00-06:00,2020-03-10T11:49:00-06:00,2020-03-06T11:48:00-06:00,Cot.000097-2020,goodsOrServices,active,Compra Menor,2020-03-06T11:49:06.297000-06:00,Zr56vL-jRDdVR,Unidad Central,tender,2020-03-06T11:49:06.297000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
