ocid,id,awards/0/id,awards/0/items/0/id,awards/0/items/0/description,awards/0/items/0/unit/name,awards/0/items/0/unit/value/amount,awards/0/items/0/quantity,awards/0/items/0/classification/id,awards/0/items/0/classification/description,awards/0/items/0/classification/scheme
ocds-lcuori-XRbOkr-CS-CSJ-2020-0001-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0001-1/3,XRbOkr-CS-CSJ-2020-0001-1,XRbOkrCS-CSJ-2020-00011623907,Mantenimiento  reparación de fotocopiadora Canon Image Runner 2520 asignada al Departamento de Obras Físicas.-,Unidad,5462.5,1.0,81112502,Mantenimiento y reparación de equipo de computación,UNSPSC
ocds-lcuori-grxKER-DGMM-CM-0015-2020-1,ocds-lcuori-grxKER-DGMM-CM-0015-2020-1/3,grxKER-DGMM-CM-0015-2020-1,grxKERDGMM-CM-0015-20201623910,PAPEL TOALLA DISPENSADOR ,Unidades,17135.0,1.0,14111704,Papel higiénico,UNSPSC
ocds-lcuori-grxKER-DGMM-CM-0016-2020-1,ocds-lcuori-grxKER-DGMM-CM-0016-2020-1/3,grxKER-DGMM-CM-0016-2020-1,grxKERDGMM-CM-0016-20201623912,MATERIAL ,Unidades,10092.56,1.0,42281603,Desinfectantes de los instrumentos médicos,UNSPSC
ocds-lcuori-XRbOkr-CS-CSJ-2020-0004-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0004-1/4,XRbOkr-CS-CSJ-2020-0004-1,XRbOkrCS-CSJ-2020-00041623986,"Suministro de modulo de extensiones analógicas M0X8A, solicitado por la Dirección de Infotecnología en atención del Juzgado de Letras Penal de Tegucigalpa.-",Unidad,23000.0,1.0,43222816,Moduladores de telefonía,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-1-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-1-2020-1/3,DRWQ0L-HONDUCOR-DC-1-2020-1,DRWQ0LHONDUCOR-DC-1-20201623997,TALONARIOS DE CONTROL ENTREGA CARTERO,Sin Unidad,10.292499999999999,100.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-2-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-2-2020-1/3,DRWQ0L-HONDUCOR-DC-2-2020-1,DRWQ0LHONDUCOR-DC-2-20201623998,AVISO DE CORRESPONDENCI VOLUMINOSA GO/AP/005,Sin Unidad,11.5,100.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-3-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-3-2020-1/3,DRWQ0L-HONDUCOR-DC-3-2020-1,DRWQ0LHONDUCOR-DC-3-20201623999,CONTRATO ARRENDAMIENTO APARTADOS POSTALES,Sin Unidad,23.0,50.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-5-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-5-2020-1/3,DRWQ0L-HONDUCOR-DC-5-2020-1,DRWQ0LHONDUCOR-DC-5-20201624001,TALONARIOS CN-22,Sin Unidad,6.8425,150.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-6-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-6-2020-1/3,DRWQ0L-HONDUCOR-DC-6-2020-1,DRWQ0LHONDUCOR-DC-6-20201624002,TALONARIO CN-23,Sin Unidad,16.0425,100.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-7-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-7-2020-1/3,DRWQ0L-HONDUCOR-DC-7-2020-1,DRWQ0LHONDUCOR-DC-7-20201624004,TALONARIO COMPROBANTE DE PARTIDA DE DEBITO,Sin Unidad,17.25,50.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-8-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-8-2020-1/3,DRWQ0L-HONDUCOR-DC-8-2020-1,DRWQ0LHONDUCOR-DC-8-20201624005,TALONARIO DE COMPROBANTE DE PARTIDA DE CREDITO,Sin Unidad,17.25,50.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-jRDA5r-SOLICITUD 33-1,ocds-lcuori-jRDA5r-SOLICITUD 33-1/3,jRDA5r-SOLICITUD 33-1,jRDA5rSOLICITUD 331624007,2gradas para nissan np300,Unidad,13455.0,1.0,56121301,Gradas,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-10-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-10-2020-1/3,DRWQ0L-HONDUCOR-DC-10-2020-1,DRWQ0LHONDUCOR-DC-10-20201624010,TALONARIOS DE FACTURACION,Sin Unidad,55.142500000000005,4500.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-12-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-12-2020-1/3,DRWQ0L-HONDUCOR-DC-12-2020-1,DRWQ0LHONDUCOR-DC-12-20201624011,TALONARIOS FACTURA DE ENTREGA,Sin Unidad,31.05,300.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-13-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-13-2020-1/3,DRWQ0L-HONDUCOR-DC-13-2020-1,DRWQ0LHONDUCOR-DC-13-20201624012,TALONARIO DE HOJA DE RUTA DE TRANSPORTE OP-04,Sin Unidad,28.75,500.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-15-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-15-2020-1/3,DRWQ0L-HONDUCOR-DC-15-2020-1,DRWQ0LHONDUCOR-DC-15-20201624014,CORRESPONDENCIA ORDINARIA OP-003,Sin Unidad,28.75,300.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-16-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-16-2020-1/3,DRWQ0L-HONDUCOR-DC-16-2020-1,DRWQ0LHONDUCOR-DC-16-20201624016,HOJAS DE AVISO OP-005,Sin Unidad,28.75,300.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-17-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-17-2020-1/3,DRWQ0L-HONDUCOR-DC-17-2020-1,DRWQ0LHONDUCOR-DC-17-20201624018,SERVICIO INT. DE CERTIFICADOS OP-002,Sin Unidad,28.75,300.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-18-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-18-2020-1/3,DRWQ0L-HONDUCOR-DC-18-2020-1,DRWQ0LHONDUCOR-DC-18-20201624019,CONTROL DE CERTIFICADOS OP-11,Sin Unidad,28.75,200.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-19-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-19-2020-1/3,DRWQ0L-HONDUCOR-DC-19-2020-1,DRWQ0LHONDUCOR-DC-19-20201624020,FICHAS DE APARTADOS POSTALES,Sin Unidad,0.8625,1000.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-21-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-21-2020-1/3,DRWQ0L-HONDUCOR-DC-21-2020-1,DRWQ0LHONDUCOR-DC-21-20201624022,VIÑETAS INTERNACIONAL CN-35 ROJAS,Sin Unidad,0.5865,10000.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-22-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-22-2020-1/3,DRWQ0L-HONDUCOR-DC-22-2020-1,DRWQ0LHONDUCOR-DC-22-20201624023,VIÑETAS CN-35 BLANCAS,Sin Unidad,0.69,5000.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-24-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-24-2020-1/3,DRWQ0L-HONDUCOR-DC-24-2020-1,DRWQ0LHONDUCOR-DC-24-20201624027,VIÑETAS CP-23,Sin Unidad,0.69,10000.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-DRWQ0L-HONDUCOR-DC-11-2020-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-11-2020-1/3,DRWQ0L-HONDUCOR-DC-11-2020-1,DRWQ0LHONDUCOR-DC-11-20201624029,TALONARIOS DESPACHO PUBLICO,Sin Unidad,28.75,500.0,14111805,Talones o talonarios,UNSPSC
ocds-lcuori-jRDA5r-SOLICITUD01-1,ocds-lcuori-jRDA5r-SOLICITUD01-1/3,jRDA5r-SOLICITUD01-1,jRDA5rSOLICITUD011624045,sector de dirección hidráulico para carro snorkel,Unidad,71300.0,1.0,41113703,Acoplador direccional,UNSPSC
ocds-lcuori-jRDA5r-SOLICITUD03-1,ocds-lcuori-jRDA5r-SOLICITUD03-1/3,jRDA5r-SOLICITUD03-1,jRDA5rSOLICITUD031624049,"revision eléctrica, de consumo de energía en baterias y bomba centrifuga",Unidad,10120.0,1.0,41111933,Sensores de carga eléctrica,UNSPSC
ocds-lcuori-jRDA5r-SOLICITUD 07-1,ocds-lcuori-jRDA5r-SOLICITUD 07-1/3,jRDA5r-SOLICITUD 07-1,jRDA5rSOLICITUD 071624053,2 baterías de 12 voltios 115 amperios,Unidad,6600.011,1.0,26111703,Baterías para vehículos,UNSPSC
ocds-lcuori-XRbOkr-CS-CSJ-2020-0005-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0005-1/3,XRbOkr-CS-CSJ-2020-0005-1,XRbOkrCS-CSJ-2020-00051624055,"Servicio de 25 coffee breaks empacados con su refresco en lata para el día 10 de enero de 2020, solicitado por la Unidad de Licitaciones.-",Unidad,2242.5,1.0,90101802,Servicios de entrega de comidas,UNSPSC
ocds-lcuori-MrMPYR-002-2020-1,ocds-lcuori-MrMPYR-002-2020-1/4,MrMPYR-002-2020-1,MrMPYR002-20201624084,"Papel higienico para dispensador Jumbo Roll, doble hoja color blanco, con aroma, medidas 12 x 250mts  SAP 30223232,",Unidad,63.4455,1500.0,14111704,Papel higiénico,UNSPSC
ocds-lcuori-DRWKwR-02/INADI/2020-1,ocds-lcuori-DRWKwR-02/INADI/2020-1/3,DRWKwR-02/INADI/2020-1,DRWKwR02/INADI/20201624088,"impresión de 10,000 hojas doble cara de H5 en papel bond base 20, impresión de 6,000 hojas doble cara H4 en papel bon , 10,000 CARNET EN CARTONCILLO,5,000 hojas en papel bond para control de medicamento",Unidad,0.44,,82121503,Impresión digital,UNSPSC
ocds-lcuori-PR8Q5r-06-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-06-CM-IHT-2020-1/4,PR8Q5r-06-CM-IHT-2020-1,PR8Q5r06-CM-IHT-20201624110,"Suscripción de dos (2) ejemplares diarios del periódico “La Prensa”, con periodo de vigencia de un año, a partir del 1 de febrero de 2020.",Unidad,2148.0,2.0,55101504,Periódicos o diarios,UNSPSC
ocds-lcuori-jRDZVL-CM-001-SEDH-2020-1,ocds-lcuori-jRDZVL-CM-001-SEDH-2020-1/4,jRDZVL-CM-001-SEDH-2020-1,jRDZVLCM-001-SEDH-20201624147,Compra de boleto aéreo a la ciudad de Washington saliendo de Tegucigalpa llegando a Washington D.C. el 12/01/2020 regresando el 20/01/2020 de Baltimore a Tegucigalpa,Unidad,36265.0,1.0,90121502,Agencias de viajes,UNSPSC
ocds-lcuori-1RaEMR-CM-HJMG-003-2020-1,ocds-lcuori-1RaEMR-CM-HJMG-003-2020-1/5,1RaEMR-CM-HJMG-003-2020-1,1RaEMRCM-HJMG-003-20201624155,"150 bolsas donante doble, 100 equipo de transfusión, 1200 placas Bipetric, 15 cajas porta objeto 3x2, 500 tubos con citrato de sodio, 15000 tubos tapon morado, 10000 tubos borex 12x75(vidrio)",Cada uno,19038.0,1.0,41122101,Placas o cajas Petri,UNSPSC
ocds-lcuori-jRDZVL-CM-002-SEDH-2020-1,ocds-lcuori-jRDZVL-CM-002-SEDH-2020-1/4,jRDZVL-CM-002-SEDH-2020-1,jRDZVLCM-002-SEDH-20201624168,Renovación y emisión de Fianzas de Fidelidad,Unidad,10350.0,9.0,84131605,Seguros laborales,UNSPSC
ocds-lcuori-XRbOkr-CS-CSJ-2020-0014-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0014-1/3,XRbOkr-CS-CSJ-2020-0014-1,XRbOkrCS-CSJ-2020-00141624169,"Suministro e instalación de cuatro estantes metálicos, de 30.5x91.4x199.4 cms, con 5 entrepaños, solicitado por la Unidad de Licitaciones.-",Unidad,8606.646,1.0,73111505,Servicios de fabricación de muebles,UNSPSC
ocds-lcuori-0rww4r-CM-HBCBHSC-003-2020-1,ocds-lcuori-0rww4r-CM-HBCBHSC-003-2020-1/4,0rww4r-CM-HBCBHSC-003-2020-1,0rww4rCM-HBCBHSC-003-20201624856,"Compra de Equipo y Suministros  de limpieza para el aseo diario de las instalaciones, unidades y equipo de la estación de bomberos de Saba Colon ",Unidad,5371.54,1.0,47132102,Kits de limpieza de uso general,UNSPSC
ocds-lcuori-0rww4r-CM-HBCBHSC-005-2020-1,ocds-lcuori-0rww4r-CM-HBCBHSC-005-2020-1/4,0rww4r-CM-HBCBHSC-005-2020-1,0rww4rCM-HBCBHSC-005-20201624859,Compra de un Gato Hidráulico de 20T  para uso en las Unidades de la Estación de Bomberos de Saba,Unidad,1180.0,1.0,20142701,Gatos de varilla de bombeo,UNSPSC
ocds-lcuori-XRbOkr-CS-CSJ-2020-0019-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0019-1/3,XRbOkr-CS-CSJ-2020-0019-1,XRbOkrCS-CSJ-2020-00191624186,"Suministro de 04 sellos foliadores automáticos, solicitados por la Sala de lo Penal.-",Unidad,4140.0,1.0,44121604,Sellos de hule,UNSPSC
ocds-lcuori-NrdZlG-0022-1,ocds-lcuori-NrdZlG-0022-1/4,NrdZlG-0022-1,NrdZlG00221624248,ninguna,Unidad,74.75,25.0,50192702,Platos combinados congelados,UNSPSC
ocds-lcuori-PLeQ0L-RRPP-06-2020-1,ocds-lcuori-PLeQ0L-RRPP-06-2020-1/4,PLeQ0L-RRPP-06-2020-1,PLeQ0LRRPP-06-20201624270,"360 Horas de Publicidad Mediante Radio Difusión para promocionar la vigencia del pago del impuesto de Industria Comercio y Servicios en todos los barrios y colonias del CASCO URBANO de la ciudad, a realizarse del 17 al 31 de Enero del 2020.
",Dia,54000.0,1.0,82101601,Publicidad en radio,UNSPSC
ocds-lcuori-PLeQ0L-RRPP-07-2020-1,ocds-lcuori-PLeQ0L-RRPP-07-2020-1/4,PLeQ0L-RRPP-07-2020-1,PLeQ0LRRPP-07-20201624271,"360 Horas de Publicidad Mediante Radio Difusión para promocionar la vigencia del pago del impuesto de Industria Comercio y Servicios en todas las comunidades de la ZONA RURAL del Municipio, a realizarse del 17 al 31 de Enero del 2020.
",Dia,27000.0,1.0,82101601,Publicidad en radio,UNSPSC
ocds-lcuori-jRDA5r-SOLICITUD64-1,ocds-lcuori-jRDA5r-SOLICITUD64-1/3,jRDA5r-SOLICITUD64-1,jRDA5rSOLICITUD641624277,tapizado para sillas de Toyota land cruser unidades ambulancias,Unidad,13800.0,1.0,56121006,Bancos tapizados,UNSPSC
ocds-lcuori-XRbOkr-CS-CSJ-2019-1451-1,ocds-lcuori-XRbOkr-CS-CSJ-2019-1451-1/4,XRbOkr-CS-CSJ-2019-1451-1,XRbOkrCS-CSJ-2019-14511624326,"Suministro de:
06 tacos expansores de 5/8X6.-
01 sierra para hierro DX12.-
03 discos plano corte metal.-
solicitado por Servicios Generales en atención a los Juzgados en Materia de Extorsión.",Unidad,915.5035,1.0,27112802,Hojas de sierra,UNSPSC
ocds-lcuori-2Lmz0G-CM-001-BNP-2020-1,ocds-lcuori-2Lmz0G-CM-001-BNP-2020-1/4,2Lmz0G-CM-001-BNP-2020-1,2Lmz0GCM-001-BNP-20201624353,"20 CAJAS STRECH FILM, FLEJE PARA EMBALAR(CAJAS)",Unidad,1725.0,20.0,14121504,Papel para embalaje,UNSPSC
ocds-lcuori-ERpbkL-CM-005-UNAHVS-2020-1,ocds-lcuori-ERpbkL-CM-005-UNAHVS-2020-1/4,ERpbkL-CM-005-UNAHVS-2020-1,ERpbkLCM-005-UNAHVS-20201627151,"Proyecto: Compra de 8 Access Point para facilitar a las unidades académicas y estudiantil acceso a los servicios que brinda la red UNAHNET, UNAH-VS.
	
8	Unidad	Access Point 
",Unidad,184677.0,1.0,43222640,Punto de acceso inalámbrico,UNSPSC
ocds-lcuori-DL9kwR-CC-0001-TSC-2020-1,ocds-lcuori-DL9kwR-CC-0001-TSC-2020-1/4,DL9kwR-CC-0001-TSC-2020-1,DL9kwRCC-0001-TSC-20201624412,Servicios de Internet 2020,Sin Unidad,200100.0,1.0,81112101,Proveedores de servicio de Internet (ISP),UNSPSC
ocds-lcuori-PLeQ0L-CM-MEP-05-20-1,ocds-lcuori-PLeQ0L-CM-MEP-05-20-1/4,PLeQ0L-CM-MEP-05-20-1,PLeQ0LCM-MEP-05-201624414,"SUBSIDIO, APOYO A LA CIUDADANÍA DE BAJO RECURSO ECONÓMICOS Y SOBRE TODO A FAMILIAS DE BAJOS RECURSOS ECONÓMICOS  PARA TRASLADAR A SUS DOLIENTES A ENTERRAR A SUS FAMILIARES, 20 BUSES PARA 20 VIAJES DE ZONAS URBANAS  O RURALES.",Unidad,44999.9945,1.0,78201501,Alquiler de equipo de transporte,UNSPSC
ocds-lcuori-PLeQ0L-CM-MEP-08-20-1,ocds-lcuori-PLeQ0L-CM-MEP-08-20-1/4,PLeQ0L-CM-MEP-08-20-1,PLeQ0LCM-MEP-08-201624417,"SÍRVASE COMPRAR PARA ATENCIÓN A MEDIOS DE COMUNICACIÓN EN LA COBERTURA DE LA CELEBRACIÓN DEL SEÑOR DE ESQUIPULAS EL DÍA MIÉRCOLES 15 DE ENERO 2020 EN LA COMUNIDAD DE ARENA BLANCA. 80 REFRESCOS EN LATA,80 SANDWICHES, 80 BOTES CON AGUA PEQUEÑOS DE 355 ML.",Unidad,7360.0,1.0,91111603,Servicios de cocina o preparación de comidas,UNSPSC
ocds-lcuori-XRbOkr-COPAN-CSJ-2020-0013-1,ocds-lcuori-XRbOkr-COPAN-CSJ-2020-0013-1/3,XRbOkr-COPAN-CSJ-2020-0013-1,XRbOkrCOPAN-CSJ-2020-00131624420,"Suministro de 6 botellones de agua purificada a solicitud de Juzgado de Paz Civil, Juzgado de Paz Penal, Juzgado de Ejecución.",Unidad,102.0,1.0,50202301,Agua purificada,UNSPSC
ocds-lcuori-PLeQ0L-CM-MEP-10-20-1,ocds-lcuori-PLeQ0L-CM-MEP-10-20-1/4,PLeQ0L-CM-MEP-10-20-1,PLeQ0LCM-MEP-10-201624447,"SÍRVASE CONTRATAR PARA LA CELEBRACIÓN DEL CRISTO NEGRO DE ESQUIPULAS EL DÍA MIÉRCOLES 15 DE ENERO DEL 2020 1 SHOW DE LUCES POR EL VALOR DE  L. 6,000.00",Unidad,5999.998500000001,1.0,39111704,Luces proyectantes,UNSPSC
ocds-lcuori-PLeQ0L-CM-MEP-11-20-1,ocds-lcuori-PLeQ0L-CM-MEP-11-20-1/4,PLeQ0L-CM-MEP-11-20-1,PLeQ0LCM-MEP-11-201624448,SÍRVASE COMPRAR PARA POLICÍAS QUE DARÁN SEGURIDAD Y ORDEN EN LA CELEBRACIÓN DEL RISTO NEGRO DE ESQUIPULAS EN LA ALDEA ARENA BLANCA EL DÍA MIÉRCOLES 15 DE ENERO 2020. 30 PLATOS DE COMIDA (15 PLATOS DE ALMUERZO Y 15 CENAS) Y 30 REFRESCOS DE COLA.,Unidad,3450.0,1.0,91111603,Servicios de cocina o preparación de comidas,UNSPSC
ocds-lcuori-PLeQ0L-CM-MEP-12-20-1,ocds-lcuori-PLeQ0L-CM-MEP-12-20-1/4,PLeQ0L-CM-MEP-12-20-1,PLeQ0LCM-MEP-12-201624449,"SÍRVASE COMPRAR PARA LA CONSTRUCCIÓN DE FOSAS EN EL CEMENTERIO MUNICIPAL (NUEVO) EJECUTARAN CUARENTA Y CINCO FOSAS COMPLETAS CORRESPONDIENTES A 27 DÍAS DE DURACIÓN A PARTIR DEL 02 DE ENERO DEL 2020 AL 31 DE ENERO 2020, 3000 UNIDADES DE BLOQUES DE 4 PULGADAS.",Unidad,11.5,3000.0,30131501,Bloques de cemento,UNSPSC
ocds-lcuori-PLeQ0L-CM-MEP-14-20-1,ocds-lcuori-PLeQ0L-CM-MEP-14-20-1/4,PLeQ0L-CM-MEP-14-20-1,PLeQ0LCM-MEP-14-201624452,"SÍRVASE REALIZAR PARA EL MANTENIMIENTO DE LA PATRULLA NISSAN N09820 CONDUCIDA POR JESÚS MEJIA. 1 RECTIFICACIÓN DE MOTOR,1 REPARACIÓN DE BOMBA DE INYECCIÓN E INYECTORES,1 REPARACIÓN Y LUBRICANTES,1 MANO DE OBRA.",Unidad,73340.74399999999,1.0,25181601,Chasis para automóviles,UNSPSC
ocds-lcuori-7GX94R-CM-ONCAE-001-2020-1,ocds-lcuori-7GX94R-CM-ONCAE-001-2020-1/2,7GX94R-CM-ONCAE-001-2020-1,7GX94RCM-ONCAE-001-20201624467,"25 PUPITRES DE MADERA COLOR AZUL, CON UNA ESTRELLA
15 PUPITRES DE METAL ",Unidad,92000.0,1.0,56121506,Pupitres,UNSPSC
ocds-lcuori-8L4YaG-CM-0295-INA-2019-1,ocds-lcuori-8L4YaG-CM-0295-INA-2019-1/4,8L4YaG-CM-0295-INA-2019-1,8L4YaGCM-0295-INA-20191624469,REPARACION DE RELOJES,Cada uno,9924.5,1.0,54111601,Relojes de pared,UNSPSC
ocds-lcuori-8L4YaG-CM-0296-INA-2019-1,ocds-lcuori-8L4YaG-CM-0296-INA-2019-1/4,8L4YaG-CM-0296-INA-2019-1,8L4YaGCM-0296-INA-20191624470,6 RELOJES FACIALES PARA CONTROL DE PERSONAL,Cada uno,89010.0,1.0,54111601,Relojes de pared,UNSPSC
ocds-lcuori-8L4YaG-CM-0297-INA-2019-1,ocds-lcuori-8L4YaG-CM-0297-INA-2019-1/4,8L4YaG-CM-0297-INA-2019-1,8L4YaGCM-0297-INA-20191624472,,Cada uno,3910.0,1.0,43201608,Bastidores de disco extraíbles,UNSPSC
ocds-lcuori-ERpWgG-COTIZACION No. SRECI-006-2020-1,ocds-lcuori-ERpWgG-COTIZACION No. SRECI-006-2020-1/3,ERpWgG-COTIZACION No. SRECI-006-2020-1,ERpWgGCOTIZACION No. SRECI-006-20201624492,"SE SOLICITA COTIZAR LO SIGUIENTE:
    - 1	METROS DE	PISO DE VINILO
     - 1 GALON 	PEGAMENTO PARA VINILO INFORMACION A: ga.compras@sreci.gob.hn
",Unidad,3340.0025,1.0,30161707,Suelos de vinilo,UNSPSC
