ocid,id,contracts/0/id,contracts/0/documents/0/id,contracts/0/documents/0/description,contracts/0/documents/0/documentType,contracts/0/documents/0/title,contracts/0/documents/0/format,contracts/0/documents/0/datePublished,contracts/0/documents/0/url
ocds-lcuori-Er6QoR-CM-001-LV-2020-1,ocds-lcuori-Er6QoR-CM-001-LV-2020-1/3,Er6QoR-CM-001-LV-2020,65192-Er6QoR-CM-001-LV-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-04T12:02:01.670000-06:00,http://h1.honducompras.gob.hn/Docs/Con819CM-001-LV-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-PR8Q5r-20-1-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-20-1-CM-IHT-2020-1/4,PR8Q5r-OC 023-2020,65466-PR8Q5r-OC 023-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-21T12:38:21.410000-06:00,http://h1.honducompras.gob.hn/Docs/Con1136OC%20023-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-PR8Q5r-22-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-22-CM-IHT-2020-1/3,PR8Q5r-019-2020,65308-PR8Q5r-019-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-06T18:49:08.457000-06:00,http://h1.honducompras.gob.hn/Docs/Con1136019-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-wrVggL-CM-004-CHOLU-2020-1,ocds-lcuori-wrVggL-CM-004-CHOLU-2020-1/4,wrVggL-CM-004-CHOLU-2020,65287-wrVggL-CM-004-CHOLU-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-05T20:36:13.550000-06:00,http://h1.honducompras.gob.hn/Docs/Con855CM-004-CHOLU-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-wrVggL-CM-005-CHOLU-2020-1,ocds-lcuori-wrVggL-CM-005-CHOLU-2020-1/4,wrVggL-CM-005-CHOLU-2020,65289-wrVggL-CM-005-CHOLU-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-05T20:39:26.020000-06:00,http://h1.honducompras.gob.hn/Docs/Con855CM-005-CHOLU-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-wrVggL-CM-005-CHOLU-2020-1,ocds-lcuori-wrVggL-CM-005-CHOLU-2020-1/4,wrVggL-CM-005CHOLU-2020,65633-wrVggL-CM-005CHOLU-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-04T16:37:46.280000-06:00,http://h1.honducompras.gob.hn/Docs/Con855CM-005CHOLU-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-gGyzvR-CBH-CBO-002-2020-1,ocds-lcuori-gGyzvR-CBH-CBO-002-2020-1/3,gGyzvR-CBH-CBO-002-2020,65106-gGyzvR-CBH-CBO-002-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-01-30T16:28:28.927000-06:00,http://h1.honducompras.gob.hn/Docs/Con838CBH-CBO-002-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-jRDkQG-CM-008-2020-HNMCR-2,ocds-lcuori-jRDkQG-CM-008-2020-HNMCR-2/4,jRDkQG-015-2020,65655-jRDkQG-015-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-05T10:12:56.737000-06:00,http://h1.honducompras.gob.hn/Docs/Con104015-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-jRDkQG-CM-008-2020-HNMCR-2,ocds-lcuori-jRDkQG-CM-008-2020-HNMCR-2/4,jRDkQG-016-2020,65656-jRDkQG-016-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-05T10:15:38.820000-06:00,http://h1.honducompras.gob.hn/Docs/Con104016-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-jRDkQG-CM-009-2020-HNMCR-2,ocds-lcuori-jRDkQG-CM-009-2020-HNMCR-2/4,jRDkQG-020-2020,65665-jRDkQG-020-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-05T14:02:50.640000-06:00,http://h1.honducompras.gob.hn/Docs/Con104020-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-jRDkQG-CM-012-2020-HNMCR-2,ocds-lcuori-jRDkQG-CM-012-2020-HNMCR-2/4,jRDkQG-004-2020,65660-jRDkQG-004-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-05T12:49:58.260000-06:00,http://h1.honducompras.gob.hn/Docs/Con104004-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-jRDkQG-CM-014-2020-HNMCR-2,ocds-lcuori-jRDkQG-CM-014-2020-HNMCR-2/4,jRDkQG-006-2020,65662-jRDkQG-006-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-05T13:40:18.967000-06:00,http://h1.honducompras.gob.hn/Docs/Con104006-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-jRDkQG-CM-026-2020-HNMCR-2,ocds-lcuori-jRDkQG-CM-026-2020-HNMCR-2/4,jRDkQG-010-2020,65598-jRDkQG-010-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-03T10:47:31.863000-06:00,http://h1.honducompras.gob.hn/Docs/Con104010-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-vGZWNR-50001178-TEG-1,ocds-lcuori-vGZWNR-50001178-TEG-1/3,vGZWNR-4500000870,65250-vGZWNR-4500000870-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-05T14:52:17.553000-06:00,http://h1.honducompras.gob.hn/Docs/Con11745000008701200-ContratouOrdendeCompra.PDF
ocds-lcuori-JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020-1,ocds-lcuori-JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020-1/6,JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020,65145-JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-01-31T17:33:54.120000-06:00,http://h1.honducompras.gob.hn/Docs/Con843CM-001-ESTACION%20LOCAL%20EL%20PORVENIR-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020-1,ocds-lcuori-JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020-1/6,JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020,65559-JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-27T15:54:08.457000-06:00,http://h1.honducompras.gob.hn/Docs/Con843CM-001-ESTACION%20LOCAL%20EL%20PORVENIR-20201201-ContratouOrdendeCompra.pdf
ocds-lcuori-JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020-1,ocds-lcuori-JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020-1/6,JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020,65825-JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-17T12:37:52.800000-06:00,http://h1.honducompras.gob.hn/Docs/Con843CM-001-ESTACION%20LOCAL%20EL%20PORVENIR-20201202-ContratouOrdendeCompra.pdf
ocds-lcuori-DRW55L-01-CM-SETUR-2020-1,ocds-lcuori-DRW55L-01-CM-SETUR-2020-1/3,DRW55L-7-2020,65821-DRW55L-7-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-13T16:15:16.200000-06:00,http://h1.honducompras.gob.hn/Docs/Con11257-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-vGZWNR-30011642-IHSS-SPS-1,ocds-lcuori-vGZWNR-30011642-IHSS-SPS-1/3,vGZWNR-4300008677,65731-vGZWNR-4300008677-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-11T16:59:32.717000-06:00,http://h1.honducompras.gob.hn/Docs/Con11743000086771200-ContratouOrdendeCompra.pdf
ocds-lcuori-JL7JBr-CM-15-HBCBHR-2020-1,ocds-lcuori-JL7JBr-CM-15-HBCBHR-2020-1/2,JL7JBr-CM-022-2020,65642-JL7JBr-CM-022-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-04T21:12:15.740000-06:00,http://h1.honducompras.gob.hn/Docs/Con987CM-022-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-gLnw4G-HB-015-2020-1,ocds-lcuori-gLnw4G-HB-015-2020-1/4,gLnw4G-HB-015-2020,65624-gLnw4G-HB-015-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-04T13:02:33.673000-06:00,http://h1.honducompras.gob.hn/Docs/Con824HB-015-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-2Lmz0G-CM-013-BNP-2020-1,ocds-lcuori-2Lmz0G-CM-013-BNP-2020-1/4,2Lmz0G-CA-20-0000022,65701-2Lmz0G-CA-20-0000022-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-10T11:07:12.503000-06:00,http://h1.honducompras.gob.hn/Docs/Con165CA-20-00000221200-ContratouOrdendeCompra.pdf
ocds-lcuori-vGZWNR-10006521-IHSS-SPS-1,ocds-lcuori-vGZWNR-10006521-IHSS-SPS-1/3,vGZWNR-4100004548,65736-vGZWNR-4100004548-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-12T08:35:11.430000-06:00,http://h1.honducompras.gob.hn/Docs/Con11741000045481200-ContratouOrdendeCompra.pdf
ocds-lcuori-vGZWNR-30011568-IHSS-SPS-1,ocds-lcuori-vGZWNR-30011568-IHSS-SPS-1/4,vGZWNR-4300008658,65744-vGZWNR-4300008658-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-12T08:48:40.890000-06:00,http://h1.honducompras.gob.hn/Docs/Con11743000086581200-ContratouOrdendeCompra.pdf
ocds-lcuori-vGZWNR-30011575-IHSS-SPS-1,ocds-lcuori-vGZWNR-30011575-IHSS-SPS-1/4,vGZWNR-4300008668,65747-vGZWNR-4300008668-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-12T08:55:41.510000-06:00,http://h1.honducompras.gob.hn/Docs/Con11743000086681200-ContratouOrdendeCompra.pdf
ocds-lcuori-vGZWNR-30011588-IHSS-SPS-1,ocds-lcuori-vGZWNR-30011588-IHSS-SPS-1/4,vGZWNR-4300008680,65755-vGZWNR-4300008680-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-12T09:07:23.190000-06:00,http://h1.honducompras.gob.hn/Docs/Con11743000086801200-ContratouOrdendeCompra.PDF
ocds-lcuori-vGZWNR-30011598-IHSS-SPS-1,ocds-lcuori-vGZWNR-30011598-IHSS-SPS-1/4,vGZWNR-4300008682,65759-vGZWNR-4300008682-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-12T09:20:30.860000-06:00,http://h1.honducompras.gob.hn/Docs/Con11743000086821200-ContratouOrdendeCompra.PDF
ocds-lcuori-vGZWNR-10006526-IHSS-SPS-1,ocds-lcuori-vGZWNR-10006526-IHSS-SPS-1/4,vGZWNR-4100004549,65737-vGZWNR-4100004549-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-12T08:37:01.413000-06:00,http://h1.honducompras.gob.hn/Docs/Con11741000045491200-ContratouOrdendeCompra.pdf
ocds-lcuori-7GX4eG-INE-002-2020-1,ocds-lcuori-7GX4eG-INE-002-2020-1/3,7GX4eG-INE-002-2020,65430-7GX4eG-INE-002-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-14T16:13:26.157000-06:00,http://h1.honducompras.gob.hn/Docs/Con159INE-002-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-7GX4eG-INE-002-2020-1,ocds-lcuori-7GX4eG-INE-002-2020-1/3,7GX4eG-INE-002-2020,65632-7GX4eG-INE-002-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-04T16:23:12.150000-06:00,http://h1.honducompras.gob.hn/Docs/Con159INE-002-20201201-ContratouOrdendeCompra.pdf
ocds-lcuori-PR8Q5r-34-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-34-CM-IHT-2020-1/3,PR8Q5r-OC 49-2020,65785-PR8Q5r-OC 49-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-12T11:19:44.547000-06:00,http://h1.honducompras.gob.hn/Docs/Con1136OC%2049-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-PR8Q5r-26-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-26-CM-IHT-2020-1/3,PR8Q5r-30-2020,65807-PR8Q5r-30-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-12T15:26:26.903000-06:00,http://h1.honducompras.gob.hn/Docs/Con113630-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-vGZWNR-10006530-IHSS-SPS-1,ocds-lcuori-vGZWNR-10006530-IHSS-SPS-1/3,vGZWNR-4100004552,65739-vGZWNR-4100004552-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-12T08:39:42.997000-06:00,http://h1.honducompras.gob.hn/Docs/Con11741000045521200-ContratouOrdendeCompra.pdf
ocds-lcuori-0rw29R-CM-014-2020-1,ocds-lcuori-0rw29R-CM-014-2020-1/2,0rw29R-CM-014-2020,65339-0rw29R-CM-014-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-07T15:09:50.830000-06:00,http://h1.honducompras.gob.hn/Docs/Con134CM-014-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-0rw29R-CM-014-2020-1,ocds-lcuori-0rw29R-CM-014-2020-1/2,0rw29R-CM-014-2020,65340-0rw29R-CM-014-2020-15,Anexos al Contrato,contractAnnexe,Anexos al Contrato,application/pdf,2020-02-07T15:10:37.833000-06:00,http://h1.honducompras.gob.hn/Docs/Con134CM-014-20201501-AnexosalContrato.pdf
ocds-lcuori-0rw29R-CM-014-2020-1,ocds-lcuori-0rw29R-CM-014-2020-1/2,0rw29R-CM-014-2020,65341-0rw29R-CM-014-2020-15,Anexos al Contrato,contractAnnexe,Anexos al Contrato,application/pdf,2020-02-07T15:10:46.260000-06:00,http://h1.honducompras.gob.hn/Docs/Con134CM-014-20201502-AnexosalContrato.pdf
ocds-lcuori-0rw29R-CM-22-2020-1,ocds-lcuori-0rw29R-CM-22-2020-1/2,0rw29R-CM-22-2020,65607-0rw29R-CM-22-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-04T09:30:35.810000-06:00,http://h1.honducompras.gob.hn/Docs/Con134CM-22-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-0rw29R-CM-22-2020-1,ocds-lcuori-0rw29R-CM-22-2020-1/2,0rw29R-CM-22-2020,65608-0rw29R-CM-22-2020-15,Anexos al Contrato,contractAnnexe,Anexos al Contrato,application/pdf,2020-03-04T09:30:59.500000-06:00,http://h1.honducompras.gob.hn/Docs/Con134CM-22-20201501-AnexosalContrato.pdf
ocds-lcuori-0rw29R-CM-22-2020-1,ocds-lcuori-0rw29R-CM-22-2020-1/2,0rw29R-CM-22-2020,65609-0rw29R-CM-22-2020-15,Anexos al Contrato,contractAnnexe,Anexos al Contrato,application/pdf,2020-03-04T09:31:42.123000-06:00,http://h1.honducompras.gob.hn/Docs/Con134CM-22-20201502-AnexosalContrato.pdf
ocds-lcuori-PR8Q5r-49-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-49-CM-IHT-2020-1/3,PR8Q5r-OC 062-2020,65812-PR8Q5r-OC 062-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-13T14:24:50.430000-06:00,http://h1.honducompras.gob.hn/Docs/Con1136OC%20062-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-grxXEr-COT. 02-2020-1,ocds-lcuori-grxXEr-COT. 02-2020-1/3,grxXEr-3433,65827-grxXEr-3433-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-25T11:36:37.643000-06:00,http://h1.honducompras.gob.hn/Docs/Con9734331200-ContratouOrdendeCompra.pdf
ocds-lcuori-DRW55L-02-CM-SETUR-2020-1,ocds-lcuori-DRW55L-02-CM-SETUR-2020-1/3,DRW55L-8-2020,65820-DRW55L-8-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-13T16:14:22.030000-06:00,http://h1.honducompras.gob.hn/Docs/Con11258-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-vGZWNR-10006546-IHSS-SPS-1,ocds-lcuori-vGZWNR-10006546-IHSS-SPS-1/3,vGZWNR-4100004574,65742-vGZWNR-4100004574-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-12T08:42:36.917000-06:00,http://h1.honducompras.gob.hn/Docs/Con11741000045741200-ContratouOrdendeCompra.pdf
ocds-lcuori-DRW55L-03-CM-SETUR-2020-1,ocds-lcuori-DRW55L-03-CM-SETUR-2020-1/3,DRW55L-9-2020,65822-DRW55L-9-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-13T16:37:01.620000-06:00,http://h1.honducompras.gob.hn/Docs/Con11259-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-PR8Q5r-54-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-54-CM-IHT-2020-1/3,PR8Q5r-OC 076-2020,65818-PR8Q5r-OC 076-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-13T14:51:19.397000-06:00,http://h1.honducompras.gob.hn/Docs/Con1136OC%20076-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-4LOV1r-DICTA PROGRAMA DE SEMILLAS-CM-MD-003-2020-1,ocds-lcuori-4LOV1r-DICTA PROGRAMA DE SEMILLAS-CM-MD-003-2020-1/2,4LOV1r-DICTA PROGRAMA DE SEMILLAS-CM-010-2020,65693-4LOV1r-DICTA PROGRAMA DE SEMILLAS-CM-010-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-09T15:41:00.700000-06:00,http://h1.honducompras.gob.hn/Docs/Con1083DICTA%20PROGRAMA%20DE%20SEMILLAS-CM-010-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-1RaB9r-CM-02-UNAH-DCUROC-2020-1,ocds-lcuori-1RaB9r-CM-02-UNAH-DCUROC-2020-1/2,1RaB9r-02-2020,65672-1RaB9r-02-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-05T17:38:06.047000-06:00,http://h1.honducompras.gob.hn/Docs/Con94702-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-PR8Q5r-64-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-64-CM-IHT-2020-1/4,PR8Q5r-OC 090-2020,65813-PR8Q5r-OC 090-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-13T14:35:49.920000-06:00,http://h1.honducompras.gob.hn/Docs/Con1136OC%20090-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-1RaMPR-CD-BID-3815-01-2020-2,ocds-lcuori-1RaMPR-CD-BID-3815-01-2020-2/3,1RaMPR-CF-BID-3815-71-2020,65922-1RaMPR-CF-BID-3815-71-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-04-06T18:01:59.863000-06:00,http://h1.honducompras.gob.hn/Docs/Con703CF-BID-3815-71-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-4LOV1r-DICTA FUENTE 11-CM-MD-021-2020-1,ocds-lcuori-4LOV1r-DICTA FUENTE 11-CM-MD-021-2020-1/3,4LOV1r-DICTA FUENTE 11-CM-018-2020,65715-4LOV1r-DICTA FUENTE 11-CM-018-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-11T11:21:31.727000-06:00,http://h1.honducompras.gob.hn/Docs/Con1083DICTA%20FUENTE%2011-CM-018-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-4LOV1r-DICTA FUENTE 12-CM-MD-001-2020-1,ocds-lcuori-4LOV1r-DICTA FUENTE 12-CM-MD-001-2020-1/2,4LOV1r-DICTA FUENTE 12-CM-001-2020,65690-4LOV1r-DICTA FUENTE 12-CM-001-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-09T15:05:56.210000-06:00,http://h1.honducompras.gob.hn/Docs/Con1083DICTA%20FUENTE%2012-CM-001-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-mGEvMR-HMM-C 04-2020-1,ocds-lcuori-mGEvMR-HMM-C 04-2020-1/2,mGEvMR-HMM-C 04-2020,65939-mGEvMR-HMM-C 04-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,image/png,2020-04-08T12:52:53.447000-06:00,http://h1.honducompras.gob.hn/Docs/Con86HMM-C%2004-20201200-ContratouOrdendeCompra.png
ocds-lcuori-mGEvMR-HMM-C 04-2020-1,ocds-lcuori-mGEvMR-HMM-C 04-2020-1/2,mGEvMR-HMM-C 04-2020,65940-mGEvMR-HMM-C 04-2020-15,Anexos al Contrato,contractAnnexe,Anexos al Contrato,image/png,2020-04-08T12:54:08.837000-06:00,http://h1.honducompras.gob.hn/Docs/Con86HMM-C%2004-20201501-AnexosalContrato.png
ocds-lcuori-mGEvMR-HMM-C 04-2020-1,ocds-lcuori-mGEvMR-HMM-C 04-2020-1/2,mGEvMR-HMM-C 04-2020,65941-mGEvMR-HMM-C 04-2020-15,Anexos al Contrato,contractAnnexe,Anexos al Contrato,image/png,2020-04-08T12:54:28.237000-06:00,http://h1.honducompras.gob.hn/Docs/Con86HMM-C%2004-20201502-AnexosalContrato.png
ocds-lcuori-mGEvMR-HMM-C 05-2020-1,ocds-lcuori-mGEvMR-HMM-C 05-2020-1/3,mGEvMR-HMM-C 05-2020,65899-mGEvMR-HMM-C 05-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,image/png,2020-04-03T15:23:39.330000-06:00,http://h1.honducompras.gob.hn/Docs/Con86HMM-C%2005-20201200-ContratouOrdendeCompra.png
