ocid,id,contracts/0/id,contracts/0/awardID,contracts/0/buyer/id,contracts/0/buyer/name,contracts/0/title,contracts/0/localProcurementCategory,contracts/0/description,contracts/0/dateSigned,contracts/0/value/amount,contracts/0/value/currency
ocds-lcuori-gLkw4L-CM-667-CBD-2020-1,ocds-lcuori-gLkw4L-CM-667-CBD-2020-1/3,gLkw4L-CM-667-CBD-2020,gLkw4L-CM-667-CBD-2020-1,gLkw4L-MLQ77R,Cuerpo de Bomberos Danlí,CM-667-CBD-2020,goodsOrServices,"cambio de aceite,filtro y engrase a la unidad HRB-L803 De la estación local Bomberos Danli",2020-02-04T00:00:00-06:00,1942.0,HNL
ocds-lcuori-gLkw4L-CM-668-CBD-2020-1,ocds-lcuori-gLkw4L-CM-668-CBD-2020-1/3,gLkw4L-CM-668-CBD-2020,gLkw4L-CM-668-CBD-2020-1,gLkw4L-MLQ77R,Cuerpo de Bomberos Danlí,CM-668-CBD-2020,goodsOrServices, PARA PERSONAL EN DESPLAZAMIENTO PARA INSPECCION EN DIFERENTES BARRIOS Y COLONIAS POR DESLIZAMIENTOS POR LLUVIAS QUE SE HAN PRESENTADOS EN LA ZONA.,2020-02-04T00:00:00-06:00,783.0,HNL
ocds-lcuori-Er6QoR-CM-001-LV-2020-1,ocds-lcuori-Er6QoR-CM-001-LV-2020-1/3,Er6QoR-CM-001-LV-2020,Er6QoR-CM-001-LV-2020-1,Er6QoR-MLQ77R,"Estación Local Las Vegas, Santa Bárbara",CM-001-LV-2020,goodsOrServices,LA ESTACION LOCAL LAS VEGAS SB SUMINISTRO COMBUSTIBLE A UNIDAD DE BOMBEROS ,2020-01-21T00:00:00-06:00,2370.0,HNL
ocds-lcuori-PR8Q5r-20-1-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-20-1-CM-IHT-2020-1/4,PR8Q5r-OC 023-2020,PR8Q5r-20-1-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,OC 023-2020,goodsOrServices," Rosas Decoradas con papelillo, en ocasión de celebrarse el día de la mujer el día viernes 24 de Enero del 2020 en las instalaciones del IHT, a las 9:00 a.m.",2020-02-22T00:00:00-06:00,4022.7,HNL
ocds-lcuori-PR8Q5r-22-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-22-CM-IHT-2020-1/3,PR8Q5r-019-2020,PR8Q5r-22-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,019-2020,goodsOrServices,"Servicio de Publicación de Aviso de Licitación Pública Nacional No.01-LPN-IHT-2020, en blanco y negro en el diario Oficial La Gaceta.",2020-02-07T00:00:00-06:00,2127.5,HNL
ocds-lcuori-wrVggL-CM-004-CHOLU-2020-1,ocds-lcuori-wrVggL-CM-004-CHOLU-2020-1/4,wrVggL-CM-004-CHOLU-2020,wrVggL-CM-004-CHOLU-2020-1,wrVggL-MLQ77R,Cuerpo de Bomberos Choluteca,CM-004-CHOLU-2020,goodsOrServices,REPARACION DE UNIDADES,2020-02-04T00:00:00-06:00,5761.5,HNL
ocds-lcuori-wrVggL-CM-005-CHOLU-2020-1,ocds-lcuori-wrVggL-CM-005-CHOLU-2020-1/4,wrVggL-CM-005-CHOLU-2020,wrVggL-CM-005-CHOLU-2020-1,wrVggL-MLQ77R,Cuerpo de Bomberos Choluteca,CM-005-CHOLU-2020,goodsOrServices,SUMINISTRO DE COMBUSTIBLEA LAS UNIDADES,2020-02-05T00:00:00-06:00,23444.01,HNL
ocds-lcuori-wrVggL-CM-005-CHOLU-2020-1,ocds-lcuori-wrVggL-CM-005-CHOLU-2020-1/4,wrVggL-CM-005CHOLU-2020,wrVggL-CM-005-CHOLU-2020-1,wrVggL-MLQ77R,Cuerpo de Bomberos Choluteca,CM-005CHOLU-2020,goodsOrServices,SUMINISTRO DE COMBUSTIBLE PARA UNIDADES,2020-03-04T00:00:00-06:00,24764.71,HNL
ocds-lcuori-gGyzvR-CBH-CBO-002-2020-1,ocds-lcuori-gGyzvR-CBH-CBO-002-2020-1/3,gGyzvR-CBH-CBO-002-2020,gGyzvR-CBH-CBO-002-2020-1,gGyzvR-MLQ77R,Estación Local Omoa #22.,CBH-CBO-002-2020,goodsOrServices,OXIGENO MEDICO,2020-01-31T00:00:00-06:00,400.0,HNL
ocds-lcuori-jRDkQG-CM-008-2020-HNMCR-2,ocds-lcuori-jRDkQG-CM-008-2020-HNMCR-2/4,jRDkQG-015-2020,jRDkQG-CM-008-2020-HNMCR-2,jRDkQG-mrYzL9,Hospital Mario Catarino Rivas,015-2020,goodsOrServices,"MATERIAL MEDICO QUIRURGICO MENOR
",2020-02-04T00:00:00-06:00,72720.0,HNL
ocds-lcuori-jRDkQG-CM-008-2020-HNMCR-2,ocds-lcuori-jRDkQG-CM-008-2020-HNMCR-2/4,jRDkQG-016-2020,jRDkQG-CM-008-2020-HNMCR-2,jRDkQG-mrYzL9,Hospital Mario Catarino Rivas,016-2020,goodsOrServices,"MATERIAL MEDICO QUIRURGICO MENOR
",2020-02-04T00:00:00-06:00,20166.6,HNL
ocds-lcuori-jRDkQG-CM-009-2020-HNMCR-2,ocds-lcuori-jRDkQG-CM-009-2020-HNMCR-2/4,jRDkQG-020-2020,jRDkQG-CM-009-2020-HNMCR-2,jRDkQG-mrYzL9,Hospital Mario Catarino Rivas,020-2020,goodsOrServices,"OTRO INSTRUMENTAL, ACCESORIOS Y MATERIAL MEDICO
",2020-02-04T00:00:00-06:00,73750.0,HNL
ocds-lcuori-jRDkQG-CM-012-2020-HNMCR-2,ocds-lcuori-jRDkQG-CM-012-2020-HNMCR-2/4,jRDkQG-004-2020,jRDkQG-CM-012-2020-HNMCR-2,jRDkQG-mrYzL9,Hospital Mario Catarino Rivas,004-2020,goodsOrServices,"OTRO INSTRUMENTAL, ACCESORIOS Y MATERIAL MEDICO
",2020-02-03T00:00:00-06:00,32361.0,HNL
ocds-lcuori-jRDkQG-CM-014-2020-HNMCR-2,ocds-lcuori-jRDkQG-CM-014-2020-HNMCR-2/4,jRDkQG-006-2020,jRDkQG-CM-014-2020-HNMCR-2,jRDkQG-mrYzL9,Hospital Mario Catarino Rivas,006-2020,goodsOrServices,"MATERIAL MEDICO QUIRURGICO MENOR
",2020-02-03T00:00:00-06:00,104995.0,HNL
ocds-lcuori-jRDkQG-CM-026-2020-HNMCR-2,ocds-lcuori-jRDkQG-CM-026-2020-HNMCR-2/4,jRDkQG-010-2020,jRDkQG-CM-026-2020-HNMCR-2,jRDkQG-mrYzL9,Hospital Mario Catarino Rivas,010-2020,goodsOrServices,"OTRO INSTRUMENTAL, ACCESORIOS Y MATERIAL MEDICO
",2020-02-03T00:00:00-06:00,165606.48,HNL
ocds-lcuori-vGZWNR-50001178-TEG-1,ocds-lcuori-vGZWNR-50001178-TEG-1/3,vGZWNR-4500000870,vGZWNR-50001178-TEG-1,vGZWNR-orvxDG,Unidad Central,4500000870,goodsOrServices,RELOJ PARA CONTROL DEL PERSONAL,2020-02-06T00:00:00-06:00,22667.56,HNL
ocds-lcuori-oLjYzr-CM-003-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-003-MSFYC-2020-1/3,oLjYzr-345,oLjYzr-CM-003-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,345,goodsOrServices,Mantenimiento de Canchas de la Colonia Valencia y Parque Central de Rio Lindo,2020-02-05T00:00:00-06:00,110400.0,HNL
ocds-lcuori-oLjYzr-CM-006-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-006-MSFYC-2020-1/4,oLjYzr-333,oLjYzr-CM-006-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,333,goodsOrServices,ILUMINACIÓN DE ÁREA RECREATIVO EN COL. VALENCIA DE ALDEA RIO LINDO,2020-01-31T00:00:00-06:00,2892.25,HNL
ocds-lcuori-JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020-1,ocds-lcuori-JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020-1/6,JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020,JL7BPr-CM-001-ESTACION LOCAL EL PORVENIR-2020-1,JL7BPr-MLQ77R,"Estación Local El Porvenir, Atlántida",CM-001-ESTACION LOCAL EL PORVENIR-2020,goodsOrServices,"COMPRA DE 3901.54 LITROS DE COMBUSTIBLE DIESEL PARA ABASTECER DE ENERO A DICIEMBRE 2020 UN APROXIMADO DE 325.13 LITROS MENSUALES EN LPS 7,000 PARA LA UNIDAD DE EMERGENCIA.",2020-01-31T00:00:00-06:00,84000.0,HNL
ocds-lcuori-oLjYzr-CM-007-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-007-MSFYC-2020-1/4,oLjYzr-354,oLjYzr-CM-007-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,354,goodsOrServices,ALCANTARILLADO SANITARIO COL. JERUSALEN DE ALDEA RIO LINDO,2020-02-26T00:00:00-06:00,191564.0,HNL
ocds-lcuori-DRW55L-01-CM-SETUR-2020-1,ocds-lcuori-DRW55L-01-CM-SETUR-2020-1/3,DRW55L-7-2020,DRW55L-01-CM-SETUR-2020-1,DRW55L-2LmVGK,Gerencia Central SETUR,7-2020,goodsOrServices,Publicación acuerdo 013-2019,2020-03-14T00:00:00-06:00,5750.0,HNL
ocds-lcuori-vGZWNR-30011642-IHSS-SPS-1,ocds-lcuori-vGZWNR-30011642-IHSS-SPS-1/3,vGZWNR-4300008677,vGZWNR-30011642-IHSS-SPS-1,vGZWNR-orvxDG,Unidad Central,4300008677,goodsOrServices,papel toalla interfoliado,2020-03-11T00:00:00-06:00,22350.6,HNL
ocds-lcuori-JL7JBr-CM-15-HBCBHR-2020-1,ocds-lcuori-JL7JBr-CM-15-HBCBHR-2020-1/2,JL7JBr-CM-022-2020,JL7JBr-CM-15-HBCBHR-2020-1,JL7JBr-MLQ77R,Cuerpo de Bomberos Roatán,CM-022-2020,goodsOrServices,Compra de alimentación al personal permanente y voluntario del Cuerpo de Bomberos de Roatan como almuerzo por estar recibiendo practicas bomberiles programadas.,2020-03-04T00:00:00-06:00,17710.0,HNL
ocds-lcuori-gLnw4G-HB-015-2020-1,ocds-lcuori-gLnw4G-HB-015-2020-1/4,gLnw4G-HB-015-2020,gLnw4G-HB-015-2020-1,gLnw4G-MLQ77R,Cuerpo de Bomberos La Paz,HB-015-2020,goodsOrServices,VALOR A PAGAR POR LA COMPRA DE MADERA PARA CAMBIO DE ARTESON DE LA ESTACION DE BOMBEROS LA PAZ,2020-03-04T00:00:00-06:00,12415.5,HNL
ocds-lcuori-2Lmz0G-CM-013-BNP-2020-1,ocds-lcuori-2Lmz0G-CM-013-BNP-2020-1/4,2Lmz0G-CA-20-0000022,2Lmz0G-CM-013-BNP-2020-1,2Lmz0G-JL7nrj,Unidad Central,CA-20-0000022,goodsOrServices,COMPRA DE TONER,2020-02-10T00:00:00-06:00,23775.1,HNL
ocds-lcuori-vGZWNR-10006521-IHSS-SPS-1,ocds-lcuori-vGZWNR-10006521-IHSS-SPS-1/3,vGZWNR-4100004548,vGZWNR-10006521-IHSS-SPS-1,vGZWNR-orvxDG,Unidad Central,4100004548,goodsOrServices,ERITROPOYETINA,2020-03-12T00:00:00-06:00,177600.0,HNL
ocds-lcuori-vGZWNR-30011568-IHSS-SPS-1,ocds-lcuori-vGZWNR-30011568-IHSS-SPS-1/4,vGZWNR-4300008658,vGZWNR-30011568-IHSS-SPS-1,vGZWNR-orvxDG,Unidad Central,4300008658,goodsOrServices,GUANTES BOTAS,2020-03-12T00:00:00-06:00,16430.0,HNL
ocds-lcuori-vGZWNR-30011575-IHSS-SPS-1,ocds-lcuori-vGZWNR-30011575-IHSS-SPS-1/4,vGZWNR-4300008668,vGZWNR-30011575-IHSS-SPS-1,vGZWNR-orvxDG,Unidad Central,4300008668,goodsOrServices,SUTURA,2020-03-12T00:00:00-06:00,3840.0,HNL
ocds-lcuori-vGZWNR-30011588-IHSS-SPS-1,ocds-lcuori-vGZWNR-30011588-IHSS-SPS-1/4,vGZWNR-4300008680,vGZWNR-30011588-IHSS-SPS-1,vGZWNR-orvxDG,Unidad Central,4300008680,goodsOrServices,CATETER PERC,2020-03-12T00:00:00-06:00,59520.0,HNL
ocds-lcuori-vGZWNR-30011598-IHSS-SPS-1,ocds-lcuori-vGZWNR-30011598-IHSS-SPS-1/4,vGZWNR-4300008682,vGZWNR-30011598-IHSS-SPS-1,vGZWNR-orvxDG,Unidad Central,4300008682,goodsOrServices,MASCARILLA,2020-03-12T00:00:00-06:00,7200.0,HNL
ocds-lcuori-vGZWNR-10006526-IHSS-SPS-1,ocds-lcuori-vGZWNR-10006526-IHSS-SPS-1/4,vGZWNR-4100004549,vGZWNR-10006526-IHSS-SPS-1,vGZWNR-orvxDG,Unidad Central,4100004549,goodsOrServices,SODIO,2020-03-12T00:00:00-06:00,44530.15,HNL
ocds-lcuori-7GX4eG-INE-002-2020-1,ocds-lcuori-7GX4eG-INE-002-2020-1/3,7GX4eG-INE-002-2020,7GX4eG-INE-002-2020-1,7GX4eG-4LOWLg,Unidad Central,INE-002-2020,consultingServices,CONSULTORIA NACIONAL DE SERVICIOS PARA LA ELABORACION DEL PLAN DE COMUNICACION Y DIFUSION PARA EL CENSO AGROPECUARIO NACIONAL,2020-02-15T00:00:00-06:00,294933.0,HNL
ocds-lcuori-PR8Q5r-34-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-34-CM-IHT-2020-1/3,PR8Q5r-OC 49-2020,PR8Q5r-34-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,OC 49-2020,goodsOrServices,"Contratacion de Servicio de catering para 50 personas que incluya salón, una estación permanente de café, galletas y agua; 1 refrigerio que conste de tres boquitas: dos (2) saladas y una (1) dulce y refresco para ser servido a las 10:00 am; Almuerzo buffet para cincuenta (50) personas que conste de una (1) carne, panecillo y dos (2) complementos, refresco con refill y postre para ser servido a las 12:00 meridiano, para el dia 7 de febrero de 2020.",2020-03-13T00:00:00-06:00,39370.25,HNL
ocds-lcuori-PR8Q5r-26-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-26-CM-IHT-2020-1/3,PR8Q5r-30-2020,PR8Q5r-26-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,30-2020,goodsOrServices,Compra de boleto aéreo en ruta TGU Miami TGU para 3 empleados del IHT,2020-03-13T00:00:00-06:00,56658.0,HNL
ocds-lcuori-vGZWNR-10006530-IHSS-SPS-1,ocds-lcuori-vGZWNR-10006530-IHSS-SPS-1/3,vGZWNR-4100004552,vGZWNR-10006530-IHSS-SPS-1,vGZWNR-orvxDG,Unidad Central,4100004552,goodsOrServices,FROMOTEROL,2020-03-12T00:00:00-06:00,238995.0,HNL
ocds-lcuori-0rw29R-CM-014-2020-1,ocds-lcuori-0rw29R-CM-014-2020-1/2,0rw29R-CM-014-2020,0rw29R-CM-014-2020-1,0rw29R-7rBOL0,Unidad Central,CM-014-2020,goodsOrServices,COMPRA DE BOQUITAS PARA EL DESPACHO ,2020-02-10T00:00:00-06:00,1782.5,HNL
ocds-lcuori-0rw29R-CM-22-2020-1,ocds-lcuori-0rw29R-CM-22-2020-1/2,0rw29R-CM-22-2020,0rw29R-CM-22-2020-1,0rw29R-7rBOL0,Unidad Central,CM-22-2020,goodsOrServices,EVENTO I RONDA PRESIDENCIA PRE TEMPORE  SISTEMA DE INTEGRACION ECONOMICA,2020-03-04T00:00:00-06:00,193230.5,HNL
ocds-lcuori-PR8Q5r-49-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-49-CM-IHT-2020-1/3,PR8Q5r-OC 062-2020,PR8Q5r-49-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,OC 062-2020,goodsOrServices,Compra de 100 cordones para gafetes elaborados con tela Lenca,2020-03-14T00:00:00-06:00,8500.0,HNL
ocds-lcuori-grxXEr-COT. 02-2020-1,ocds-lcuori-grxXEr-COT. 02-2020-1/3,grxXEr-3433,grxXEr-COT. 02-2020-1,grxXEr-mrYzL9,Hospital San Francisco,3433,goodsOrServices,31110 ALIMENTOS,2020-03-25T00:00:00-06:00,225499.58,HNL
ocds-lcuori-DRW55L-02-CM-SETUR-2020-1,ocds-lcuori-DRW55L-02-CM-SETUR-2020-1/3,DRW55L-8-2020,DRW55L-02-CM-SETUR-2020-1,DRW55L-2LmVGK,Gerencia Central SETUR,8-2020,goodsOrServices,Compra de 2 boletos aéreos ,2020-03-14T00:00:00-06:00,79800.0,HNL
ocds-lcuori-PLe6mG-HSR-LP-013-2020-2,ocds-lcuori-PLe6mG-HSR-LP-013-2020-2/3,PLe6mG-0013-2020,PLe6mG-HSR-LP-013-2020-2,PLe6mG-mrYzL9,Hospital Santa Rosita (Francisco Morazan),0013-2020,goodsOrServices,31110-ALIMENTOS Y BEBIDAS PARA PERSONAS ,2020-03-10T00:00:00-06:00,393120.0,HNL
ocds-lcuori-PLe6mG-HSR-LP-001-2020-2,ocds-lcuori-PLe6mG-HSR-LP-001-2020-2/3,PLe6mG-001-2020,PLe6mG-HSR-LP-001-2020-2,PLe6mG-mrYzL9,Hospital Santa Rosita (Francisco Morazan),001-2020,goodsOrServices,31110-ALIMENTOS Y BEBIDAS PARA PERSONAS,2020-03-10T00:00:00-06:00,487874.0,HNL
ocds-lcuori-PLe6mG-HSR-LP-002-2020-2,ocds-lcuori-PLe6mG-HSR-LP-002-2020-2/4,PLe6mG-002-2020,PLe6mG-HSR-LP-002-2020-2,PLe6mG-mrYzL9,Hospital Santa Rosita (Francisco Morazan),002-2020,goodsOrServices,31110-ALIMENTOS Y BEBIDAS PARA PERSONAS,2020-03-11T00:00:00-06:00,346956.0,HNL
ocds-lcuori-PLe6mG-HSR-LP-003-2020-2,ocds-lcuori-PLe6mG-HSR-LP-003-2020-2/3,PLe6mG-003-2020,PLe6mG-HSR-LP-003-2020-2,PLe6mG-mrYzL9,Hospital Santa Rosita (Francisco Morazan),003-2020,goodsOrServices,31110-ALIMENTOS Y BEBIDAS PARA PERSONAS,2020-03-10T00:00:00-06:00,399750.0,HNL
ocds-lcuori-PLe6mG-HSR-005-2020-1,ocds-lcuori-PLe6mG-HSR-005-2020-1/3,PLe6mG-005-2020,PLe6mG-HSR-005-2020-1,PLe6mG-mrYzL9,Hospital Santa Rosita (Francisco Morazan),005-2020,goodsOrServices,31110-ALIMENTOS Y BEBIDAS PARA PERSONAS,2020-04-10T00:00:00-06:00,189000.0,HNL
ocds-lcuori-vGZWNR-10006546-IHSS-SPS-1,ocds-lcuori-vGZWNR-10006546-IHSS-SPS-1/3,vGZWNR-4100004574,vGZWNR-10006546-IHSS-SPS-1,vGZWNR-orvxDG,Unidad Central,4100004574,goodsOrServices,SILDENAFIL,2020-03-12T00:00:00-06:00,4968.72,HNL
ocds-lcuori-oLjYzr-CM-038-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-038-MSFYC-2020-1/4,oLjYzr-364,oLjYzr-CM-038-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,364,goodsOrServices,Mejoramiento del estadio de Rio Lindo (Pintado de Graderias y cerco perimetral del area de Cancha).,2020-03-11T00:00:00-06:00,34580.0,HNL
ocds-lcuori-DRW55L-03-CM-SETUR-2020-1,ocds-lcuori-DRW55L-03-CM-SETUR-2020-1/3,DRW55L-9-2020,DRW55L-03-CM-SETUR-2020-1,DRW55L-2LmVGK,Gerencia Central SETUR,9-2020,goodsOrServices,Comp´ra de boleto aereo,2020-03-14T00:00:00-06:00,14910.0,HNL
ocds-lcuori-PR8Q5r-54-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-54-CM-IHT-2020-1/3,PR8Q5r-OC 076-2020,PR8Q5r-54-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,OC 076-2020,goodsOrServices,Servicios de Catering de 30 boquitas de 2 saladas y 2 dulces mas refresco.,2020-03-14T00:00:00-06:00,2530.0,HNL
ocds-lcuori-oLjYzr-CM-043-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-043-MSFYC-2020-1/3,oLjYzr-352,oLjYzr-CM-043-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,352,goodsOrServices,"COMPRA DE MATERIALES PARA CONSTRUCCIÓN DE VIVIENDA A SEÑORA MARIA ARGELIA VÁSQUEZ, PERSONA DE ESCASOS RECURSOS DE LA CABECERA MUNICIPAL",2020-02-26T00:00:00-06:00,20085.21,HNL
ocds-lcuori-4LOV1r-DICTA PROGRAMA DE SEMILLAS-CM-MD-003-2020-1,ocds-lcuori-4LOV1r-DICTA PROGRAMA DE SEMILLAS-CM-MD-003-2020-1/2,4LOV1r-DICTA PROGRAMA DE SEMILLAS-CM-010-2020,4LOV1r-DICTA PROGRAMA DE SEMILLAS-CM-MD-003-2020-1,4LOV1r-4LOe9R,Unidad Ejecutora 01,DICTA PROGRAMA DE SEMILLAS-CM-010-2020,goodsOrServices,Compra de cuatrocientos (400) conos de hilos no. 12/5 los cuales serán utilizados para costuras las bolsas que contienen la semilla en la planta procesadora de semillas,2020-03-10T00:00:00-06:00,20700.0,HNL
ocds-lcuori-1RaB9r-CM-02-UNAH-DCUROC-2020-1,ocds-lcuori-1RaB9r-CM-02-UNAH-DCUROC-2020-1/2,1RaB9r-02-2020,1RaB9r-CM-02-UNAH-DCUROC-2020-1,1RaB9r-PGJALo,Dirección CUROC,02-2020,goodsOrServices,Diesel y gasolina ,2020-03-05T00:00:00-06:00,129500.0,HNL
ocds-lcuori-PR8Q5r-64-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-64-CM-IHT-2020-1/4,PR8Q5r-OC 090-2020,PR8Q5r-64-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,OC 090-2020,goodsOrServices,"Compra de 2 sellos automaticos ""ANULADO""",2020-03-14T00:00:00-06:00,966.0,HNL
ocds-lcuori-1RaMPR-CD-BID-3815-01-2020-2,ocds-lcuori-1RaMPR-CD-BID-3815-01-2020-2/3,1RaMPR-CF-BID-3815-71-2020,1RaMPR-CD-BID-3815-01-2020-2,1RaMPR-7G3A5r,Adquisiciones MCA Honduras,CF-BID-3815-71-2020,goodsOrServices,“Estudio para la Solución de la Falla en el Km 16 Carretera CA-6 Tegucigalpa - Danlí”,2020-04-06T00:00:00-06:00,99967.68,USD
