ocid,id,contracts/0/id,contracts/0/dateSigned,contracts/0/description,contracts/0/buyer/id,contracts/0/buyer/name,contracts/0/localProcurementCategory,contracts/0/awardID,contracts/0/title,contracts/0/value/currency,contracts/0/value/amount
ocds-lcuori-0rwYG8-SOLPED-20001527-1,ocds-lcuori-0rwYG8-SOLPED-20001527-1/4,0rwYG8-PEDIDO-4200001347,2016-12-29T00:00:00-06:00,"Solicitante: Departamento de Servicios Generales DSG-580-2015
Atendiendo a solicitud de la Seccion de Transporte y como parte del mantenimiento que debe ser dado a la flota vehicular de la empresa. Se procede a gestionar el cambio de aceite de veinticuatro (24) vehiculos cuyos registros son: 698, 548, 546, 545, 542, 538, 533, 386, 150, 531, 711, 6, 34, 126, 341, 596, 59, 4, 780, 724, 717, 527, 540,777.

INFORMACION: Leocadio Gamez 2239-6181/84",0rwYG8-PLemLJ,Unidad Central,goodsOrServices,0rwYG8-SOLPED-20001527-1,PEDIDO-4200001347,HNL,38364.0
ocds-lcuori-PR8ooG-CM-094-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-094-CONAPID-2015-1/4,PR8ooG-166-CONAPID-2015,2016-05-30T00:00:00-06:00,100 BOLSA DE CORALON,PR8ooG-NrdqVL,Unidad Central,goodsOrServices,PR8ooG-CM-094-CONAPID-2015-1,166-CONAPID-2015,HNL,12305.0
ocds-lcuori-PR8ooG-CM-104-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-104-CONAPID-2015-1/4,PR8ooG-172-CONAPID-2015,2016-06-02T00:00:00-06:00,REPARACION Y PINTADO DE 200 PARRILLAS USADAS,PR8ooG-NrdqVL,Unidad Central,goodsOrServices,PR8ooG-CM-104-CONAPID-2015-1,172-CONAPID-2015,HNL,51750.0
ocds-lcuori-PR8ooG-CM-118-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-118-CONAPID-2015-1/4,PR8ooG-180-CONAPID-2015,2016-06-07T00:00:00-06:00,2 QUINTALES FERTILIZANTE DE UREA ,PR8ooG-NrdqVL,Unidad Central,goodsOrServices,PR8ooG-CM-118-CONAPID-2015-1,180-CONAPID-2015,HNL,963.0
ocds-lcuori-2LmA7L-UAP-369-2015-2,ocds-lcuori-2LmA7L-UAP-369-2015-2/4,2LmA7L-SCGG-UAP-14590-CI-039-2015,2015-12-03T00:00:00-06:00,Consultor Nacional en Apoyo a la Planificación Estratégica y el Marco de Políticas del sector de Desarrollo Económico.  ,2LmA7L-gLn5gr,Unidad Administradora de Proyectos,consultingServices,2LmA7L-UAP-369-2015-2,SCGG-UAP-14590-CI-039-2015,HNL,117372.8
ocds-lcuori-0rwYG8-SOLPED-20001543-1,ocds-lcuori-0rwYG8-SOLPED-20001543-1/4,0rwYG8-PEDIDO-4200001388,2016-12-29T00:00:00-06:00,"Solicitante: Departamento de Servicios Generales DSG-694-2015
Atendiendo a solicitud de la Seccion de Transporte y como parte del mantenimiento que debe ser dado a la flota vehicular de la empresa. Se procede a gestionar el cambio de aceite de quince (15) vehiculos con Memorando de justificacion DSG-721-2015.
 - Informacion Leocadio Gamez 2239-6181/84",0rwYG8-PLemLJ,Unidad Central,goodsOrServices,0rwYG8-SOLPED-20001543-1,PEDIDO-4200001388,HNL,23805.0
ocds-lcuori-0rwYG8-SOLPED-10001049-1-1,ocds-lcuori-0rwYG8-SOLPED-10001049-1-1/3,0rwYG8-PEDIDO-4300000476,2016-06-30T00:00:00-06:00,"SOLICITADO POR: SUB DIRECCION TECNOLOGIA ILNALAMBRICA (SUB DIRECCION TECNOLOGIA INALAMBRICA. SDTI-059-2016

DOS GARRUCHAS DOBLES LAS CUALES SON NECESARIAS PARA REALIZAR TRABAJOS EN LA TORRE COMO SER: SUBIR ANTENAS HERRAJES Y MATERIALES NECESARIOS AL REALIZAR MANTENIMIENTOS CORRECTIVOS, REUBICACIONES DE CELDAS INALMBRICASDE LA RED DE TELEFONIA MOVIL GSM.

CONTACTO: JOSE EFRAIN ZALDAÑA AYALA CON NUMERO DE PERSONAL 90050 Y TELEFONOS: 7217-1119 2239-8492.",0rwYG8-PLemLJ,Unidad Central,goodsOrServices,0rwYG8-SOLPED-10001049-1-1,PEDIDO-4300000476,HNL,3450.0
ocds-lcuori-MLQ18L-HBCBH-001-2015-2,ocds-lcuori-MLQ18L-HBCBH-001-2015-2/3,MLQ18L-HBCBH-012-2015,2015-03-05T00:00:00-06:00,15100 seguro de Riesgo de Trabajo,MLQ18L-MLQ77R,Comandancia General,goodsOrServices,MLQ18L-HBCBH-001-2015-2,HBCBH-012-2015,HNL,490100.0
ocds-lcuori-2LmqDL-LPN-08-AMDC-BCIE-2014-2,ocds-lcuori-2LmqDL-LPN-08-AMDC-BCIE-2014-2/4,2LmqDL-0448-GLCSI-AMDC-BCIE-2017,2017-03-15T00:00:00-06:00,"Construcción de muro y emplantillado en quebrada El Cacao, reparación de cajas, pavimento y obras complementarias, barrio El Chile, Comayagüela MDC",2LmqDL-DL9QxL,Alcaldía Municipal del Distrito Central,works,2LmqDL-LPN-08-AMDC-BCIE-2014-2,0448-GLCSI-AMDC-BCIE-2017,HNL,9237141.12
ocds-lcuori-NLPAVG-2015-189-FN-INAM-1,ocds-lcuori-NLPAVG-2015-189-FN-INAM-1/3,NLPAVG-2015-189-FN-INAM,2016-05-26T00:00:00-06:00,COMPRA DE 150 CAMISAS PARA USO DIARIO DEL PERSONAL DEL INAM,NLPAVG-ERpqPr,Unidad Central,goodsOrServices,NLPAVG-2015-189-FN-INAM-1,2015-189-FN-INAM,HNL,33637.5
ocds-lcuori-KLg9wR-LPN-006-2015-DA-2,ocds-lcuori-KLg9wR-LPN-006-2015-DA-2/3,KLg9wR-DSL-038-2015-DA,2015-10-01T00:00:00-06:00,Servicios de Higienización y Limpieza para el Injupemp,KLg9wR-8L4pPL,Unidad Central,goodsOrServices,KLg9wR-LPN-006-2015-DA-2,DSL-038-2015-DA,HNL,9054180.0
ocds-lcuori-KLg9wR-LPN-007-2015-DA-2,ocds-lcuori-KLg9wR-LPN-007-2015-DA-2/3,KLg9wR-DSL -040-2015,2015-12-09T00:00:00-06:00,"Adquisicion de Mobiliario para oficina y Archivo, del Injupemp.",KLg9wR-8L4pPL,Unidad Central,goodsOrServices,KLg9wR-LPN-007-2015-DA-2,DSL -040-2015,HNL,1844372.15
ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2,ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2/3,PLeQ0L-MEP 056-2015,2015-09-24T00:00:00-06:00,"Construccion de equipamiento urbano para rutas seguras y la convivencia ciudadana en la colonia Palermo y Fatima, construccion de area civica en escuela Jose Maria Ferrero en la colonia Fatima y la reparacion en general de la Casa de la Cultura de la ciudad de El Progreso.",PLeQ0L-yRlxYR,Alcaldía Municipal de El Progreso ,works,PLeQ0L-LPNS-MEP-001-2015-2,MEP 056-2015,HNL,1086747.74
ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2,ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2/3,PLeQ0L-MEP 057-2015,2015-09-24T00:00:00-06:00,"Construccion de equipamiento urbano para rutas seguras y la convivencia ciudadana en la colonia Palermo y Fatima, construccion de area civica en escuela Jose Maria Ferrero en la colonia Fatima y la reparacion en general de la Casa de la Cultura de la ciudad de El Progreso.",PLeQ0L-yRlxYR,Alcaldía Municipal de El Progreso ,works,PLeQ0L-LPNS-MEP-001-2015-2,MEP 057-2015,HNL,1039620.59
ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2,ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2/3,PLeQ0L-MEP 058-2015,2015-09-22T00:00:00-06:00,"Construccion de equipamiento urbano para rutas seguras y la convivencia ciudadana en la colonia Palermo y Fatima, construccion de area civica en escuela Jose Maria Ferrero en la colonia Fatima y la reparacion en general de la Casa de la Cultura de la ciudad de El Progreso.",PLeQ0L-yRlxYR,Alcaldía Municipal de El Progreso ,works,PLeQ0L-LPNS-MEP-001-2015-2,MEP 058-2015,HNL,1270555.0
ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2,ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2/3,PLeQ0L-MEP 059-2015,2015-09-22T00:00:00-06:00,"Construccion de equipamiento urbano para rutas seguras y la convivencia ciudadana en la colonia Palermo y Fatima, construccion de area civica en escuela Jose Maria Ferrero en la colonia Fatima y la reparacion en general de la Casa de la Cultura de la ciudad de El Progreso.",PLeQ0L-yRlxYR,Alcaldía Municipal de El Progreso ,works,PLeQ0L-LPNS-MEP-001-2015-2,MEP 059-2015,HNL,1270555.0
ocds-lcuori-KLgDwG-CM-IHT-310-2015-1,ocds-lcuori-KLgDwG-CM-IHT-310-2015-1/3,KLgDwG-CM-IHT-310-2015,2016-04-13T00:00:00-06:00,"Boleto aéreo a favor de Emilio Silvestri, en ruta TGU-MADRID-TGU",KLgDwG-2LmVGK,Instituto Hondureño de Turismo,goodsOrServices,KLgDwG-CM-IHT-310-2015-1,CM-IHT-310-2015,HNL,43500.0
ocds-lcuori-mGEMGM-SEFIN-LPN-016-2015-2,ocds-lcuori-mGEMGM-SEFIN-LPN-016-2015-2/3,mGEMGM-CONTRATO No 015-2016,2016-07-11T00:00:00-06:00,SERVICIOS ALIMENTICIOS PARA EL PROGRAMA PILOTO INTEGRAL DE COMBATE A LA POBREZA URBANA DE LA SECRETARÍA DE FINANZAS PARA EL AÑO 2016,mGEMGM-NLPKrv,Unidad Central,goodsOrServices,mGEMGM-SEFIN-LPN-016-2015-2,CONTRATO No 015-2016,HNL,837199.93
ocds-lcuori-WRzj0R-LPU-010-2015-2,ocds-lcuori-WRzj0R-LPU-010-2015-2/3,WRzj0R-010-2015,2016-03-01T00:00:00-06:00,"Servicios de Interconexión de datos y acceso a internet, sede Central Tegucigalpa, M.D.C. Centros Regionales, Sedes CUED y Sedes PREUFOD de la UPNFM.",WRzj0R-JLKxGl,Unidad Central,goodsOrServices,WRzj0R-LPU-010-2015-2,010-2015,HNL,1350262.35
ocds-lcuori-WRzj0R-LPU-011-2015-2,ocds-lcuori-WRzj0R-LPU-011-2015-2/3,WRzj0R-011-2015,2016-02-01T00:00:00-06:00,Adquisición de Programa de Licnciamiento de Microsoft y Antivirus Corporativo de la UPNFM.,WRzj0R-JLKxGl,Unidad Central,goodsOrServices,WRzj0R-LPU-011-2015-2,011-2015,HNL,706231.1
ocds-lcuori-2LmqDL-LPuNBS-09-AMDC-219-2015-2,ocds-lcuori-2LmqDL-LPuNBS-09-AMDC-219-2015-2/3,2LmqDL-0369/GLCSI/AMDC/2016,2016-04-29T00:00:00-06:00,"Láminas, canaletas y accesorios para proyectos de techado",2LmqDL-DL9QxL,Alcaldía Municipal del Distrito Central,goodsOrServices,2LmqDL-LPuNBS-09-AMDC-219-2015-2,0369/GLCSI/AMDC/2016,HNL,6258827.85
ocds-lcuori-WRzj0R-LPU-013-2015-2,ocds-lcuori-WRzj0R-LPU-013-2015-2/3,WRzj0R-013-2015,2016-04-01T00:00:00-06:00,Adquisición de Seguro para los Vehículos de la UPNFM,WRzj0R-JLKxGl,Unidad Central,goodsOrServices,WRzj0R-LPU-013-2015-2,013-2015,HNL,196781.14
ocds-lcuori-WRzj0R-LPU-013-2015-2,ocds-lcuori-WRzj0R-LPU-013-2015-2/3,WRzj0R-013-2015-A,2016-04-01T00:00:00-06:00,Adquisición de Seguro para los Vehículos de la UPNFM,WRzj0R-JLKxGl,Unidad Central,goodsOrServices,WRzj0R-LPU-013-2015-2,013-2015-A,HNL,50297.27
ocds-lcuori-XRb6JR-LP 04-2015-2,ocds-lcuori-XRb6JR-LP 04-2015-2/3,XRb6JR-12-2016,2016-03-04T00:00:00-06:00,"ADQUISICIÓN DE:

1.SEGURO MÉDICO HOSPITALARIO, SEGURO DE VIDA COLECTIVO Y ACCIDENTES PERSONALES. (FUNCIONARIOS Y EMPLEADOS DEL PANI)
	
2.SEGURO CONTRA INCENDIOS (BIENES MUEBLES E          INMUEBLES)

3.SEGURO DE VEHÍCULOS
",XRb6JR-gGy4LO,Unidad Central,goodsOrServices,XRb6JR-LP 04-2015-2,12-2016,HNL,1222567.07
ocds-lcuori-mGEMGM-SEFIN-LPN-017-2015-2,ocds-lcuori-mGEMGM-SEFIN-LPN-017-2015-2/3,mGEMGM-CONTRATO No 011-2016,2016-04-01T00:00:00-06:00,SERVICIOS DE LIMPIEZA Y AFINES PARA EL 2016,mGEMGM-NLPKrv,Unidad Central,goodsOrServices,mGEMGM-SEFIN-LPN-017-2015-2,CONTRATO No 011-2016,HNL,6140742.75
ocds-lcuori-2LmqDL-LPrNBS-12-AMDC-181-2015-2,ocds-lcuori-2LmqDL-LPrNBS-12-AMDC-181-2015-2/3,2LmqDL-0367/GLCSI/AMDC/2016,2016-03-18T00:00:00-06:00,Adquisición de software para documentación electrónica de expedientes para la AMDC,2LmqDL-DL9QxL,Alcaldía Municipal del Distrito Central,goodsOrServices,2LmqDL-LPrNBS-12-AMDC-181-2015-2,0367/GLCSI/AMDC/2016,HNL,241500.0
ocds-lcuori-kG1ger-pub 02-2015-2,ocds-lcuori-kG1ger-pub 02-2015-2/3,kG1ger-24/2015,2015-12-21T00:00:00-06:00,"Rehabilitación de sistema de defensas existente, incluye suministro e instalación de 
defensas en línea de atraque del muelle de pto. de San Lorenzo, Valle",kG1ger-1Ra6lr,Unidad Central,goodsOrServices,kG1ger-pub 02-2015-2,24/2015,HNL,8625332.35
ocds-lcuori-kG1ger-pub 02-2015-2,ocds-lcuori-kG1ger-pub 02-2015-2/3,kG1ger-24-2015,2015-12-21T00:00:00-06:00,"Rehabilitación de sistema de defensas existente, incluye suministro e instalación de 
defensas en línea de atraque del muelle de pto. de San Lorenzo, Valle",kG1ger-1Ra6lr,Unidad Central,goodsOrServices,kG1ger-pub 02-2015-2,24-2015,HNL,8625332.35
ocds-lcuori-kG1ger-pub 05-2015-2,ocds-lcuori-kG1ger-pub 05-2015-2/3,kG1ger-03-2016,2016-05-06T00:00:00-06:00,"Suministro de linternas marinas LEDS, cadenas y grilletes",kG1ger-1Ra6lr,Unidad Central,goodsOrServices,kG1ger-pub 05-2015-2,03-2016,HNL,879198.0
ocds-lcuori-2LAdQr-LP-FV-RVNP-10-2015-2,ocds-lcuori-2LAdQr-LP-FV-RVNP-10-2015-2/3,2LAdQr-FV-154-2015,2015-11-04T00:00:00-06:00,MANTENIMIENTO PERIODICO Y RUTINARIO EN LA RED VIAL NO PAVIMENTADA,2LAdQr-JLKQxR,Fondo Vial,works,2LAdQr-LP-FV-RVNP-10-2015-2,FV-154-2015,HNL,1934219.82
ocds-lcuori-2LAdQr-COT-FV-RVNP-10-2015-2,ocds-lcuori-2LAdQr-COT-FV-RVNP-10-2015-2/3,2LAdQr-FV-153-2015,2015-11-04T00:00:00-06:00,SUPERVISIÓN DE LAS OBRAS DE MANTENIMIENTO PERIÓDICO Y RUTINARIO EN LA RED VIAL NO PAVIMENTADA,2LAdQr-JLKQxR,Fondo Vial,consultingServices,2LAdQr-COT-FV-RVNP-10-2015-2,FV-153-2015,HNL,230813.22
ocds-lcuori-2LAdQr-COT-FV-RVNP-12-2015-2,ocds-lcuori-2LAdQr-COT-FV-RVNP-12-2015-2/3,2LAdQr-FV-184-2015,2015-11-27T00:00:00-06:00,SUPERVISIÓN DE LAS OBRAS DE MANTENIMIENTO PERIÓDICO Y RUTINARIO EN LA RED VIAL NO PAVIMENTADA,2LAdQr-JLKQxR,Fondo Vial,consultingServices,2LAdQr-COT-FV-RVNP-12-2015-2,FV-184-2015,HNL,259089.82
ocds-lcuori-JLKAbR-IHAH-002-2015-2,ocds-lcuori-JLKAbR-IHAH-002-2015-2/3,JLKAbR-02,2016-04-04T00:00:00-06:00," “PROYECTO: Conservación y Utilización del Parque Arqueológico Copán como Recurso
Regional”, Componente 1: “Construcción del Edificio, a ejecutarse en el sitio
arqueológico Las Sepulturas, en el Municipio de Copan Ruinas, Departamento de
Copan",JLKAbR-kR0E5r,Unidad Central,works,JLKAbR-IHAH-002-2015-2,02,HNL,13541117.28
ocds-lcuori-PR8ooG-CM-091-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-091-CONAPID-2015-1/4,PR8ooG-163-CONAPID-2015,2016-09-29T00:00:00-06:00,"ENGRAMADO DE 1,051 METROS CUADRADO DE GRAMA NATURAL PARA ESTADIO OLIMPICO",PR8ooG-NrdqVL,Unidad Central,goodsOrServices,PR8ooG-CM-091-CONAPID-2015-1,163-CONAPID-2015,HNL,204015.0
ocds-lcuori-PR8ooG-CM-092-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-092-CONAPID-2015-1/3,PR8ooG-164-CONAPID-2015,2016-05-25T00:00:00-06:00,UN TROFEO DE FUTBOL,PR8ooG-NrdqVL,Unidad Central,goodsOrServices,PR8ooG-CM-092-CONAPID-2015-1,164-CONAPID-2015,HNL,1725.0
ocds-lcuori-PR8ooG-CM-093-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-093-CONAPID-2015-1/3,PR8ooG-165-CONAPID-2015,2016-05-27T00:00:00-06:00,4 PLIEGOS DE PLYWOOD DE PINO4X8,PR8ooG-NrdqVL,Unidad Central,goodsOrServices,PR8ooG-CM-093-CONAPID-2015-1,165-CONAPID-2015,HNL,3160.02
ocds-lcuori-wrV3LP-COT-IDECOAS-FHIS-11-2015-2,ocds-lcuori-wrV3LP-COT-IDECOAS-FHIS-11-2015-2/3,wrV3LP-52066,2016-07-20T00:00:00-06:00,"COT-IDEOCAS/FHIS-11-2015: SUMINISTRO MOBILIARIO ESCUELA URBANA MIXTA DR. PRESENTACION CENTENO, UBICADO EN ALDEA DUYURE, MUNICIPIO DE DUYURE,  DEPARTAMENTO DE CHOLUTECA,  CÓDIGO: 105332",wrV3LP-orvDGM,FHIS - Unidad Central,goodsOrServices,wrV3LP-COT-IDECOAS-FHIS-11-2015-2,52066,HNL,182862.68
ocds-lcuori-orvDGM-LPN-SANAA-PEG-045-2015-2,ocds-lcuori-orvDGM-LPN-SANAA-PEG-045-2015-2/3,orvDGM-DLC-01-7-2016,2016-06-01T00:00:00-06:00,"Construccion de Obras Complementarias para el Funcionamiento de Tres (3) Pozos en la Ciudad de El Progreso, Departamento de Yoro.",orvDGM-jRDVLk,SANAA - Unidad Central,works,orvDGM-LPN-SANAA-PEG-045-2015-2,DLC-01-7-2016,USD,434133.7
ocds-lcuori-2LAdQr-LP-FV-RVNP-14-2015-2,ocds-lcuori-2LAdQr-LP-FV-RVNP-14-2015-2/3,2LAdQr-FV-188-2015,2015-11-27T00:00:00-06:00,MANTENIMIENTO PERIODICO Y RUTINARIO EN LA RED VIAL NO PAVIMENTADA,2LAdQr-JLKQxR,Fondo Vial,works,2LAdQr-LP-FV-RVNP-14-2015-2,FV-188-2015,HNL,1934936.73
ocds-lcuori-2LAdQr-COT-FV-RVNP-14-2015-2,ocds-lcuori-2LAdQr-COT-FV-RVNP-14-2015-2/3,2LAdQr-FV-172-2015,2015-11-20T00:00:00-06:00,SUPERVISIÓN DE LAS OBRAS DE MANTENIMIENTO PERIÓDICO Y RUTINARIO EN LA RED VIAL NO PAVIMENTADA,2LAdQr-JLKQxR,Fondo Vial,consultingServices,2LAdQr-COT-FV-RVNP-14-2015-2,FV-172-2015,HNL,230813.22
ocds-lcuori-2LAdQr-LP-FV-RVNP-15-2015-2,ocds-lcuori-2LAdQr-LP-FV-RVNP-15-2015-2/3,2LAdQr-FV-165-2015,2015-11-16T00:00:00-06:00,MANTENIMIENTO PERIODICO Y RUTINARIO EN LA RED VIAL NO PAVIMENTADA,2LAdQr-JLKQxR,Fondo Vial,works,2LAdQr-LP-FV-RVNP-15-2015-2,FV-165-2015,HNL,1716038.22
ocds-lcuori-2LAdQr-COT-FV-RVNP-15-2015-2,ocds-lcuori-2LAdQr-COT-FV-RVNP-15-2015-2/3,2LAdQr-FV-164-2015,2015-11-16T00:00:00-06:00,SUPERVISIÓN DE LAS OBRAS DE MANTENIMIENTO PERIÓDICO Y RUTINARIO EN LA RED VIAL NO PAVIMENTADA,2LAdQr-JLKQxR,Fondo Vial,consultingServices,2LAdQr-COT-FV-RVNP-15-2015-2,FV-164-2015,HNL,252089.82
