ocid,id,tender/id,tender/documents/0/id,tender/documents/0/url,tender/documents/0/documentType,tender/documents/0/format,tender/documents/0/description,tender/documents/0/title,tender/documents/0/datePublished
ocds-lcuori-4LOxWG-LP29-2015-2,ocds-lcuori-4LOxWG-LP29-2015-2/4,4LOxWG-LP29-2015-2,57466,http://h1.honducompras.gob.hn/Docs/Lic83LP29-2015601-ActadeRecepcionyAperturadeOfertas.jpg,x_recordOpeningTendersReceived,image/jpeg,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-02-26T14:03:14.573000-06:00
ocds-lcuori-4LOxWG-LP31-2015-2,ocds-lcuori-4LOxWG-LP31-2015-2/4,4LOxWG-LP31-2015-2,57135,http://h1.honducompras.gob.hn/Docs/Lic83LP31-2015200-PliegooTerminosdeReferencia.pdf,biddingDocuments,application/pdf,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-02-23T10:30:51.220000-06:00
ocds-lcuori-4LOxWG-LP31-2015-2,ocds-lcuori-4LOxWG-LP31-2015-2/4,4LOxWG-LP31-2015-2,57503,http://h1.honducompras.gob.hn/Docs/Lic83LP31-2015601-ActadeRecepcionyAperturadeOfertas.jpg,x_recordOpeningTendersReceived,image/jpeg,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-02-27T10:59:55.510000-06:00
ocds-lcuori-4LOxWG-LP42-2015-2,ocds-lcuori-4LOxWG-LP42-2015-2/3,4LOxWG-LP42-2015-2,58035,http://h1.honducompras.gob.hn/Docs/Lic83LP42-2015200-PliegooTerminosdeReferencia.pdf,biddingDocuments,application/pdf,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-03-10T13:15:19.160000-06:00
ocds-lcuori-4LOxWG-LP42-2015-2,ocds-lcuori-4LOxWG-LP42-2015-2/3,4LOxWG-LP42-2015-2,58535,http://h1.honducompras.gob.hn/Docs/Lic83LP42-2015601-ActadeRecepcionyAperturadeOfertas.pdf,x_recordOpeningTendersReceived,application/pdf,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-03-20T12:07:12.190000-06:00
ocds-lcuori-4LOxWG-LP43-2015-2,ocds-lcuori-4LOxWG-LP43-2015-2/3,4LOxWG-LP43-2015-2,57936,http://h1.honducompras.gob.hn/Docs/Lic83LP43-2015200-PliegooTerminosdeReferencia.doc,biddingDocuments,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-03-09T11:16:26.940000-06:00
ocds-lcuori-4LOxWG-LP43-2015-2,ocds-lcuori-4LOxWG-LP43-2015-2/3,4LOxWG-LP43-2015-2,58709,http://h1.honducompras.gob.hn/Docs/Lic83LP43-2015601-ActadeRecepcionyAperturadeOfertas.pdf,x_recordOpeningTendersReceived,application/pdf,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-03-25T14:32:44.683000-06:00
ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2,ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2/3,mGE36r-LPN-GUAL-01-2015-2,55678,http://h1.honducompras.gob.hn/Docs/Lic442LPN-GUAL-01-2015100-AvisodePrensa.pdf,tenderNotice,application/pdf,Aviso de Prensa,Aviso de Prensa,2015-01-06T14:29:19.050000-06:00
ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2,ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2/3,mGE36r-LPN-GUAL-01-2015-2,55679,http://h1.honducompras.gob.hn/Docs/Lic442LPN-GUAL-01-2015201-PliegooTerminosdeReferencia.pdf,biddingDocuments,application/pdf,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-01-06T14:42:17.263000-06:00
ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2,ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2/3,mGE36r-LPN-GUAL-01-2015-2,55954,http://h1.honducompras.gob.hn/Docs/Lic442LPN-GUAL-01-2015404-EnmiendaoAdendum.pdf,x_amendment,application/pdf,Enmienda o Adendum,Enmienda o Adendum,2015-01-24T23:20:19.233000-06:00
ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2,ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2/3,mGE36r-LPN-GUAL-01-2015-2,56684,http://h1.honducompras.gob.hn/Docs/Lic442LPN-GUAL-01-2015605-ActadeRecepcionyAperturadeOfertas.pdf,x_recordOpeningTendersReceived,application/pdf,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-02-12T22:03:57.753000-06:00
ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2,ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2/3,mGE36r-LPN-GUAL-01-2015-2,55681,http://h1.honducompras.gob.hn/Docs/Lic442LPN-GUAL-01-20151402-AnexosalPliego.xlsx,x_solicitationDocumentAnnexe,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Anexos al Pliego ,Anexos al Pliego ,2015-01-06T14:51:12.053000-06:00
ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2,ocds-lcuori-mGE36r-LPN-GUAL-01-2015-2/3,mGE36r-LPN-GUAL-01-2015-2,55683,http://h1.honducompras.gob.hn/Docs/Lic442LPN-GUAL-01-20151403-AnexosalPliego.pdf,x_solicitationDocumentAnnexe,application/pdf,Anexos al Pliego ,Anexos al Pliego ,2015-01-06T14:55:24.143000-06:00
ocds-lcuori-7rBxpG-CDirecta No.23-2014-2,ocds-lcuori-7rBxpG-CDirecta No.23-2014-2/3,7rBxpG-CDirecta No.23-2014-2,55887,http://h1.honducompras.gob.hn/Docs/Lic123CDirecta%20No.23-2014101-AvisodePrensa.pdf,tenderNotice,application/pdf,Aviso de Prensa,Aviso de Prensa,2015-01-20T11:19:17.603000-06:00
ocds-lcuori-7rBxpG-CDirecta No.23-2014-2,ocds-lcuori-7rBxpG-CDirecta No.23-2014-2/3,7rBxpG-CDirecta No.23-2014-2,55690,http://h1.honducompras.gob.hn/Docs/Lic123CDirecta%20No.23-2014201-PliegooTerminosdeReferencia.pdf,biddingDocuments,application/pdf,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-01-06T15:48:30.563000-06:00
ocds-lcuori-7rBxpG-CDirecta No.23-2014-2,ocds-lcuori-7rBxpG-CDirecta No.23-2014-2/3,7rBxpG-CDirecta No.23-2014-2,56046,http://h1.honducompras.gob.hn/Docs/Lic123CDirecta%20No.23-2014602-ActadeRecepcionyAperturadeOfertas.pdf,x_recordOpeningTendersReceived,application/pdf,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-01-27T16:20:49.777000-06:00
ocds-lcuori-7GX7XL-SS-FM-010-2014-2,ocds-lcuori-7GX7XL-SS-FM-010-2014-2/3,7GX7XL-SS-FM-010-2014-2,55691,http://h1.honducompras.gob.hn/Docs/Lic559SS-FM-010-2014100-AvisodePrensa.docx,tenderNotice,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Aviso de Prensa,Aviso de Prensa,2015-01-06T16:50:48.033000-06:00
ocds-lcuori-7GX7XL-SS-FM-010-2014-2,ocds-lcuori-7GX7XL-SS-FM-010-2014-2/3,7GX7XL-SS-FM-010-2014-2,55692,http://h1.honducompras.gob.hn/Docs/Lic559SS-FM-010-2014201-PliegooTerminosdeReferencia.pdf,biddingDocuments,application/pdf,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-01-06T16:51:06.893000-06:00
ocds-lcuori-7GX7XL-SS-FM-010-2014-2,ocds-lcuori-7GX7XL-SS-FM-010-2014-2/3,7GX7XL-SS-FM-010-2014-2,62774,http://h1.honducompras.gob.hn/Docs/Lic559SS-FM-010-2014502-Aclaratoria.pdf,clarifications,application/pdf,Aclaratoria,Aclaratoria,2015-06-30T14:30:26.253000-06:00
ocds-lcuori-7GX7XL-SS-FM-010-2014-2,ocds-lcuori-7GX7XL-SS-FM-010-2014-2/3,7GX7XL-SS-FM-010-2014-2,62775,http://h1.honducompras.gob.hn/Docs/Lic559SS-FM-010-2014503-Aclaratoria.pdf,clarifications,application/pdf,Aclaratoria,Aclaratoria,2015-06-30T14:30:39.937000-06:00
ocds-lcuori-7GX7XL-SS-FM-010-2014-2,ocds-lcuori-7GX7XL-SS-FM-010-2014-2/3,7GX7XL-SS-FM-010-2014-2,62776,http://h1.honducompras.gob.hn/Docs/Lic559SS-FM-010-2014504-Aclaratoria.pdf,clarifications,application/pdf,Aclaratoria,Aclaratoria,2015-06-30T14:30:48.523000-06:00
ocds-lcuori-7GX7XL-SS-FM-010-2014-2,ocds-lcuori-7GX7XL-SS-FM-010-2014-2/3,7GX7XL-SS-FM-010-2014-2,62777,http://h1.honducompras.gob.hn/Docs/Lic559SS-FM-010-2014605-ActadeRecepcionyAperturadeOfertas.pdf,x_recordOpeningTendersReceived,application/pdf,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-06-30T14:35:34.660000-06:00
ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2,ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2/3,yRl6pL-CI 001 SSIS BM 5294 2015-2,55701,http://h1.honducompras.gob.hn/Docs/Lic232CI%20001%20SSIS%20BM%205294%202015100-AvisodePrensa.pdf,tenderNotice,application/pdf,Aviso de Prensa,Aviso de Prensa,2015-01-07T14:13:25.140000-06:00
ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2,ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2/3,yRl6pL-CI 001 SSIS BM 5294 2015-2,55702,http://h1.honducompras.gob.hn/Docs/Lic232CI%20001%20SSIS%20BM%205294%202015201-PliegooTerminosdeReferencia.pdf,biddingDocuments,application/pdf,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-01-07T14:14:21.160000-06:00
ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2,ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2/3,yRl6pL-CI 001 SSIS BM 5294 2015-2,55900,http://h1.honducompras.gob.hn/Docs/Lic232CI%20001%20SSIS%20BM%205294%202015402-EnmiendaoAdendum.doc,x_amendment,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Enmienda o Adendum,Enmienda o Adendum,2015-01-21T09:48:16.247000-06:00
ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2,ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2/3,yRl6pL-CI 001 SSIS BM 5294 2015-2,56299,http://h1.honducompras.gob.hn/Docs/Lic232CI%20001%20SSIS%20BM%205294%202015403-EnmiendaoAdendum.pdf,x_amendment,application/pdf,Enmienda o Adendum,Enmienda o Adendum,2015-02-05T10:00:12.533000-06:00
ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2,ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2/3,yRl6pL-CI 001 SSIS BM 5294 2015-2,60826,http://h1.honducompras.gob.hn/Docs/Lic232CI%20001%20SSIS%20BM%205294%202015604-ActadeRecepcionyAperturadeOfertas.pdf,x_recordOpeningTendersReceived,application/pdf,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-05-22T08:32:00.807000-06:00
ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2,ocds-lcuori-yRl6pL-CI 001 SSIS BM 5294 2015-2/3,yRl6pL-CI 001 SSIS BM 5294 2015-2,60827,http://h1.honducompras.gob.hn/Docs/Lic232CI%20001%20SSIS%20BM%205294%2020151005-DeclaratoriadeProcesoFracasado.pdf,cancellationDetails,application/pdf,Declaratoria de Proceso Fracasado,Declaratoria de Proceso Fracasado,2015-05-22T08:32:42.280000-06:00
ocds-lcuori-orvDGM-Licitación Publica Nacional -2,ocds-lcuori-orvDGM-Licitación Publica Nacional -2/3,orvDGM-Licitación Publica Nacional -2,60268,http://h1.honducompras.gob.hn/Docs/Lic7Licitaci%C3%B3n%20Publica%20Nacional%20100-AvisodePrensa.docx,tenderNotice,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Aviso de Prensa,Aviso de Prensa,2015-05-07T09:40:02.870000-06:00
ocds-lcuori-orvDGM-Licitación Publica Nacional -2,ocds-lcuori-orvDGM-Licitación Publica Nacional -2/3,orvDGM-Licitación Publica Nacional -2,60269,http://h1.honducompras.gob.hn/Docs/Lic7Licitaci%C3%B3n%20Publica%20Nacional%20201-PliegooTerminosdeReferencia.pdf,biddingDocuments,application/pdf,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-05-07T09:40:38.027000-06:00
ocds-lcuori-orvDGM-Licitación Publica Nacional -2,ocds-lcuori-orvDGM-Licitación Publica Nacional -2/3,orvDGM-Licitación Publica Nacional -2,95863,http://h1.honducompras.gob.hn/Docs/Lic7Licitaci%C3%B3n%20Publica%20Nacional%20602-ActadeRecepcionyAperturadeOfertas.pdf,x_recordOpeningTendersReceived,application/pdf,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2017-03-08T11:23:01.380000-06:00
ocds-lcuori-orvDGM-Licitación Publica Nacional -2,ocds-lcuori-orvDGM-Licitación Publica Nacional -2/3,orvDGM-Licitación Publica Nacional -2,95882,http://h1.honducompras.gob.hn/Docs/Lic7Licitaci%C3%B3n%20Publica%20Nacional%201003-DeclaratoriadeProcesoFracasado.pdf,cancellationDetails,application/pdf,Declaratoria de Proceso Fracasado,Declaratoria de Proceso Fracasado,2017-03-08T13:36:47.060000-06:00
ocds-lcuori-mGEvMR-LPRIV 01-2015-2,ocds-lcuori-mGEvMR-LPRIV 01-2015-2/3,mGEvMR-LPRIV 01-2015-2,57913,http://h1.honducompras.gob.hn/Docs/Lic86LPRIV%2001-2015200-PliegooTerminosdeReferencia.docx,biddingDocuments,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-03-09T09:12:13.013000-06:00
ocds-lcuori-mGEvMR-LPRIV 01-2015-2,ocds-lcuori-mGEvMR-LPRIV 01-2015-2/3,mGEvMR-LPRIV 01-2015-2,57918,http://h1.honducompras.gob.hn/Docs/Lic86LPRIV%2001-2015601-ActadeRecepcionyAperturadeOfertas.JPG,x_recordOpeningTendersReceived,image/jpeg,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-03-09T10:18:51.957000-06:00
ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2,ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2/4,2LmqDL-CPuNO-01-AMDC-01-2015-2,55776,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-01-AMDC-01-2015100-AvisodePrensa.pdf,tenderNotice,application/pdf,Aviso de Prensa,Aviso de Prensa,2015-01-14T13:41:49.930000-06:00
ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2,ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2/4,2LmqDL-CPuNO-01-AMDC-01-2015-2,55858,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-01-AMDC-01-2015201-PliegooTerminosdeReferencia.pdf,biddingDocuments,application/pdf,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-01-19T11:37:11.097000-06:00
ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2,ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2/4,2LmqDL-CPuNO-01-AMDC-01-2015-2,56513,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-01-AMDC-01-2015405-EnmiendaoAdendum.pdf,x_amendment,application/pdf,Enmienda o Adendum,Enmienda o Adendum,2015-02-09T13:13:31.500000-06:00
ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2,ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2/4,2LmqDL-CPuNO-01-AMDC-01-2015-2,57105,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-01-AMDC-01-2015406-EnmiendaoAdendum.jpg,x_amendment,image/jpeg,Enmienda o Adendum,Enmienda o Adendum,2015-02-20T19:47:59.083000-06:00
ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2,ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2/4,2LmqDL-CPuNO-01-AMDC-01-2015-2,57939,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-01-AMDC-01-2015407-EnmiendaoAdendum.pdf,x_amendment,application/pdf,Enmienda o Adendum,Enmienda o Adendum,2015-03-09T11:22:54.770000-06:00
ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2,ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2/4,2LmqDL-CPuNO-01-AMDC-01-2015-2,58499,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-01-AMDC-01-2015407-EnmiendaoAdendum.pdf,x_amendment,application/pdf,Enmienda o Adendum,Enmienda o Adendum,2015-03-19T16:32:41.127000-06:00
ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2,ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2/4,2LmqDL-CPuNO-01-AMDC-01-2015-2,58899,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-01-AMDC-01-2015407-EnmiendaoAdendum.pdf,x_amendment,application/pdf,Enmienda o Adendum,Enmienda o Adendum,2015-03-27T17:02:59.823000-06:00
ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2,ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2/4,2LmqDL-CPuNO-01-AMDC-01-2015-2,56321,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-01-AMDC-01-2015504-Aclaratoria.pdf,clarifications,application/pdf,Aclaratoria,Aclaratoria,2015-02-06T09:00:52.997000-06:00
ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2,ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2/4,2LmqDL-CPuNO-01-AMDC-01-2015-2,59236,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-01-AMDC-01-2015607-ActadeRecepcionyAperturadeOfertas.pdf,x_recordOpeningTendersReceived,application/pdf,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-04-11T13:00:51.633000-06:00
ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2,ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2/4,2LmqDL-CPuNO-01-AMDC-01-2015-2,55859,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-01-AMDC-01-20151402-AnexosalPliego.pdf,x_solicitationDocumentAnnexe,application/pdf,Anexos al Pliego ,Anexos al Pliego ,2015-01-19T11:39:30.080000-06:00
ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2,ocds-lcuori-2LmqDL-CPuNO-01-AMDC-01-2015-2/4,2LmqDL-CPuNO-01-AMDC-01-2015-2,55860,http://h1.honducompras.gob.hn/Docs/Lic221CPuNO-01-AMDC-01-20151403-AnexosalPliego.pdf,x_solicitationDocumentAnnexe,application/pdf,Anexos al Pliego ,Anexos al Pliego ,2015-01-19T11:39:37.283000-06:00
ocds-lcuori-JL7W2L-LP 001-2015-2,ocds-lcuori-JL7W2L-LP 001-2015-2/3,JL7W2L-LP 001-2015-2,55779,http://h1.honducompras.gob.hn/Docs/Lic643LP%20001-2015100-AvisodePrensa.xlsx,tenderNotice,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Aviso de Prensa,Aviso de Prensa,2015-01-14T14:41:53.300000-06:00
ocds-lcuori-JL7W2L-LP 001-2015-2,ocds-lcuori-JL7W2L-LP 001-2015-2/3,JL7W2L-LP 001-2015-2,55780,http://h1.honducompras.gob.hn/Docs/Lic643LP%20001-2015101-AvisodePrensa.doc,tenderNotice,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Aviso de Prensa,Aviso de Prensa,2015-01-14T14:45:14.820000-06:00
ocds-lcuori-JL7W2L-LP 001-2015-2,ocds-lcuori-JL7W2L-LP 001-2015-2/3,JL7W2L-LP 001-2015-2,56998,http://h1.honducompras.gob.hn/Docs/Lic643LP%20001-2015602-ActadeRecepcionyAperturadeOfertas.doc,x_recordOpeningTendersReceived,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-02-19T14:08:50.227000-06:00
