ocid,id,parties/0/id,parties/0/memberOf/0/id,parties/0/memberOf/0/name
ocds-lcuori-XRbOkr-CS-CSJ-2015-0477-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0477-1/3,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-MrM6zL-CONEANFO-CAP-SP-07-04-2015-1,ocds-lcuori-MrM6zL-CONEANFO-CAP-SP-07-04-2015-1/3,MrM6zL-PR8P5R,PR8P5R,Comisión Nacional de Educación Alternativa No Formal
ocds-lcuori-yRl6pL-CP 022 SSIS PRAF BID 2937 2015-1,ocds-lcuori-yRl6pL-CP 022 SSIS PRAF BID 2937 2015-1/3,yRl6pL-kR05rP,kR05rP,Programa de Asignación Familiar
ocds-lcuori-orvovL-UNAH-SEAF-OC-1829-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1829-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-DL9kwR-CC-5661-TSC-2015-1,ocds-lcuori-DL9kwR-CC-5661-TSC-2015-1/4,DL9kwR-yRlaDr,yRlaDr,Tribunal Superior de Cuentas
ocds-lcuori-orvovL-UNAH-SEAF-OC-1831-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1831-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-orvovL-UNAH-SEAF-OC-1833-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1833-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-kG17Xr-021-11-2015-1,ocds-lcuori-kG17Xr-021-11-2015-1/3,kG17Xr-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-orvovL-UNAH-SEAF-OC-1835-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1835-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-orvovL-UNAH-SEAF-OC-1838-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1838-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-grxq2L-CM-306-2015-1,ocds-lcuori-grxq2L-CM-306-2015-1/3,grxq2L-grxEyL,grxEyL,Direccion Ejecutiva de Ingresos
ocds-lcuori-XRbOkr-CS-CSJ-2015-0478-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0478-1/3,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-grxy3L-035-2015-1,ocds-lcuori-grxy3L-035-2015-1/3,grxy3L-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-orvovL-UNAH-SEAF-OC-1845-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1845-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-PLemLJ-CM-0001-1,ocds-lcuori-PLemLJ-CM-0001-1/3,PLemLJ-8L4PLY,8L4PLY,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00577-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00577-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-orvovL-UNAH-SEAF-OC-1846-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1846-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-orvovL-UNAH-SEAF-OC-1857-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1857-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-orvovL-UNAH-SEAF-OC-1859-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1859-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-orvovL-UNAH-SEAF-OC-1861-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1861-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-orvovL-UNAH-SEAF-OC-1862-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1862-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-gLkjBr-012-2015-1,ocds-lcuori-gLkjBr-012-2015-1/3,gLkjBr-1RaqDR,1RaqDR,Zona Libre Turística de Islas de la Bahía
ocds-lcuori-gLkjBr-013-2015-1,ocds-lcuori-gLkjBr-013-2015-1/3,gLkjBr-1RaqDR,1RaqDR,Zona Libre Turística de Islas de la Bahía
ocds-lcuori-kR0Q0r-CM-ENAG-210-2014-1,ocds-lcuori-kR0Q0r-CM-ENAG-210-2014-1/3,kR0Q0r-kG1y2G,kG1y2G,Empresa Nacional de Artes Gráficas
ocds-lcuori-JLKX2G-CM-021-GSDE-2015-1,ocds-lcuori-JLKX2G-CM-021-GSDE-2015-1/3,JLKX2G-PGJn8G,PGJn8G,Gabinete de Desarrollo Económico
ocds-lcuori-PLemLJ-DGMM-CM-0020-1,ocds-lcuori-PLemLJ-DGMM-CM-0020-1/3,PLemLJ-8L4PLY,8L4PLY,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00377-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00377-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-XRbOkr-CS-CSJ-2015-0739-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0739-1/3,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00380-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00380-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00381-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00381-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00382-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00382-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-XRbOkr-CS-CSJ-2015-0740-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0740-1/3,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-XRbOkr-CS-CSJ-2015-0742-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0742-1/3,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00384-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00384-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00388-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00388-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00389-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00389-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00390-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00390-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-XRbOkr-CS-CSJ-2015-0745-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0745-1/3,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00391-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00391-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-MLQmwL-CM-103-2015-1,ocds-lcuori-MLQmwL-CM-103-2015-1/3,MLQmwL-gLn5gr,gLn5gr,Secretaría de Coordinación General del Gobierno
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00395-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00395-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00396-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00396-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-DRWQ0L-HONDUCOR-DC-003976-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-003976-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-MLQmwL-CM-104-2015-1,ocds-lcuori-MLQmwL-CM-104-2015-1/3,MLQmwL-gLn5gr,gLn5gr,Secretaría de Coordinación General del Gobierno
ocds-lcuori-PLemLJ-DGMM-CM-0021-1,ocds-lcuori-PLemLJ-DGMM-CM-0021-1/3,PLemLJ-8L4PLY,8L4PLY,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00398-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00398-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00399-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00399-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00400-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00400-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00402-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00402-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-MrMPYR-129-2015-1,ocds-lcuori-MrMPYR-129-2015-1/3,MrMPYR-grxELe,grxELe,Comisión Nacional de Bancos y Seguros
ocds-lcuori-4LOwbL-cc-71-2015-1,ocds-lcuori-4LOwbL-cc-71-2015-1/3,4LOwbL-mrYvzL,mrYvzL,Instituto Hondureño de Mercadeo Agrícola
ocds-lcuori-4LOwbL-cc-4-2015-1,ocds-lcuori-4LOwbL-cc-4-2015-1/3,4LOwbL-mrYvzL,mrYvzL,Instituto Hondureño de Mercadeo Agrícola
ocds-lcuori-orvPDG-CM-074-ONCAE-2015-1,ocds-lcuori-orvPDG-CM-074-ONCAE-2015-1/3,orvPDG-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-orvPDG-CM-075-ONCAE-2015-1,ocds-lcuori-orvPDG-CM-075-ONCAE-2015-1/3,orvPDG-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-PR8dYR-098-2015-1,ocds-lcuori-PR8dYR-098-2015-1/3,PR8dYR-gLnqr0,gLnqr0,Secretaría de Trabajo y Seguridad Social
ocds-lcuori-8L4YaG-CC-204-2015-INA-1,ocds-lcuori-8L4YaG-CC-204-2015-INA-1/3,8L4YaG-KLgNr8,KLgNr8,Instituto Nacional Agrario
ocds-lcuori-PLeAqL-CM-52-2015-1,ocds-lcuori-PLeAqL-CM-52-2015-1/3,PLeAqL-wrV3LP,wrV3LP,Comisión Permanente de Contingencias
ocds-lcuori-PLeAqL-CM-53-2015-1,ocds-lcuori-PLeAqL-CM-53-2015-1/3,PLeAqL-wrV3LP,wrV3LP,Comisión Permanente de Contingencias
ocds-lcuori-KLgDwG-CM-IHT-050-2015-1,ocds-lcuori-KLgDwG-CM-IHT-050-2015-1/3,KLgDwG-2LmVGK,2LmVGK,Secretaria de Turismo
ocds-lcuori-PLeAqL-CM-63-2015-1,ocds-lcuori-PLeAqL-CM-63-2015-1/3,PLeAqL-wrV3LP,wrV3LP,Comisión Permanente de Contingencias
ocds-lcuori-KLgDwG-CM-IHT-067/2015-1,ocds-lcuori-KLgDwG-CM-IHT-067/2015-1/3,KLgDwG-2LmVGK,2LmVGK,Secretaria de Turismo
ocds-lcuori-7GXmzR-LPN-001-2015 -2,ocds-lcuori-7GXmzR-LPN-001-2015 -2/4,7GXmzR-8L4PLY,8L4PLY,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-PLemLJ-DGMM-CM-0002-1,ocds-lcuori-PLemLJ-DGMM-CM-0002-1/3,PLemLJ-8L4PLY,8L4PLY,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00003-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00003-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-KLgDwG-CM-IHT-069-2015-1,ocds-lcuori-KLgDwG-CM-IHT-069-2015-1/3,KLgDwG-2LmVGK,2LmVGK,Secretaria de Turismo
ocds-lcuori-PLemLJ-DGMM-CM-0006-1,ocds-lcuori-PLemLJ-DGMM-CM-0006-1/3,PLemLJ-8L4PLY,8L4PLY,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00006-2014-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00006-2014-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00583-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00583-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-gRNDyL-01-03-2015-1,ocds-lcuori-gRNDyL-01-03-2015-1/3,gRNDyL-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-PR8dYR-100-2015-1,ocds-lcuori-PR8dYR-100-2015-1/3,PR8dYR-gLnqr0,gLnqr0,Secretaría de Trabajo y Seguridad Social
ocds-lcuori-PLemLJ-CC-0260-2014-DGMM-1,ocds-lcuori-PLemLJ-CC-0260-2014-DGMM-1/3,PLemLJ-8L4PLY,8L4PLY,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-jRDkQG-HMCR-207-2015-2,ocds-lcuori-jRDkQG-HMCR-207-2015-2/4,jRDkQG-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-PLemLJ-CC-0261-2014-DGMM-1,ocds-lcuori-PLemLJ-CC-0261-2014-DGMM-1/3,PLemLJ-8L4PLY,8L4PLY,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00584-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00584-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-PLemLJ-CC-0262-2014-DGMM-1,ocds-lcuori-PLemLJ-CC-0262-2014-DGMM-1/3,PLemLJ-8L4PLY,8L4PLY,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-wrVn3r-CC-62-HSI-2015-1,ocds-lcuori-wrVn3r-CC-62-HSI-2015-1/3,wrVn3r-mrYzL9,mrYzL9,Secretaria de Salud Pública
