ocid,id,contracts/0/id,contracts/0/documents/0/id,contracts/0/documents/0/url,contracts/0/documents/0/documentType,contracts/0/documents/0/format,contracts/0/documents/0/description,contracts/0/documents/0/title,contracts/0/documents/0/datePublished
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-10-2015,34309-1RaMPR-MCA-THP-10-2015-15,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-10-20151502-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2018-07-03T12:03:14.520000-06:00
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-11-2015,34326-1RaMPR-MCA-THP-11-2015-12,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-11-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2018-07-03T14:41:27.257000-06:00
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-11-2015,34327-1RaMPR-MCA-THP-11-2015-15,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-11-20151501-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2018-07-03T14:41:49.920000-06:00
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-11-2015,34328-1RaMPR-MCA-THP-11-2015-15,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-11-20151502-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2018-07-03T14:42:06.123000-06:00
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-12-2015,34321-1RaMPR-MCA-THP-12-2015-12,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-12-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2018-07-03T14:34:58.913000-06:00
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-12-2015,34323-1RaMPR-MCA-THP-12-2015-15,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-12-20151501-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2018-07-03T14:36:15.167000-06:00
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-12-2015,34324-1RaMPR-MCA-THP-12-2015-15,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-12-20151502-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2018-07-03T14:36:32.567000-06:00
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-13-2015,34325-1RaMPR-MCA-THP-13-2015-12,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-13-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2018-07-03T14:39:11.557000-06:00
ocds-lcuori-MLQmwL-CPN-008-2015-2,ocds-lcuori-MLQmwL-CPN-008-2015-2/4,MLQmwL-SCGG-UAP-14590-CI-032-2015,13662-MLQmwL-SCGG-UAP-14590-CI-032-2015-12,http://h1.honducompras.gob.hn/Docs/Con749SCGG-UAP-14590-CI-032-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-02-02T16:56:52.350000-06:00
ocds-lcuori-MLQmwL-CPN-008-2015-2,ocds-lcuori-MLQmwL-CPN-008-2015-2/4,MLQmwL-SCGG-UAP-14590-CI-032-2015,13663-MLQmwL-SCGG-UAP-14590-CI-032-2015-12,http://h1.honducompras.gob.hn/Docs/Con749SCGG-UAP-14590-CI-032-20151201-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-02-02T16:57:01.887000-06:00
ocds-lcuori-MLQmwL-CPN-008-2015-2,ocds-lcuori-MLQmwL-CPN-008-2015-2/4,MLQmwL-SCGG-UAP-14590-CI-032-2015,13664-MLQmwL-SCGG-UAP-14590-CI-032-2015-12,http://h1.honducompras.gob.hn/Docs/Con749SCGG-UAP-14590-CI-032-20151202-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-02-02T16:58:04.380000-06:00
ocds-lcuori-MLQmwL-CPN-012-2015-2,ocds-lcuori-MLQmwL-CPN-012-2015-2/4,MLQmwL-SCGG-UAP-14590-CI-035-2015,13781-MLQmwL-SCGG-UAP-14590-CI-035-2015-12,http://h1.honducompras.gob.hn/Docs/Con749SCGG-UAP-14590-CI-035-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-02-06T17:08:19.817000-06:00
ocds-lcuori-MLQmwL-CPN-019-2015-2,ocds-lcuori-MLQmwL-CPN-019-2015-2/4,MLQmwL-SCGG-UAP-14590-CI-033-2015,13423-MLQmwL-SCGG-UAP-14590-CI-033-2015-12,http://h1.honducompras.gob.hn/Docs/Con749SCGG-UAP-14590-CI-033-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-01-31T15:17:11.870000-06:00
ocds-lcuori-MLQmwL-CPN-019-2015-2,ocds-lcuori-MLQmwL-CPN-019-2015-2/4,MLQmwL-SCGG-UAP-14590-CI-033-2015,13425-MLQmwL-SCGG-UAP-14590-CI-033-2015-12,http://h1.honducompras.gob.hn/Docs/Con749SCGG-UAP-14590-CI-033-20151201-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-01-31T15:17:50.140000-06:00
ocds-lcuori-PR8ooG-CM-094-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-094-CONAPID-2015-1/4,PR8ooG-166-CONAPID-2015,1908-PR8ooG-166-CONAPID-2015-12,http://h1.honducompras.gob.hn/Docs/Con180166-CONAPID-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-05-30T11:56:21.087000-06:00
ocds-lcuori-PR8ooG-CM-094-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-094-CONAPID-2015-1/4,PR8ooG-166-CONAPID-2015,1909-PR8ooG-166-CONAPID-2015-15,http://h1.honducompras.gob.hn/Docs/Con180166-CONAPID-20151501-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2016-05-30T11:57:39.507000-06:00
ocds-lcuori-PR8ooG-CM-094-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-094-CONAPID-2015-1/4,PR8ooG-166-CONAPID-2015,1910-PR8ooG-166-CONAPID-2015-15,http://h1.honducompras.gob.hn/Docs/Con180166-CONAPID-20151502-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2016-05-30T12:03:17.260000-06:00
ocds-lcuori-PR8ooG-CM-094-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-094-CONAPID-2015-1/4,PR8ooG-166-CONAPID-2015,1911-PR8ooG-166-CONAPID-2015-15,http://h1.honducompras.gob.hn/Docs/Con180166-CONAPID-20151503-AnexosalContrato.jpg,contractAnnexe,image/jpeg,Anexos al Contrato,Anexos al Contrato,2016-05-30T12:05:33.767000-06:00
ocds-lcuori-PR8ooG-CM-104-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-104-CONAPID-2015-1/4,PR8ooG-172-CONAPID-2015,1981-PR8ooG-172-CONAPID-2015-12,http://h1.honducompras.gob.hn/Docs/Con180172-CONAPID-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-06-02T12:15:36.123000-06:00
ocds-lcuori-PR8ooG-CM-104-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-104-CONAPID-2015-1/4,PR8ooG-172-CONAPID-2015,1982-PR8ooG-172-CONAPID-2015-15,http://h1.honducompras.gob.hn/Docs/Con180172-CONAPID-20151501-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2016-06-02T12:23:02.270000-06:00
ocds-lcuori-PR8ooG-CM-104-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-104-CONAPID-2015-1/4,PR8ooG-172-CONAPID-2015,1983-PR8ooG-172-CONAPID-2015-15,http://h1.honducompras.gob.hn/Docs/Con180172-CONAPID-20151502-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2016-06-02T12:25:46.073000-06:00
ocds-lcuori-PR8ooG-CM-118-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-118-CONAPID-2015-1/4,PR8ooG-180-CONAPID-2015,2123-PR8ooG-180-CONAPID-2015-12,http://h1.honducompras.gob.hn/Docs/Con180180-CONAPID-20151200-ContratouOrdendeCompra.jpg,contractSigned,image/jpeg,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-06-07T16:10:35.840000-06:00
ocds-lcuori-PR8ooG-CM-118-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-118-CONAPID-2015-1/4,PR8ooG-180-CONAPID-2015,2125-PR8ooG-180-CONAPID-2015-15,http://h1.honducompras.gob.hn/Docs/Con180180-CONAPID-20151501-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2016-06-07T16:12:06.940000-06:00
ocds-lcuori-PR8ooG-CM-118-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-118-CONAPID-2015-1/4,PR8ooG-180-CONAPID-2015,2129-PR8ooG-180-CONAPID-2015-15,http://h1.honducompras.gob.hn/Docs/Con180180-CONAPID-20151502-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2016-06-07T16:15:19.400000-06:00
ocds-lcuori-2LmA7L-UAP-369-2015-2,ocds-lcuori-2LmA7L-UAP-369-2015-2/4,2LmA7L-SCGG-UAP-14590-CI-039-2015,9664-2LmA7L-SCGG-UAP-14590-CI-039-2015-12,http://h1.honducompras.gob.hn/Docs/Con821SCGG-UAP-14590-CI-039-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-11-29T15:38:15.527000-06:00
ocds-lcuori-2LmA7L-UAP-369-2015-2,ocds-lcuori-2LmA7L-UAP-369-2015-2/4,2LmA7L-SCGG-UAP-14590-CI-039-2015,12342-2LmA7L-SCGG-UAP-14590-CI-039-2015-12,http://h1.honducompras.gob.hn/Docs/Con821SCGG-UAP-14590-CI-039-20151202-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-01-05T14:36:29.970000-06:00
ocds-lcuori-MLQ18L-HBCBH-001-2015-2,ocds-lcuori-MLQ18L-HBCBH-001-2015-2/3,MLQ18L-HBCBH-012-2015,594-MLQ18L-HBCBH-012-2015-15,http://h1.honducompras.gob.hn/Docs/Con693HBCBH-012-20151500-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2015-04-14T11:02:58.937000-06:00
ocds-lcuori-2LmqDL-LPN-08-AMDC-BCIE-2014-2,ocds-lcuori-2LmqDL-LPN-08-AMDC-BCIE-2014-2/4,2LmqDL-0448-GLCSI-AMDC-BCIE-2017,16196-2LmqDL-0448-GLCSI-AMDC-BCIE-2017-12,http://h1.honducompras.gob.hn/Docs/Con2210448-GLCSI-AMDC-BCIE-20171200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-04-21T08:13:57.353000-06:00
ocds-lcuori-NLPAVG-2015-189-FN-INAM-1,ocds-lcuori-NLPAVG-2015-189-FN-INAM-1/3,NLPAVG-2015-189-FN-INAM,1865-NLPAVG-2015-189-FN-INAM-12,http://h1.honducompras.gob.hn/Docs/Con1662015-189-FN-INAM1200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-05-26T15:04:02.827000-06:00
ocds-lcuori-KLg9wR-LPN-007-2015-DA-2,ocds-lcuori-KLg9wR-LPN-007-2015-DA-2/3,KLg9wR-DSL -040-2015,19213-KLg9wR-DSL -040-2015-12,http://h1.honducompras.gob.hn/Docs/Con175DSL%20-040-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-07-07T13:49:37.503000-06:00
ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2,ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2/3,PLeQ0L-MEP 056-2015,4132-PLeQ0L-MEP 056-2015-12,http://h1.honducompras.gob.hn/Docs/Con541MEP%20056-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-07-26T14:52:53.567000-06:00
ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2,ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2/3,PLeQ0L-MEP 057-2015,4139-PLeQ0L-MEP 057-2015-12,http://h1.honducompras.gob.hn/Docs/Con541MEP%20057-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-07-26T15:02:59.253000-06:00
ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2,ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2/3,PLeQ0L-MEP 058-2015,4143-PLeQ0L-MEP 058-2015-12,http://h1.honducompras.gob.hn/Docs/Con541MEP%20058-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-07-26T15:20:47.947000-06:00
ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2,ocds-lcuori-PLeQ0L-LPNS-MEP-001-2015-2/3,PLeQ0L-MEP 059-2015,4144-PLeQ0L-MEP 059-2015-12,http://h1.honducompras.gob.hn/Docs/Con541MEP%20059-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-07-26T15:21:36.407000-06:00
ocds-lcuori-KLgDwG-CM-IHT-310-2015-1,ocds-lcuori-KLgDwG-CM-IHT-310-2015-1/3,KLgDwG-CM-IHT-310-2015,1143-KLgDwG-CM-IHT-310-2015-12,http://h1.honducompras.gob.hn/Docs/Con131CM-IHT-310-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-04-13T16:22:13.750000-06:00
ocds-lcuori-mGEMGM-SEFIN-LPN-016-2015-2,ocds-lcuori-mGEMGM-SEFIN-LPN-016-2015-2/3,mGEMGM-CONTRATO No 015-2016,13418-mGEMGM-CONTRATO No 015-2016-12,http://h1.honducompras.gob.hn/Docs/Con42CONTRATO%20No%20015-20161200-ContratouOrdendeCompra.PDF,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-01-31T15:00:41.313000-06:00
ocds-lcuori-WRzj0R-LPU-010-2015-2,ocds-lcuori-WRzj0R-LPU-010-2015-2/3,WRzj0R-010-2015,650-WRzj0R-010-2015-12,http://h1.honducompras.gob.hn/Docs/Con154010-20151200-ContratouOrdendeCompra.rar,contractSigned,application/x-rar-compressed,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-02-29T14:47:44.603000-06:00
ocds-lcuori-WRzj0R-LPU-011-2015-2,ocds-lcuori-WRzj0R-LPU-011-2015-2/3,WRzj0R-011-2015,649-WRzj0R-011-2015-12,http://h1.honducompras.gob.hn/Docs/Con154011-20151200-ContratouOrdendeCompra.rar,contractSigned,application/x-rar-compressed,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-02-29T11:32:04.263000-06:00
ocds-lcuori-WRzj0R-LPU-013-2015-2,ocds-lcuori-WRzj0R-LPU-013-2015-2/3,WRzj0R-013-2015,653-WRzj0R-013-2015-12,http://h1.honducompras.gob.hn/Docs/Con154013-20151200-ContratouOrdendeCompra.rar,contractSigned,application/x-rar-compressed,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-03-01T11:09:56.210000-06:00
ocds-lcuori-WRzj0R-LPU-013-2015-2,ocds-lcuori-WRzj0R-LPU-013-2015-2/3,WRzj0R-013-2015-A,2085-WRzj0R-013-2015-A-15,http://h1.honducompras.gob.hn/Docs/Con154013-2015-A1500-AnexosalContrato.jpg,contractAnnexe,image/jpeg,Anexos al Contrato,Anexos al Contrato,2016-06-06T15:00:14.453000-06:00
ocds-lcuori-WRzj0R-LPU-013-2015-2,ocds-lcuori-WRzj0R-LPU-013-2015-2/3,WRzj0R-013-2015-A,2086-WRzj0R-013-2015-A-15,http://h1.honducompras.gob.hn/Docs/Con154013-2015-A1501-AnexosalContrato.jpg,contractAnnexe,image/jpeg,Anexos al Contrato,Anexos al Contrato,2016-06-06T15:00:25.770000-06:00
ocds-lcuori-XRb6JR-LP 04-2015-2,ocds-lcuori-XRb6JR-LP 04-2015-2/3,XRb6JR-12-2016,693-XRb6JR-12-2016-12,http://h1.honducompras.gob.hn/Docs/Con15812-20161200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-03-04T09:34:31.243000-06:00
ocds-lcuori-mGEMGM-SEFIN-LPN-017-2015-2,ocds-lcuori-mGEMGM-SEFIN-LPN-017-2015-2/3,mGEMGM-CONTRATO No 011-2016,13412-mGEMGM-CONTRATO No 011-2016-12,http://h1.honducompras.gob.hn/Docs/Con42CONTRATO%20No%20011-20161200-ContratouOrdendeCompra.PDF,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-01-31T14:46:21.090000-06:00
ocds-lcuori-kG1ger-pub 02-2015-2,ocds-lcuori-kG1ger-pub 02-2015-2/3,kG1ger-24-2015,3435-kG1ger-24-2015-12,http://h1.honducompras.gob.hn/Docs/Con17024-20151200-ContratouOrdendeCompra.docx,contractSigned,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-07-13T15:18:08.873000-06:00
ocds-lcuori-kG1ger-pub 05-2015-2,ocds-lcuori-kG1ger-pub 05-2015-2/3,kG1ger-03-2016,3982-kG1ger-03-2016-12,http://h1.honducompras.gob.hn/Docs/Con17003-20161200-ContratouOrdendeCompra.docx,contractSigned,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-07-25T09:28:19.110000-06:00
ocds-lcuori-2LAdQr-LP-FV-RVNP-10-2015-2,ocds-lcuori-2LAdQr-LP-FV-RVNP-10-2015-2/3,2LAdQr-FV-154-2015,614-2LAdQr-FV-154-2015-12,http://h1.honducompras.gob.hn/Docs/Con237FV-154-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-02-24T10:32:58.557000-06:00
ocds-lcuori-2LAdQr-COT-FV-RVNP-10-2015-2,ocds-lcuori-2LAdQr-COT-FV-RVNP-10-2015-2/3,2LAdQr-FV-153-2015,613-2LAdQr-FV-153-2015-12,http://h1.honducompras.gob.hn/Docs/Con237FV-153-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-02-24T10:29:13.337000-06:00
ocds-lcuori-2LAdQr-COT-FV-RVNP-12-2015-2,ocds-lcuori-2LAdQr-COT-FV-RVNP-12-2015-2/3,2LAdQr-FV-184-2015,992-2LAdQr-FV-184-2015-12,http://h1.honducompras.gob.hn/Docs/Con237FV-184-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-04-05T22:56:18.773000-06:00
ocds-lcuori-JLKAbR-IHAH-002-2015-2,ocds-lcuori-JLKAbR-IHAH-002-2015-2/3,JLKAbR-02,3613-JLKAbR-02-12,http://h1.honducompras.gob.hn/Docs/Con179021200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-07-15T11:03:01.250000-06:00
ocds-lcuori-JLKAbR-IHAH-002-2015-2,ocds-lcuori-JLKAbR-IHAH-002-2015-2/3,JLKAbR-02,3614-JLKAbR-02-15,http://h1.honducompras.gob.hn/Docs/Con179021501-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2016-07-15T11:03:29.510000-06:00
ocds-lcuori-PR8ooG-CM-091-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-091-CONAPID-2015-1/4,PR8ooG-163-CONAPID-2015,1752-PR8ooG-163-CONAPID-2015-12,http://h1.honducompras.gob.hn/Docs/Con180163-CONAPID-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-05-18T11:21:50.823000-06:00
ocds-lcuori-PR8ooG-CM-091-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-091-CONAPID-2015-1/4,PR8ooG-163-CONAPID-2015,1753-PR8ooG-163-CONAPID-2015-15,http://h1.honducompras.gob.hn/Docs/Con180163-CONAPID-20151501-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2016-05-18T11:22:41.307000-06:00
ocds-lcuori-PR8ooG-CM-091-CONAPID-2015-1,ocds-lcuori-PR8ooG-CM-091-CONAPID-2015-1/4,PR8ooG-163-CONAPID-2015,1754-PR8ooG-163-CONAPID-2015-15,http://h1.honducompras.gob.hn/Docs/Con180163-CONAPID-20151502-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2016-05-18T11:22:59.617000-06:00
