ocid,id,contracts/0/id,contracts/0/dateSigned,contracts/0/description,contracts/0/buyer/id,contracts/0/buyer/name,contracts/0/awardID,contracts/0/title,contracts/0/value/currency,contracts/0/value/amount,contracts/0/localProcurementCategory
ocds-lcuori-JL7qER-1012096164-1,ocds-lcuori-JL7qER-1012096164-1/3,JL7qER-1000017143,2017-04-18T00:00:00-06:00,compra de reactivos para medicina forense (kit de drogas de abuso),JL7qER-gLkyRb,Unidad Central,JL7qER-1012096164-1,1000017143,HNL,240000.0,goodsOrServices
ocds-lcuori-7G3mOr-CC-177-HBCBHSPS-2017-1,ocds-lcuori-7G3mOr-CC-177-HBCBHSPS-2017-1/3,7G3mOr-177,2017-03-31T00:00:00-06:00,COMPRA DE COLCHONES PARA CAMAROTES,7G3mOr-MLQ77R,"Cuerpo de Bomberos San Pedro Sula, Cortés.",7G3mOr-CC-177-HBCBHSPS-2017-1,177,HNL,121647.12,goodsOrServices
ocds-lcuori-7G3mOr-CC-178-HBCBHSPS-2017-1,ocds-lcuori-7G3mOr-CC-178-HBCBHSPS-2017-1/3,7G3mOr-178,2017-04-30T00:00:00-06:00,COMPRA DE LOCKERS CON LLAVIN,7G3mOr-MLQ77R,"Cuerpo de Bomberos San Pedro Sula, Cortés.",7G3mOr-CC-178-HBCBHSPS-2017-1,178,HNL,153037.79,goodsOrServices
ocds-lcuori-7G3mOr-CC-181-HBCBHSPS-2017-1,ocds-lcuori-7G3mOr-CC-181-HBCBHSPS-2017-1/3,7G3mOr-181,2017-03-31T00:00:00-06:00,COMPRA DE MICROONDAS ,7G3mOr-MLQ77R,"Cuerpo de Bomberos San Pedro Sula, Cortés.",7G3mOr-CC-181-HBCBHSPS-2017-1,181,HNL,10062.5,goodsOrServices
ocds-lcuori-ERpWgG-SRE COTIZACION No.088-2017-1,ocds-lcuori-ERpWgG-SRE COTIZACION No.088-2017-1/4,ERpWgG-OC No.186-2017,2017-06-26T00:00:00-06:00,PRENDAS DE VESTIR.,ERpWgG-Er6JrN,Sub Gerencia de Recursos Materiales y Servicios Generales,ERpWgG-SRE COTIZACION No.088-2017-1,OC No.186-2017,HNL,14697.0,goodsOrServices
ocds-lcuori-mrYvzL-N° - 005-2017-1,ocds-lcuori-mrYvzL-N° - 005-2017-1/3,mrYvzL-N° - 005-2017,2017-03-10T00:00:00-06:00,COMPRA DE COMBUSTIBLE DIESEL PARA LOS VEHICULOS DE LA DIRECCION DEPARTAMENTAL DE EDUCACION DE CHOLUTECA.,mrYvzL-7G3yrQ,Dirección Departamental de Choluteca,mrYvzL-N° - 005-2017-1,N° - 005-2017,HNL,17500.0,goodsOrServices
ocds-lcuori-orvwnL-CM-005-INP-2017-1,ocds-lcuori-orvwnL-CM-005-INP-2017-1/3,orvwnL-Orden de Compra No. 0117-2017,2017-04-07T00:00:00-06:00,39600,orvwnL-DL9lKr,Instituto Nacional Penitenciario,orvwnL-CM-005-INP-2017-1,Orden de Compra No. 0117-2017,HNL,1390.0,goodsOrServices
ocds-lcuori-jRDgWG-CM-445-CBC-2017-1,ocds-lcuori-jRDgWG-CM-445-CBC-2017-1/3,jRDgWG-CM-445-CBC,2017-04-12T00:00:00-06:00,PARA USO OFICINA DE OTPSCI,jRDgWG-MLQ77R,Cuerpo de Bomberos Comayagua,jRDgWG-CM-445-CBC-2017-1,CM-445-CBC,HNL,4574.0,goodsOrServices
ocds-lcuori-jRDgWG-CM-446-CBC-2017-1,ocds-lcuori-jRDgWG-CM-446-CBC-2017-1/3,jRDgWG-CM-446-CBC-2017,2017-04-12T00:00:00-06:00,PARA USO EN OFICINAS CBC,jRDgWG-MLQ77R,Cuerpo de Bomberos Comayagua,jRDgWG-CM-446-CBC-2017-1,CM-446-CBC-2017,HNL,56800.0,goodsOrServices
ocds-lcuori-PLewkR-HBCBC-171-2017-1,ocds-lcuori-PLewkR-HBCBC-171-2017-1/4,PLewkR-HBCBC-171-2017,2017-03-15T00:00:00-06:00,60 CAMISETAS KAKI PARA USO DEL PERSONAL,PLewkR-MLQ77R,Estación Regional Choloma #011.,PLewkR-HBCBC-171-2017-1,HBCBC-171-2017,HNL,4140.0,goodsOrServices
ocds-lcuori-1Ra0dG-PC-CONV-FF-011-2017-1,ocds-lcuori-1Ra0dG-PC-CONV-FF-011-2017-1/3,1Ra0dG-OC-CONV-009-2017,2017-04-05T00:00:00-06:00,Compra de materiales para taller de encurtido solicitado por la Dirección de Asentamientos Humanos/CONVIVIENDA,1Ra0dG-jRD7wG,Comisión Nacional de Vivienda y Asentamientos Humanos,1Ra0dG-PC-CONV-FF-011-2017-1,OC-CONV-009-2017,HNL,2491.96,goodsOrServices
ocds-lcuori-Zr5B9L-C-0115-2017-PE-0092-2017-1,ocds-lcuori-Zr5B9L-C-0115-2017-PE-0092-2017-1/3,Zr5B9L-0087-2017,2017-04-26T00:00:00-06:00,"DESADUANAJE DE MEDICAMENTO NIVERAPINA,TABLETAS 200 MG,APO-16-00030276,GUIA AEREA # 125-2298-1431(35 BULTOS CON 201.49 KILOGRAMOS).",Zr5B9L-mrYzL9,Unidad Central,Zr5B9L-C-0115-2017-PE-0092-2017-1,0087-2017,HNL,8133.72,goodsOrServices
ocds-lcuori-kR0Q0r-CM-ENAG-786-2016-1,ocds-lcuori-kR0Q0r-CM-ENAG-786-2016-1/3,kR0Q0r-150,2017-03-16T00:00:00-06:00,para elaborar trabajos de Imprenta,kR0Q0r-kG1y2G,Unidad Central,kR0Q0r-CM-ENAG-786-2016-1,150,HNL,162750.0,goodsOrServices
ocds-lcuori-0rwYG8-SOLPED-50003114-1,ocds-lcuori-0rwYG8-SOLPED-50003114-1/4,0rwYG8-PEDIDO-4500003988,2017-04-03T00:00:00-06:00,"SOLICITANTE : INSTALACIONES Y MANTENIMIENTO DE SERVICIOS MEMORANDUM SIMS 59-01-2017
SE SOLICITA LA ADQUISICION DE ESTE EQUIPO NECESARIO INDISPENSABLES PARA EL FUNCIONAMIENTO LABORAL DEL PERSONAL EN SUS ACTIVIDADES DIARIAS (INSTALACIONES DE COBRE, INSTALACIONES DE ADSL, REPARACIONES DE COBRE, REPARACIONES DE ADSL Y MANTENIMIENTO PREVENTIVO )
",0rwYG8-PLemLJ,Unidad Central,0rwYG8-SOLPED-50003114-1,PEDIDO-4500003988,HNL,72225.06,goodsOrServices
ocds-lcuori-PR8dYR-083-2017-1,ocds-lcuori-PR8dYR-083-2017-1/3,PR8dYR-065-2017,2017-03-18T00:00:00-06:00,cenas para personal,PR8dYR-gLnqr0,Programa Presidencial con Chamba Vivís Mejor,PR8dYR-083-2017-1,065-2017,HNL,7641.75,goodsOrServices
ocds-lcuori-vGZWNR-10005390-TEG-1,ocds-lcuori-vGZWNR-10005390-TEG-1/3,vGZWNR-4100002711,2017-03-17T00:00:00-06:00,DAPAGLIFOZINA,vGZWNR-orvxDG,Unidad Central,vGZWNR-10005390-TEG-1,4100002711,HNL,4344.3,goodsOrServices
ocds-lcuori-JL7W2L-LP 002-2017-2,ocds-lcuori-JL7W2L-LP 002-2017-2/3,JL7W2L-1602-2017,2017-03-11T00:00:00-06:00,35610,JL7W2L-mrYzL9,Región Departamental de Salud de Santa Bárbara No. 16,JL7W2L-LP 002-2017-2,1602-2017,HNL,285191.61,goodsOrServices
ocds-lcuori-PR8M9r-CM-047-IP-2017-1,ocds-lcuori-PR8M9r-CM-047-IP-2017-1/3,PR8M9r-CM-047-IP-2017,2017-04-22T00:00:00-06:00,MATERIALES DE FERRETERIA QUE SERANUTILIZADOS PARA REGISTRO VEHICULAR SEGUN ORDEN DE COMPRA 031-2017 CON FECHA 17 DE MARZO DEL 2017,PR8M9r-7rBMpR,Instituto de la Propiedad,PR8M9r-CM-047-IP-2017-1,CM-047-IP-2017,HNL,18628.93,goodsOrServices
ocds-lcuori-MLQmwL-CM-088-2017-1,ocds-lcuori-MLQmwL-CM-088-2017-1/4,MLQmwL-CM-088-2017,2017-03-31T00:00:00-06:00,39200,MLQmwL-gLn5gr,Gerencia Administrativa,MLQmwL-CM-088-2017-1,CM-088-2017,HNL,1046.5,goodsOrServices
ocds-lcuori-wrVggL-CM-27-CHOLBOMB-2017-1,ocds-lcuori-wrVggL-CM-27-CHOLBOMB-2017-1/3,wrVggL-CM-27-CHOLBOMB-2017,2017-03-13T00:00:00-06:00,COMPRA DE 1 VENTILADORA FAN RADIADOR UNIDAD 927,wrVggL-MLQ77R,Cuerpo de Bomberos Choluteca,wrVggL-CM-27-CHOLBOMB-2017-1,CM-27-CHOLBOMB-2017,HNL,1397.25,goodsOrServices
ocds-lcuori-mGEMGM-DCS-022-2017-UR-1,ocds-lcuori-mGEMGM-DCS-022-2017-UR-1/3,mGEMGM-025-2017,2017-03-10T00:00:00-06:00,SUMINISTRO DE MESA PARA USO DEL DESPACHO MINISTERIAL DE LA SEFIN.,mGEMGM-NLPKrv,Unidad Central,mGEMGM-DCS-022-2017-UR-1,025-2017,HNL,2173.5,goodsOrServices
ocds-lcuori-ERpWgG-SRE COTIZACION No.118-2017-1,ocds-lcuori-ERpWgG-SRE COTIZACION No.118-2017-1/3,ERpWgG-OC No.181-2017,2017-04-21T00:00:00-06:00,PRODUCTOS DE MATERIAL PLASTICO.,ERpWgG-Er6JrN,Sub Gerencia de Recursos Materiales y Servicios Generales,ERpWgG-SRE COTIZACION No.118-2017-1,OC No.181-2017,HNL,4060.01,goodsOrServices
ocds-lcuori-gRNjoR-CM-020-HBCBH-2017-1,ocds-lcuori-gRNjoR-CM-020-HBCBH-2017-1/4,gRNjoR-CM-020-HBCBH-2017,2017-04-03T00:00:00-06:00,"COMPRA DE 16 CAMAS PARA EL PERSONAL DE LA ESTACION CAMPAMENTO, OLANCHO ",gRNjoR-MLQ77R,"Cuerpo de Bomberos Campamento, Olancho",gRNjoR-CM-020-HBCBH-2017-1,CM-020-HBCBH-2017,HNL,51200.0,goodsOrServices
ocds-lcuori-MLQmwL-CM-091-2017-1,ocds-lcuori-MLQmwL-CM-091-2017-1/3,MLQmwL-CM-091-2017,2017-03-21T00:00:00-06:00,31100,MLQmwL-gLn5gr,Gerencia Administrativa,MLQmwL-CM-091-2017-1,CM-091-2017,HNL,2967.0,goodsOrServices
ocds-lcuori-ERpWgG-SRE COTIZACION No.122-2017-1,ocds-lcuori-ERpWgG-SRE COTIZACION No.122-2017-1/3,ERpWgG-OC No.204-2017,2017-04-24T00:00:00-06:00,ACCESORIOS DE METAL.,ERpWgG-Er6JrN,Sub Gerencia de Recursos Materiales y Servicios Generales,ERpWgG-SRE COTIZACION No.122-2017-1,OC No.204-2017,HNL,569.94,goodsOrServices
ocds-lcuori-MLQmwL-CM-093-2017-1,ocds-lcuori-MLQmwL-CM-093-2017-1/4,MLQmwL-CM-093-2017,2017-05-10T00:00:00-06:00,31100,MLQmwL-gLn5gr,Gerencia Administrativa,MLQmwL-CM-093-2017-1,CM-093-2017,HNL,21447.5,goodsOrServices
ocds-lcuori-7G3mOr-CC-197-HBCBHSPS-2017-1,ocds-lcuori-7G3mOr-CC-197-HBCBHSPS-2017-1/4,7G3mOr-197,2017-04-30T00:00:00-06:00,COMPRA DE CHAPEADORAS,7G3mOr-MLQ77R,"Cuerpo de Bomberos San Pedro Sula, Cortés.",7G3mOr-CC-197-HBCBHSPS-2017-1,197,HNL,25760.0,goodsOrServices
ocds-lcuori-0rw34r-AMPC-CBM-CM-017-2017-1,ocds-lcuori-0rw34r-AMPC-CBM-CM-017-2017-1/4,0rw34r-58,2017-04-08T00:00:00-06:00,Para unidad HRB-219,0rw34r-wrVA9R,Cuerpo de Bomberos Municipal,0rw34r-AMPC-CBM-CM-017-2017-1,58,HNL,2000.0,goodsOrServices
ocds-lcuori-MLQW8R-02-2017-2,ocds-lcuori-MLQW8R-02-2017-2/3,MLQW8R-1207-2017,2017-05-29T00:00:00-06:00,35210 Productos farmacéuticos y medicinales varios,MLQW8R-mrYzL9,Región Departamental de Salud de La Paz No.12,MLQW8R-02-2017-2,1207-2017,HNL,549988.5,goodsOrServices
ocds-lcuori-yRlZYL-SEP-DGSC-01-2017-1,ocds-lcuori-yRlZYL-SEP-DGSC-01-2017-1/3,yRlZYL-DGSC-01-2017,2017-04-03T00:00:00-06:00,ELABORACION DE PAPEL MEMBRETADO PARA SERVICIO CIVIL,yRlZYL-lRo2G5,Gerencia Administrativa,yRlZYL-SEP-DGSC-01-2017-1,DGSC-01-2017,HNL,38529.31,goodsOrServices
ocds-lcuori-lRo92L-17-13-1,ocds-lcuori-lRo92L-17-13-1/3,lRo92L-17-13,2017-03-23T00:00:00-06:00,31100 ALIMENTOS Y BEBIDAS PARA PERSONAS,lRo92L-mrYzL9,Hospital Santa Teresa ,lRo92L-17-13-1,17-13,HNL,239500.0,goodsOrServices
ocds-lcuori-0rwYG8-SOLPED-50003164-1-1,ocds-lcuori-0rwYG8-SOLPED-50003164-1-1/3,0rwYG8-PEDIDO-4100000574,2017-04-03T00:00:00-06:00,"SOLICITANTE: AREA CONTROL DE INVENTARIOS CON MEMORANDUM CIH No.035/2017

JUSTIFICACION: ESTA SOLICITUD SE HACE EN VISTA QUE ESTOS MATERIALES NO HAY EN EXISTENCIA EN LOS ALMACENES CON QUE CUENTA LA EMPRESA, LOS MISMOS SERAN DISTRIBUIDOS PARA STOCK A NIVEL NACIONAL.
",0rwYG8-PLemLJ,Unidad Central,0rwYG8-SOLPED-50003164-1-1,PEDIDO-4100000574,HNL,6999.95,goodsOrServices
ocds-lcuori-orvwnL-CM-013-INP-2017-1,ocds-lcuori-orvwnL-CM-013-INP-2017-1/3,orvwnL-ORDEN DE COMPRA No. 0156-2017,2017-05-02T00:00:00-06:00,35800,orvwnL-DL9lKr,Instituto Nacional Penitenciario,orvwnL-CM-013-INP-2017-1,ORDEN DE COMPRA No. 0156-2017,HNL,63672.6,goodsOrServices
ocds-lcuori-wrV3LP-CMA-060-2017-1,ocds-lcuori-wrV3LP-CMA-060-2017-1/3,wrV3LP-11448,2017-10-27T00:00:00-06:00,Servicio de alimentación para realizar talleres del Programa de Deportes y Valores con beneficiarios de IDECOAS/FHIS por meido del programa PICU,wrV3LP-orvDGM,FHIS - Unidad Central,wrV3LP-CMA-060-2017-1,11448,HNL,98842.5,goodsOrServices
ocds-lcuori-MrM6zL-CM-CONEANFO-UAF-19-2017-1,ocds-lcuori-MrM6zL-CM-CONEANFO-UAF-19-2017-1/4,MrM6zL-561459  TALLER SINAI,2017-04-29T00:00:00-06:00,Elaboración de pasamanos en estacionamiento de personas con capacidades diferentes en oficinas de CONEANFO,MrM6zL-PR8P5R,Comisión Nacional de Educación Alternativa No Formal,MrM6zL-CM-CONEANFO-UAF-19-2017-1,561459  TALLER SINAI,HNL,8301.85,goodsOrServices
ocds-lcuori-2Lm85r-007-2017-SENASA-1,ocds-lcuori-2Lm85r-007-2017-SENASA-1/4,2Lm85r-011-2017-SENASA,2017-10-09T00:00:00-06:00,"Emision de Permisos de Importacion, impresos en 4 partes, tamaño 9 1/2 X 14, impresos e papel NCR. Que inicieen numeracion 300,001 al 350,000.  Los cuales serán utilizados para la emision de los Permisos Fito y ZooSanitarios de Importación, generaddos por el SENASA. ",2Lm85r-NLPXEL,Servicio Nacional de Sanidad e Inocuidad Agroalimentaria,2Lm85r-007-2017-SENASA-1,011-2017-SENASA,HNL,138000.0,goodsOrServices
ocds-lcuori-2LmqDL-LPrNO-101-AMDC-125-2017-2,ocds-lcuori-2LmqDL-LPrNO-101-AMDC-125-2017-2/3,2LmqDL-0866-GLCSI-AMDC-2017,2017-05-23T00:00:00-06:00,"Código: 1485; Conformación y balastado de calles, aldea El Durazno-Laguna del Pedregal",2LmqDL-DL9QxL,Alcaldía Municipal del Distrito Central,2LmqDL-LPrNO-101-AMDC-125-2017-2,0866-GLCSI-AMDC-2017,HNL,1992223.94,works
ocds-lcuori-WRz0xL-CM-SAR-087-2017-1,ocds-lcuori-WRz0xL-CM-SAR-087-2017-1/3,WRz0xL-079,2017-05-29T00:00:00-06:00,39600-REPUESTOS Y ACCESORIOS ,WRz0xL-ZGqBaR,Unidad de Compras,WRz0xL-CM-SAR-087-2017-1,079,HNL,4118.19,goodsOrServices
ocds-lcuori-PR8M9r-CM-050-IP-2017-1,ocds-lcuori-PR8M9r-CM-050-IP-2017-1/3,PR8M9r-CM-0050-IP-2017,2017-04-22T00:00:00-06:00,COMPRA DE 7 QUINTOS DE PINTURA A BASE DE AGUA SEGUN ORDEN DE COMPRA 040-2017 DE FECHA 31 DE MARZO DEL 2017,PR8M9r-7rBMpR,Instituto de la Propiedad,PR8M9r-CM-050-IP-2017-1,CM-0050-IP-2017,HNL,15323.01,goodsOrServices
ocds-lcuori-PR8M9r-CM-050-IP-2017-1,ocds-lcuori-PR8M9r-CM-050-IP-2017-1/3,PR8M9r-CM-050-IP-2017,2017-04-22T00:00:00-06:00,COMPRA DE 7 QUINTOS DE PINTURA A BASE DE AGUA SEGUN ORDEN DE COMPRA 040-2017 DE FECHA 31 DE MARZO DEL 2017.,PR8M9r-7rBMpR,Instituto de la Propiedad,PR8M9r-CM-050-IP-2017-1,CM-050-IP-2017,HNL,15323.01,goodsOrServices
ocds-lcuori-lRop5r-HBCBH-006-2017-1,ocds-lcuori-lRop5r-HBCBH-006-2017-1/4,lRop5r-HBCBH-006-2017,2017-04-04T00:00:00-06:00,"compra de pantalla para proyectos 
oficina técnica de prevención y seguridad contra incendio",lRop5r-MLQ77R,"Estación Local La Masica, Atlántida.",lRop5r-HBCBH-006-2017-1,HBCBH-006-2017,HNL,2275.0,goodsOrServices
ocds-lcuori-ERpWgG-SRE COTIZACION No.138-2017-1,ocds-lcuori-ERpWgG-SRE COTIZACION No.138-2017-1/3,ERpWgG-OC No.026-FOSMIH-2017,2017-07-04T00:00:00-06:00,PRODUCTOS DE MATERIAL PLASTICO.,ERpWgG-Er6JrN,Sub Gerencia de Recursos Materiales y Servicios Generales,ERpWgG-SRE COTIZACION No.138-2017-1,OC No.026-FOSMIH-2017,HNL,3760.0,goodsOrServices
ocds-lcuori-yRl6pL-CP 003 SSIS BID 3371 2017-1,ocds-lcuori-yRl6pL-CP 003 SSIS BID 3371 2017-1/3,yRl6pL-002 SSIS PRAF BID 3371 2017,2017-04-29T00:00:00-06:00,ADQUISICION DE FIANZA DE FIDELIDAD,yRl6pL-kR05rP,Unidad Coordinadora de Proyectos ,yRl6pL-CP 003 SSIS BID 3371 2017-1,002 SSIS PRAF BID 3371 2017,HNL,17750.0,goodsOrServices
ocds-lcuori-yRlaDr-LP. 004-2017-RSDCH-2,ocds-lcuori-yRlaDr-LP. 004-2017-RSDCH-2/3,yRlaDr-06018,2017-04-29T00:00:00-06:00,SERAN UTILIZADAS PARA LA ATENCION PRENATAL EN LOS ESTABLECIMIENTOS DE SALUD DE ESTA REGION SANITARIA DEPARTAMENTAL DE CHOLUTECA,yRlaDr-mrYzL9,Región Departamental de Salud de Choluteca No.6,yRlaDr-LP. 004-2017-RSDCH-2,06018,HNL,509375.0,goodsOrServices
ocds-lcuori-2LmqDL-LPrNO-108-AMDC-132-2017-2,ocds-lcuori-2LmqDL-LPrNO-108-AMDC-132-2017-2/3,2LmqDL-0873-GLCSI-AMDC-2017,2017-05-25T00:00:00-06:00,"Código: 1551; Pavimentación de calle con concreto hidráulico, colonia El Álamo",2LmqDL-DL9QxL,Alcaldía Municipal del Distrito Central,2LmqDL-LPrNO-108-AMDC-132-2017-2,0873-GLCSI-AMDC-2017,HNL,1963992.36,works
ocds-lcuori-2LmqDL-LPrNO-109-AMDC-133-2017-2,ocds-lcuori-2LmqDL-LPrNO-109-AMDC-133-2017-2/3,2LmqDL-1353-GLCSI-AMDC-2017,2017-07-25T00:00:00-06:00,"Código: 1556; Pavimentación de calle con concreto hidráulico, barrio El Bosque, calle frente a cancha",2LmqDL-DL9QxL,Alcaldía Municipal del Distrito Central,2LmqDL-LPrNO-109-AMDC-133-2017-2,1353-GLCSI-AMDC-2017,HNL,1910983.06,works
ocds-lcuori-PR8ooG-CM-46-CONAPID-2017-1,ocds-lcuori-PR8ooG-CM-46-CONAPID-2017-1/3,PR8ooG-29-CONAPID-2017,2017-05-22T00:00:00-06:00,"10 TAMBOS DE CLORO HTH,10 GALONES DE ACIDO MURIATICO,12 BOTES DE ACLARADOR DE AGUA,10 BOTES DE ALGUICIDA,10 BOTES DE BISULFATO",PR8ooG-NrdqVL,Unidad Central,PR8ooG-CM-46-CONAPID-2017-1,29-CONAPID-2017,HNL,55426.6,goodsOrServices
ocds-lcuori-2LmqDL-LPrNO-111-AMDC-135-2017-2,ocds-lcuori-2LmqDL-LPrNO-111-AMDC-135-2017-2/3,2LmqDL-0879-GLCSI-AMDC-2017,2017-05-25T00:00:00-06:00,"Código: 1558; Pavimentación de calle con concreto hidráulico, colonia Cerro Grande, zona 4, sector 2 (calle final)",2LmqDL-DL9QxL,Alcaldía Municipal del Distrito Central,2LmqDL-LPrNO-111-AMDC-135-2017-2,0879-GLCSI-AMDC-2017,HNL,1963842.93,works
ocds-lcuori-PLe00r-CM-CONEANFO-PROELEM-18-2017C-1,ocds-lcuori-PLe00r-CM-CONEANFO-PROELEM-18-2017C-1/4,PLe00r-561751 MERCADITO DENISSE,2017-06-05T00:00:00-06:00,ADQUISICIÓN DE 20 QUINTALES DE CARBON PARA USO EN EL TALLER DE SOLDADURA ,PLe00r-PR8P5R,"Proyecto Educativo en Lempira ""PROELEM""",PLe00r-CM-CONEANFO-PROELEM-18-2017C-1,561751 MERCADITO DENISSE,HNL,3300.0,goodsOrServices
ocds-lcuori-jRDgWG-CM-470-CBC-2017-1,ocds-lcuori-jRDgWG-CM-470-CBC-2017-1/4,jRDgWG-CM-470-CBC-2017,2017-03-28T00:00:00-06:00,ABARZADERA Y PASTA DE SILICOM REPARACION EN LA UNIDAD HRB-721,jRDgWG-MLQ77R,Cuerpo de Bomberos Comayagua,jRDgWG-CM-470-CBC-2017-1,CM-470-CBC-2017,HNL,78.0,goodsOrServices
ocds-lcuori-wrVggL-CM-31-CHOLBOMB-2017-1,ocds-lcuori-wrVggL-CM-31-CHOLBOMB-2017-1/3,wrVggL-CM-31-CHOLBOMB-2017,2017-03-27T00:00:00-06:00,COMPRA DE REPUESTOS PARA RADIOS PORTATIL Y MOVIL,wrVggL-MLQ77R,Cuerpo de Bomberos Choluteca,wrVggL-CM-31-CHOLBOMB-2017-1,CM-31-CHOLBOMB-2017,HNL,17744.5,goodsOrServices
ocds-lcuori-0rw34r-AMPC-CBM-CM-019-2017-1,ocds-lcuori-0rw34r-AMPC-CBM-CM-019-2017-1/3,0rw34r-59,2017-04-08T00:00:00-06:00,Para cilindros de oxigeno de ambulancia,0rw34r-wrVA9R,Cuerpo de Bomberos Municipal,0rw34r-AMPC-CBM-CM-019-2017-1,59,HNL,4351.66,goodsOrServices
ocds-lcuori-PR8dYR-111-2017-1,ocds-lcuori-PR8dYR-111-2017-1/3,PR8dYR-092-2017,2017-06-09T00:00:00-06:00,cenas completas,PR8dYR-gLnqr0,Programa Presidencial con Chamba Vivís Mejor,PR8dYR-111-2017-1,092-2017,HNL,2075.75,goodsOrServices
ocds-lcuori-vGZWNR-120000221-TEG-1,ocds-lcuori-vGZWNR-120000221-TEG-1/3,vGZWNR-4300005689,2017-04-04T00:00:00-06:00,REPUESTOS DE VEHICULO,vGZWNR-orvxDG,Unidad Central,vGZWNR-120000221-TEG-1,4300005689,HNL,6718.69,goodsOrServices
