ocid,id,awards/0/id,awards/0/documents/0/id,awards/0/documents/0/url,awards/0/documents/0/documentType,awards/0/documents/0/format,awards/0/documents/0/description,awards/0/documents/0/title,awards/0/documents/0/datePublished
ocds-lcuori-JL7W2L-LP 002-2017-2,ocds-lcuori-JL7W2L-LP 002-2017-2/3,JL7W2L-LP 002-2017-2,96011,http://h1.honducompras.gob.hn/Docs/Lic643LP%20002-2017803-ResoluciondelaAdjudicacion.doc,awardNotice,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-03-10T14:17:21.080000-06:00
ocds-lcuori-MLQW8R-02-2017-2,ocds-lcuori-MLQW8R-02-2017-2/3,MLQW8R-02-2017-2,96442,http://h1.honducompras.gob.hn/Docs/Lic60502-2017803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-03-20T15:58:12.737000-06:00
ocds-lcuori-lRo92L-LP-04-2,ocds-lcuori-lRo92L-LP-04-2/3,lRo92L-LP-04-2,96614,http://h1.honducompras.gob.hn/Docs/Lic89LP-04803-ResoluciondelaAdjudicacion.docx,awardNotice,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-03-22T17:18:49.183000-06:00
ocds-lcuori-ERpaPr-01-2017-2,ocds-lcuori-ERpaPr-01-2017-2/3,ERpaPr-01-2017-2,96987,http://h1.honducompras.gob.hn/Docs/Lic8801-2017802-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-03-30T15:26:10.270000-06:00
ocds-lcuori-ERpaPr-15-2017-2,ocds-lcuori-ERpaPr-15-2017-2/3,ERpaPr-15-2017-2,99130,http://h1.honducompras.gob.hn/Docs/Lic8815-2017802-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-05-18T17:36:58.273000-06:00
ocds-lcuori-2LmqDL-LPrNO-101-AMDC-125-2017-2,ocds-lcuori-2LmqDL-LPrNO-101-AMDC-125-2017-2/3,2LmqDL-LPrNO-101-AMDC-125-2017-2,100050,http://h1.honducompras.gob.hn/Docs/Lic221LPrNO-101-AMDC-125-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-06-06T09:06:37.667000-06:00
ocds-lcuori-yRlaDr-LP. 004-2017-RSDCH-2,ocds-lcuori-yRlaDr-LP. 004-2017-RSDCH-2/3,yRlaDr-LP. 004-2017-RSDCH-2,98806,http://h1.honducompras.gob.hn/Docs/Lic76LP.%20004-2017-RSDCH806-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-05-12T21:30:48.603000-06:00
ocds-lcuori-2LmqDL-LPrNO-108-AMDC-132-2017-2,ocds-lcuori-2LmqDL-LPrNO-108-AMDC-132-2017-2/3,2LmqDL-LPrNO-108-AMDC-132-2017-2,101199,http://h1.honducompras.gob.hn/Docs/Lic221LPrNO-108-AMDC-132-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-06-26T14:56:04.463000-06:00
ocds-lcuori-2LmqDL-LPrNO-109-AMDC-133-2017-2,ocds-lcuori-2LmqDL-LPrNO-109-AMDC-133-2017-2/3,2LmqDL-LPrNO-109-AMDC-133-2017-2,106346,http://h1.honducompras.gob.hn/Docs/Lic221LPrNO-109-AMDC-133-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-10-10T08:25:58.340000-06:00
ocds-lcuori-2LmqDL-LPrNO-111-AMDC-135-2017-2,ocds-lcuori-2LmqDL-LPrNO-111-AMDC-135-2017-2/3,2LmqDL-LPrNO-111-AMDC-135-2017-2,100051,http://h1.honducompras.gob.hn/Docs/Lic221LPrNO-111-AMDC-135-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-06-06T09:19:43.063000-06:00
ocds-lcuori-KLgDwG-06-LPN-IHT-2017-2,ocds-lcuori-KLgDwG-06-LPN-IHT-2017-2/3,KLgDwG-06-LPN-IHT-2017-2,103693,http://h1.honducompras.gob.hn/Docs/Lic13106-LPN-IHT-2017804-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-08-11T11:08:28.583000-06:00
ocds-lcuori-DL9YoL-LPN 03-2017-FAHM-2,ocds-lcuori-DL9YoL-LPN 03-2017-FAHM-2/3,DL9YoL-LPN 03-2017-FAHM-2,101368,http://h1.honducompras.gob.hn/Docs/Lic329LPN%2003-2017-FAHM805-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-06-29T12:26:39.970000-06:00
ocds-lcuori-PR847R-ICF-SGM-001-2017-2,ocds-lcuori-PR847R-ICF-SGM-001-2017-2/3,PR847R-ICF-SGM-001-2017-2,99717,http://h1.honducompras.gob.hn/Docs/Lic580ICF-SGM-001-2017802-ResoluciondelaAdjudicacion.docx,awardNotice,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-05-30T16:59:43.990000-06:00
ocds-lcuori-WRzbRe-LPR No. 159-DGC-UATSV-2017 -2,ocds-lcuori-WRzbRe-LPR No. 159-DGC-UATSV-2017 -2/3,WRzbRe-LPR No. 159-DGC-UATSV-2017 -2,107093,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.%20159-DGC-UATSV-2017%20803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-10-24T11:31:52.903000-06:00
ocds-lcuori-WRzbRe-LPR No. 160-DGC-UATSV-2017 -2,ocds-lcuori-WRzbRe-LPR No. 160-DGC-UATSV-2017 -2/3,WRzbRe-LPR No. 160-DGC-UATSV-2017 -2,107124,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.%20160-DGC-UATSV-2017%20803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-10-24T13:53:24.500000-06:00
ocds-lcuori-2LAdQr-LP-FV-RVP-007-2017-2,ocds-lcuori-2LAdQr-LP-FV-RVP-007-2017-2/3,2LAdQr-LP-FV-RVP-007-2017-2,102260,http://h1.honducompras.gob.hn/Docs/Lic237LP-FV-RVP-007-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-07-17T11:49:32.003000-06:00
ocds-lcuori-7GXmzR-LP-001-2017_CCIVS-2,ocds-lcuori-7GXmzR-LP-001-2017_CCIVS-2/3,7GXmzR-LP-001-2017_CCIVS-2,99172,http://h1.honducompras.gob.hn/Docs/Lic759LP-001-2017_CCIVS807-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-05-19T17:19:37.730000-06:00
ocds-lcuori-JLKbbr-LPN-STSS-002-2017-2,ocds-lcuori-JLKbbr-LPN-STSS-002-2017-2/3,JLKbbr-LPN-STSS-002-2017-2,101664,http://h1.honducompras.gob.hn/Docs/Lic135LPN-STSS-002-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-07-05T15:32:07.610000-06:00
ocds-lcuori-MrM1xr-HND-014-B- 034-2017-2,ocds-lcuori-MrM1xr-HND-014-B- 034-2017-2/3,MrM1xr-HND-014-B- 034-2017-2,105350,http://h1.honducompras.gob.hn/Docs/Lic684HND-014-B-%20034-2017802-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-09-12T13:26:20.533000-06:00
ocds-lcuori-2LAdQr-LP-FV-RVP-015-2017-2,ocds-lcuori-2LAdQr-LP-FV-RVP-015-2017-2/3,2LAdQr-LP-FV-RVP-015-2017-2,102282,http://h1.honducompras.gob.hn/Docs/Lic237LP-FV-RVP-015-2017805-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-07-17T13:30:48.963000-06:00
ocds-lcuori-WRzbRe-LPR-148-DGC-UATSV-2017-2,ocds-lcuori-WRzbRe-LPR-148-DGC-UATSV-2017-2/3,WRzbRe-LPR-148-DGC-UATSV-2017-2,106985,http://h1.honducompras.gob.hn/Docs/Lic10LPR-148-DGC-UATSV-2017803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-10-23T11:44:42.793000-06:00
ocds-lcuori-2LAdQr-LP-FV-RVP-021-2017-2,ocds-lcuori-2LAdQr-LP-FV-RVP-021-2017-2/3,2LAdQr-LP-FV-RVP-021-2017-2,102290,http://h1.honducompras.gob.hn/Docs/Lic237LP-FV-RVP-021-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-07-17T13:34:08.623000-06:00
ocds-lcuori-7G3oBG-LP-003-2017-2,ocds-lcuori-7G3oBG-LP-003-2017-2/3,7G3oBG-LP-003-2017-2,100521,http://h1.honducompras.gob.hn/Docs/Lic608LP-003-2017802-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-06-15T09:59:16.663000-06:00
ocds-lcuori-0rwyzG-MSPS-GI-07-2017-2,ocds-lcuori-0rwyzG-MSPS-GI-07-2017-2/3,0rwyzG-MSPS-GI-07-2017-2,101167,http://h1.honducompras.gob.hn/Docs/Lic578MSPS-GI-07-2017813-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-06-26T11:37:36.093000-06:00
ocds-lcuori-2LAakL-22-2017-2,ocds-lcuori-2LAakL-22-2017-2/3,2LAakL-22-2017-2,109648,http://h1.honducompras.gob.hn/Docs/Lic8122-2017803-ResoluciondelaAdjudicacion.xlsx,awardNotice,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-12-18T11:12:23.683000-06:00
ocds-lcuori-4LOxWG-108-2017-2,ocds-lcuori-4LOxWG-108-2017-2/3,4LOxWG-108-2017-2,99769,http://h1.honducompras.gob.hn/Docs/Lic83108-2017805-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-05-31T18:20:28.497000-06:00
ocds-lcuori-jRDkVG-LP-09-2017-2,ocds-lcuori-jRDkVG-LP-09-2017-2/3,jRDkVG-LP-09-2017-2,98096,http://h1.honducompras.gob.hn/Docs/Lic92LP-09-2017806-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-05-02T08:17:59.930000-06:00
ocds-lcuori-jRDkVG-LP-10-2017-2,ocds-lcuori-jRDkVG-LP-10-2017-2/3,jRDkVG-LP-10-2017-2,98097,http://h1.honducompras.gob.hn/Docs/Lic92LP-10-2017803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-05-02T08:19:13.123000-06:00
ocds-lcuori-grxXor-LIC PRIVADA 11 2017-2,ocds-lcuori-grxXor-LIC PRIVADA 11 2017-2/3,grxXor-LIC PRIVADA 11 2017-2,98352,http://h1.honducompras.gob.hn/Docs/Lic109LIC%20PRIVADA%2011%202017803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-05-05T18:09:20.077000-06:00
ocds-lcuori-2LmqDL-LPrNO-182-AMDC-216-2017-2,ocds-lcuori-2LmqDL-LPrNO-182-AMDC-216-2017-2/3,2LmqDL-LPrNO-182-AMDC-216-2017-2,104375,http://h1.honducompras.gob.hn/Docs/Lic221LPrNO-182-AMDC-216-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-08-28T09:49:57.780000-06:00
ocds-lcuori-KLg68r-CDPC-LPN-002-2017-2,ocds-lcuori-KLg68r-CDPC-LPN-002-2017-2/3,KLg68r-CDPC-LPN-002-2017-2,110963,http://h1.honducompras.gob.hn/Docs/Lic331CDPC-LPN-002-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2018-01-26T11:00:09.683000-06:00
ocds-lcuori-WRz0xL-LPN-SAR-001-2017-2,ocds-lcuori-WRz0xL-LPN-SAR-001-2017-2/3,WRz0xL-LPN-SAR-001-2017-2,106889,http://h1.honducompras.gob.hn/Docs/Lic1010LPN-SAR-001-2017805-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-10-19T19:35:29.060000-06:00
ocds-lcuori-2LmqDL-LPrNO-104-AMDC-128-2017-2,ocds-lcuori-2LmqDL-LPrNO-104-AMDC-128-2017-2/3,2LmqDL-LPrNO-104-AMDC-128-2017-2,101198,http://h1.honducompras.gob.hn/Docs/Lic221LPrNO-104-AMDC-128-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-06-26T14:52:39.640000-06:00
ocds-lcuori-2LmqDL-LPrNO-106-AMDC-130-2017-2,ocds-lcuori-2LmqDL-LPrNO-106-AMDC-130-2017-2/3,2LmqDL-LPrNO-106-AMDC-130-2017-2,100474,http://h1.honducompras.gob.hn/Docs/Lic221LPrNO-106-AMDC-130-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-06-14T11:19:39.647000-06:00
ocds-lcuori-wrVn3r-LP03-HSI-2017-2,ocds-lcuori-wrVn3r-LP03-HSI-2017-2/3,wrVn3r-LP03-HSI-2017-2,104860,http://h1.honducompras.gob.hn/Docs/Lic99LP03-HSI-2017803-ResoluciondelaAdjudicacion.xlsx,awardNotice,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-09-06T14:50:24.457000-06:00
ocds-lcuori-wrVn3r-LP04-HSI-2017-2,ocds-lcuori-wrVn3r-LP04-HSI-2017-2/3,wrVn3r-LP04-HSI-2017-2,104865,http://h1.honducompras.gob.hn/Docs/Lic99LP04-HSI-2017803-ResoluciondelaAdjudicacion.xlsx,awardNotice,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-09-06T15:27:12.143000-06:00
ocds-lcuori-WRzbRe-LPR No. 091-DGC-UATSV-2017 -2,ocds-lcuori-WRzbRe-LPR No. 091-DGC-UATSV-2017 -2/3,WRzbRe-LPR No. 091-DGC-UATSV-2017 -2,104258,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.%20091-DGC-UATSV-2017%20803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-08-24T11:13:28.500000-06:00
ocds-lcuori-WRzbRe-LPR No.080-DGC-UATSV-2017 -2,ocds-lcuori-WRzbRe-LPR No.080-DGC-UATSV-2017 -2/3,WRzbRe-LPR No.080-DGC-UATSV-2017 -2,104232,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.080-DGC-UATSV-2017%20803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-08-23T16:22:18.950000-06:00
ocds-lcuori-yRl6pL-CI 004 SSIS BM 5603 2017-2,ocds-lcuori-yRl6pL-CI 004 SSIS BM 5603 2017-2/4,yRl6pL-CI 004 SSIS BM 5603 2017-2,99463,http://h1.honducompras.gob.hn/Docs/Lic232CI%20004%20SSIS%20BM%205603%202017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-05-24T11:43:18.270000-06:00
ocds-lcuori-4LOxWG-80-2017-2,ocds-lcuori-4LOxWG-80-2017-2/3,4LOxWG-80-2017-2,100556,http://h1.honducompras.gob.hn/Docs/Lic8380-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-06-15T12:04:00.343000-06:00
ocds-lcuori-lRojQG-LP-03-2017-2,ocds-lcuori-lRojQG-LP-03-2017-2/3,lRojQG-LP-03-2017-2,97006,http://h1.honducompras.gob.hn/Docs/Lic645LP-03-2017804-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-03-31T08:57:31.857000-06:00
ocds-lcuori-2LAakL-01-2017-2,ocds-lcuori-2LAakL-01-2017-2/3,2LAakL-01-2017-2,97137,http://h1.honducompras.gob.hn/Docs/Lic8101-2017803-ResoluciondelaAdjudicacion.xlsx,awardNotice,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-04-03T13:24:10.730000-06:00
ocds-lcuori-MLQnAG-003-2017-HGS-2,ocds-lcuori-MLQnAG-003-2017-HGS-2/3,MLQnAG-003-2017-HGS-2,96299,http://h1.honducompras.gob.hn/Docs/Lic93003-2017-HGS802-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-03-16T15:05:15.503000-06:00
ocds-lcuori-WRzbRe-LPR No. 108-DGC-UATSV-2017 -2,ocds-lcuori-WRzbRe-LPR No. 108-DGC-UATSV-2017 -2/3,WRzbRe-LPR No. 108-DGC-UATSV-2017 -2,104939,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.%20108-DGC-UATSV-2017%20803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-09-07T14:24:49.797000-06:00
ocds-lcuori-ERpaDr-LP 1-17 HEP-2,ocds-lcuori-ERpaDr-LP 1-17 HEP-2/3,ERpaDr-LP 1-17 HEP-2,96233,http://h1.honducompras.gob.hn/Docs/Lic100LP%201-17%20HEP802-ResoluciondelaAdjudicacion.doc,awardNotice,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-03-16T08:04:09.647000-06:00
ocds-lcuori-ERpaDr-LP 18-17 HEP-2,ocds-lcuori-ERpaDr-LP 18-17 HEP-2/3,ERpaDr-LP 18-17 HEP-2,96254,http://h1.honducompras.gob.hn/Docs/Lic100LP%2018-17%20HEP802-ResoluciondelaAdjudicacion.doc,awardNotice,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-03-16T08:17:29.067000-06:00
ocds-lcuori-WRzbRe-LPR No. 103-DGC-UATSV-2017 -2,ocds-lcuori-WRzbRe-LPR No. 103-DGC-UATSV-2017 -2/3,WRzbRe-LPR No. 103-DGC-UATSV-2017 -2,104898,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.%20103-DGC-UATSV-2017%20803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-09-07T11:32:52.743000-06:00
ocds-lcuori-WRzbRe-LPR No. 107-DGC-UATSV-2017 -2,ocds-lcuori-WRzbRe-LPR No. 107-DGC-UATSV-2017 -2/3,WRzbRe-LPR No. 107-DGC-UATSV-2017 -2,104936,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.%20107-DGC-UATSV-2017%20803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-09-07T14:19:27.400000-06:00
ocds-lcuori-orvkNL-LPN No.05-2017-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.05-2017-SEAF-UNAH-2/3,orvkNL-LPN No.05-2017-SEAF-UNAH-2,103185,http://h1.honducompras.gob.hn/Docs/Lic907LPN%20No.05-2017-SEAF-UNAH806-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-08-01T11:45:31.350000-06:00
ocds-lcuori-Zr5mWr-CPN No. 02-2017-SEAPI-UNAH-2,ocds-lcuori-Zr5mWr-CPN No. 02-2017-SEAPI-UNAH-2/3,Zr5mWr-CPN No. 02-2017-SEAPI-UNAH-2,99828,http://h1.honducompras.gob.hn/Docs/Lic872CPN%20No.%2002-2017-SEAPI-UNAH805-ResoluciondelaAdjudicacion.PDF,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-06-01T16:43:16.213000-06:00
ocds-lcuori-ERpaPr-02-2017-2,ocds-lcuori-ERpaPr-02-2017-2/3,ERpaPr-02-2017-2,97287,http://h1.honducompras.gob.hn/Docs/Lic8802-2017802-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-04-05T09:52:11.590000-06:00
ocds-lcuori-ERpaPr-03-2017-2,ocds-lcuori-ERpaPr-03-2017-2/3,ERpaPr-03-2017-2,97309,http://h1.honducompras.gob.hn/Docs/Lic8803-2017802-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-04-05T12:29:37.797000-06:00
ocds-lcuori-2LAdQr-LP-FV-RVNP-09-2017-2,ocds-lcuori-2LAdQr-LP-FV-RVNP-09-2017-2/3,2LAdQr-LP-FV-RVNP-09-2017-2,102245,http://h1.honducompras.gob.hn/Docs/Lic237LP-FV-RVNP-09-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-07-17T11:15:43.447000-06:00
