ocid,id,awards/0/id,awards/0/description,awards/0/value/amount,awards/0/value/currency
ocds-lcuori-5833,ocds-lcuori-5833/3-contract,5833,compra de impresora ,8050.0,HNL
ocds-lcuori-5837,ocds-lcuori-5837/3-contract,5837,SOLICITADA POR LA JEFATURA DE COMPRAS DE BANASUPRO,46700.0,HNL
ocds-lcuori-5840,ocds-lcuori-5840/3-contract,5840,PAPEL BOND SOLICITADO POR EL GERENTE GENERAL DE BANADESA PARA UNA RAPIDA,85.10000000000001,HNL
ocds-lcuori-5839,ocds-lcuori-5839/3-contract,5839,Papel,8280.0,HNL
ocds-lcuori-5841,ocds-lcuori-5841/3-contract,5841,SUMINISTRO DE AGUA EMBOTELLADA PARA EL III TRIMESTRE DEL A?O 2015 DE LA REGIONAL DE TOCOA,46700.0,HNL
ocds-lcuori-5844,ocds-lcuori-5844/3-contract,5844,suministro de agua purificada para el iii trimestre del a?o 2015 para el hospital militar,46700.0,HNL
ocds-lcuori-5845,ocds-lcuori-5845/3-contract,5845,AHAHAHHA,96.025,HNL
ocds-lcuori-5849,ocds-lcuori-5849/3-contract,5849,SUMINISTRO DE AGUA EMBOTELLADA DEL III TRIMESTRE 2015 PARA INFOP MIRAFLORES,46700.0,HNL
ocds-lcuori-5851,ocds-lcuori-5851/3-contract,5851,Compra de fasteners metalicos numero 8 de buena calidad,14271.5,HNL
ocds-lcuori-5852,ocds-lcuori-5852/3-contract,5852,Compra de 300 Resmas de Papel Bond Tama?o Carta y 250 Resmas de Papel Bond Tama?o Oficio,42722.5,HNL
ocds-lcuori-5862,ocds-lcuori-5862/3-contract,5862,Para uso del personal de la unidad contra delitos tributarios,540.5,HNL
ocds-lcuori-5866,ocds-lcuori-5866/3-contract,5866,COMPRA DE 627 RESMAS DE PAPEL TAMA?O CARTA Y 376 TAMA?O OFICIO,76890.265,HNL
ocds-lcuori-5864,ocds-lcuori-5864/3-contract,5864,Compra de 800 resmas de papel tama?o carta y 500 tama?o oficio,99820.0,HNL
ocds-lcuori-5865,ocds-lcuori-5865/3-contract,5865,Compra de 800 resmas de papel tama?o carta y 500 resmas tama?o oficio,99820.0,HNL
ocds-lcuori-5869,ocds-lcuori-5869/3-contract,5869,solicitud de la Gerencia Administrativa y Financiera mediante memorando 2165 GAYF 2015 de fecha 30 de junio 2015 compra para uso institucional para varias areas del Instituto San Pedro Sula y Tegucigalpa ,1421400.0,HNL
ocds-lcuori-5871,ocds-lcuori-5871/3-contract,5871,Solicitud de compra de papel bond base 20 tama?o carta y oficio mediante memorando 2165 GAYF 2015 de fecha 30 de junio 2015 de la Gerencia Adnministrativa y Financiera para uso Institucional region de Tegucigalpa y region de San Pedro Sula,,
ocds-lcuori-5868,ocds-lcuori-5868/3-contract,5868,gbuhhuyygyu,345.69,HNL
ocds-lcuori-5881,ocds-lcuori-5881/3-contract,5881,ORDEN DE COMPRA NUMERO 00666,96.60000000000001,HNL
ocds-lcuori-5882,ocds-lcuori-5882/3-contract,5882,ORDEN DE COMPRA NUMERO 006668,2860.855,HNL
ocds-lcuori-5912,ocds-lcuori-5912/3-contract,5912,100 resmas folder de cartulina tama?o carta,7794.0,HNL
ocds-lcuori-5880,ocds-lcuori-5880/3-contract,5880,ORDEN DE COMPRA NUMERO 00665,307.74,HNL
ocds-lcuori-5887,ocds-lcuori-5887/3-contract,5887,Producto sera utilizado en las oficinas centrales del IHAH,159.1,HNL
ocds-lcuori-5888,ocds-lcuori-5888/3-contract,5888,Utiles de oficina DIECP,39685.35,HNL
ocds-lcuori-5885,ocds-lcuori-5885/3-contract,5885,Producto que sera utilizado en las oficinas centrales,44.844,HNL
ocds-lcuori-5889,ocds-lcuori-5889/3-contract,5889,Utiles de oficina,1581.25,HNL
ocds-lcuori-5895,ocds-lcuori-5895/3-contract,5895,ALMOHADILLAS DE ENTINTAR PLASTICAS  ALTA CALIDAD,143.0,HNL
ocds-lcuori-7571,ocds-lcuori-7571/3-contract,7571,PAPEL BOND TAMA?O CARTA 40 RESMAS,2797.2000000000003,HNL
ocds-lcuori-5894,ocds-lcuori-5894/3-contract,5894,100 Resma folder tama?o carta color amarillo  ,,
ocds-lcuori-5901,ocds-lcuori-5901/3-contract,5901,SUMINISTRO DE 62 RESMAS DE PAPEL BOND BASE 20 TAM CARTA PARA USO DE LA DIRECCION GENERAL DE INSTITUCIONES DESCENTRALIZADAS DE LA SEFIN,4456.25,HNL
ocds-lcuori-5905,ocds-lcuori-5905/3-contract,5905,suministro de un disco duro externo de un terabyte para uso en la direccion general de instituciones descentralizadas,2012.5,HNL
ocds-lcuori-5906,ocds-lcuori-5906/3-contract,5906,OCCONV0052015,36636.700000000004,HNL
ocds-lcuori-5910,ocds-lcuori-5910/3-contract,5910,Materiales que seran utilizados en las diferentes salas y oficinas del hospital Enrique Aguilar Cerrato de Intibuca Intibuca Ejecucion que corresponde al III trimestre de 2015,41201.05,HNL
ocds-lcuori-5913,ocds-lcuori-5913/3-contract,5913,UTILES DE OFICINA QUE SERAN UTILIZADOS EN LAS DIFERENTES SALAS Y OFICINAS DEL HOSPITAL ENRIQUE AGUILAR CERRATO DE INTIBUCA INTIBUCA EJECUCION QUE CORRESPONDE AL III TRIMESTRE DE 2015,18631.751,HNL
ocds-lcuori-5908,ocds-lcuori-5908/3-contract,5908,Sobres para uso de la Mesa de Ayuda,52.164,HNL
ocds-lcuori-5914,ocds-lcuori-5914/3-contract,5914,MATERIALES DE OFICINA QUE SERAN UTILIZADOS EN LAS DIRFERENTES SALAS Y OFICINAS DEL HOSPITAL ENRIQUE AGUILAR CERRATO DE LA CIUDAD DE INTIBUCA INTIBUCA EJECUCION QUE CORRESPONDE AL III TRIMESTRE DE 2015,48199.8125,HNL
ocds-lcuori-5915,ocds-lcuori-5915/3-contract,5915,UTILES DE OFICINA QUE SERAN UTILIZADOS EN LAS DIFERENTES SALAS Y OFICINAS DEL HOSPITAL ENRIQUE AGUILAR CERRATO DE INTIBUCA INTIBUCA EJECUCION QUE CORRESPONDE AL III TRIMESTRE DE 2015,3579.375,HNL
ocds-lcuori-5918,ocds-lcuori-5918/3-contract,5918,Producto que sera utilizado en las oficinas centrales ,53.751000000000005,HNL
ocds-lcuori-5919,ocds-lcuori-5919/3-contract,5919,Producto sera utilizado en las oficinas centrales,256.956,HNL
ocds-lcuori-5917,ocds-lcuori-5917/3-contract,5917,500 vi?etas autoadhesivas para cd,738.53,HNL
ocds-lcuori-5922,ocds-lcuori-5922/3-contract,5922,COMPRA DE PAPELERIA CORRESPONDIENTE AL TERCER TRIMESTRE PARA USO EN LAS DISTINTAS AREAS DE LA INDUSTRIA MILITAR,12070.4,HNL
ocds-lcuori-5928,ocds-lcuori-5928/3-contract,5928,ORDEN DE COMPRA 301 2015,9426.85,HNL
ocds-lcuori-5929,ocds-lcuori-5929/3-contract,5929,ORDEN DE COMPRA 302 2015,909.019,HNL
ocds-lcuori-5930,ocds-lcuori-5930/3-contract,5930,ORDEN DE COMPRA 303 2015,4314.501,HNL
ocds-lcuori-5921,ocds-lcuori-5921/3-contract,5921,500 cd con sus respectivo empaque,5060.0,HNL
ocds-lcuori-5923,ocds-lcuori-5923/3-contract,5923,COMPRA SEMESTRAL DE PAPELERIA,6553.85,HNL
ocds-lcuori-5924,ocds-lcuori-5924/3-contract,5924,ORDEN DE COMPRA 300 2015,4097.625,HNL
ocds-lcuori-5925,ocds-lcuori-5925/3-contract,5925,COMPRA SEMESTRAL,4565.8910000000005,HNL
ocds-lcuori-5933,ocds-lcuori-5933/3-contract,5933,Materiales de oficina a ser utilizados en el Hospital Enrique Aguilar Cerrato en las diferentes salas y oficinas Ejecucion que corresponde al III Trimestre de 2015,41197.577,HNL
ocds-lcuori-5937,ocds-lcuori-5937/3-contract,5937,PEPEPLERIA SEMESTRAL,2750.8,HNL
ocds-lcuori-5932,ocds-lcuori-5932/3-contract,5932,Prueba a solcitud de IT,9.94,HNL
ocds-lcuori-5934,ocds-lcuori-5934/3-contract,5934,Materiales a ser utilizados en las diferentes salas y oficinas del Hospital Enrique Aguilar Cerrato de Intibuca Intibuca Ejecucion que corresponde al III trimestre 2015,41197.577,HNL
ocds-lcuori-5941,ocds-lcuori-5941/3-contract,5941,CUATRO MEMORIAS DE 8 GB,431.618,HNL
ocds-lcuori-5943,ocds-lcuori-5943/3-contract,5943,materiales de oficina,2156.25,HNL
ocds-lcuori-5944,ocds-lcuori-5944/3-contract,5944,COMPRA SEMESTRAL PAPELERIA,655.6875,HNL
ocds-lcuori-5945,ocds-lcuori-5945/3-contract,5945,COMPRA SEMESTRAL PAPELERIA,1037.094,HNL
ocds-lcuori-5947,ocds-lcuori-5947/3-contract,5947,materiales de oficina,2278.702,HNL
ocds-lcuori-5951,ocds-lcuori-5951/3-contract,5951,COMPRA SEMESTRAL PAPELERIA,1437.845,HNL
ocds-lcuori-5952,ocds-lcuori-5952/3-contract,5952,COMPRA SEMESTRAL PAPELERIA,437.0,HNL
ocds-lcuori-5953,ocds-lcuori-5953/3-contract,5953,COMPRA SEMESTRAL PAPELERIA,1545.278,HNL
ocds-lcuori-5950,ocds-lcuori-5950/3-contract,5950,COMPRA SEMESTRAL PAPELERIA,3976.7000000000003,HNL
ocds-lcuori-5963,ocds-lcuori-5963/3-contract,5963,suministro a ser utilizado en esta Secretaria de Estado,13956.630000000001,HNL
ocds-lcuori-5964,ocds-lcuori-5964/3-contract,5964,COMPRA SEMESTRAL PAPELERIA,40271.4475,HNL
ocds-lcuori-5955,ocds-lcuori-5955/3-contract,5955,ENTREGAR EN LA COLONIA SAN CARLOS EDIFICIO SAN CARLOS SEPTIMO PISO PROYECTO MOSEF,353.79200000000003,HNL
ocds-lcuori-5956,ocds-lcuori-5956/3-contract,5956,LOS PRODUCTOS DEBEN SER ENTREGADOS EN EL PROYECTO MOSEF ICF COLONIA SAN CARLOS EDIFICIO SAN CARLOS 7MO PISO,7380.968000000001,HNL
ocds-lcuori-5957,ocds-lcuori-5957/3-contract,5957,PARA USO EXCLUSIVO DEL PROYECTO MOSEF ICF Y LOS PRODUCTOS DEBERAN SER ENTREGADOS EN LA COLONIA SAN CARLOS EDFICIO SAN CARLOS SEPTIMO PISO ,1493.8500000000001,HNL
ocds-lcuori-5958,ocds-lcuori-5958/3-contract,5958,PRODUCTOS PARA USO EXCLUSIVO DEL PROYECTO MOSEF ICF LOS CUALES SERAN ENTREGADOS EN LA COLONIA SAN CARLOS EDIFICIO SAN CARLOS SEPTIMO PISO ,834.164,HNL
ocds-lcuori-5959,ocds-lcuori-5959/3-contract,5959,SUMINISTROS A SER UTILIZADOS EN ESTA SECRETARIA DE ESTADO,14277.894,HNL
ocds-lcuori-5961,ocds-lcuori-5961/3-contract,5961,MATERIAL DE OFICINA,22002.4,HNL
ocds-lcuori-5962,ocds-lcuori-5962/3-contract,5962,PCCONV0112015,871.24,HNL
ocds-lcuori-5967,ocds-lcuori-5967/3-contract,5967,SUMINISTRO DE OFICINA A SER UTILIZADO EN ESTA SECRETARIA DE ESTADO,1247.2,HNL
ocds-lcuori-6067,ocds-lcuori-6067/3-contract,6067,MATERIAL PARA LA OFICINA DE TOCOA COLON,,
ocds-lcuori-5966,ocds-lcuori-5966/3-contract,5966,COMPRA SEMESTRAL PAPELERIA,728.065,HNL
ocds-lcuori-5968,ocds-lcuori-5968/3-contract,5968,SUMINISTRO DE OFICINA A SER UTILIZADO EN ESTA SECRETARIA DE ESTADO,23579.760000000002,HNL
ocds-lcuori-5969,ocds-lcuori-5969/3-contract,5969,COMPRA SEMESTRAL PAPELERIA,8055.347500000001,HNL
ocds-lcuori-5970,ocds-lcuori-5970/3-contract,5970,COMPRA SEMESTRAL PAPELERIA,9065.956,HNL
ocds-lcuori-5972,ocds-lcuori-5972/3-contract,5972,orden de compra  015 papel de escritorio,9255.2,HNL
ocds-lcuori-5973,ocds-lcuori-5973/3-contract,5973,orden de compra 016 ,6210.68,HNL
ocds-lcuori-5974,ocds-lcuori-5974/3-contract,5974,orden de compra 017,28885.06,HNL
ocds-lcuori-5976,ocds-lcuori-5976/3-contract,5976,materiales de oficina,112.65400000000001,HNL
ocds-lcuori-5978,ocds-lcuori-5978/3-contract,5978,materiales de oficina,112.65400000000001,HNL
ocds-lcuori-5979,ocds-lcuori-5979/3-contract,5979,materiales de oficina,2904.3250000000003,HNL
ocds-lcuori-5980,ocds-lcuori-5980/3-contract,5980,MATERIALES DE OFICINA,283.2,HNL
ocds-lcuori-5985,ocds-lcuori-5985/3-contract,5985,1025 resmas de papel tama?o carta base 20 para el uso de todo el personal de la DINAF ,73671.875,HNL
ocds-lcuori-6008,ocds-lcuori-6008/3-contract,6008,COMPRA DE SUMINISTROS DE OFICINA PARA LA DINAF,10342.35,HNL
ocds-lcuori-5982,ocds-lcuori-5982/3-contract,5982,MATERIALES DE OFICINA,403.9375,HNL
ocds-lcuori-5983,ocds-lcuori-5983/3-contract,5983,40 RESMAS PAPEL BOND BASE 20 TAMA?O CARTA PARA USO EN LAS OFICINAS DE LA DINAF,2875.0,HNL
ocds-lcuori-5990,ocds-lcuori-5990/3-contract,5990,suministros para unidad de audiovideo ,2357.5,HNL
ocds-lcuori-5991,ocds-lcuori-5991/3-contract,5991,Compra de utiles de Escritorio Oficina y Ense?anza para la Unidad Central y de Campo PROHECO,6520.5,HNL
ocds-lcuori-5992,ocds-lcuori-5992/3-contract,5992,Compra de utiles de Escritorio Oficina y ense?anza para las cumplir con las Necesidades de PROHECO 2015,34045.145,HNL
ocds-lcuori-6076,ocds-lcuori-6076/3-contract,6076,PRODUCTOS DE UTILES DE ESCRITORIO Y OFICINA,9552.37,HNL
ocds-lcuori-5994,ocds-lcuori-5994/3-contract,5994,Para Almacen de Proveeduria,5947.8,HNL
ocds-lcuori-5995,ocds-lcuori-5995/3-contract,5995,Productos para Almacen de Proveeduria,2091.666,HNL
ocds-lcuori-5997,ocds-lcuori-5997/3-contract,5997,Orden de Compra No 44 PROHECO 2015 Por compra de Material de Oficina para las necesidades de PROHECO ,46705.950000000004,HNL
ocds-lcuori-5998,ocds-lcuori-5998/3-contract,5998,Orden de Compra No 45 PROHECO 2015 compra de Utiles de Escritorio Oficina y Ense?anza,2052.52,HNL
ocds-lcuori-6005,ocds-lcuori-6005/3-contract,6005,Proceso de Compra SCS 86 2015,542.8,HNL
ocds-lcuori-6006,ocds-lcuori-6006/3-contract,6006,compra de suministros de oficina para el uso de la DINAF,3529.0,HNL
ocds-lcuori-6007,ocds-lcuori-6007/3-contract,6007,COMPRA DE SUMINITROS DE OFICINA PARA LA DINAF,45976.325,HNL
ocds-lcuori-6002,ocds-lcuori-6002/3-contract,6002,Proceso SCS 86 2015,2574.62,HNL
ocds-lcuori-6003,ocds-lcuori-6003/3-contract,6003,PROCESO DE COMPRA SCS 86 2015,13156.0,HNL
ocds-lcuori-6010,ocds-lcuori-6010/3-contract,6010,COMPRA DE SUMINITROS DE OFICINA PARA LA DINAF,38696.4,HNL
ocds-lcuori-6012,ocds-lcuori-6012/3-contract,6012,COMPRA DE SUMINITROS DE OFICINA PARA LA DINAF,7092.5,HNL
ocds-lcuori-6013,ocds-lcuori-6013/3-contract,6013,COMPRA DE SUMINITROS DE OFICINA PARA LA DINAF,4291.8,HNL
ocds-lcuori-6077,ocds-lcuori-6077/3-contract,6077,PRODUCTOS DE UTILES DE OFICINA Y ESCRITORIO,2589.34,HNL
ocds-lcuori-6017,ocds-lcuori-6017/3-contract,6017,COMPRA DE SUMINITROS DE OFICINA PARA LA DINAF,25428.225,HNL
ocds-lcuori-6018,ocds-lcuori-6018/3-contract,6018,COMPRA DE SUMINITROS DE OFICINA PARA LA DINAF,6887.35,HNL
ocds-lcuori-6019,ocds-lcuori-6019/3-contract,6019,COMPRA DE SUMINITROS DE OFICINA PARA LA DINAF,17186.75,HNL
ocds-lcuori-6020,ocds-lcuori-6020/3-contract,6020,COMPRA DE SUMINITROS DE OFICINA PARA LA DINAF,5962.75,HNL
ocds-lcuori-6021,ocds-lcuori-6021/3-contract,6021,Orden de compra No 42 PROHECO 2015 por compra de material de oficina Utiles y Ense?anza,6520.5,HNL
ocds-lcuori-6078,ocds-lcuori-6078/3-contract,6078,PAPELERIA Y UTILES DE OFICINA PARA USO DE VARIOS DEPARTAMENTOS,2028.6000000000001,HNL
ocds-lcuori-6024,ocds-lcuori-6024/3-contract,6024,COMPRA DE 600 RESMAS DE PAPEL BOND BASE 20 SEGUN PLAN DE COMPRAS SEGUNDO TRIMESTRE 2015 PARA SER ENTREGADO A LAS UNIDADES ACADEMICAS Y ADMINISTRATIVAS PROYECTOS Y CUED DE LA UPNFM,53820.0,HNL
ocds-lcuori-6025,ocds-lcuori-6025/3-contract,6025,ADQUISICION DE 60 RESMAS DE PAPEL TAMA?O LEGAL SEGUN PLAN DE COMPRAS SEGUNDO TRIMESTRE 2015 PARA SER DISTRIBUIDO EN LA UNIDADES ACADEMICAS Y ADMINISTRATIVAS PROYECTOS Y CUED DE LA UPNFM,4554.0,HNL
ocds-lcuori-6026,ocds-lcuori-6026/3-contract,6026,Para uso de la oncae PRUEBA,2692.0,HNL
ocds-lcuori-6028,ocds-lcuori-6028/3-contract,6028,Proceso de Compra SCS 96 2015,9256.407500000001,HNL
ocds-lcuori-6030,ocds-lcuori-6030/3-contract,6030,Proceso de Compra SCS 99 2015 Juticalpa,10062.5,HNL
ocds-lcuori-6031,ocds-lcuori-6031/3-contract,6031,Se solicita orden de compra con el proposito de abastecer el inventario debido a que los productos solicitados son necesarios para el desarrollo de las actividades del IAIP,2945.2000000000003,HNL
ocds-lcuori-6032,ocds-lcuori-6032/3-contract,6032,SUMINISTRO DE NOTAS ADHESIVAS 3X3 DE 100 HOJAS PARA USO DE LA SUB SECRETARIA DE CEDITO E INVERSION PUBLICA,59.0,HNL
ocds-lcuori-6089,ocds-lcuori-6089/3-contract,6089,MATERIAL DE OFICINA PARA LA DELEGACION DE YORO,1516.045,HNL
ocds-lcuori-6034,ocds-lcuori-6034/3-contract,6034,Compra de materiales para abasto de proveeduria del IAIP,1159.2,HNL
ocds-lcuori-6035,ocds-lcuori-6035/3-contract,6035,Proceso de Compra SCS 99 2015 Juticalpa,1897.5,HNL
ocds-lcuori-6090,ocds-lcuori-6090/3-contract,6090,MATERIAL DE OFICINA PARA LA DELEGACION DE YORO,155.644,HNL
ocds-lcuori-6038,ocds-lcuori-6038/3-contract,6038,Materiales para la oficina de la delegacion centro oriente ,465.05,HNL
ocds-lcuori-6039,ocds-lcuori-6039/3-contract,6039,MATERIALES PARA LA DELEGACION CENTRO ORIENTE ,2581.75,HNL
ocds-lcuori-6040,ocds-lcuori-6040/3-contract,6040,MATERIALES DESTINADO PARA LA OFICINA REGIONAL CENTRO OCCIDENTE,4849.837500000001,HNL
ocds-lcuori-6041,ocds-lcuori-6041/3-contract,6041,MATERIAL PARA LA OFICINA DE TOCOA COLON,1775.72,HNL
ocds-lcuori-6044,ocds-lcuori-6044/3-contract,6044,Compra de Utiles de Escritorio para consumo de la institucion Esta Orden de Compra sustituye la emitida en fecha 2 de Julio del presente a?o por error en el calculo del isv de los marcadores permanentes,3228.596,HNL
ocds-lcuori-6045,ocds-lcuori-6045/3-contract,6045,USO DE OFICINAS CENTRALES Y REGIONALES DE LA SECRETARIA DE TRABAJO,2602.4500000000003,HNL
