ocid,id,awards/0/id,awards/0/documents/0/id,awards/0/documents/0/documentType,awards/0/documents/0/datePublished,awards/0/documents/0/description,awards/0/documents/0/format,awards/0/documents/0/title,awards/0/documents/0/url
ocds-lcuori-ZGqW9r-CD-003-IPM-2019-2,ocds-lcuori-ZGqW9r-CD-003-IPM-2019-2/2,ZGqW9r-CD-003-IPM-2019-2,143537,awardNotice,2019-12-05T13:29:05.237000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic662CD-003-IPM-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-PR8M9r-LPN-IP-004-2019-2,ocds-lcuori-PR8M9r-LPN-IP-004-2019-2/4,PR8M9r-LPN-IP-004-2019-2,143859,awardNotice,2019-12-18T10:25:39.937000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic336LPN-IP-004-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-ERpaPr-44-2019-2,ocds-lcuori-ERpaPr-44-2019-2/3,ERpaPr-44-2019-2,142180,awardNotice,2019-11-04T21:20:45.990000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic8844-2019802-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-ERpngL-LP-014-2019-2,ocds-lcuori-ERpngL-LP-014-2019-2/4,ERpngL-LP-014-2019-2,138092,awardNotice,2019-08-13T16:10:29.363000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic644LP-014-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-2LmqDL-LPuNBS-06-AMDC-77-2019-2,ocds-lcuori-2LmqDL-LPuNBS-06-AMDC-77-2019-2/4,2LmqDL-LPuNBS-06-AMDC-77-2019-2,144003,awardNotice,2019-12-27T14:18:28.163000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic221LPuNBS-06-AMDC-77-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-vGZWNR-CD-IHSS-10006213-2,ocds-lcuori-vGZWNR-CD-IHSS-10006213-2/3,vGZWNR-CD-IHSS-10006213-2,139056,awardNotice,2019-09-05T11:03:07.360000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic117CD-IHSS-10006213803-ResoluciondelaAdjudicacion.PDF
ocds-lcuori-lRo9xL-LP-13-2019-2,ocds-lcuori-lRo9xL-LP-13-2019-2/4,lRo9xL-LP-13-2019-2,138949,awardNotice,2019-09-02T23:19:22.257000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic101LP-13-2019802-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-7GXMRV-LPN-001-DGOP-EE. PP-2019 -2,ocds-lcuori-7GXMRV-LPN-001-DGOP-EE. PP-2019 -2/5,7GXMRV-LPN-001-DGOP-EE. PP-2019 -2,139965,awardNotice,2019-09-25T09:13:20.490000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic15LPN-001-DGOP-EE.%20PP-2019%20804-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-7GXMRV-CP-002-DGOP-EE.PP-2019-2,ocds-lcuori-7GXMRV-CP-002-DGOP-EE.PP-2019-2/4,7GXMRV-CP-002-DGOP-EE.PP-2019-2,139523,awardNotice,2019-09-13T17:55:50.040000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic15CP-002-DGOP-EE.PP-2019804-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-4LOpdG-N° COTIZACION-RNP-06-2019-2,ocds-lcuori-4LOpdG-N° COTIZACION-RNP-06-2019-2/3,4LOpdG-N° COTIZACION-RNP-06-2019-2,141639,awardNotice,2019-10-29T10:59:37.227000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic739N%C2%B0%20COTIZACION-RNP-06-2019802-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-7G3MNr-LPRI 0009-2019-2,ocds-lcuori-7G3MNr-LPRI 0009-2019-2/3,7G3MNr-LPRI 0009-2019-2,143492,awardNotice,2019-12-04T13:26:39.563000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic108LPRI%200009-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-wrVn3r-15-038-2019-2,ocds-lcuori-wrVn3r-15-038-2019-2/3,wrVn3r-15-038-2019-2,142543,awardNotice,2019-11-11T16:36:15.607000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic9915-038-2019804-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-jRDkVG-LP-023-2019-2,ocds-lcuori-jRDkVG-LP-023-2019-2/2,jRDkVG-LP-023-2019-2,140506,awardNotice,2019-10-09T14:44:22.830000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic92LP-023-2019804-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-7rBxpG-LPÚBLICA NO.28-2019-2,ocds-lcuori-7rBxpG-LPÚBLICA NO.28-2019-2/3,7rBxpG-LPÚBLICA NO.28-2019-2,143395,awardNotice,2019-12-02T13:49:38.407000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic123LP%C3%9ABLICA%20NO.28-2019805-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-JLKQxR-LP.020-2019-2,ocds-lcuori-JLKQxR-LP.020-2019-2/2,JLKQxR-LP.020-2019-2,141228,awardNotice,2019-10-21T12:22:23.550000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic79LP.020-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-ERpaPr-52-2019-2,ocds-lcuori-ERpaPr-52-2019-2/2,ERpaPr-52-2019-2,142167,awardNotice,2019-11-04T19:34:37.767000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic8852-2019804-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-0rwm9G-LPN 01-2019 BANADESA-2,ocds-lcuori-0rwm9G-LPN 01-2019 BANADESA-2/3,0rwm9G-LPN 01-2019 BANADESA-2,144467,awardNotice,2020-01-14T16:49:55.310000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic178LPN%2001-2019%20BANADESA803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-grxXEr-L.P. 061-2019-2,ocds-lcuori-grxXEr-L.P. 061-2019-2/2,grxXEr-L.P. 061-2019-2,141084,awardNotice,2019-10-18T08:42:43.740000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic97L.P.%20061-2019802-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-lRoxQr-PRRCH-79-3CV-CI- AIHMER-8-3CV-CI- HO-L1186-3-3C-2,ocds-lcuori-lRoxQr-PRRCH-79-3CV-CI- AIHMER-8-3CV-CI- HO-L1186-3-3C-2/2,lRoxQr-PRRCH-79-3CV-CI- AIHMER-8-3CV-CI- HO-L1186-3-3C-2,143675,awardNotice,2019-12-11T09:56:18.830000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic601PRRCH-79-3CV-CI-%20AIHMER-8-3CV-CI-%20HO-L1186-3-3C803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-WRzbRe-LPR No.048-DGC-UATSV-2019-2,ocds-lcuori-WRzbRe-LPR No.048-DGC-UATSV-2019-2/2,WRzbRe-LPR No.048-DGC-UATSV-2019-2,142122,awardNotice,2019-11-04T11:45:08.070000-06:00,Resolucion de la Adjudicacion,image/jpeg,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.048-DGC-UATSV-2019804-ResoluciondelaAdjudicacion.jpg
ocds-lcuori-PR8M9r-LPN-IP-006-2019-2,ocds-lcuori-PR8M9r-LPN-IP-006-2019-2/3,PR8M9r-LPN-IP-006-2019-2,146343,awardNotice,2020-03-13T08:17:11.867000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic336LPN-IP-006-2019805-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-7GXmzR-LP-007-2019 CCIVS -2,ocds-lcuori-7GXmzR-LP-007-2019 CCIVS -2/4,7GXmzR-LP-007-2019 CCIVS -2,141354,awardNotice,2019-10-22T17:50:08.517000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic759LP-007-2019%20CCIVS%20803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-WRzbRe-LPR No.074-DGC-UATSV-2019-2,ocds-lcuori-WRzbRe-LPR No.074-DGC-UATSV-2019-2/4,WRzbRe-LPR No.074-DGC-UATSV-2019-2,144187,awardNotice,2020-01-08T11:29:25.033000-06:00,Resolucion de la Adjudicacion,image/jpeg,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.074-DGC-UATSV-2019804-ResoluciondelaAdjudicacion.jpg
ocds-lcuori-grxXEr-L.P. 067-2019-2,ocds-lcuori-grxXEr-L.P. 067-2019-2/2,grxXEr-L.P. 067-2019-2,141928,awardNotice,2019-10-31T16:13:00.087000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic97L.P.%20067-2019802-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-grxXEr-L.P. 068-2019-2,ocds-lcuori-grxXEr-L.P. 068-2019-2/2,grxXEr-L.P. 068-2019-2,141490,awardNotice,2019-10-24T12:35:54.747000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic97L.P.%20068-2019802-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-KLgX6G-COT-008-DPR-2019-2,ocds-lcuori-KLgX6G-COT-008-DPR-2019-2/2,KLgX6G-COT-008-DPR-2019-2,143048,awardNotice,2019-11-21T14:11:36.813000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic975COT-008-DPR-2019804-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-mGEMGM-LPN-SEFIN-008-2019-2,ocds-lcuori-mGEMGM-LPN-SEFIN-008-2019-2/3,mGEMGM-LPN-SEFIN-008-2019-2,145467,awardNotice,2020-02-21T10:33:48.640000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic42LPN-SEFIN-008-2019803-ResoluciondelaAdjudicacion.PDF
ocds-lcuori-WRzbRe-LPR No.078-DGC-UATSV-2019-2,ocds-lcuori-WRzbRe-LPR No.078-DGC-UATSV-2019-2/4,WRzbRe-LPR No.078-DGC-UATSV-2019-2,144203,awardNotice,2020-01-08T12:04:14.150000-06:00,Resolucion de la Adjudicacion,image/jpeg,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.078-DGC-UATSV-2019803-ResoluciondelaAdjudicacion.jpg
ocds-lcuori-7GXMRV-LP-021-DGOP-OOUU. -2019-2,ocds-lcuori-7GXMRV-LP-021-DGOP-OOUU. -2019-2/2,7GXMRV-LP-021-DGOP-OOUU. -2019-2,142419,awardNotice,2019-11-08T16:35:11.763000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic15LP-021-DGOP-OOUU.%20-2019805-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-7GXMRV-LP-012-DGOP-OOUU. -2019-2,ocds-lcuori-7GXMRV-LP-012-DGOP-OOUU. -2019-2/2,7GXMRV-LP-012-DGOP-OOUU. -2019-2,142411,awardNotice,2019-11-08T16:32:48.357000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic15LP-012-DGOP-OOUU.%20-2019804-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-7GXMRV-LP-014-DGOP-OOUU. -2019-2,ocds-lcuori-7GXMRV-LP-014-DGOP-OOUU. -2019-2/2,7GXMRV-LP-014-DGOP-OOUU. -2019-2,142414,awardNotice,2019-11-08T16:33:42.047000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic15LP-014-DGOP-OOUU.%20-2019805-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-7G3MNr-LPRI 0016-2019-2,ocds-lcuori-7G3MNr-LPRI 0016-2019-2/2,7G3MNr-LPRI 0016-2019-2,141628,awardNotice,2019-10-29T07:46:23.233000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic108LPRI%200016-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-yRl6pL-ST-017-SSIS-BID-3371-2019-2,ocds-lcuori-yRl6pL-ST-017-SSIS-BID-3371-2019-2/3,yRl6pL-ST-017-SSIS-BID-3371-2019-2,143140,awardNotice,2019-11-25T10:59:32.457000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic232ST-017-SSIS-BID-3371-2019802-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-mrY67L-LP1209-2019-2,ocds-lcuori-mrY67L-LP1209-2019-2/2,mrY67L-LP1209-2019-2,140773,awardNotice,2019-10-15T11:01:35.043000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic616LP1209-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-8L47Pr-LP-030-2019-HO-2,ocds-lcuori-8L47Pr-LP-030-2019-HO-2/2,8L47Pr-LP-030-2019-HO-2,140782,awardNotice,2019-10-15T11:46:53.907000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic94LP-030-2019-HO802-ResoluciondelaAdjudicacion.PDF
ocds-lcuori-KLgX6G-COT-SUP-001-DPR-2019-2,ocds-lcuori-KLgX6G-COT-SUP-001-DPR-2019-2/2,KLgX6G-COT-SUP-001-DPR-2019-2,143291,awardNotice,2019-11-28T09:04:12.810000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic975COT-SUP-001-DPR-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-1RaMPR-CP-DCPV-39-2019-2,ocds-lcuori-1RaMPR-CP-DCPV-39-2019-2/3,1RaMPR-CP-DCPV-39-2019-2,144661,awardNotice,2020-01-22T17:05:47.620000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic703CP-DCPV-39-2019806-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-WRzbRe-LPR No.099-DGC-UATSV-2019-2,ocds-lcuori-WRzbRe-LPR No.099-DGC-UATSV-2019-2/4,WRzbRe-LPR No.099-DGC-UATSV-2019-2,144300,awardNotice,2020-01-09T10:19:05.490000-06:00,Resolucion de la Adjudicacion,image/jpeg,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.099-DGC-UATSV-2019803-ResoluciondelaAdjudicacion.jpg
ocds-lcuori-yRlm9r-LPN.UNACIFOR-009-2019-2,ocds-lcuori-yRlm9r-LPN.UNACIFOR-009-2019-2/4,yRlm9r-LPN.UNACIFOR-009-2019-2,144912,awardNotice,2020-01-30T16:00:43.277000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic176LPN.UNACIFOR-009-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-ZGqW9r-LPN-011-IPM-2019-2,ocds-lcuori-ZGqW9r-LPN-011-IPM-2019-2/5,ZGqW9r-LPN-011-IPM-2019-2,140377,awardNotice,2019-10-07T14:49:41.733000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic662LPN-011-IPM-2019807-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-MrM1xr-HND-014-B-060-2019-2,ocds-lcuori-MrM1xr-HND-014-B-060-2019-2/4,MrM1xr-HND-014-B-060-2019-2,135698,awardNotice,2019-07-01T11:30:27.053000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic684HND-014-B-060-2019802-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-MLQnAG-LPriv-N°013-2019-HGS-2,ocds-lcuori-MLQnAG-LPriv-N°013-2019-HGS-2/4,MLQnAG-LPriv-N°013-2019-HGS-2,135726,awardNotice,2019-07-01T15:22:40.287000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic93LPriv-N%C2%B0013-2019-HGS804-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-gLn2nL-LPrN-CP-002-2019-2,ocds-lcuori-gLn2nL-LPrN-CP-002-2019-2/5,gLn2nL-LPrN-CP-002-2019-2,139446,awardNotice,2019-09-12T14:11:16.010000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic568LPrN-CP-002-2019804-ResoluciondelaAdjudicacion.PDF
ocds-lcuori-mGE4eL-LPN-IDECOAS-FHIS-16-2019-2,ocds-lcuori-mGE4eL-LPN-IDECOAS-FHIS-16-2019-2/4,mGE4eL-LPN-IDECOAS-FHIS-16-2019-2,141278,awardNotice,2019-10-22T10:28:13.447000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic742LPN-IDECOAS-FHIS-16-2019807-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-yRl6pL-CI-013-SSIS-BID-3371-2019-2,ocds-lcuori-yRl6pL-CI-013-SSIS-BID-3371-2019-2/8,yRl6pL-CI-013-SSIS-BID-3371-2019-2,140349,awardNotice,2019-10-07T11:51:22.530000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic232CI-013-SSIS-BID-3371-2019806-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-yRl6pL-CI-014-SSIS-BID-3371-2019-2,ocds-lcuori-yRl6pL-CI-014-SSIS-BID-3371-2019-2/8,yRl6pL-CI-014-SSIS-BID-3371-2019-2,140359,awardNotice,2019-10-07T13:28:02.847000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic232CI-014-SSIS-BID-3371-2019806-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-0rw29R-LPN-No-001-2019-SDE-2,ocds-lcuori-0rw29R-LPN-No-001-2019-SDE-2/5,0rw29R-LPN-No-001-2019-SDE-2,139820,awardNotice,2019-09-20T15:21:47.577000-06:00,Resolucion de la Adjudicacion,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic134LPN-No-001-2019-SDE805-ResoluciondelaAdjudicacion.docx
ocds-lcuori-WRzdbL-LP-016-2019-HT-2,ocds-lcuori-WRzdbL-LP-016-2019-HT-2/4,WRzdbL-LP-016-2019-HT-2,139741,awardNotice,2019-09-19T14:43:22.840000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic98LP-016-2019-HT803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-yRlaDr-LP. 008-2019-RSDCH-2,ocds-lcuori-yRlaDr-LP. 008-2019-RSDCH-2/4,yRlaDr-LP. 008-2019-RSDCH-2,143531,awardNotice,2019-12-05T12:05:46.323000-06:00,Resolucion de la Adjudicacion,image/jpeg,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic76LP.%20008-2019-RSDCH802-ResoluciondelaAdjudicacion.jpg
ocds-lcuori-yRlaDr-LP. 009-2019-RSDCH-2,ocds-lcuori-yRlaDr-LP. 009-2019-RSDCH-2/4,yRlaDr-LP. 009-2019-RSDCH-2,143547,awardNotice,2019-12-05T16:16:39.793000-06:00,Resolucion de la Adjudicacion,image/jpeg,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic76LP.%20009-2019-RSDCH802-ResoluciondelaAdjudicacion.jpg
ocds-lcuori-Zr5B9L-LPN 003-2019-SS-2,ocds-lcuori-Zr5B9L-LPN 003-2019-SS-2/6,Zr5B9L-LPN 003-2019-SS-2,142805,awardNotice,2019-11-15T14:11:49.990000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic72LPN%20003-2019-SS803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-PR8dYR-002-2019-2,ocds-lcuori-PR8dYR-002-2019-2/4,PR8dYR-002-2019-2,136059,awardNotice,2019-07-05T10:56:42.877000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic780002-2019804-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-Zr5B9L-LPN 002-2019-SS-2,ocds-lcuori-Zr5B9L-LPN 002-2019-SS-2/6,Zr5B9L-LPN 002-2019-SS-2,142808,awardNotice,2019-11-15T14:23:23.093000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic72LPN%20002-2019-SS804-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-4LOxWG-146-2019-2,ocds-lcuori-4LOxWG-146-2019-2/4,4LOxWG-146-2019-2,143112,awardNotice,2019-11-22T16:50:30.653000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic83146-2019802-ResoluciondelaAdjudicacion.pdf
