ocid,id,awards/0/id,awards/0/value/currency,awards/0/value/amount,awards/0/description
ocds-lcuori-11872,ocds-lcuori-11872/3-contract,11872,HNL,4197.5,CARTUCHO CANON 145
ocds-lcuori-11874,ocds-lcuori-11874/3-contract,11874,HNL,1289.717,COMPRA DE MATERIAL DE OFICINA CORRESPONDIENTE AL PRIMER TRIMESTRE
ocds-lcuori-11875,ocds-lcuori-11875/3-contract,11875,HNL,58605.2625,COMPRA DE MATERIAL DE OFICINA CORRESPONDIENTE AL PRIMER TRIMESTRE
ocds-lcuori-11877,ocds-lcuori-11877/3-contract,11877,HNL,10833.0,cartucho hp 60 negro
ocds-lcuori-11878,ocds-lcuori-11878/3-contract,11878,HNL,28290.0,CARTUCHO HP 60 COLOR
ocds-lcuori-11879,ocds-lcuori-11879/3-contract,11879,HNL,11526.79,COMPRA DE MATERIAL DE OFICINA CORRESPONDIENTE AL PRIMER TRIMESTRE
ocds-lcuori-11884,ocds-lcuori-11884/3-contract,11884,HNL,1582.3700000000001,PARA ATENCIONES EN LA RECTORIA
ocds-lcuori-11881,ocds-lcuori-11881/3-contract,11881,HNL,13000.0,Agua en botellones de 5 galones
ocds-lcuori-11882,ocds-lcuori-11882/3-contract,11882,HNL,12490.0,200 resma de papel bond carta
ocds-lcuori-11883,ocds-lcuori-11883/3-contract,11883,,,botellones de agua purificada
ocds-lcuori-11886,ocds-lcuori-11886/3-contract,11886,HNL,6124.868,SUMINISTRO DE 8 PAQUETES DE 18 UNIDADES DE AGUA PURIFICADA EN ENVASE DE 100 ML A 499 ML 10 PAQUETES DE 24 UNIDADES DE AGUA PURIFICADA EN ENVASE DE 500 ML A 999 ML 2 PAQUETES DE 24 UNIDADES DE REFRESCO CARBONATADO MARCA CANADA DRY EN ENVASE LATA 12 ONZ PRODUCTO EXENTO 3 PAQUETES DE 24 UNIDADES DE REFRESCO CARBONATADO MARCA COCA COLA EN ENVASE LATA 12 ONZ PRODUCTO EXENTO 5 GALLETAS AVENY BRAND CAJA DE 5 PAQUETES 339 GRAMOS PRODUCTO EXENTO 4 GALLETAS ROYAL DANSK 340 GRAMOS 5 GALLETAS CHIPS AHOY EN CAJA DE 6 PAQUETES 342 GRAMOS PRODUCTO EXENTO 10 GALLETAS DE MANTEQUILLA 312 GRAMOS PAQUETE DE 12 UNIDADES PRODUCTO EXENTO 2 LATAS DE MANI
ocds-lcuori-11887,ocds-lcuori-11887/3-contract,11887,HNL,1807.06,PARA ATENCIONES EN LA RECTORIA
ocds-lcuori-11888,ocds-lcuori-11888/3-contract,11888,HNL,13515.95,UPS DE 400 WATTS
ocds-lcuori-11889,ocds-lcuori-11889/3-contract,11889,HNL,1838.96,PARA ATENCIONES EN LA RECTORIA
ocds-lcuori-11893,ocds-lcuori-11893/3-contract,11893,HNL,678.5,COMPRA DE VEINTE CARPETAS TIPO LEITZ
ocds-lcuori-11894,ocds-lcuori-11894/3-contract,11894,HNL,2809.3335,Alimentos para consumo de los ni?os del Centro de Cuidado Infantil San Francisco 
ocds-lcuori-11896,ocds-lcuori-11896/3-contract,11896,HNL,1838.96,PARA ATENCIONES EN LA RECTORIA
ocds-lcuori-11897,ocds-lcuori-11897/3-contract,11897,HNL,54224.19,compra de material para uso de empleados de la dinaf
ocds-lcuori-11898,ocds-lcuori-11898/3-contract,11898,HNL,98.83,RECTORIA
ocds-lcuori-11900,ocds-lcuori-11900/3-contract,11900,HNL,101150.875,COMPRA DE MATERIALES PARA USO DE LA DINAF
ocds-lcuori-11901,ocds-lcuori-11901/3-contract,11901,HNL,4818.5,COMPRA DE EQUIPO PARA USO DE DINAF
ocds-lcuori-11902,ocds-lcuori-11902/3-contract,11902,HNL,1930.8500000000001,Compra de Bateria UPS solicitada mediante Memorando GM TI 001 2016
ocds-lcuori-11903,ocds-lcuori-11903/3-contract,11903,HNL,276.0,COMPRA DE 20 PAQUETES DE SERVILETAS PARA LA GERENCIA DEL BCH
ocds-lcuori-11904,ocds-lcuori-11904/3-contract,11904,HNL,2169.475,35 carpetas de vinil 
ocds-lcuori-11907,ocds-lcuori-11907/3-contract,11907,HNL,170.01600000000002,TINTA HP 662 COLOR
ocds-lcuori-11906,ocds-lcuori-11906/3-contract,11906,HNL,229.31,TINTA PARA SELOOS COLOR AZUL
ocds-lcuori-11908,ocds-lcuori-11908/3-contract,11908,HNL,170.01600000000002,TINTA HP 662 NEGRO
ocds-lcuori-11910,ocds-lcuori-11910/3-contract,11910,HNL,7822.3,adadadada
ocds-lcuori-11911,ocds-lcuori-11911/3-contract,11911,HNL,931.6070000000001,COMPRA DE MATERIAL DE OFICINA CORRESPONDIENTE AL PRIMER TRIMESTRE
ocds-lcuori-11912,ocds-lcuori-11912/3-contract,11912,HNL,356.5,COMPRA DE MATERIAL DE OFICINA CORRESPONDIENTE AL PRIMER TRIMESTRE
ocds-lcuori-11913,ocds-lcuori-11913/3-contract,11913,HNL,15680.0,COMPRA DE REGLAS PARA KIT ESCOLARES
ocds-lcuori-11918,ocds-lcuori-11918/3-contract,11918,HNL,1030.7,PARA ATENCIONES EN LA RECTORIA
ocds-lcuori-11915,ocds-lcuori-11915/3-contract,11915,HNL,3047.5,COMPRA DE DOS CALCULADORAS
ocds-lcuori-11916,ocds-lcuori-11916/3-contract,11916,HNL,5772.0, 222 Botes con agua para abastecer las oficinas de Conatel
ocds-lcuori-11920,ocds-lcuori-11920/3-contract,11920,HNL,65205.840000000004,Tintas y toners
ocds-lcuori-11921,ocds-lcuori-11921/3-contract,11921,HNL,9471.135,COMPRA DE INSUMOS PARA ATENDER PARTICIPANTES QUE VISITAN LA INSTITUCION EN EL AREA DE PRESTAMOS PERSONALES 
ocds-lcuori-11923,ocds-lcuori-11923/3-contract,11923,HNL,15116.796,MAYONESA GALON
ocds-lcuori-11927,ocds-lcuori-11927/3-contract,11927,HNL,1196.0,botellones de agua
ocds-lcuori-11925,ocds-lcuori-11925/3-contract,11925,HNL,29000.0,tinta y toners
ocds-lcuori-11929,ocds-lcuori-11929/3-contract,11929,,,botellones de agua
ocds-lcuori-11931,ocds-lcuori-11931/3-contract,11931,HNL,286.446,Compra de agua y refrescos para oficinas de Gerencia CONAPID
ocds-lcuori-11933,ocds-lcuori-11933/3-contract,11933,HNL,13455.0,COMPRA DE 720 ROLLOS DE PAPEL TOALLA PARA COCINA
ocds-lcuori-11934,ocds-lcuori-11934/3-contract,11934,HNL,1093.029,CARTUCHO 670 CYAN
ocds-lcuori-11935,ocds-lcuori-11935/3-contract,11935,HNL,1196.0,botellones de agua 
ocds-lcuori-11937,ocds-lcuori-11937/3-contract,11937,HNL,2103.327,MOSTAZA GALON
ocds-lcuori-11938,ocds-lcuori-11938/3-contract,11938,HNL,9700.0,Papel toalla
ocds-lcuori-11939,ocds-lcuori-11939/3-contract,11939,HNL,55156.53,AVENA EN HOJUELAS
ocds-lcuori-11940,ocds-lcuori-11940/3-contract,11940,HNL,13500.0,Folders y Cartulinas
ocds-lcuori-11942,ocds-lcuori-11942/3-contract,11942,HNL,8144.0,Productos de Papel y Carton
ocds-lcuori-11943,ocds-lcuori-11943/3-contract,11943,HNL,36235.0,Productos de Papel y Carton
ocds-lcuori-11944,ocds-lcuori-11944/3-contract,11944,HNL,47962.200000000004,AVENA EN HOJUELAS
ocds-lcuori-11945,ocds-lcuori-11945/3-contract,11945,HNL,1196.0,40 botellones de agua 
ocds-lcuori-11949,ocds-lcuori-11949/3-contract,11949,HNL,2650.911,PARA SER UTILIZADA EN LA UNIDAD COORDINADORA DE PROYECTOS
ocds-lcuori-11950,ocds-lcuori-11950/3-contract,11950,HNL,4648.625,PARA SER UTILIZADOS EN LAS DIFERENTES SALAS Y DEPARTAMENTOS DE ESTE CENTRO HOSPITALARIO
ocds-lcuori-11947,ocds-lcuori-11947/3-contract,11947,HNL,3910.0,PARA USO DEL JUZGADO DE LETRAS DEL TRABAJO
ocds-lcuori-11948,ocds-lcuori-11948/3-contract,11948,HNL,13623.0,EQUIPO DE OFICINA
ocds-lcuori-11952,ocds-lcuori-11952/3-contract,11952,HNL,104.0,4 botellones de agua purificada
ocds-lcuori-11953,ocds-lcuori-11953/3-contract,11953,HNL,181.125,COMPRA DE ALIMENTOS PARA OFICINAS DE CONAPID
ocds-lcuori-11954,ocds-lcuori-11954/3-contract,11954,HNL,310.5,JDU ATENCION A REUNIONES
ocds-lcuori-11956,ocds-lcuori-11956/3-contract,11956,HNL,161.0,ONCAE 
ocds-lcuori-11957,ocds-lcuori-11957/3-contract,11957,HNL,399.1,COMPRA DE ALIMENTOS PARA OFICINAS DE CONAPID
ocds-lcuori-11958,ocds-lcuori-11958/3-contract,11958,HNL,4020.9750000000004,Compra de 2 unidades de Disco duro externo para realizar copias de respaldo solicitados por la Seccion de Tecnologia de la Informacion
ocds-lcuori-11960,ocds-lcuori-11960/3-contract,11960,HNL,2169.475,35 carpetas blancas
ocds-lcuori-11961,ocds-lcuori-11961/3-contract,11961,HNL,112263.0,PAPEL BOND BASE 20
ocds-lcuori-11965,ocds-lcuori-11965/3-contract,11965,HNL,679.0135,Para ser utilizado en el Departamento de Administracion
ocds-lcuori-11966,ocds-lcuori-11966/3-contract,11966,HNL,23575.0,COMPRA DE CAJAS PARA ARCHIVAR DOCUMENTACION
ocds-lcuori-11968,ocds-lcuori-11968/3-contract,11968,HNL,48463.9785,Utiles de oficina 
ocds-lcuori-11969,ocds-lcuori-11969/3-contract,11969,HNL,105144.5,Utiles de Oficina 
ocds-lcuori-11970,ocds-lcuori-11970/3-contract,11970,HNL,2174.71,PARA SER UTILIZADOS EN LAS DIFERENTES SALAS Y DEPARTAMENTOS DE ESTE CENTRO HOSPITALARIO
ocds-lcuori-11972,ocds-lcuori-11972/3-contract,11972,HNL,10400.0,PARA SER UTILIZADA EN TODO EL PERSONAL DEL INSTITUTO NACIONAL AGRARIO
ocds-lcuori-11973,ocds-lcuori-11973/3-contract,11973,HNL,2196.3275000000003,solicitud de materiales por la unidad de Almacen segun informe de necesidades de suministros y materiales 
ocds-lcuori-11974,ocds-lcuori-11974/3-contract,11974,HNL,46711.415,Solicitado mediante informe de necesidades de materiales y suministros del almacen
ocds-lcuori-11976,ocds-lcuori-11976/3-contract,11976,HNL,29393.8275,Solicitado por el Almacen general segun informe de necesidades de materiales y suministros
ocds-lcuori-11977,ocds-lcuori-11977/3-contract,11977,HNL,1129.185,Solicitado segun informe de necesidades de suministros y materiales 
ocds-lcuori-11981,ocds-lcuori-11981/3-contract,11981,HNL,194.8675,Prueba ONCAE
ocds-lcuori-11982,ocds-lcuori-11982/3-contract,11982,HNL,3488.525,utiles de oficina
ocds-lcuori-11979,ocds-lcuori-11979/3-contract,11979,HNL,194.8675,dsada
ocds-lcuori-11984,ocds-lcuori-11984/3-contract,11984,HNL,1655.448,Utiles de oficina 
ocds-lcuori-11985,ocds-lcuori-11985/3-contract,11985,HNL,1646.3400000000001,utiles de oficina 
ocds-lcuori-11986,ocds-lcuori-11986/3-contract,11986,HNL,12477.5,Solicitado mediante Informe de Necesidades de Suministros y Materiales del Almacen General
ocds-lcuori-11988,ocds-lcuori-11988/3-contract,11988,HNL,3099.25,CARPETAS DEBEN SER BLANCAS
ocds-lcuori-11991,ocds-lcuori-11991/3-contract,11991,HNL,4450.5,utiles de oficina 
ocds-lcuori-11992,ocds-lcuori-11992/3-contract,11992,HNL,660744.0,Compra de 02 impresoras multifuncionales blanco y negro 06 impresoras laser blanco y negro monocromatico 7 laptop avanzada 15 pulg y 22 computadoras secretarial
ocds-lcuori-11990,ocds-lcuori-11990/3-contract,11990,HNL,413.586,teclado para compu 
ocds-lcuori-11993,ocds-lcuori-11993/3-contract,11993,HNL,116822.75,Compra de 3 escaner avanzado de red tipo 4 zona 1 y 02 impresoras multifuncional a color tipo 2 zona 1
ocds-lcuori-11995,ocds-lcuori-11995/3-contract,11995,HNL,93998.7,Compra de 6 proyectores intermedio tipo 1 zona 1
ocds-lcuori-11996,ocds-lcuori-11996/3-contract,11996,HNL,1147.95,COMPRA DE INSUMOS PARA USO EN LA GERENCIA Y CONTABILIDAD
ocds-lcuori-11998,ocds-lcuori-11998/3-contract,11998,HNL,38034.0,ups 
ocds-lcuori-12000,ocds-lcuori-12000/3-contract,12000,HNL,1058.22,PARA USO DE OFICINA ADMINISTRATIVA
ocds-lcuori-12001,ocds-lcuori-12001/3-contract,12001,HNL,119025.0,Compra de 03 multifuncional blanco y negro tipo 3 zona 1
ocds-lcuori-12002,ocds-lcuori-12002/3-contract,12002,HNL,60000.0,SUMINISTRO DE 2000 BOTELLONES DE AGUAZUL PARA USO EN LA SECRETARIA DE ESTADO EN EL DESPACHO DE FINANZAS
ocds-lcuori-12006,ocds-lcuori-12006/3-contract,12006,HNL,572.0,COMPRA DE AGUA
ocds-lcuori-12004,ocds-lcuori-12004/3-contract,12004,HNL,572.0,COMPRA DE AGUA
ocds-lcuori-12010,ocds-lcuori-12010/3-contract,12010,HNL,24840.0,Compra de 40 perforadoras de dos orificios metalica capacidad hasta 100 hojas alta calidad
ocds-lcuori-12008,ocds-lcuori-12008/3-contract,12008,HNL,572.0,COMPRA DE AGUA
ocds-lcuori-12009,ocds-lcuori-12009/3-contract,12009,HNL,572.0,COMPRA DE AGUA
ocds-lcuori-12014,ocds-lcuori-12014/3-contract,12014,HNL,801.793,compra de utiles de oficina para las diferentes dependencias de BCH
ocds-lcuori-12015,ocds-lcuori-12015/3-contract,12015,HNL,12259.0,4 Llantas
ocds-lcuori-12012,ocds-lcuori-12012/3-contract,12012,HNL,837.28,compra de utiles de oficina para las diferentes dependencias del BCH
ocds-lcuori-12013,ocds-lcuori-12013/3-contract,12013,HNL,4339.65,COMPRA DE UTILES DE OFICINA PARA USO DE SEAPI
ocds-lcuori-12016,ocds-lcuori-12016/3-contract,12016,HNL,12259.0,4 Llantas 
ocds-lcuori-12018,ocds-lcuori-12018/3-contract,12018,HNL,12259.0,4 Llantas
ocds-lcuori-12019,ocds-lcuori-12019/3-contract,12019,HNL,48221.616,COMPRA DE TINTAS Y TONER PARA USO DE LAS DIFERENTES OFICINAS DE ESTA SECRETARIA
ocds-lcuori-12020,ocds-lcuori-12020/3-contract,12020,HNL,12259.0,4 LLANTAS
ocds-lcuori-12021,ocds-lcuori-12021/3-contract,12021,HNL,36838.249,COMPRA PARA USO DE LAS DIFERENTES OFICINAS DE ESTA SECRETARIA
ocds-lcuori-12023,ocds-lcuori-12023/3-contract,12023,HNL,12167.0,COMPRA PARA USO DE LAS DIFERENTES OFICINAS DE ESTA SECRETARIA
ocds-lcuori-12024,ocds-lcuori-12024/3-contract,12024,HNL,104.0,4 botellones de 5 galones de agua electropura
ocds-lcuori-12025,ocds-lcuori-12025/3-contract,12025,HNL,193.0045,COMPRA DE UNA MEMORIA USB DE 16 GB
ocds-lcuori-12029,ocds-lcuori-12029/3-contract,12029,,,COMPRA DE ETIQUETAS PARA ROTULAR CD
ocds-lcuori-12028,ocds-lcuori-12028/3-contract,12028,HNL,147.70600000000002,COMPRA DE ETIQUETAS PARA ROTULAR CD
ocds-lcuori-12031,ocds-lcuori-12031/3-contract,12031,HNL,11700.0,COMPRA DE MARCADORES Y BORRADORES PARA PIZARRA
ocds-lcuori-12036,ocds-lcuori-12036/3-contract,12036,HNL,2007.615,Compra de varios productos comestibles y desechables para uso de la Direccion Ejecutiva
ocds-lcuori-12032,ocds-lcuori-12032/3-contract,12032,HNL,92.0,COMPRA DE 100 FOLDER DE MANILA TAMA?O CARTA PARA USO DE LA SECRETARIA DEL DIRECTORIO
ocds-lcuori-12033,ocds-lcuori-12033/3-contract,12033,HNL,969.8870000000001,Suministros para atender a los visitantes e inversionistas dentro de la institucion
ocds-lcuori-12034,ocds-lcuori-12034/3-contract,12034,HNL,12516.6,COMPRA DE CUATRO LLANTAS 26575R15 PARA SER UTILIZADAS EN PICK UP BLANCO HILUX CON PLACA N09580
ocds-lcuori-12038,ocds-lcuori-12038/3-contract,12038,HNL,98.9,Compra de vaso plastico desechable de 10 onzas en paquete de 50 unidades
ocds-lcuori-12039,ocds-lcuori-12039/3-contract,12039,HNL,12516.6,COMPRA DE 4 LLANTAS NUMERO 265 70R15 PARA EL VEHICULO TOYOTA PICK UP HILUX CON PLACA NUMERO N09580
ocds-lcuori-12040,ocds-lcuori-12040/3-contract,12040,HNL,4030.0,155 Botellones con agua para abastecer proveeduria
ocds-lcuori-12044,ocds-lcuori-12044/3-contract,12044,HNL,10104.853,COMPRA DE INSUMOS PARA ATENCION A REUNIONES DE TRABAJO DE LA DIRECCION
ocds-lcuori-12045,ocds-lcuori-12045/3-contract,12045,HNL,97300.0,Compra de dos Computadoras para el Departamento de Cooperacion Externa mediante el Proyecto Euro Justicia
ocds-lcuori-12042,ocds-lcuori-12042/3-contract,12042,HNL,78.3,COMPRA DE INSUMOS PARA LA SUBASTA 
ocds-lcuori-12047,ocds-lcuori-12047/3-contract,12047,HNL,638.3090000000001,Compra de alimentos para recreovia asignada a CONAPID
ocds-lcuori-12048,ocds-lcuori-12048/3-contract,12048,HNL,19791.73,COMPRA DE TONER PARA LAS OFICINAS DE PRO ENERGIA RURAL DE PRONADERS IDECOAS
ocds-lcuori-12050,ocds-lcuori-12050/3-contract,12050,HNL,70.72500000000001,Compra de Alimentos para recreovia asignada a CONAPID
ocds-lcuori-12052,ocds-lcuori-12052/3-contract,12052,HNL,13905.5,PRODUCTOS VARIOS
ocds-lcuori-12053,ocds-lcuori-12053/3-contract,12053,HNL,17535.100000000002,PRODUCTOS VARIOS
ocds-lcuori-12055,ocds-lcuori-12055/3-contract,12055,HNL,411.0,producto para uso en las diferentes dependencias de la facultad 
ocds-lcuori-12056,ocds-lcuori-12056/3-contract,12056,HNL,3452.4840000000004,COMPRA DE MEMORIAS PARA USO DE LAS CAMARAS FOTOGRAFICAS ASIGNADAS A LA DINAF
ocds-lcuori-12058,ocds-lcuori-12058/3-contract,12058,HNL,16450.0,IMPRESORA A COLORES
ocds-lcuori-12059,ocds-lcuori-12059/3-contract,12059,HNL,226044.0,PARA USO Y DISTRIBUCION A LAS DIFERENTES DEPENDENCIAS DEL PODER JUDICIAL A NIVEL NACIONAL
ocds-lcuori-12060,ocds-lcuori-12060/3-contract,12060,HNL,16925.7,ENTREGAR EN EL ALMACEN CENTRAL PARA LA UNIDAD HRB00902 AMBULANCIA 
ocds-lcuori-12062,ocds-lcuori-12062/3-contract,12062,HNL,41965.0,SE SOLICITA LA COMPRA DE IMPRESORAS PARA LAS DIFERENTES OFICINAS DEL CURNO
ocds-lcuori-12063,ocds-lcuori-12063/3-contract,12063,HNL,320.0,COMPRA DE 8 BOTELLONES DE AGUA PARA CONSUMO DEL PERSONAL DE SEAPI
